date,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyInventory,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyPretaxIncome,quarterlyDilutedAverageShares,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyOtherIncomeExpense,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyOperatingCashFlow,quarterlyCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyChangeInInventory
2010-03-31,-3007086000,2258821000,1704127000,,1979839000,,,,,,,13246528000,1833700000,-741623000,690128000.0,,9870607000,,,3375921000,-40719000,1542221000,,454433867.0,,3.75,,1790398000,1704127000,,1300594000,,,,143180000,-56754000,46261000,,,,,,-14725000.0,0,,1933578000,,-3684342000,,,,,3.75,,,2310819000,,,-51998000,,,,,,,,,,,,,,,,,,
2010-06-30,-2555822000,1825945000,717051000,,960854000,,16370596000.0,24712904000.0,,20647772000.0,1040132000.0,12018079000,968260000,-2332937000,16035000.0,,9619942000,89466000.0,0.0,2398137000,-793491000,1429877000,4065132000.0,,,,3025000000.0,797629000,717051000,65914000.0,1269240000,18359117000.0,21495826000.0,6720784000.0,42358000,-483560000,120867000,,1825945000.0,1825945000.0,3443243000.0,839940000.0,-21314000.0,-1946000,,839987000,,-2547148000,2712205000.0,,45534427000.0,29163831000.0,,,2101664000.0,2258821000,,2275100000.0,-432876000,11953989000.0,,,,,,,,,,,,,,,,,
2010-09-30,-4115802000,2186012000,11343000,-201825000.0,270168000,,,,,,,10626023000,242672000,-1630431000,107118000.0,,8948466000,,,1677557000,-62473000,1434885000,,453720000.0,,0.025,,129596000,11343000,,1340038000,,,,31607000,-6405000,108965000,,,,,,0.0,0,,161203000,453720000.0,-4044917000,,,,,0.025,,,1825945000,,,354060000,,,,,,,,,,,,,,,,,,
2010-12-31,-2993110000,1978735000,90893000,0.0,212789000,9048833000.0,17552692000.0,31812325000.0,28715537000.0,27763951000.0,999374000.0,12557786000,87938000,-5368448000,-95041000.0,5396590000.0,10734961000,0.0,999374000.0,1822825000,-259606000,1734887000,4048374000.0,,,,3049000000.0,200967000,90893000,65914000.0,1572342000,18460319000.0,28715537000.0,6537852000.0,6532000,-1781590000,5290000,,1992519000.0,1992519000.0,9796422000.0,5698144000.0,0.0,-3439000,,207499000,,-2936417000,449357000.0,-6628536000.0,52963401000.0,35410709000.0,,,2425360000.0,2186012000,,2275100000.0,-201270000,11033448000.0,,,,,,,,,,,,,,,,,
2011-03-31,-3067188000,3884325000,266741000,,496439000,9314403000.0,18879317000.0,35830045000.0,31189974000.0,30459269000.0,,11710335000,470698000,-36836000,10500000.0,4667045000.0,9717091000,0.0,959270000.0,1993244000,-139149000,1522546000,5370776000.0,2222841667.0,,0.12,4411506000.0,324099000,266741000,65914000.0,1344822000,18712789000.0,31189974000.0,6428640000.0,53945000,-2501996000,118395000,,4057123000.0,4057123000.0,10357017000.0,6011916000.0,,0,,378044000,,-3095246000,433951000.0,,57285963000.0,38406646000.0,0.12,,2645056000.0,1978735000,5254000.0,2275100000.0,1905590000,13590125000.0,,,,,,,,,,,,,,,,,
2011-06-30,-2383927000,4782557000,8622000,,332020000,9321847000.0,19950104000.0,38239301000.0,33246652000.0,31377614000.0,966591000.0,10834329000,275542000,-608405000,-41540000.0,5044790000.0,9274869000,0.0,966591000.0,1559460000,-292107000,1283918000,6861687000.0,,,,5895096000.0,70433000,8622000,65914000.0,1109297000,20084676000.0,33246652000.0,7331635000.0,41448000,-5581337000,220139000,,4836131000.0,4836131000.0,8972095000.0,5628966000.0,,1369653000,,111881000,,-2211288000,1358639000.0,,61130928000.0,41180824000.0,,,2800797000.0,3884325000,7875000.0,2354100000.0,898232000,16800664000.0,,,,,,,,,,,,,,,,,
2011-09-30,-2329619000,3514230000,77367000,-90000000.0,341510000,9398053000.0,19835730000.0,39677603000.0,34312246000.0,31016104000.0,,11789425000,406759000,-2728403000,4905000.0,5134471000.0,9899712000,0.0,949932000.0,1889713000,-258517000,1482954000,8661499000.0,2351580547.0,,0.0329,7711567000.0,117411000,77367000,65914000.0,1261381000,20121864000.0,34312246000.0,7164176000.0,19460000,-5119769000,204639000,0.0,3562899000.0,3562899000.0,9771013000.0,5941334000.0,,-25616000,,136871000,2351580547.0,-2253371000,1438892000.0,,62621312000.0,42785582000.0,0.0329,,1991582000.0,4782557000,0.0,2354100000.0,-1268327000,15822197000.0,,,,,,,,,,,,,,,,,
2011-12-31,-1141985000,3737386000,1031895000,-125000000.0,1277715000,10169160000.0,21424455000.0,41644256000.0,35031698000.0,33370934000.0,1193015000.0,14492830000,1010144000,-53981000,312085000.0,5487732000.0,11547117000,32500000.0,1194075000.0,2945713000,-365998000,1935569000,8273322000.0,,,,7079247000.0,1083133000,1031895000,65914000.0,1539773000,21124517000.0,35031698000.0,6595797000.0,17555000,-1252581000,177027000,1010000.0,4048446000.0,4048446000.0,10011122000.0,6721454000.0,,-285325000,,1100688000,,-1852246000,1170839000.0,-9047840000.0,65624392000.0,44199937000.0,,,2120643000.0,3514230000,495619000.0,2354100000.0,223156000,17235934000.0,,,,,,,,,,,,,,,,,
2012-03-31,-1135954000,4541437000,27040000,,316220000,10195018000.0,21442629000.0,42251417000.0,35124104000.0,34265400000.0,,11734272000,419736000,1977187000,10000000.0,4619459000.0,9692229000,35500000.0,1166767000.0,2042043000,-328463000,1622307000,7986017000.0,2704000000.0,,0.01,6819250000.0,53606000,27040000,65914000.0,1278684000,21155684000.0,35124104000.0,7212189000.0,79853000,-3778313000,182761000,,4772662000.0,4772662000.0,8645149000.0,7011648000.0,,79705000,,133459000,2704000000.0,-1183864000,1484156000.0,,66297883000.0,44855254000.0,0.01,,2634244000.0,3737386000,13313000.0,2354100000.0,804051000,19208162000.0,,,,,,,,,,,,,,,,,
2012-06-30,-903852000,4832074000,-10771000,,243986000,10183105000.0,21496577000.0,42900728000.0,35102392000.0,32398939000.0,1174111000.0,10847740000,150565000,336758000,13400000.0,5141516000.0,9354339000,38500000.0,1174760000.0,1493401000,-301387000,1342836000,10501789000.0,,,,9327029000.0,50548000,-10771000,65914000.0,1102435000,21110004000.0,35102392000.0,7205269000.0,-24663000,-5390684000,218101000,,5102165000.0,5102165000.0,6817535000.0,7398384000.0,,-70354000,,25885000,,-933116000,1618851000.0,,66902542000.0,45405965000.0,,,2995810000.0,4541437000,-5438000.0,2354100000.0,290637000,19620596000.0,,,,,,,,,,,,,,,,,
