date,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyOtherIntangibleAssets,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyBeginningCashPosition,quarterlyOtherCurrentAssets,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetOtherInvestingChanges,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyPretaxIncome,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyOperatingIncome,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyDilutedAverageShares,quarterlyLongTermDebt,quarterlyGrossProfit,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyChangeInAccountPayable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2009-06-30,,,,,,,-523000,538418000,36371000,,,,0.06877,420902000,,8425000,-3025000,8425000,0.0,,-61711000,-71304000,,,-6568000,-3025000,0,,,7547000,0.0,6255000.0,15972000,,-127000000,1229459000,109411287.0,,0.077003,52351000,,,26606000,514415000,-6568000,349598000,8425000,76346000,24812000,24003000,0.0,,,,,122509408.0,,590769000,,,,,638690000,,-69174000,0.0,,-68279000,,,,,,,,,
2009-09-30,,,,,,,-239000,555613000,36741000,,,,,349598000,,10810000,-3025000,10810000,38280000.0,,178466000,84444000,,,-15144000,-117158000,0,,,10452000,0.0,7583000.0,21262000,,119469000,1279257000,,,,57938000,,,16579000,531588000,23136000,434042000,10810000,82028000,14789000,24025000,-114912000.0,,,,,,,613551000,,,,,665706000,,43473000,0.0,,163322000,,,,,,,,,
2009-12-31,,,,,,,-571000,559694000,37445000,,,,0.01,434042000,,1294000,-4588000,1294000,0.0,,102645000,-159894000,,,-13154000,-249385000,0,,,1402000,,,2696000,,70756000,1261353000,107165542.0,,0.01,40712000,,,19788000,535049000,-13154000,274148000,1294000,64786000,17749000,24645000,-497489000.0,,,,,119310272.0,,600406000,,,,,660947000,,-1264000,-93808000.0,,89491000,,,,,,,,,
2010-03-31,307835000.0,,307835000.0,-90129000.0,9996000.0,268880000.0,41000,615211000,40996000,21850000.0,509583000.0,1113000.0,,274148000,11476000.0,4890000,-5462000,4890000,0.0,149446000.0,51084000,33687000,0.0,,-14405000,-2992000,0,136648000.0,-13364000.0,4174000,,,9064000,,-11947000,1352564000,,785920000.0,,48553000,1370168000.0,226777000.0,17129000,592121000,-14405000,307835000,4890000,73150000,14547000,23090000,0.0,-3818000.0,,1766720000.0,1163129000.0,,1546782000.0,663764000,1692055000.0,3062223000.0,,385145000.0,688800000,1018311000.0,-65421000,1915000.0,53122000.0,36679000,2552640000.0,,,,,,,,
2010-06-30,300611000.0,,300611000.0,,10317000.0,261722000.0,-619000,576089000,40353000,21850000.0,552676000.0,150000.0,0.229933,307835000,8642000.0,28169000,-5463000,28169000,1384000.0,152584000.0,10011000,-7224000,0.0,,-16213000,-2406000,1002000,140635000.0,14805000.0,19916000,0.0,17585000.0,48085000,,-72892000,1341929000,109411287.0,695111000.0,0.25746,88745000,1343733000.0,,17765000,556705000,-14829000,300611000,28169000,107822000,15660000,19384000,0.0,-3736000.0,,1767475000.0,1161745000.0,122509408.0,1542063000.0,664834000,1671529000.0,3015262000.0,,305404000.0,677095000,994926000.0,23385000,552000.0,53838000.0,-6202000,2462586000.0,,,,,,,,
2010-09-30,366526000.0,,366526000.0,,9367000.0,254561000.0,-6803000,596742000,38830000,21850000.0,601299000.0,1154000.0,0.12,300611000,24500000.0,14817000,-90462000,14817000,0.0,179034000.0,160874000,65915000,0.0,,-22744000,-72215000,0,150952000.0,29622000.0,11459000,0.0,9437000.0,26276000,,113871000,1367214000,109411287.0,773171000.0,0.14,71909000,1405264000.0,,3161000,577154000,-22744000,366526000,14817000,84694000,11635000,19588000,0.0,-3654000.0,,1707634000.0,1152238000.0,122509408.0,1453081000.0,668651000,1676840000.0,3082104000.0,,361627000.0,698563000,972542000.0,22384000,15227000.0,52100000.0,138130000,2480805000.0,,,,,,,,
2010-12-31,457772000.0,,457772000.0,,,247399000.0,-291000,595471000,52897000,263603000.0,884506000.0,1315000.0,0.18,366526000,0.0,23638000,-248386000,23638000,0.0,274712000.0,109920000,91246000,34045000.0,,-22476000,3802000,251726000,159794000.0,53260000.0,-1695000,,,21943000,,67038000,1389176000,118804903.0,1073662000.0,0.2,75131000,1531964000.0,,25665000,574675000,-22476000,457772000,23638000,95636000,11908000,20796000,0.0,-3572000.0,,1240364000.0,1163457000.0,131215531.0,965652000.0,670602000,1666568000.0,3198532000.0,,412448000.0,718574000,1011662000.0,-39120000,195000.0,95918000.0,87444000,2314026000.0,,,,,,,,
2011-03-31,192631000.0,90474000.0,192631000.0,-138095000.0,,240238000.0,-58250000,666595000,-6351000,30000000.0,907250000.0,1315000.0,,457772000,23311000.0,18070000,-1293539000,18070000,0.0,195836000.0,15534000,-265141000,35475000.0,,-27351000,-253324000,-1593000,173430000.0,71330000.0,13690000,,,31760000,,-105225000,1492977000,,866135000.0,,83659000,1365649000.0,311525000.0,59151000,645760000,-27351000,192631000,18070000,46244000,9475000,20835000,0.0,-5453000.0,,1250638000.0,1163549000.0,,964328000.0,750254000,1658374000.0,3024023000.0,,520859000.0,742723000,1111004000.0,-99342000,0.0,81157000.0,-11817000,2116773000.0,,,,,,,,
2011-06-30,228513000.0,90311000.0,228513000.0,-151298000.0,,236147000.0,-442000,621883000,12294000,33125000.0,974162000.0,1323000.0,0.37,192631000,0.0,51136000,-7500000,51136000,0.0,200963000.0,53844000,35882000,47754000.0,,-17601000,-361000,2418000,177254000.0,122466000.0,34250000,,,85386000,,-24685000,1446836000,127975481.0,808157000.0,0.4,98122000,1376788000.0,328552000.0,9525000,604025000,-17601000,228513000,51136000,115538000,10677000,17858000,,-5346000.0,,1245250000.0,1163712000.0,139922465.0,953976000.0,720005000,1650781000.0,3027569000.0,,314168000.0,726831000,1079944000.0,31060000,2619000.0,73668000.0,36243000,2053407000.0,,,,,,,,
2011-09-30,356220000.0,,356220000.0,-165000000.0,,232016000.0,4051000,619737000,12194000,36250000.0,1070778000.0,1353000.0,0.53,228513000,0.0,75332000,-7500000,75332000,0.0,223898000.0,123273000,127707000,25427000.0,,-26039000,7141000,2277000,188789000.0,197798000.0,10190000,,,85522000,,43006000,1429044000,130456979.0,831610000.0,0.58,93665000,1471410000.0,353789000.0,-4087000,601201000,-2707000,356220000,75332000,116252000,7771000,18536000,,-5238000.0,,1233781000.0,1177031000.0,141259964.0,943628000.0,713402000,1664759000.0,3136169000.0,,343961000.0,715642000,1031545000.0,39985000,13341000.0,66923000.0,97234000,2065391000.0,,,,,,,,
2011-12-31,405027000.0,,405027000.0,-179800.0,,227925000.0,238000,614553000,12035000,39375000.0,1142270000.0,1355000.0,0.44,356220000,0.0,62860000,-7500000,62860000,0.0,239170000.0,74902000,48807000,27382000.0,0.0,-21918000,-4177000,2126000,195277000.0,260658000.0,23531000,,,86391000,,-14519000,1442718000,131479857.0,837460000.0,0.48,98188000,1537695000.0,195456800.0,7041000,595023000,-21918000,405027000,62860000,117956000,6000000,19530000,0.0,-5132000.0,,1227619000.0,1188115000.0,141799725.0,933279000.0,712741000,1669654000.0,3207349000.0,,392905000.0,729977000,1065056000.0,-33511000,437000.0,58337000.0,52984000,2065079000.0,,,,,,,,
2012-03-31,484368000.0,55282000.0,484368000.0,-167760000.0,,223834000.0,-14987000,665575000,11555000,42500000.0,1185185000.0,1357000.0,,405027000,17096000.0,50627000,-7500000,50627000,0.0,236953000.0,108027000,79341000,10630000.0,0.0,-11367000,-17319000,1936000,191079000.0,299379000.0,35948000,,,86575000,,-45245000,1540620000,,914446000.0,,113117000,1657663000.0,358839000.0,8203000,646294000,-11367000,484368000,50627000,117411000,6815000,19281000,-11906000.0,-8715000.0,,1215160000.0,1188004000.0,,922925000.0,778692000,1657128000.0,3314791000.0,,513446000.0,761928000,1077315000.0,-12259000,64000.0,46421000.0,96660000,2129606000.0,,,,,,,,
2012-06-30,336051000.0,,336051000.0,,,220701000.0,-483000,590318000,11246000,45625000.0,1019848000.0,1367000.0,0.43,484368000,0.0,61945000,-10625000,61945000,0.0,301469000.0,74043000,-148317000,75237000.0,,-3969000,-218391000,1754000,178870000.0,150652000.0,41062000,,,103007000,,-15136000,1432424000,131667876.0,878252000.0,0.46,114736000,1473145000.0,,7923000,571815000,-3969000,336051000,61945000,132756000,6762000,18503000,-210672000.0,-8616000.0,,1210922000.0,1188004000.0,142677037.0,909453000.0,705054000,1635877000.0,3109022000.0,,316567000.0,727370000,1070776000.0,6539000,315000.0,48302000.0,70074000,2089174000.0,,,,,,,,
2012-09-30,488979000.0,,488979000.0,,,217576000.0,-7343000,583555000,17811000,46500000.0,119534000.0,1387000.0,0.27,336051000,0.0,46116000,-959375000,46116000,0.0,310402000.0,315705000,152928000,76948000.0,,-10406000,-152371000,1605000,174640000.0,38473000.0,30759000,,,76875000,,248492000,1387650000,133436895.0,969054000.0,0.29,102029000,1442662000.0,,-6543000,565942000,-10406000,488979000,46116000,112299000,7605000,17613000,-887101000.0,-8235000.0,,2001490000.0,1187715000.0,144249162.0,1691088000.0,685584000,1647416000.0,3090078000.0,,396407000.0,702066000,839647000.0,231129000,-21741000.0,67485000.0,305299000,2970544000.0,,,,,,,,
2012-12-31,317578000.0,,317578000.0,,,241041000.0,134000,583179000,21731000,51031000.0,184522000.0,1409000.0,0.38,488979000,0.0,56184000,-11625000,56184000,0.0,314723000.0,9186000,-171401000,92035000.0,0.0,-6282000,-16935000,1569000,170216000.0,82419000.0,38815000,,,94999000,,-62474000,1392695000,135272553.0,976297000.0,0.41,116596000,1396652000.0,,-2397000,565052000,-163652000,317578000,55709000,134857000,5496000,18127000,-62003000.0,-8311000.0,423291000.0,1990087000.0,1276565000.0,145063515.0,1675364000.0,699775000,1754254000.0,3150906000.0,,409940000.0,692920000,452150000.0,-63244000,47723000.0,66432000.0,2904000,2966384000.0,,,,,,,,
