date,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyDilutedEPS,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInInventory,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment
2005-03-31,,-12049000,,-20595000,221725000,-27526000,444483000,,,-22727000,129849000,,,,,-14550000.0,0.0,,48259000,-3001000.0,,-0.336372,,,,314634000,,1879000,,-22727000,-22727000,67565000.0,123031000,,,-287000.0,,-0.336372,,-22607000,11807000,37337000,,,37050000,,,,,944000,157375000,-37879000,,23458000,42588000,-15152000,,,,,,67565000.0,,851000,,15477000,0.0,179137000,,,,,,,,,
2005-06-30,,30540000,,-29190000,251949000,15258000,741691000,,,970000,158373000,,,,,-11077000.0,0.0,,40697000,6017000.0,,0.014357,,,,583318000,,-884000,,970000,970000,67565000.0,120227000,,,-221000.0,,0.014357,,-28510000,11702000,5382000,,,5605000,,,,,-269000,143115000,1617000,,51889000,30224000,647000,,,,,,67565000.0,,23379000,,15282000,0.0,221725000,,,,,,,,,
2005-09-30,,77501000,,-22930000,273474000,61868000,998414000,,,26083000,217134000,,,,,1375000.0,0.0,,-147561000,11843000.0,,0.386043,,,,781280000,,-104000,,26083000,21123000,67565000.0,128141000,,,-173000.0,,0.386043,,-23410000,14881000,112532000,,,133558000,,,,,915000,155266000,43472000,,-92627000,21525000,17389000,,,,,,67565000.0,,-116037000,,15633000,0.0,251949000,,,,,,,,,
2005-12-31,,-44544000,,-33334000,403716000,-62783000,752257000,1113522000.0,,-134945000,-398342000,,701620000.0,1116786000.0,755692000.0,,-18003000.0,,89190000,99654000.0,-87563000.0,,,190207000.0,405507000.0,1150599000,636700000.0,-6533000,341136000.0,-134945000,-129415000,,-320683000,411902000.0,30766000.0,,46714000.0,,25705000.0,-17993000,14106000,167728000,-307867000.0,,169225000,62512000.0,232754000.0,,,-8466000,-335559000,-76341000,,31193000,130242000,58604000,,0.0,808919000.0,,1020892000.0,,1776584000.0,13200000,149461000.0,18239000,,273474000,672000.0,403716000.0,403716000.0,37654000.0,-6417000.0,,,,
2006-03-31,,23173000,,-14325000,408829000,8063000,516567000,1248626000.0,,5287000,138735000,,827723000.0,1135693000.0,854772000.0,861000.0,-24717000.0,,29648000,551000.0,-86446000.0,0.02,140655000.0,196229000.0,375071000.0,377832000,618058000.0,-8869000,340363000.0,5287000,1117000,63971508.0,123395000,420903000.0,40540000.0,,37345000.0,0.02,25939000.0,-19335000,7813000,0,-322231000.0,,-25496000,71241000.0,386150000.0,,,9313000,130672000,1835000,,39157000,5113000,718000,,0.0,813462000.0,,1037530000.0,64480376.0,1892302000.0,19822000,12172000.0,15110000,1743000.0,403716000,672000.0,408829000.0,408829000.0,40563000.0,-2247000.0,,,,
2006-06-30,,28175000,,31215000,603432000,11682000,768230000,1606188000.0,,9682000,163451000,,1185912000.0,1153745000.0,1267759000.0,709000.0,0.0,,141882000,-530000.0,-76763000.0,0.15,157864000.0,291509000.0,464672000.0,604779000,681006000.0,24529000,338840000.0,9682000,9682000,64462679.0,137145000,420276000.0,41436000.0,,49929000.0,0.15,28045000.0,-12632000,8348000,0,-340544000.0,,-4344000,76766000.0,622200000.0,,,8888000,151769000,15036000,,164982000,194603000,5354000,,0.0,813201000.0,,1085367000.0,65329597.0,2353126000.0,152350000,37536000.0,16493000,0.0,408829000,672000.0,603432000.0,603432000.0,70995000.0,11049000.0,,,,
2006-09-30,,90344000,-9670000.0,-28819000,496586000,27567000,1354789000,1381293000.0,,-9101000,234869000,,961670000.0,1116015000.0,1064397000.0,902000.0,0.0,,-160364000,1180000.0,-85865000.0,-0.14,150931000.0,313863000.0,585436000.0,1119920000,671864000.0,-6019000,337733000.0,-9101000,-9101000,65477685.0,146817000,419623000.0,41890000.0,,46090000.0,-0.14,28296000.0,-19063000,8636000,32803000,-335772000.0,,31078000,81430000.0,273978000.0,,,3672000,207302000,15230000,,-100527000,-106846000,24331000,,0.0,780243000.0,,1064370000.0,65477685.0,2128767000.0,-119590000,51766000.0,62777000,0.0,603432000,671000.0,496586000.0,496586000.0,73960000.0,11685000.0,,,,
2006-12-31,,17475000,-7546000.0,-363234000,313880000,-17048000,1051973000,1510175000.0,,-33140000,172703000,,773960000.0,1236221000.0,738109000.0,-10305000.0,0.0,,-96636000,9133000.0,-119005000.0,,423169000.0,248772000.0,471414000.0,879270000,638662000.0,8692000,607425000.0,-33140000,-33140000,,155610000,736215000.0,88790000.0,,26150000.0,,31721000.0,-366533000,12421000,-1030000,-360049000.0,,267056000,114154000.0,230179000.0,12369000.0,,4416000,189751000,-26333000,,-86892000,-182706000,6807000,,0.0,876172000.0,,1486893000.0,,2225002000.0,-453425000,73398000.0,34523000,4427000.0,496586000,672000.0,313880000.0,313880000.0,40646000.0,20719000.0,,,,
2007-03-31,,-2417000,-22332000.0,-29291000,394766000,-30404000,584185000,1884715000.0,,-45049000,162873000,,1096180000.0,1235007000.0,1006757000.0,2385000.0,,,98263000,3704000.0,-164054000.0,-0.69,348035000.0,263730000.0,453508000.0,421312000,595486000.0,-10953000,632722000.0,-45049000,-45049000,65499719.0,161129000,788535000.0,115813000.0,,39252000.0,-0.69,31787000.0,-17821000,14952000,-2844000,-369616000.0,,22882000,144205000.0,535387000.0,,,-4059000,193277000,-39139000,,88302000,80886000,5910000,424000.0,0.0,865391000.0,,1529700000.0,65499719.0,2536457000.0,70481000,172069000.0,27987000,6299000.0,313880000,672000.0,394766000.0,394766000.0,75498000.0,20216000.0,,,,
2007-06-30,,61731000,-1558000.0,-216000,466661000,36387000,1039565000,2134869000.0,,9922000,224572000,,1433440000.0,1239108000.0,1262011000.0,3414000.0,,,106250000,417000.0,-154132000.0,0.15,357339000.0,405169000.0,523307000.0,814993000,618771000.0,6303000,578024000.0,9922000,9922000,65521804.0,182426000,701429000.0,83405000.0,,50642000.0,0.15,31941000.0,-46957000,15270000,-1176000,-374433000.0,,-58192000,155133000.0,764988000.0,,,22468000,188185000,25270000,,126674000,71895000,15348000,0.0,0.0,864675000.0,,1551279000.0,67702746.0,2813290000.0,79717000,174132000.0,25344000,-2683000.0,394766000,672000.0,466661000.0,466661000.0,113204000.0,30202000.0,,,,
