date,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyDilutedEPS,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyBasicAverageShares,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyChangeInInventory
1984-01-31,,33500000,33500000,33500000,,,,,92832000.0,,,,,,,,,,,,,0.015,,,,,,,,,,,,3700000,,,,,,,,0.015,,,,,,,,,,,,,,,92832000.0,,,,,,,,,,,,,,,,,,,,
1984-04-30,,36000000,36000000,36000000,,,,,92832000.0,,,,,,,,,,,,,0.045,,,,,,,,,,,,4200000,,,,,,,,0.045,,,,,,,,,,,,,,,92832000.0,,,,,,,,,,,,,,,,,,,,
1984-07-31,,35300000,35300000,35300000,,,,,92832000.0,,,,,,,,,,,,,0.035,,,,,,,,,,,,3400000,,,,,,,,0.035,,,,,,,,,,,,,,,92832000.0,,,,,,,,,,,,,,,,,,,,
1984-10-31,,-81500000,35400000,-81500000,,,,,,38000000.0,,,23800000.0,90100000.0,,42100000.0,72900000.0,,,,,,81600000.0,,,,,,,11700000.0,,,1300000.0,2000000,,,10100000.0,14200000.0,3800000.0,,,,,,,20700000.0,,-13300000.0,600000.0,1200000.0,,,,,,28800000.0,,20000000.0,,119600000.0,100000.0,29500000.0,,31200000.0,31200000.0,,,,,,,,,,,,
1985-01-31,,33800000,33800000,33800000,,,,,94248000.0,,,,,,,,,,,,,0.03,,,,,,,,,,,,2800000,,,,,,,,0.03,,,,,,,,,,,,,,,94248000.0,,,,,,,,,,,,,,,,,,,,
1985-04-30,,36100000,36100000,36100000,,,,,88864000.0,,,,,,,,,,,,,0.03,,,,,,,,,,,,2600000,,,,,,,,0.03,,,,,,,,,,,,,,,88864000.0,,,,,,,,,,,,,,,,,,,,
1985-07-31,,32800000,32800000,32800000,,,,,87184000.0,,,,,,,,,,,,,0.025,,,,,,,,,,,,1900000,,,,,,,,0.025,,,,,,,,,,,,,,,87184000.0,,,,,,,,,,,,,,,,,,,,
1985-10-31,,-87100000,37300000,-87100000,,,,,,40800000.0,,,27500000.0,78400000.0,,48600000.0,73700000.0,,,,,,72400000.0,,,,,,,11700000.0,,,200000.0,2500000,,,10000000.0,13300000.0,5900000.0,,,,,,,21400000.0,,-15800000.0,800000.0,1400000.0,,,,,,32800000.0,,21600000.0,,113200000.0,1200000.0,34800000.0,,19300000.0,19300000.0,,,,,,,,,,,,
1986-01-31,,36300000,36300000,36300000,,,,,80176000.0,,,,,,,,,,,,,0.025,,,,,,,,,,,,2000000,,,,,,,,0.025,,,,,,,,,,,,,,,80176000.0,,,,,,,,,,,,,,,,,,,,
1986-04-30,,41800000,41800000,41800000,,,,,82160000.0,,,,,,,,,,,,,0.05,,,,,,,,,,,,3800000,,,,,,,,0.05,,,,,,,,,,,,,,,82160000.0,,,,,,,,,,,,,,,,,,,,
