date,quarterlyAccountsReceivable,quarterlyDilutedEPS,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyNetPPE,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyNetOtherInvestingChanges,quarterlyChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyCashFlowFromContinuingFinancingActivities,quarterlySaleOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,quarterlyFreeCashFlow,quarterlyStockBasedCompensation,quarterlyNetOtherFinancingCharges,quarterlyChangeInInventory
1998-03-31,,0.745137,,,,,,,,1735341280.0,1735341280.0,,,2328888889.0,,,,,,,,,1735341280.0,,,2328888889.0,,,,,,,,,,0.745137,,,5685395310.0,,,,,,5685395310.0,,5685395310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,,0.745174,,,,,,,,1735427216.0,1735427216.0,,,2328888889.0,,,,,,,,,1735427216.0,,,2328888889.0,,,,,,,,,,0.745174,,,5685676857.0,,,,,,5685676857.0,,5685676857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-30,,0.74502,,,,,,,,1714373800.0,1714373800.0,,,2301111111.0,,,,,,,,,1714373800.0,,,2301111111.0,,,,,,,,,,0.74502,,,7487451000.0,,,,,,7487451000.0,,7487451000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,,,,1757610470.0,990984330.0,,,64543960180.0,41508748820.0,1715123860.0,1715123860.0,,2748594800.0,,,101002580.0,5337406830.0,,,,,,1715123860.0,7521380650.0,18700379320.0,,,,-12214689060.0,1261704360.0,17481725240.0,45828678840.0,17481725240.0,5962463780.0,2644280660.0,,,33987368170.0,-11203441040.0,-6938546090.0,23035211360.0,6137976460.0,40925914260.0,,-11203441040.0,4651913910.0,7489487270.0,,,15951784520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-31,,0.827808,,,,,,,,1975174722.24,1975174722.24,,,2386030000.0,,,,,,,,,1975174722.24,,,2386030000.0,,,,,,,,,,0.827808,,,8469899669.76,,,,,,8469899669.76,,8469899669.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-30,,0.827808,,,,,,,,1975174722.24,1975174722.24,,,2386030000.0,,,,,,,,,1975174722.24,,,2386030000.0,,,,,,,,,,0.827808,,,8469899669.76,,,,,,8469899669.76,,8469899669.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-30,,0.165562,,,,,,,,430460160.0,430460160.0,,,2600000000.0,,,,,,,,,430460160.0,,,2600000000.0,,,,,,,,,,0.165562,,,10844284800.0,,,,,,10844284800.0,,10844284800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,,,,1490054400.0,7284710400.0,,,87433080960.0,51837336960.0,413904000.0,413904000.0,,8774764800.0,,,206952000.0,6200281920.0,,,,,,413904000.0,9139000320.0,30339163200.0,,,,-51125422080.0,1465220160.0,19345872960.0,57093917760.0,19345872960.0,6026442240.0,8741652480.0,,,42698336640.0,-14138960640.0,-20148846720.0,35595744000.0,7408881600.0,62847183360.0,,-14138960640.0,9337674240.0,10844284800.0,,,21564398400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31,,1.572835,,,,,,,,4362548160.0,4362548160.0,,,2773684211.0,,,,,,,,,4362548160.0,,,2773684211.0,,,,,,,,,,1.572835,,,14445249600.0,,,,,,14445249600.0,,14445249600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,,1.655616,,1581113280.0,7003255680.0,,5463532800.0,96621749760.0,54345595200.0,4370826240.0,4370826240.0,736749120.0,8584368960.0,2741262000.0,157283520.0,306288960.0,2682097920.0,165561600.0,,,,2822825280.0,4370826240.0,9950252160.0,30802735680.0,2743275000.0,,8981716800.0,-51133700160.0,1465220160.0,34221582720.0,65819014080.0,34221582720.0,5148965760.0,447016320.0,1.655616,2011573440.0,44395343040.0,8244967680.0,-24287886720.0,42276154560.0,16133977920.0,68683229760.0,,6158891520.0,14387303040.0,14445249600.0,,,22218366720.0,6382399680.0,,,,,,,,,,,,,,,,,,,,,,,,,,
