date,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyLongTermDebt,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyAccumulatedDepreciation,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2011-01-31,,50525000,111482000.0,,310492000,,52711000,280409000,303408000.0,659166000,770025000,496711000,536717000,,250819000,-540226000.0,1076943000.0,77604000,233866000,,1204350000,,869119000,250000000,96572000,96572000,1595990000,194821000,47023000,2366015000,1155877000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-31,,69183000,117981000.0,,291657000,1753000.0,48451000,366813000,221457000.0,743054000,1031141000,430740000,606971000,0.0,179532000,-577961000.0,1184932000.0,98648000,303963000,1105720000.0,1541134000,,867196000,255882000,253610000,253610000,1683787000,162526000,49241000,2714928000,1173794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-31,,75656000,128777000.0,,266404000,0.0,47665000,374782000,0.0,716584000,1117503000,396017000,713870000,0.0,431929000,-643368000.0,1357238000.0,100275000,283538000,1134932000.0,1822743000,,863526000,255882000,362284000,362284000,1826065000,165485000,72933000,2943568000,1112601000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-31,0.0,158087000,114605000.0,,292043000,,52186000,380688000,0.0,815250000,1220058000,316565000,777425000,108000.0,286409000,,,155625000,320857000,,2007620000,0.0,860986000,255882000,391702000,391594000,1929239000,238518000,64038000,3149297000,1131815000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,,84905000,0.0,503987000.0,304525000,,55636000,343802000,78830000.0,742062000,1387449000,312725000,857299000,43060000.0,625681000,-720471000.0,1577770000.0,6576000,330613000,,2320022000,,374763000,255882000,571746000,571746000,1997830000,175570000,23024000,3385279000,1054787000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-31,0.0,89054000,0.0,503819000.0,317519000,,45505000,408534000,81124000.0,806831000,1332150000,321926000,1047291000,983000.0,308239000,-778520000.0,1825811000.0,9415000,402921000,,2388096000,0.0,375658000,255882000,440637000,439654000,2197910000,159468000,187581000,3530060000,1128757000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,,98982000,154666000.0,504373000.0,308405000,,42671000,449903000,207950000.0,706475000,1461596000,480277000,1230192000,13984000.0,627785000,-837121000.0,2067313000.0,4938000,348534000,,2687554000,,396916000,255882000,568414000,568414000,2426696000,61909000,69867000,3888292000,1186752000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,0.0,108444000,203764000.0,512690000.0,373848000,,40466000,539042000,265965000.0,985159000,1581059000,554011000,1366552000,2754000.0,244848000,-938900000.0,2305452000.0,10933000,402673000,,2666923000,0.0,434385000,255882000,510591000,510591000,2640511000,242061000,74208000,4221570000,1539170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-31,,128752000,0.0,513214000.0,346284000,,41634000,654545000,255203000.0,1115025000,1899955000,605705000,1474218000,6287000.0,450730000,-1109567000.0,2583785000.0,4866000,437420000,,3000737000,,430090000,255882000,708966000,708966000,2838922000,263335000,9778000,4738877000,1720730000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-31,0.0,153539000,0.0,514059000.0,347493000,,40811000,778907000,428829000.0,1051670000,1885268000,767446000,1520168000,8025000.0,188593000,-1237375000.0,2757543000.0,15331000,378826000,,2960909000,0.0,432877000,255882000,549943000,549943000,2912232000,379153000,12128000,4797500000,1819116000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-31,,161317000,142271000.0,513218000.0,254183000,,36882000,692672000,520475000.0,791819000,1888438000,867359000,1517779000,11682000.0,330888000,-1333502000.0,2851281000.0,5349000,281699000,,3080340000,,419020000,255882000,680601000,680601000,2868117000,270112000,18486000,4756555000,1659178000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-31,,174344000,127263000.0,514898000.0,314340000,,33754000,625482000,586735000.0,829248000,1856077000,945421000,1505147000,11423000.0,141923000,-1409699000.0,2914846000.0,13193000,265376000,,2894984000,,403787000,255882000,675423000,675423000,2833642000,334523000,18748000,4689719000,1774669000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,,179072000,144827000.0,518597000.0,285504000,,31140000,526941000,545356000.0,636775000,1810043000,915624000,1542684000,7045000.0,278329000,-1440417000.0,2983101000.0,17243000,256094000,,3080502000,,403203000,255882000,722214000,722214000,2846886000,150768000,19314000,4656929000,1552399000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-31,0.0,169436000,0.0,518269000.0,266795000,,34109000,562620000,527272000.0,834502000,1744136000,878097000,1490151000,20416000.0,115742000,-1439655000.0,2929806000.0,13729000,276730000,,2776345000,0.0,397644000,255882000,669730000,669730000,2767398000,358976000,18987000,4511534000,1712599000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,0.0,165535000,,518347000.0,278734000,,31031000,612660000,504023000.0,1149834000,1985292000,826716000,1526596000,,105668000,-1528106000.0,3054702000.0,20068000,301427000,,2776166000,0.0,408695000,255882000,880953000,880953000,2785065000,611765000,27765000,4770357000,1976550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,159013000,-1000.0,518266000.0,321913000,,30050000,631791000,,986861000,1761610000,794882000,1577352000,,205443000,-1589783000.0,3167135000.0,185741000,315211000,,2877986000,,401745000,255882000,599821000,599821000,2917202000,421481000,102992000,4678812000,1781743000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,16445000,,518246000.0,336337000,,30691000,685282000,537017000.0,1196111000,1557810000,2763973000,4019912000,,154894000,-1642672000.0,5662584000.0,721000,320683000,,2899943000,,306314000,255882000,327500000,327500000,5321847000,293774000,48991000,6879657000,3960084000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
