date,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,quarterlyBasicEPS,quarterlyOperatingIncome,quarterlyResearchAndDevelopment,quarterlyRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyGoodwill,quarterlyInventory,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyChangeInInventory
1984-03-31,,,,,,,,,,,,2333344000.0,,,,,,,9585000000,,,,0.5,9585000000,,,,,,,,,,9585000000,,,,,,,,,,,,,2333344000.0,,,,,,,,1202000000,,,,,,,,,,,,,,,,0.5,,,,,,
1984-06-30,,,,,,,,,,,,2444816000.0,,,,,,,11199000000,,,,0.67,11199000000,,,,,,,,,,11199000000,,,,,,,,,,,,,2444816000.0,,,,,,,,1623000000,,,,,,,,,,,,,,,,0.67,,,,,,
1984-09-30,,,,,,,,,,,,2443336000.0,,,,,,,10657000000,,,,0.65,10657000000,,,,,,,,,,10657000000,,,,,,,,,,,,,2443336000.0,,,,,,,,1585000000,,,,,,,,,,,,,,,,0.65,,,,,,
1984-12-31,1304000000.0,,,,,,,,,,,,,26489000000.0,,,16363000000.0,,-20210000000,,,,,-20210000000,,23486000000.0,,,,,9640000000.0,25998000000.0,20375000000.0,14496000000,,-9635000000.0,,,3269000000.0,8806000000.0,22433000000.0,42808000000.0,,,,,,,1353000000.0,,6679000000.0,,,6598000000.0,2172000000,,2057000000.0,,,,,,,4362000000.0,4362000000.0,,834000000.0,,16319000000.0,,,,6070000000.0,,,,
1985-03-31,,,,,,,,,,,,2450744000.0,,,,,,,9769000000,,,,0.41,9769000000,,,,,,,,,,9769000000,,,,,,,,,,,,,2450744000.0,,,,,,,,986000000,,,,,,,,,,,,,,,,0.41,,,,,,
1985-06-30,,,,,,,,,,,,2450744000.0,,,,,,,11434000000,,,,0.58,11434000000,,,,,,,,,,11434000000,,,,,,,,,,,,,2450744000.0,,,,,,,,1414000000,,,,,,,,,,,,,,,,0.58,,,,,,
1985-09-30,,,,,,,,,,,,2454832000.0,,,,,,,11698000000,,,,0.6,11698000000,,,,,,,,,,11698000000,,,,,,,,,,,,,2454832000.0,,,,,,,,1474000000,,,,,,,,,,,,,,,,0.6,,,,,,
1985-12-31,1303000000.0,,,,,,,,,,,,,31990000000.0,,,19680000000.0,,-21671000000,,,,,-21671000000,,27234000000.0,,,,,11433000000.0,34483000000.0,26070000000.0,17155000000,,-14803000000.0,,,3955000000.0,,26564000000.0,52634000000.0,,,,,,,1606000000.0,,9211000000.0,,,8579000000.0,2681000000,,3650000000.0,,,,,,,5622000000.0,5622000000.0,,,,20644000000.0,,,,6884000000.0,,,,
1986-03-31,,,,,,,,,,,,2461672000.0,,,,,,,10127000000,,,,0.42,10127000000,,,,,,,,,,10127000000,,,,,,,,,,,,,2461672000.0,,,,,,,,1017000000,,,,,,,,,,,,,,,,0.42,,,,,,
1986-06-30,,,,,,,,,,,,2462400000.0,,,,,,,12268000000,,,,0.53,12268000000,,,,,,,,,,12268000000,,,,,,,,,,,,,2462400000.0,,,,,,,,1305000000,,,,,,,,,,,,,,,,0.53,,,,,,
