date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyRetainedEarnings,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2011-12-31,41659000000,,,7918000000.0,10184000000,17163000000,218234000000,0,208050000000,8088000000,5850000000,,-1303000000.0,6615000000,,4246000000,1180000000,1180000000,8630000000,10000000,108000000.0,69000000.0,0.0,20250000000,1945000000,24496000000,176043000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,47164000000,0.0,,,14703000000,19851000000,232358000000,1069000000,217655000000,6778000000,5850000000,0.0,,6668000000,,4548000000,4661000000,4661000000,11383000000,10000000,123000000.0,65000000.0,10627000000.0,12138000000,2589000000,27313000000,184640000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,43804000000,,,8346000000.0,11938000000,12529000000,237060000000,1953000000,225122000000,1064000000,0,,-1509000000.0,6837000000,7017000000.0,4995000000,1940000000,1940000000,4664000000,8000000,188000000.0,0.0,0.0,26197000000,278000000,31275000000,192614000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,47036000000,0.0,,8764000000.0,13825000000,13950000000,245291000000,2065000000,231466000000,933000000,0,0.0,-1625000000.0,7139000000,7729000000.0,5328000000,3627000000,3627000000,5285000000,67000000,193000000.0,0.0,0.0,27318000000,180000000,33086000000,197542000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,48807000000,,,8961000000.0,13192000000,15807000000,251957000000,2116000000,238765000000,1003000000,0,,-1736000000.0,7225000000,8096000000.0,5604000000,2521000000,2521000000,7589000000,75000000,706000000.0,0.0,0.0,26946000000,612000000,33000000000,202350000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,51690000000,0.0,250000000.0,9506000000.0,14109000000,14506000000,258480000000,2171000000,244371000000,1123000000,0,0.0,-1857000000.0,7649000000,7625000000.0,5938000000,3381000000,3131000000,6554000000,77000000,736000000.0,0.0,0.0,30727000000,963000000,37184000000,205997000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,51808000000,,,9650000000.0,13759000000,12394000000,260355000000,2295000000,246596000000,1337000000,0,,-1947000000.0,7703000000,8056000000.0,6105000000,2874000000,2874000000,4201000000,82000000,920000000.0,0.0,0.0,32744000000,275000000,39414000000,207691000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,52561000000,0.0,50000000.0,10039000000.0,13934000000,14150000000,267669000000,2295000000,253735000000,1054000000,0,0.0,-2074000000.0,7965000000,7288000000.0,6476000000,3032000000,2982000000,5546000000,121000000,902000000.0,50000000.0,0.0,31259000000,962000000,38411000000,213533000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,54775000000,,28000000.0,9936000000.0,14941000000,16744000000,272724000000,2389000000,257783000000,1210000000,0,,-1884000000.0,8052000000,7687000000.0,6787000000,4386000000,4358000000,7260000000,127000000,942000000.0,28000000.0,0.0,30474000000,293000000,38031000000,216247000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,54309000000,0.0,3000000.0,10259000000.0,13100000000,20239000000,274438000000,2410000000,261338000000,833000000,0,0.0,-1990000000.0,8269000000,7060000000.0,7315000000,2994000000,2991000000,12155000000,153000000,1278000000.0,3000000.0,0.0,25913000000,592000000,34070000000,218316000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
