date,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyBasicEPS,quarterlyEbitda,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyCostOfRevenue,quarterlyDilutedAverageShares,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1984-03-31,,,137900000,0.001094,137900000,,,,,,,,,,,,,,,137900000,,,,400320000.0,,,,,,,,,12900000,,,,,,,,,,,,,,,,,,,,,,,,0.001094,,,,,,,,,,,,,400320000.0,,,,,,,
1984-06-30,,,155900000,0.0025,155900000,,,,,,,,,,,,,,,155900000,,,,400320000.0,,,,,,,,,16100000,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,400320000.0,,,,,,,
1984-09-30,,,149100000,0.0025,149100000,,,,,,,,,,,,,,,149100000,,,,400832000.0,,,,,,,,,15900000,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,400832000.0,,,,,,,
1984-12-31,,,149400000,,-349000000,106400000.0,,,,,,,262000000.0,79400000.0,304600000.0,,,,,-349000000,350800000.0,,,,,,,,377600000.0,,11100000.0,,15100000,,,9300000.0,,,12100000.0,27000000.0,6400000.0,,,,,,,-185700000.0,103100000.0,6600000.0,,82300000.0,,,73000000.0,,,,118900000.0,,,,484000000.0,,222000000.0,,,66400000.0,66400000.0,,,,,,,,
1985-03-31,,,147700000,0.002188,147700000,,,,,,,,,,,,,,,147700000,,,,401216000.0,,,,,,,,,13900000,,,,,,,,,,,,,,,,,,,,,,,,0.002188,,,,,,,,,,,,,401216000.0,,,,,,,
1985-06-30,,,155700000,0.0025,155700000,,,,,,,,,,,,,,,155700000,,,,401904000.0,,,,,,,,,15600000,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,401904000.0,,,,,,,
1985-09-30,,,144100000,0.002188,144100000,,,,,,,,,,,,,,,144100000,,,,401904000.0,,,,,,,,,12700000,,,,,,,,,,,,,,,,,,,,,,,,0.002188,,,,,,,,,,,,,401904000.0,,,,,,,
1985-12-31,,,148600000,,-365500000,118500000.0,,,,,,,262200000.0,90000000.0,340800000.0,,,,,-365500000,364700000.0,,,,,,,,403400000.0,,10000000.0,,-10800000,,,12000000.0,,,27600000.0,28500000.0,7600000.0,,,,,,,-203800000.0,122700000.0,6500000.0,,83100000.0,,,82400000.0,,,,137000000.0,,,,521900000.0,,259700000.0,,,53800000.0,53800000.0,,,,,,,,
1986-03-31,,,174700000,0.0025,174700000,,,,,,,,,,,,,,,174700000,,,,402896000.0,,,,,,,,,15200000,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,,,402896000.0,,,,,,,
1986-06-30,,,203000000,0.003125,203000000,,,,,,,,,,,,,,,203000000,,,,403184000.0,,,,,,,,,19500000,,,,,,,,,,,,,,,,,,,,,,,,0.003125,,,,,,,,,,,,,403184000.0,,,,,,,
