date,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetPPE,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalAssets,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyDeferredIncomeTax,quarterlyStockBasedCompensation,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyIncomeTaxPayable
1985-09-30,,,,740451136.0,,,,,,,0.07848,,,,,,,392468845,,,,,,,,,,,,,,,,392468845,392468845,,,,,0.07848,,,,,,,,,,109942645,740451136.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,,,,740451136.0,,,,,,,0.076354,,,,,,,381840913,,,,,,,,,,,,,,,,381840913,381840913,,,,,0.076354,,,,,,,,,,106896020,740451136.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-03-31,,,,740000000.0,,,,,,,0.068327,,,,,,,375866827,,,,,,,,,,,,,,,,375866827,375866827,,,,,0.068327,,,,,,,,,,105291907,740000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,0.0,,,,,370000000.0,,57000000.0,,,1090000000.0,,-204085140.0,,,536000000.0,-508600481,,,,,,,,557000000.0,559000000.0,743060790.0,,1221000000.0,,,,-1127600481,301399519,10000000.0,73868100.0,,1803000000.0,,456217230.0,249000000.0,,,582000000.0,144000000.0,,,,87192606,,,5000000.0,,592000000.0,35000000.0,,276000000.0,,,,,,,,106000000.0,,,,703000000.0,-35000000.0,,,,,,
1986-09-30,,,,740000000.0,,,,,,,0.082818,,,,,,,451841205,,,,,,,,,,,,,,,,451841205,451841205,,,,,0.082818,,,,,,,,,,123329805,740000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,,,,740451136.0,,,,,,,0.08117,,,,,,,442919816,,,,,,,,,,,,,,,,442919816,442919816,,,,,0.08117,,,,,,,,,,120876254,740451136.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-03-31,,,,740000000.0,,,,,,,0.093434,,,,,,,463679316,,,,,,,,,,,,,,,,463679316,463679316,,,,,0.093434,,,,,,,,,,138530736,740000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-30,,137777584.0,,,,,370000000.0,,76000000.0,,,1450000000.0,,-152326300.0,,,650000000.0,-522353771,,,,,,,1085122822.0,912000000.0,711000000.0,806023736.0,,1657000000.0,,,,-1279353771,461646229,13000000.0,185091998.0,,2358000000.0,,516914636.0,297000000.0,,,701000000.0,183000000.0,,,,139848378,,,28000000.0,,935000000.0,23000000.0,,288000000.0,,,,,,,,197000000.0,,,,894000000.0,-23000000.0,,,,,,
1987-09-30,,,,740000000.0,,,,,,,0.110495,,,,,,,533137410,,,,,,,,,,,,,,,,533137410,533137410,,,,,0.110495,,,,,,,,,,155920440,740000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,,,,740451136.0,,,,,,,0.096071,,,,,,,463544505,,,,,,,,,,,,,,,,463544505,463544505,,,,,0.096071,,,,,,,,,,135567420,740451136.0,,,,,,,,,,,,,,,,,,,,,,,,,,
