date,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyChangeInAccountPayable,quarterlyDeferredIncomeTax,quarterlyBasicAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyStockholdersEquity,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyDilutedEPS,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyTaxProvision,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyBasicEPS,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyInventory,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2017-09-30,20209000,,-773645000,24929000,6469000,223266330.0,,,,73868000,,-66564000,150891000,-223218000,18708000,60825000,17708000,,,330000,,-10341000,86773000,,,,-0.06933,,67451000,4937000,,-5891000,,,,457258000,,-674371000,-54235000,170542000,-15532000,-14779000,4438000,,,-102000.0,,,,223266330.0,-727964000,,53659000,14300000,,878855000,,-728606000,,,-15479000,-0.06933,,,56866000,,-821432000,-174250000.0,,,,,,,,,
2017-12-31,39000000,53238000.0,-564177000,774651000,-5341000,,6153167000.0,970344000.0,243042000.0,112527000,,-87544000,641952000,104099000,47628000,64856000,36027000,0.0,-503018000.0,-950000,2329604000.0,-13772000,126544000,467372000.0,3823563000.0,118706000.0,,5999524000.0,96287000,-1966000,,-7152000,-53411000.0,2056331000.0,,900763000,1743000.0,-507338000,-57816000,893611000,-13671000,-14250000,478000,3032000.0,52268000.0,-80000.0,189631000.0,8695000.0,201762000.0,,491061000,5101550000.0,73527000,17233000,115382000.0,150891000,46000.0,-565154000,6635744000.0,636220000.0,-16657000,,13839000.0,641952000.0,61395000,843714000.0,-1332857000,164831000.0,,,,,,,,,
2018-03-31,57865000,,-405434000,32465000,-4390000,223266330.0,,,,128696000,,-43837000,325179000,-76441000,36510000,132674000,0,,,0,,46812000,101702000,,,,0.105887,,96578000,3184000,,-4969000,,,,-2560000,,-234904000,-65533000,-7529000,23630000,24691000,22121000,,,-123000.0,,,,223266330.0,-316773000,,70831000,17302000,,641952000,,-300437000,,,23641000,0.105887,,,68560000,,-452485000,-14092000.0,,,,,,,,,
2018-06-30,90166000,70583000.0,-314103000,-64536000,-754000,223266330.0,6303516000.0,1134874000.0,,160396000,,-27700000,142894000,-46944000,35087000,182072000,0,,-418479000.0,-386000,2140724000.0,85328000,117866000,716441000.0,4162792000.0,,0.27,6301504000.0,102194000,-2076000,,-890000,,2057459000.0,,5800000,3812000.0,-138100000,-51223000,4910000,61398000,63023000,22305000,2830000.0,61839000.0,-255000.0,245615000.0,7483000.0,209022000.0,223266330.0,-182285000,5860318000.0,70230000,22723000,,325179000,46000.0,-189323000,7036943000.0,735439000.0,61398000,0.27,9311000.0,142894000.0,74021000,351916000.0,-231917000,6741000.0,,,,,,,,,
2018-09-30,114577000,70327000.0,-188332000,427922000,-14139000,155647686.0,7146869000.0,1015178000.0,,195285000,,-4512000,173588000,23139000,9533000,238797000,24816000,,-329656000.0,-4019000,2158313000.0,130916000,119089000,685568000.0,4988556000.0,,0.570731,7025964000.0,112180000,3197000,,-3936000,,2057962000.0,,-13200000,2986000.0,83037000,-42646000,-80366000,88823000,90448000,40468000,1371000.0,80264000.0,62000.0,252789000.0,52722000.0,142070000.0,155647686.0,30694000,6629225000.0,80708000,24449000,,142894000,46000.0,40391000,7850976000.0,825012000.0,88833000,0.570731,5484000.0,173588000.0,83432000,315658000.0,-710795000,66607000.0,,,,,,,,,
2018-12-31,142600000,117836000.0,-2354755000,225191000,1513000,277179999.0,8200227000.0,5295539000.0,372601000.0,243900000,14471000.0,-31100000,297929000,-2636859000,23770000,254200000,21275000,-79210000.0,-202276000.0,-3084000,2145452000.0,179100000,173700000,5093325000.0,6054775000.0,143194000.0,0.457825,12437781000.0,132100000,9116000,,-8166000,-106328000.0,2057925000.0,-100000.0,4218340000,2237000.0,-2125616000,-26323000,4877873000,126900000,126900000,52200000,1395000.0,80223000.0,-100000.0,266273000.0,17232000.0,2770589000.0,277179999.0,124341000,9289224000.0,101300000,27859000,164463000.0,173588000,62000.0,-2151939000,13293218000.0,855437000.0,126900000,0.457825,761056000.0,297929000.0,75100000,3068518000.0,-2628067000,,,,,,,,,,
2019-03-31,154561000,89865000.0,-679709000,443272000,-5255000,277162337.0,8986526000.0,5295118000.0,463657000.0,239941000,,15642000,86981000,90289000,-1657000,341197000,8132000,,-25127000.0,-550000,1663918000.0,244834000,138919000,5270053000.0,7322608000.0,,0.63,13318382000.0,127459000,231000,,-6148000,-128264000.0,1558736000.0,,-214000,4254000.0,-294847000,-66630000,-6362000,177149000,177036000,67798000,22039000.0,76315000.0,,335393000.0,559704000.0,2660064000.0,282358731.0,-210948000,10481448000.0,85380000,29723000,312717000.0,297929000,62000.0,-361477000,14256132000.0,937750000.0,177149000,0.64,768587000.0,86981000.0,66640000,2747045000.0,-1179451000,,157238000.0,,,,,,,,
2019-06-30,151075000,95648000.0,-2372248000,-201860000,35696000,277366250.0,11142251000.0,5287117000.0,529638000.0,251859000,,-45891000,160635000,-104694000,28938000,322039000,8881000,,146819000.0,-6483000,2936188000.0,209142000,196966000,5433998000.0,8206063000.0,,0.61,15576454000.0,164641000,640000,,-6603000,-153856000.0,2562609000.0,,1619759000,19161000.0,-1883634000,-80058000,2063156000,171946000,171853000,37289000,268728000.0,97134000.0,-529000.0,375782000.0,1140660000.0,2704844000.0,282382438.0,73654000,12571688000.0,100784000,34126000,323404000.0,86981000,62000.0,-1963692000,16575709000.0,999255000.0,171946000,0.62,984298000.0,160635000.0,78771000,2865479000.0,-2160453000,,-18793000.0,,,,,,,,
2019-09-30,175594000,92044000.0,-359189000,-405338000,22518000,277366836.0,11381605000.0,5297439000.0,664086000.0,288089000,,-8707000,245099000,-298122000,28418000,419068000,6129000,,338008000.0,-4419000,2613880000.0,274038000,184301000,5635509000.0,8767725000.0,143194000.0,0.68,15889167000.0,172860000,138000,129208000.0,-218130000,-185190000.0,2032988000.0,11746000.0,19796000,21709000.0,190191000,-215183000,190314000,191189000,191345000,82693000,471465000.0,100455000.0,860000.0,478896000.0,1740825000.0,2829449000.0,282170319.0,84464000,12595589000.0,112495000,43855000,223956000.0,160635000,62000.0,-24992000,17016730000.0,1127563000.0,191189000,0.69,1036051000.0,245099000.0,101175000,3074548000.0,-9712000,,-78658000.0,,,,,,,,
