date,quarterlyTotalAssets,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyNetIncome,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyInvestmentsAndAdvances,quarterlySellingGeneralAndAdministration,quarterlyEndCashPosition,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyOtherIntangibleAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyNetOtherInvestingChanges,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyDilutedEPS,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyTaxProvision,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyBasicAverageShares,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyEbitda,quarterlyTotalNonCurrentAssets,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingExpense,quarterlyDeferredIncomeTax,quarterlyChangeInInventory,quarterlyCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyNonCurrentDeferredRevenue
2016-03-31,77443965000,71815000.0,7738955000.0,71657258000.0,-0.96,-133493000,646878000,54679000.0,232180000,-867918000,6999000,-868080000,6876876000,47945000,2416136000,-164924000.0,147447000,,-106000,38670000.0,-885910000,-298771000,-663202000,35853000.0,65785958000,926813588.0,1053000.0,18539000,-1547000.0,218662000,640366000,922308000.0,1769258000,2416136000.0,-0.96,11648452000,-499843000.0,,-837000.0,,69000.0,,926813588.0,,-868917000.0,-4487982000,-102712000.0,-508642000.0,-868917000.0,,1443573000,-133493000,-29271000,-820972000,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,77716470000,71815000.0,7677337000.0,70942834000.0,-0.32,1999345000,319114000,62868000.0,227225000,-278112000,11306000,-278497000,6689876000,49221000,2735250000,-559000.0,152755000,,-2537000,-6747000.0,-296104000,-295448000,721497000,43306000.0,66154597000,924887316.0,1064000.0,61291000,4749000.0,222303000,1117046000,922308000.0,2416136000,2735250000.0,-0.32,11553215000,-73987000.0,,-76000.0,,1015000.0,,924887316.0,,-278573000.0,-5061565000,0.0,1669016000.0,-278573000.0,,-2401728000,1999345000,-1262000,-229352000,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,86909306000,71815000.0,7858171000.0,76407978000.0,0.7,-1160202000,-353062000,115606000.0,260583000,731216000,8652000,730880000,6775400000,97737000,2382188000,-2550000.0,174154000,,436000,-39356000.0,708413000,-333459000,2148916000,532072000.0,73647503000,1007963406.0,-125451000.0,11553000,10768000.0,288926000,1119677000,1210748000.0,2735250000,2382188000.0,0.7,13253662000,-141449000.0,,-1926000.0,,5865000.0,,1007607893.0,-2550000.0,728954000.0,-4655440000,0.0,-1418675000.0,728954000.0,,-1469265000,-1032713000,-35730000,754115000,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,87905046000,71815000.0,7865015000.0,78368118000.0,1.79,5976046000,-842442000,184319000.0,270400000,1848570000,7804000,1848483000,6790240000,55453000,1539746000,-75536000.0,183396000,,307000,56790000.0,1825097000,-293253000,-4269360000,686400000.0,75329074000,1019251111.0,-46213000.0,9790000,13742000.0,347332000,-1085893000,1210748000.0,2382188000,1539746000.0,1.79,12568180000,-89878000.0,414399000.0,1244000.0,-34221000.0,98000.0,,1018886380.0,-536000.0,1849727000.0,-3136017000,0.0,5563959000.0,1849727000.0,-46678000.0,-2595806000,6022724000,32903000,1905180000,448620000.0,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,84658957000,71815000.0,7677676000.0,75436692000.0,0.41,170389000,-720325000,161378000.0,266887000,440511000,6905000,440408000,6615912000,53828000,819421000,-42214000.0,198425000,,-849000,3470000.0,417038000,-329147000,2535198000,663683000.0,72011608000,1019307379.0,-96917000.0,70220000,3294000.0,343856000,-1126091000,1210749000.0,1539746000,819421000.0,0.41,12640026000,-213204000.0,,977000.0,,101000.0,,1018942746.0,-1700000.0,441385000.0,-3024670000,0.0,-248216000.0,441385000.0,-7210000.0,-3433122000,177599000,-46139000,495213000,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,84976578000,71815000.0,7536028000.0,76409530000.0,-0.01,-242738000,-118729000,84948000.0,263217000,14624000,6792000,14522000,6280524000,54023000,700692000,-17733000.0,222281000,,364000,-69581000.0,-8849000,-329164000,258330000,634368000.0,72367153000,1019000817.0,91144000.0,97921000,5181000.0,270668000,-850767000,1210749000.0,819421000,700692000.0,-0.01,12602514000,-161624000.0,,-329000.0,,1048000.0,,1019000817.0,-17733000.0,14193000.0,-3339228000,0.0,-616536000.0,14193000.0,-2790000.0,-137111000,-239948000,-76550000,68216000,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,97574181000,71815000.0,7383071000.0,93034551000.0,0.31,5015799000,167148000,121231000.0,293207000,367547000,6713000,367315000,6289906000,57016000,867840000,-5580000.0,268937000,,-515000,90773000.0,337192000,-327763000,-8219310000,595960000.0,83418963000,1073040637.0,852000.0,20811000,-25797000.0,352842000,-640149000,1731262000.0,700692000,867840000.0,0.31,14148758000,-150764000.0,,1371000.0,,127000.0,,1072566395.0,-3086000.0,368686000.0,-3320160000,-185312000.0,4456536000.0,368686000.0,-1081000.0,3369578000,5016880000,99642000,425702000,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,101760050000,71815000.0,7118985000.0,94320003000.0,0.62,1977296000,-161251000,253068000.0,323526000,746922000,6140000,746771000,5781474000,59257000,706589000,-36823000.0,318711000,,384000,113761000.0,714588000,-367098000,-9240166000,604080000.0,86888477000,1152138887.0,1459000.0,45638000,-34880000.0,460838000,-1126020000,1731977000.0,867840000,706589000.0,0.62,14865473000,-832539000.0,393051000.0,4963000.0,-48920000.0,130000.0,843452000.0,1151653296.0,-21077000.0,751734000.0,-2961749000,0.0,1575113000.0,751734000.0,-412000.0,7101207000,1977708000,50537000,810991000,441971000.0,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,100382233000,71815000.0,7044742000.0,,1.12,1332667000,277686000,,326989000,1327800000,5822000,1327704000,5823305000,62510000,984275000,-3949050000.0,367421000,,-333000,-101282000.0,1294034000,-381642000,-945942000,617326000.0,86439298000,1160103185.0,2564000.0,2813000,-2963000.0,358960000,-3000080000,1734765000.0,706589000,984275000.0,1.12,13937264000,-1299595717000.0,480063000.0,564000.0,-52723000.0,,412081000.0,1159617848.0,,1328268000.0,-2015612000,-412500000.0,944009000.0,,-249000.0,-109288000,1332916000,-146606000,1390778000,442402000.0,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,98832997000,71815000.0,6799057000.0,,0.49,957002000,151054000,,323769000,595919000,7085000,595887000,5928673000,63781000,1135329000,-3824753000.0,442692000,,-373000,190380000.0,564542000,-379274000,2019530000,618208000.0,85059141000,1160979451.0,,1320000,3722000.0,547258000,-3434447000,1734811000.0,984275000,1135329000.0,0.49,13768590000,-1430569595000.0,477887000.0,3262000.0,,,48963000.0,1160436777.0,,599149000.0,-1800370000,0.0,278770000.0,,-132000.0,-2825610000,957134000,138007000,662930000,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,105961803000,103043000.0,8419677000.0,,0.29,733107000,-52582000,,1614118000,385578000,50932000,385429000,4210466000,126509000,1082747000,-10023336000.0,500973000,,-74000,35218000.0,353903000,-644473000,-1493063000,588833000.0,91005947000,1202353851.0,,1301000,-9227000.0,2905033000,-3822956000,1791199000.0,1135329000,1082747000.0,0.29,14949994000,-1138547216000.0,,-7242000.0,,,1070646000.0,1202353851.0,,378187000.0,-1811955000,0.0,-1349960000.0,,,707374000,733107000,87947000,504696000,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,105787527000,100854000.0,8041429000.0,,-1.74,-401139000,653002000,,426144000,-2254889000,8525000,-2254872000,3290466000,77073000,1735749000,0.0,586774000,,-1263000,171324000.0,-2287383000,-135497000,-488945000,557813000.0,91669726000,1314377748.0,,20794000,-11095000.0,1153964000,-1979865000,1791306000.0,1082747000,1735749000.0,-1.74,14112112000,-1249624965000.0,,1041000.0,,,666000.0,1314377748.0,0.0,-2253831000.0,-4493660000,0.0,-2777000.0,,,1543086000,-401139000,109550000,-2173262000,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,119172549000,98551000.0,8348775000.0,,-0.63,-942097000,-213144000,,1965181000,-849150000,7072000,-849251000,3547577000,83737000,1522605000,-18499451000.0,647695000,,-2142000,-146537000.0,-881644000,-426819000,-7903991000,500745000.0,103391105000,1398614205.0,,241000,-29491000.0,5187767000,-319376000,1792649000.0,1735749000,1522605000.0,-0.63,15776217000,-1404633044000.0,,2581000.0,,,1319709000.0,1398614205.0,,-846670000.0,-5809931000,0.0,-4253000.0,,,8632944000,-942097000,-264632000,-757230000,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,131800776000,96591000.0,8096929000.0,,-1.24,-743993000,459706000,,446262000,-1776330000,9466000,-1776413000,2596570000,78408000,1982311000,-25325200000.0,750217000,,-3161000,266936000.0,-1808752000,-466570000,-15111879000,425328000.0,116093369000,1456038736.0,,15000,-45792000.0,1312111000,1365003000,2124908000.0,1522605000,1982311000.0,-1.24,15702681000,-1380791927000.0,,-5915000.0,,,468170000.0,1456038736.0,,-1782328000.0,-7982649000,-55000000.0,-16416000.0,,,16315578000,-743993000,315539000,-1703920000,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,128956120000,94904000.0,8807769000.0,,-0.54,-709303000,-188390000,,676973000,-747059000,7569000,-747169000,2786178000,66138000,1793921000,,766905000,,-906000,-125530000.0,-783210000,-400602000,3250321000,386051000.0,113732416000,1453359211.0,,1719000,-17676000.0,811423000,2313815000,1996406000.0,1982311000,1793921000.0,-0.54,15219296000,2783621259000.0,,-6907000.0,,,41146000.0,1453359211.0,,-754076000.0,-9125895000,-330304000.0,44826000.0,,,-2729408000,-709303000,-160350000,-684434000,,,,,,,,,,,,,,,,,,,,,,,
