date,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyCapitalStock,quarterlyChangeInAccountPayable,quarterlyBeginningCashPosition,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingExpense,quarterlyAccountsPayable,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2004-03-31,,-0.48,,,,,,2359900000,-29600000,,,,,166400000,221200000.0,-84600000,-84800000,-106700000,,-1800000,168200000,-70500000,,,,,160000000.0,,127700000,-19100000.0,,,,-139200000,-200000,65200000,,1800000.0,,221200000.0,,,,197800000,278900000,,194000000,,,,-0.48,2600000.0,-38600000.0,,4900000,,,17000000.0,0.0,212600000,-150200000,26400000,6600000,,-79700000,,,2638800000,,,,84900000,126000000,-55800000,-83400000,,
2004-06-30,,-0.94,,,,,,2420000000,8400000,,,,,163800000,220500000.0,-184500000,-185400000,-207300000,,-2100000,187100000,-33900000,,,,,,,151600000,7300000.0,,,,91000000,-9200000,-67100000,,,,220500000.0,,,,168200000,334000000,,364700000,,,,-0.94,-1000000.0,-400400000.0,,5500000,,,111600000.0,400000000.0,120900000,36200000,22800000,11700000,,-178300000,,,2754000000,,,,-30700000,-85100000,-38400000,129400000,,
2004-09-30,,0.1,,,,,,2566800000,44400000,,,,,150800000,220500000.0,46500000,43700000,21800000,,3100000,221000000,-56300000,,,0.0,,,,131000000,-7600000.0,,,,-40900000,-13400000,-95800000,,,,220500000.0,,,,187100000,368000000,,202100000,,,,0.1,2100000.0,-1300800000.0,,-36100000,,,73800000.0,-400000000.0,296900000,-162400000,22400000,-74100000,,10600000,,,2934800000,,,,165900000,87300000,-50800000,9900000,,
2004-12-31,6262000000.0,,0.0,6237400000.0,9436500000.0,782100000.0,1540400000.0,2761300000,22200000,745300000.0,7928700000.0,,,213800000,,-5700000,-1200000,-23100000,217900000.0,-255000000,243200000,-69300000,1253900000.0,243200000.0,,243200000.0,,37500000.0,126500000,,9781700000.0,803100000.0,248900000.0,43300000,-12700000,-61200000,95800000.0,,,,,195700000.0,,221000000,414900000,181000000.0,-63900000,1022600000.0,,-382000000.0,,-12300000.0,,-2217800000.0,-3400000,5150900000.0,,88600000.0,5400000.0,605300000,2400000,11500000,-8700000,,-3000000,-1471200000.0,,3176200000,7368700000.0,3199100000.0,1853000000.0,478800000,-44700000,-81600000,124900000,,
2005-03-31,4868800000.0,-0.45,0.0,6094500000.0,9686000000.0,639800000.0,1781800000.0,2772300000,12900000,810900000.0,5890800000.0,,,161700000,221200000.0,-56400000,-56400000,-99500000,211100000.0,-289300000,256400000,-64400000,1381100000.0,256400000.0,,256400000.0,139600000.0,27500000.0,125900000,,7988000000.0,808700000.0,239700000.0,139700000,-98800000,-115100000,102800000.0,,,221200000.0,,289700000.0,,243500000,590600000,118000000.0,230700000,1415500000.0,,1653400000.0,-0.45,-9300000.0,,-2290400000.0,32100000,5004900000.0,,29400000.0,1489100000.0,485800000,-160800000,24300000,17000000,,-24300000,-1527600000.0,,3362900000,7295300000.0,3591500000.0,2097200000.0,359900000,-119900000,-59800000,199500000,,
2005-06-30,4628600000.0,0.48,0.0,5873400000.0,9081700000.0,632100000.0,1520000000.0,2830000000,-4900000,807800000.0,5646700000.0,,,180000000,220500000.0,153100000,112700000,112700000,210300000.0,-20800000,251500000,-113400000,1311200000.0,251500000.0,,251500000.0,101100000.0,78000000.0,123500000,,7373900000.0,792800000.0,230900000.0,186500000,-1500000,35200000,79200000.0,,,233000000.0,,289700000.0,,256400000,509500000,14400000.0,205600000,1002700000.0,,1663900000.0,0.51,-3700000.0,,-2388300000.0,29000000,4808400000.0,,,3600000.0,427400000,-21400000,25600000,11100000,,182000000,-1414900000.0,,3339500000,7196700000.0,3208300000.0,1727200000.0,303900000,-143300000,-68900000,255400000,,
2005-09-30,4396800000.0,-0.14,0.0,5724100000.0,8787600000.0,669600000.0,1407700000.0,2729200000,-51400000,733700000.0,5396100000.0,,,172600000,220500000.0,-29200000,-29800000,-29800000,265600000.0,-116700000,200100000,-46800000,1335200000.0,200100000.0,-3600000.0,200100000.0,101100000.0,43900000.0,123500000,7200000.0,7131300000.0,746700000.0,217500000.0,225200000,-13300000,-30000000,44100000.0,,,220500000.0,,289700000.0,,251500000,392600000,-9700000.0,194800000,1007700000.0,,1611200000.0,-0.14,19000000.0,,-2388300000.0,7700000,4693200000.0,,,-3600000.0,321300000,9700000,22100000,39700000,,-19900000,-1444800000.0,,3121800000,7081500000.0,3063500000.0,1735200000.0,197800000,-306400000,-73300000,298500000,,
2005-12-31,4413300000.0,,0.0,5774500000.0,8870500000.0,747200000.0,1482600000.0,2890100000,-57000000,770200000.0,5441800000.0,,,165800000,,-33000000,-61000000,-61000000,258300000.0,-64900000,142800000,-244600000,1309200000.0,142800000.0,-3600000.0,142800000.0,85100000.0,44600000.0,127900000,,7329500000.0,729600000.0,307500000.0,84000000,-42200000,13000000,84000000.0,,,,,289700000.0,,200100000,260900000,-43100000.0,187600000,1093500000.0,,1520600000.0,,-29900000.0,,-2588300000.0,-45300000,4643200000.0,,,2800000.0,201200000,167000000,23500000,-70900000,,-78100000,-1505800000.0,,3151000000,7231500000.0,3096000000.0,1887700000.0,73300000,-33400000,-136700000,220700000,,
2006-03-31,4465900000.0,0.3,39200000.0,5809700000.0,8827100000.0,589800000.0,1359500000.0,2809300000,7500000,771000000.0,5507900000.0,,91200000.0,175800000,220600000.0,69500000,69000000,69000000,271000000.0,-10200000,150300000,-109100000,1311000000.0,150300000.0,-3600000.0,150300000.0,86800000.0,43900000.0,117000000,-17100000.0,7177300000.0,824800000.0,208700000.0,-23800000,8200000,-12700000,122000000.0,3600000.0,,233100000.0,,289700000.0,,142800000,378400000,-19300000.0,203100000,994000000.0,,1622400000.0,0.31,0.0,,-2588300000.0,8400000,4585600000.0,,300000.0,,292300000,-123900000,27300000,7300000,,78300000,-1438200000.0,,3187700000,7173900000.0,3017400000.0,1669400000.0,175300000,37000000,-104100000,80300000,,
2006-06-30,4258700000.0,1.13,0.0,5805400000.0,9443000000.0,659200000.0,1701100000.0,2885700000,49800000,923200000.0,5471200000.0,,91300000.0,87600000,220600000.0,212700000,262900000,262900000,289300000.0,-12700000,200100000,-77200000,1545600000.0,200100000.0,-3600000.0,200100000.0,94600000.0,173400000.0,117500000,2700000.0,7476100000.0,744200000.0,203200000.0,136000000,-2000000,35800000,63700000.0,3600000.0,,233200000.0,,289700000.0,,150300000,458200000,32000000.0,113600000,1134000000.0,,1939200000.0,1.19,-168900000.0,,-2588300000.0,24300000,4646400000.0,,24500000.0,,462100000,-35700000,26000000,11100000,,237300000,-1175300000.0,,3343900000,7234700000.0,3637600000.0,2004900000.0,344600000,-115000000,-107200000,243200000,,
