date,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyDilutedAverageShares,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccumulatedDepreciation,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetPPE,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyBasicAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDilutedEPS,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlySellingGeneralAndAdministration,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
2013-03-31,,21027000,,112044000,4557000,16250000.0,,-7488000,,,,,-1968000.0,,,7362000,,10098000,-189426000,,46891000,,31946000,20317000,,,,14660000,4952000,4952000,,-10353000,717000,,22463000,,7681000,-169109000,,,,,16250000.0,,,-0.024308,-395000,,,,,-691000.0,95781000,,23843000,-395000,-395000,,,-0.024308,,8103000,9183000,,-41402000,,-5000,-77382000,10674000,,,,,,,,
2013-06-30,,10674000,,99316000,13911000,16250000.0,,-4807000,,,,,8597000.0,,,4216000,,9789000,-174729000,,55105000,,34462000,22157000,,,,18843000,6213000,6213000,,1596000,-4104000,,31920000,,8094000,-152572000,,,,,16250000.0,,,0.473723,7698000,,,,,5034000.0,91446000,,28520000,7698000,7698000,,,0.473723,,5942000,9677000,,-31534000,,4857000,-75413000,12271000,,,,,,,,
2013-09-30,,12271000,,37640000,-1000000,16250000.0,,-7705000,,,,,3371000.0,,,5422000,,10000000,-171845000,,123004000,,28000000,15526000,,,,9000000,-1165000,1000000,,4757000,387000,,19225000,,10225000,-156319000,,,,,16250000.0,,,-0.123077,-2000000,,,,,-343000.0,89773000,,21000000,-2000000,-2000000,,,-0.123077,,7000000,12000000,,-21064000,,0,-134205000,17000000,,,,,,,,
2013-12-31,0.0,17000000,0.0,5105000,11111000,,0.0,-2192000,1878000.0,26580000.0,26580000.0,-91600000.0,-3116000.0,,,2265000,42489000.0,11637000,-111251000,370251000.0,88224000,,47796000,28193000,2389352000.0,-15504000.0,2297752000.0,22862000,8337000,8337000,10368000.0,9552000,1741000,,36175000,1474322000.0,12928000,-83058000,,55260000.0,239592000.0,454313000.0,,30051000.0,,,-358000,2393359000.0,2632951000.0,,66597000.0,16206000.0,48344000,1928635000.0,39156000,2774000,-358000,1429370000.0,,,16052000.0,8640000,16294000,203072000.0,-31180000,4300000.0,-114000,-106146000,26580000,,,,,,,,
2014-03-31,0.0,26580000,0.0,-2837000,11342000,16250000.0,,-13232000,2585000.0,35992000.0,35992000.0,,-9072000.0,,,-408000,28919000.0,18748000,-65001000,390271000.0,48882000,,59498000,28784000,2149740000.0,-24875000.0,2149740000.0,30066000,5996000,5996000,9101000.0,9412000,1530000,,46526000,1453726000.0,16320000,-36217000,,57566000.0,409061000.0,445008000.0,16250000.0,43009000.0,,0.11,1726000,2245251000.0,2654312000.0,,60699000.0,-1454000.0,82826000,1898734000.0,48282000,5346000,1726000,1395409000.0,,0.11,12885000.0,11216000,18216000,357742000.0,-35460000,6100000.0,24000,-67838000,35992000,,,,,,,,
2014-06-30,0.0,35992000,0.0,-34613000,26860000,16250000.0,,-5486000,11690000.0,107095000.0,107095000.0,,-7554000.0,,,8729000,37517000.0,23619000,-25473000,396037000.0,73917000,,86724000,55791000,2251847000.0,-26492000.0,2251847000.0,50411000,4691000,4691000,13376000.0,71103000,1558000,,69240000,1896161000.0,18645000,30318000,,85874000.0,527990000.0,501897000.0,16250000.0,40671000.0,,1.364246,22169000,2347358000.0,2875348000.0,,63308000.0,2493000.0,279600000,2398058000.0,71239000,22169000,22169000,1839241000.0,,1.364246,22130000.0,15485000,20828000,63039000.0,-200197000,5600000.0,68000,-60086000,107095000,,,,,,,,
2014-09-30,,107095000,0.0,195450000,26000000,18700000.0,,-348282000,5000000.0,118000000.0,118000000.0,,-1374000.0,,,-14321000,25000000.0,26000000,-19526000,76000000.0,88201000,,89000000,37425000,2211000000.0,-1000000.0,2211000000.0,52000000,2313000,2000000,16000000.0,10485000,4912000,,72035000,1863000000.0,20035000,17899000,,0.0,374000000.0,166000000.0,18700000.0,17000000.0,,0.17,3000000,2401000000.0,2775000000.0,,70000000.0,-2039000.0,-1426000,2029000000.0,75000000,24000000,3000000,1781000000.0,48000000.0,0.17,14000000.0,14000000,23000000,60000000.0,-343000,6000000.0,0,-112076000,118000000,,,,,,,,
2014-12-31,,118000000,0.0,-32000000,4000000,,0.0,-2000000,8000000.0,97000000.0,97000000.0,-164000000.0,12000000.0,,,28000000,15000000.0,25000000,-20000000,78000000.0,-19000000,0.0,66000000,50000000,2334000000.0,-3000000.0,2170000000.0,29000000,-1000000,3000000,18000000.0,-21000000,1000000,,50000000,1853000000.0,21000000,30000000,,0.0,370000000.0,163000000.0,,22000000.0,,,0,2357000000.0,2727000000.0,,63000000.0,7000000.0,-1000000,2016000000.0,51000000,1000000,0,1758000000.0,56000000.0,,21000000.0,15000000,22000000,25000000.0,-16000000,8000000.0,0,-52000000,97000000,,,,,,,,
2015-03-31,,98000000,0.0,215000000,10000000,18700000.0,-292000000.0,-35000000,10000000.0,52000000.0,52000000.0,-406000000.0,-6000000.0,,246000000.0,-18000000,23000000.0,23000000,-42000000,78000000.0,59000000,,74000000,15000000,2545000000.0,-6000000.0,2545000000.0,31000000,1000000,1000000,15000000.0,-46000000,-1000000,,56000000,2165000000.0,23000000,-27000000,,,172000000.0,151000000.0,18700000.0,26000000.0,-292000000.0,0.08,2000000,2756000000.0,2928000000.0,,81000000.0,-2000000.0,-10000000,2316000000.0,58000000,9000000,2000000,1802000000.0,55000000.0,0.08,12000000.0,16000000,27000000,33000000.0,-18000000,,2000000,-119000000,52000000,,,,,,,,
2015-06-30,,52000000,0.0,18000000,28000000,20100000.0,-424000000.0,-56000000,11000000.0,100000000.0,100000000.0,-713000000.0,-3000000.0,,,4000000,18000000.0,26000000,-32000000,414000000.0,412000000,,107000000,66000000,3200000000.0,-3000000.0,3200000000.0,50000000,6000000,5000000,20000000.0,43000000,-4000000,,91000000,2414000000.0,37000000,34000000,,,225000000.0,501000000.0,20100000.0,23000000.0,-424000000.0,0.16,4000000,3494000000.0,3719000000.0,45000000.0,95000000.0,-1000000.0,25000000,2915000000.0,84000000,23000000,4000000,1869000000.0,59000000.0,0.16,25000000.0,23000000,34000000,51000000.0,-19000000,,4000000,-438000000,100000000,,,,,,,,
2015-09-30,,100000000,0.0,15000000,17000000,22600000.0,,-412000000,13000000.0,696000000.0,696000000.0,-707000000.0,3000000.0,,,-8000000,17000000.0,28000000,-11000000,98000000.0,560000000,213000000.0,103000000,36000000,3147000000.0,-7000000.0,3147000000.0,46000000,2000000,3000000,27000000.0,596000000,-4000000,,76000000,2367000000.0,30000000,25000000,,,811000000.0,169000000.0,22600000.0,25000000.0,0.0,0.05,1000000,3406000000.0,4217000000.0,18000000.0,90000000.0,1000000.0,706000000,2536000000.0,81000000,14000000,1000000,1824000000.0,52000000.0,0.05,13000000.0,22000000,35000000,48000000.0,-28000000,,-1000000,4000000,696000000,,,,,,,,
2015-12-31,,696000000,0.0,-30000000,44000000,30600000.0,,-205000000,4000000.0,161000000.0,161000000.0,-482000000.0,8000000.0,696000000.0,,39000000,35000000.0,38000000,-40000000,113000000.0,580000000,24000000.0,174000000,123000000,4682000000.0,-6000000.0,4200000000.0,84000000,6000000,10000000,49000000.0,-538000000,3000000,,133000000,4289000000.0,51000000,83000000,622000000.0,,342000000.0,241000000.0,30600000.0,456000000.0,,0.163399,4000000,5750000000.0,6092000000.0,22000000.0,49000000.0,-4000000.0,52000000,4530000000.0,139000000,34000000,4000000,3334000000.0,40000000.0,0.163399,28000000.0,35000000,55000000,72000000.0,-426000000,13000000.0,-2000000,-1236000000,161000000,,,,,,,,
2016-03-31,,163000000,0.0,-52000000,-17000000,34500000.0,-325000000.0,-65000000,15000000.0,133000000.0,133000000.0,,-12000000.0,691000000.0,,-30000000,28000000.0,86000000,-12000000,116000000.0,308000000,292000000.0,165000000,49000000,4707000000.0,-5000000.0,4707000000.0,73000000,-5000000,-3000000,228000000.0,-30000000,-8000000,,115000000,4513000000.0,46000000,37000000,628000000.0,,380000000.0,408000000.0,34500000.0,312000000.0,,0.14,5000000,6320000000.0,6700000000.0,17000000.0,53000000.0,-2000000.0,10000000,4921000000.0,123000000,-14000000,5000000,3429000000.0,49000000.0,0.14,20000000.0,42000000,50000000,92000000.0,-45000000,,-4000000,-389000000,133000000,,,,,,,,
2016-06-30,,133000000,0.0,30000000,19000000,42100000.0,1000000.0,-317000000,19000000.0,244000000.0,244000000.0,,0.0,687000000.0,,15000000,17000000.0,77000000,-15000000,82000000.0,-2000000,11000000.0,171000000,96000000,4677000000.0,-5000000.0,4677000000.0,75000000,-8000000,-9000000,412000000.0,111000000,-23000000,,142000000,4394000000.0,46000000,81000000,628000000.0,,460000000.0,572000000.0,42100000.0,156000000.0,,0.19,8000000,6276000000.0,6736000000.0,9000000.0,55000000.0,-3000000.0,3000000,4966000000.0,126000000,28000000,8000000,3497000000.0,34000000.0,0.19,29000000.0,45000000,51000000,92000000.0,-54000000,,21000000,16000000,244000000,,,,,,,,
2016-09-30,,244000000,0.0,-281000000,152000000,44300000.0,-317000000.0,-107000000,22000000.0,133000000.0,133000000.0,,2000000.0,683000000.0,,-5000000,15000000.0,41000000,-249000000,78000000.0,634000000,342000000.0,186000000,102000000,5098000000.0,-4000000.0,5098000000.0,79000000,28000000,25000000,317000000.0,-112000000,-112000000,,252000000,4741000000.0,59000000,-147000000,628000000.0,,628000000.0,459000000.0,44300000.0,151000000.0,,0.62,27000000,6741000000.0,7369000000.0,10000000.0,61000000.0,,254000000,5200000000.0,135000000,127000000,27000000,3586000000.0,37000000.0,0.62,20000000.0,51000000,56000000,91000000.0,-55000000,,114000000,-847000000,133000000,,,,,,,,
