date,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyEbitda,quarterlyNetOtherInvestingChanges,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyCurrentAssets,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyDilutedEPS,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyInventory,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyResearchAndDevelopment
1994-03-31,,,,,,,,,,,19.641375,,3327954000.0,,,,,,,,,,,,,,,,,,,,,,,3327954000.0,3327954000.0,618000000.0,,,,,279344000.0,281358500.0,,,,19.641375,,,,,,,,,,,,,,,618000000.0,,,,,,,279344000.0,,,,,,,
1994-06-30,,,,,,,,,,,19.641375,,3327954000.0,,,,,,,,,,,,,,,,,,,,,,,3327954000.0,3327954000.0,618000000.0,,,,,279344000.0,281358500.0,,,,19.641375,,,,,,,,,,,,,,,618000000.0,,,,,,,279344000.0,,,,,,,
1994-09-30,,,,,,,,,,,19.641375,,3327954000.0,,,,,,,,,,,,,,,,,,,,,,,3327954000.0,3327954000.0,618000000.0,,,,,279344000.0,281358500.0,,,,19.641375,,,,,,,,,,,,,,,618000000.0,,,,,,,279344000.0,,,,,,,
1994-12-31,,,,14973778500.0,1051569000.0,,,1201985000.0,,,,11003199000.0,-7735680000.0,,,,,,,,,,,3060025500.0,,16009231500.0,,6559883500.0,,10504946000.0,19135735500.0,,,,,-7735680000.0,3327282500.0,,-4468832500.0,6578685500.0,,,280015500.0,282030000.0,1672706500.0,,,,,,,,4908665000.0,12367015500.0,,190034500.0,,4771007500.0,4771007500.0,,,,,,335750000.0,,,,33680425500.0,280015500.0,2612806500.0,17671194000.0,,4553441500.0,22195761000.0,,
1995-03-31,,,,,,,,,,,13.748963,,1925862000.0,,,,,,,,,,,,,,,,,,,,,,,1925862000.0,1925862000.0,618000000.0,,,,,205479000.0,205479000.0,,,,13.748963,,,,,,,,,,,,,,,618000000.0,,,,,,,205479000.0,,,,,,,
1995-06-30,,,,,,,,,,,12.798923,,1792786800.0,,,,,,,,,,,,,,,,,,,,,,,1792786800.0,1792786800.0,618000000.0,,,,,191280600.0,191280600.0,,,,12.798923,,,,,,,,,,,,,,,618000000.0,,,,,,,191280600.0,,,,,,,
1995-09-30,,,,,,,,,,,13.032338,,1825482000.0,,,,,,,,,,,,,,,,,,,,,,,1825482000.0,1825482000.0,618000000.0,,,,,194769000.0,194769000.0,,,,13.032338,,,,,,,,,,,,,,,618000000.0,,,,,,,194769000.0,,,,,,,
1995-12-31,,,,11080560500.0,809025000.0,,,694991000.0,,,,9129654500.0,-4631207500.0,,,,,,,,,,,4362571000.0,,10887165000.0,,5860423000.0,,7725033000.0,10586670000.0,,,,,-4631207500.0,3364271000.0,,-3355527500.0,4705443500.0,,,358785000.0,358785000.0,1164996000.0,,,,,,,,3723826500.0,5792619000.0,,88607500.0,,2765324500.0,2765324500.0,,,,,,2388550000.0,,,,24741525500.0,358785000.0,1332194500.0,13854360500.0,,4797133000.0,14949241000.0,,
1996-03-31,,,,,,,,,,,-0.683236,,2182076000.0,,,,,,,,,,,,,,,,,,,,,,,2182076000.0,2182076000.0,618000000.0,,,,,-422240000.0,-422240000.0,,,,-0.683236,,,,,,,,,,,,,,,618000000.0,,,,,,,-422240000.0,,,,,,,
1996-06-30,,,,,,,,,,,-0.376547,,2339946000.0,,,,,,,,,,,,,,,,,,,,,,,2339946000.0,2339946000.0,618000000.0,,,,,-232706000.0,-232706000.0,,,,-0.376547,,,,,,,,,,,,,,,618000000.0,,,,,,,-232706000.0,,,,,,,
