date,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicAverageShares,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyCurrentAccruedExpenses,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyOtherNonCurrentLiabilities,quarterlyInventory,quarterlyNetOtherInvestingChanges,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation
2011-09-30,,,66000000,783000000,,578504146.0,,2022000000,,0.065687,,,21000000,-100000000,-188000000,,,,,578504146.0,,-26000000,,,-188000000,-180000000,,203000000,,,-12000000.0,,,120000000,,0,,,60000000,,38000000,,,83000000,69000000,2165000000,169000000,53000000,,866000000,,,2000000,-161000000,1689000000,-33000000,,1299000000,-38000000,,,,0.065687,,,,45000000,,38000000,663000000,,,,,,,
2011-12-31,,,124000000,3407000000,,,,1689000000,,,,,41000000,-101000000,-695000000,,,,,,,-88000000,,,-688000000,-708000000,,236000000,,,-16000000.0,,,119000000,,-7000000,,,-59000000,,73000000,,,117000000,9000000,2225000000,110000000,-68000000,,939000000,,,0,-123000000,1056000000,-7000000,,1286000000,10000000,,,,,,,,83000000,,73000000,703000000,,,,,,,
2012-03-31,,-30000000.0,58000000,2086000000,,,,1056000000,,,,149000000.0,19000000,-84000000,-101000000,,,,,,,138000000,,,-95000000,119000000,,163000000,,,-6000000.0,9000000.0,,119000000,,-6000000,,,1000000,,32000000,,,44000000,251000000,2130000000,335000000,-23000000,,866000000,,,0,-115000000,1194000000,5000000,,1264000000,12000000,0.0,,,,,,,39000000,,32000000,703000000,,,,,,,
2012-06-30,2461000000.0,-10000000.0,-2625000000,2079000000,1133000000.0,,1133000000.0,1194000000,,,3274000000.0,18000000.0,-418000000,-90000000,-22000000,-2310000000.0,106000000.0,,5584000000.0,,4171000000.0,77000000,284000000.0,,-22000000,-45000000,115000000.0,180000000,,,-229000000.0,17000000.0,,125000000,2467000000.0,0,3115000000.0,1704000000.0,57000000,996000000.0,-2218000000,13090000000.0,9975000000.0,55000000,147000000,2134000000,237000000,49000000,1126000000.0,861000000,288000000.0,246000000.0,69000000,-260000000,1133000000,-2697000000,1369000000.0,1273000000,10000000,0.0,155000000.0,8919000000.0,,926000000.0,386000000.0,,-2207000000,2588000000.0,-2218000000,681000000,,,,,,,
2012-09-30,2581000000.0,,-111000000,835000000,1010000000.0,578504146.0,1010000000.0,1133000000,,-0.159031,3302000000.0,,-28000000,-64000000,244000000,,552000000.0,,,578504146.0,4141000000.0,-116000000,277000000.0,,255000000,-137000000,772000000.0,89000000,,,-2000000.0,,,125000000,2442000000.0,-11000000,3126000000.0,1699000000.0,13000000,980000000.0,-92000000,13335000000.0,10209000000.0,-36000000,-151000000,2133000000,-87000000,-70000000,1145000000.0,799000000,772000000.0,,0,-294000000,1010000000,-86000000,,1334000000,-21000000,,690000000.0,9194000000.0,-0.159031,927000000.0,413000000.0,,-83000000,2629000000.0,-92000000,710000000,,,,,,,
2012-12-31,2637000000.0,,1407000000,2150000000,741000000.0,578504146.0,741000000.0,1010000000,,2.418306,3315000000.0,,-4000000,-77000000,1617000000,,563000000.0,,,578504146.0,4124000000.0,-270000000,244000000.0,,1852000000,-269000000,661000000.0,300000000,,,-1000000.0,18000000.0,,129000000,2312000000.0,0,3164000000.0,1812000000.0,-1268000000,990000000.0,1399000000,16561000000.0,13397000000.0,171000000,15000000,2321000000,92000000,-139000000,3172000000.0,969000000,782000000.0,,26000000,-1978000000,741000000,1218000000,1656000000.0,1352000000,32000000,,767000000.0,12437000000.0,2.418306,1030000000.0,417000000.0,,1411000000,3710000000.0,1399000000,669000000,,,,,,,
2013-03-31,3296000000.0,-4000000.0,337000000,2155000000,1539000000.0,578504146.0,1539000000.0,741000000,,0.558337,3221000000.0,126000000.0,5000000,-86000000,-198000000,,550000000.0,,,578504146.0,4388000000.0,279000000,259000000.0,,-189000000,797000000,763000000.0,169000000,,,-7000000.0,25000000.0,,144000000,2493000000.0,-9000000,3851000000.0,1895000000.0,-314000000,1047000000.0,323000000,16954000000.0,13103000000.0,25000000,329000000,2180000000,415000000,243000000,2848000000.0,826000000,749000000.0,,676000000,580000000,1539000000,287000000,1463000000.0,1354000000,-90000000,0.0,849000000.0,12566000000.0,0.558337,1146000000.0,424000000.0,,332000000,3188000000.0,323000000,657000000,,,,,,,
2013-06-30,2186000000.0,0.0,-1460000000,2277000000,2381000000.0,,2381000000.0,1539000000,26000000.0,,2992000000.0,62000000.0,-347000000,-105000000,823000000,-2284000000.0,103000000.0,271000000.0,5276000000.0,,2947000000.0,1000000,242000000.0,,823000000,922000000,189000000.0,130000000,,,-1000000.0,23000000.0,,150000000,2171000000.0,0,4643000000.0,776000000.0,-24000000,1108000000.0,-1124000000,15643000000.0,11000000000.0,-20000000,-24000000,2257000000,81000000,10000000,2499000000.0,877000000,279000000.0,301000000.0,124000000,18000000,2381000000,-1463000000,1335000000.0,1380000000,64000000,0.0,680000000.0,12578000000.0,,152000000.0,389000000.0,,-1113000000,2725000000.0,-1124000000,747000000,,,,,,,
2013-09-30,2174000000.0,-2000000.0,-438000000,2072000000,2688000000.0,579000000.0,2688000000.0,2381000000,26000000.0,0.05,3012000000.0,-74000000.0,-476000000,-67000000,205000000,,617000000.0,489000000.0,,580000000.0,3384000000.0,-70000000,238000000.0,5000000.0,217000000,291000000,473000000.0,141000000,,,0.0,17000000.0,27000000.0,141000000,2645000000.0,-12000000,5230000000.0,739000000.0,-42000000,1107000000.0,27000000,16343000000.0,11113000000.0,0,-8000000,2072000000,59000000,-22000000,2571000000.0,777000000,286000000.0,275000000.0,96000000,27000000,2688000000,-455000000,1426000000.0,1295000000,32000000,,532000000.0,12841000000.0,0.05,185000000.0,414000000.0,,38000000,2739000000.0,27000000,636000000,,,,,,,
2013-12-31,2120000000.0,-26000000.0,-45000000,2049000000,2908000000.0,579000000.0,2908000000.0,2688000000,26000000.0,0.26,2927000000.0,-170000000.0,-211000000,-80000000,-1000000,,665000000.0,257000000.0,,580000000.0,3092000000.0,-79000000,242000000.0,88000000.0,0,245000000,472000000.0,327000000,,,-2000000.0,16000000.0,177000000.0,138000000,2292000000.0,-1000000,5112000000.0,800000000.0,-7000000,1115000000.0,150000000,15983000000.0,10871000000.0,189000000,268000000,2238000000,348000000,87000000,2431000000.0,964000000,277000000.0,277000000.0,4000000,-102000000,2908000000,-250000000,1481000000.0,1274000000,19000000,,576000000.0,12769000000.0,0.26,239000000.0,380000000.0,,166000000,2728000000.0,151000000,637000000,,,,,,,
