date,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyEbitda,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyPurchaseOfBusiness,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNetPPE,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyDilutedEPS,quarterlyResearchAndDevelopment,quarterlyOtherIncomeExpense,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyInventory,quarterlyCashDividendsPaid
2014-09-30,,,,-943000,,,,62868000,9499000,,,134797000,0,5804000,-117880000,81081000,,109669000,-6201000,194134000,-112871000.0,,69642000,,,,-17450000,,,,18583000,,227581000,,63140000,-5009000,,51059000,57153000,50844000,,,-7042000,2344000,,,,12502000,9118000,,33447000,,,,,131266000,,,,9095000,,,,141839000,,,50844000,0.0,-4674000,52144000,,,63140000,,,,
2014-12-31,-78048000.0,,,-8357000,2738000.0,101156000.0,,67538000,-9884000,8609000.0,11797000.0,127630000,0,4241000,-7390000,84499000,799587000.0,107410000,-1802000,201051000,-180000.0,,69193000,195102000.0,241306000.0,,-2902000,,266952000.0,,20843000,42997000.0,238996000,,-38328000,-7210000,-58159000.0,48350000,44391000,48277000,13446000.0,10321000.0,-7167000,2327000,,,,13124000,1084000,52869000.0,37945000,793763000.0,33735000.0,47800000.0,134790000.0,133513000,190586000.0,62979000.0,207613000.0,12979000,127630000.0,127630000.0,0.0,134797000,1308034000.0,1112932000.0,48277000,0.0,8023000,37181000,4563000.0,508258000.0,-30813000,,,,
2015-03-31,,0.0,172182000.0,595000,,,,27040000,31192000,,,119685000,-405000,6299000,-8558000,47269000,,141703000,19402000,196116000,-3809000.0,0.160053,34168000,,,,-22089000,0.0,,,8288000,,235069000,163733000.0,-33335000,-4344000,,25880000,39964000,26206000,,,-7945000,2179000,,,0.152199,16451000,9307000,,38953000,,,,,169076000,,,,10922000,,,,127630000,,,26206000,,-8317000,35620000,,,-33335000,,,,
2015-06-30,-116072000.0,,172182000.0,-393000,,106104000.0,,40522000,10092000,40276000.0,16031000.0,136373000,-730000,11626000,-43311000,50544000,796098000.0,133765000,5624000,204288000,-36903000.0,0.142458,35639000,226111000.0,274752000.0,,806000,,287580000.0,,12208000,38470000.0,248817000,163733000.0,1200000,-5678000,-67634000.0,23431000,53519000,23325000,35899000.0,0.0,16688000,2382000,,,0.135467,17478000,-2501000,104337000.0,44529000,815718000.0,49462000.0,49853000.0,154384000.0,163766000,185302000.0,66957000.0,204624000.0,12523000,136373000.0,136373000.0,0.0,119685000,1358430000.0,1132319000.0,23325000,,-6517000,47841000,6550000.0,562332000.0,1200000,,,,
2015-09-30,-129200000.0,,240047607.0,-8848000,,113487000.0,,58356000,-2023000,45041000.0,20348000.0,282543000,-7267000,13057000,-17161000,70380000,962146000.0,135679000,-4192000,221335000,0.0,0.146883,57573000,386796000.0,269794000.0,,-1470000,,283107000.0,,22136000,42586000.0,268971000,240047607.0,133298000,-9894000,-70901000.0,35437000,32758000,35259000,39400000.0,0.0,146170000,2318000,,,0.146883,16811000,1535000,93221000.0,47636000,805969000.0,59212000.0,41528000.0,156225000.0,162979000,185429000.0,65156000.0,200516000.0,10489000,282543000.0,282543000.0,0.0,136373000,1515047000.0,1128251000.0,35259000,0.0,-10282000,22864000,14024000.0,552901000.0,133298000,,,,
2015-12-31,-136820000.0,,222827000.0,-13884000,,118711000.0,,67638000,26019000,39049000.0,25767000.0,88173000,20000,19101000,-579832000,83334000,278811000.0,124308000,10882000,220704000,-570612000.0,0.17,52005000,204695000.0,353644000.0,11622000.0,10815000,,1293547000.0,10612000.0,16266000,48067000.0,267574000,207576000.0,307056000,-9240000,-70644000.0,35739000,82841000,35593000,49542000.0,65343000.0,-194370000,19179000,,40000000.0,0.16,16608000,3546000,118556000.0,46870000,1292775000.0,65851000.0,34947000.0,169321000.0,153066000,1193481000.0,55569000.0,276408000.0,12150000,99795000.0,88173000.0,248000.0,282543000,1926002000.0,1721307000.0,35593000,,-4228000,73601000,48488000.0,1647191000.0,295276000,,,,
2016-03-31,-129330000.0,-4453000.0,268099000.0,-159000,,126902000.0,,29188000,36795000,40395000.0,28827000.0,135898000,4250000,17498000,-4469000,47534000,307535000.0,164816000,20617000,231606000,-2252000.0,0.03,12364000,256890000.0,382798000.0,11622000.0,2919000,-10000000.0,1274551000.0,17764000.0,5145000,50807000.0,285283000,248444000.0,-22589000,-6467000,-76095000.0,7219000,74967000,7152000,55886000.0,0.0,47725000,20431000,,40000000.0,0.03,22863000,3607000,122418000.0,53677000,1301880000.0,68975000.0,35472000.0,191553000.0,202418000,1167897000.0,54855000.0,271017000.0,14739000,147520000.0,135898000.0,249000.0,88173000,1964884000.0,1707994000.0,7152000,,-2234000,68500000,29435000.0,1657349000.0,-8136000,,,,
2016-06-30,-133824000.0,,267976000.0,-3184000,,137778000.0,,73668000,-22043000,45331000.0,8882000.0,173993000,850000,12698000,-1620000,82935000,359705000.0,135451000,-33228000,244572000,-51000.0,0.14,47780000,280917000.0,309357000.0,0.0,3982000,-400000000.0,1327605000.0,51842000.0,13679000,56715000.0,301119000,249296000.0,2173000,-14135000,-81063000.0,34101000,38887000,34078000,62446000.0,0.0,38095000,20646000,,0.0,0.13,20944000,-5242000,108814000.0,56547000,1306843000.0,61593000.0,35621000.0,191661000.0,170904000,1214788000.0,55355000.0,265135000.0,14509000,173993000.0,173993000.0,250000.0,135898000,1996667000.0,1715750000.0,34078000,,8668000,24752000,31702000.0,1636962000.0,-4456000,,,,
2016-09-30,-132803000.0,,270024000.0,1880000,,150595000.0,0.0,91754000,4476000,67786000.0,20224000.0,231154000,0,11145000,-19004000,110737000,446047000.0,132055000,12613000,255286000,0.0,0.22,77048000,366515000.0,362523000.0,0.0,-11386000,0.0,1283306000.0,108252000.0,20344000,67280000.0,316447000,253176000.0,18454000,-18504000,-83315000.0,56704000,55048000,56410000,18014000.0,0.0,57161000,20751000,,,0.21,18539000,6045000,145621000.0,61161000,1311626000.0,67575000.0,35438000.0,196678000.0,163532000,1215546000.0,55355000.0,261524000.0,12938000,231154000.0,231154000.0,255000.0,173993000,2091876000.0,1725361000.0,56410000,,-6152000,36544000,29576000.0,1645829000.0,20163000,,,,
2016-12-31,-176384000.0,,272744000.0,-8835000,,133621000.0,0.0,111298000,-10750000,27110000.0,7357000.0,253651000,3269000,11029000,-2106000,126850000,496522000.0,113029000,-24348000,257116000,1617000.0,0.29,94394000,490394000.0,314259000.0,0.0,-9509000,-40000000.0,1237897000.0,182063000.0,20405000,62954000.0,319677000,255116000.0,-59232000,-6992000,-70667000.0,73989000,90653000,73811000,20877000.0,56030000.0,22497000,20386000,,0.0,0.27,20719000,3482000,59250000.0,62561000,1206447000.0,63853000.0,25339000.0,161124000.0,145818000,1176493000.0,55355000.0,217682000.0,2472000,253651000.0,253651000.0,256000.0,231154000,2048678000.0,1558284000.0,73811000,0.0,-11013000,83661000,15846000.0,1552156000.0,-28313000,,,,
2017-03-31,-157088000.0,,291902000.0,-1712000,,138917000.0,,58871000,34688000,47223000.0,28971000.0,436187000,0,18024000,90609000,60885000,557826000.0,151033000,40081000,239916000,0.0,0.08,33943000,556078000.0,324842000.0,,6442000,0.0,1247357000.0,202116000.0,9388000,61729000.0,298764000,256044000.0,5030000,-5745000,-77188000.0,24555000,89989000,20053000,28656000.0,0.0,182536000,18950000,5030000.0,,0.07,22020000,-5978000,122924000.0,58848000,1220188000.0,72668000.0,26880000.0,172947000.0,181045000,1177241000.0,53061000.0,221109000.0,7992000,436187000.0,436187000.0,257000.0,253651000,2130025000.0,1573947000.0,20053000,,-8715000,84244000,17860000.0,1572199000.0,0,,,,
2017-06-30,-141959000.0,,306833000.0,-2138000,,149309000.0,,82975000,-15867000,52433000.0,11337000.0,492705000,-5076000,15654000,-14333000,81712000,642343000.0,131584000,-17145000,246907000,0.0,0.2,54353000,621760000.0,341791000.0,,5750000,0.0,1230519000.0,253546000.0,2809000,64744000.0,309572000,258973000.0,5952000,-9047000,-84565000.0,51544000,63230000,51430000,14864000.0,0.0,56518000,19072000,34373000.0,,0.17,24061000,-9550000,157048000.0,62665000,1229911000.0,76622000.0,22440000.0,173406000.0,163932000,1177989000.0,58148000.0,224517000.0,8287000,492705000.0,492705000.0,261000.0,436187000,2214653000.0,1592893000.0,51430000,,-3460000,54183000,15573000.0,1572310000.0,-28421000,,,,
2017-09-30,-108484000.0,,293060000.0,-235946000,,152416000.0,0.0,91008000,-12685000,45847000.0,18311000.0,157576000,-430000,19949000,-10805000,89631000,522053000.0,144810000,-7537000,271374000,0.0,1.08,61535000,312082000.0,340880000.0,,8783000,0.0,1312592000.0,541234000.0,-226236000,62934000.0,343418000,267487000.0,-405558000,-6846000,-89482000.0,287771000,76420000,287688000,14968000.0,0.0,-335129000,19548000,18302000.0,,0.98,27008000,-9925000,126001000.0,72044000,1250113000.0,108659000.0,29297000.0,196568000.0,180366000,1253998000.0,62159000.0,230670000.0,8548000,157576000.0,157576000.0,273000.0,492705000,2175525000.0,1863443000.0,287688000,-4000000.0,-30727000,69574000,12018000.0,1653472000.0,-498860000,,,,
2017-12-31,-112318000.0,,273323000.0,121545000,,170480000.0,60163000.0,127663000,-53337000,55369000.0,10112000.0,272624000,29000,15463000,52717000,131543000,501249000.0,127987000,-32200000,292965000,-280000.0,-0.03,102294000,444744000.0,318773000.0,,6420000,-445172000.0,1310124000.0,532211000.0,110187000,61620000.0,378907000,273323000.0,-29138000,-7195000,-108860000.0,-7893000,91452000,-9023000,14484000.0,590000.0,115048000,19995000,1737000.0,,-0.03,28061000,-5374000,110566000.0,85942000,1247644000.0,116751000.0,28478000.0,198095000.0,165302000,1252696000.0,11137000.0,230345000.0,9254000,272624000.0,272624000.0,274000.0,157576000,2130146000.0,1685402000.0,-9023000,0.0,-8685000,84257000,11457000.0,1628897000.0,-35703000,,,,
2018-03-31,-81921000.0,-32465000.0,298140000.0,-16511000,,175247000.0,,112233000,5323000,66242000.0,16545000.0,287652000,38000,16963000,-5007000,113401000,538305000.0,160932000,11548000,313423000,,0.36,87206000,479720000.0,353035000.0,,8436000,,1310223000.0,631947000.0,-12472000,58604000.0,407367000,275270000.0,-104869000,-5045000,-116643000.0,99678000,122278000,99736000,13145000.0,,14891000,17806000,0.0,,0.33,31869000,-7221000,120375000.0,93944000,1266369000.0,125968000.0,29866000.0,216115000.0,201190000,1253442000.0,11148000.0,235678000.0,8389000,287510000.0,287510000.0,278000.0,272761000,2201563000.0,1721843000.0,99736000,,-7652000,117233000,10894000.0,1663258000.0,-72404000,,,,
2018-06-30,-120996000.0,-41478000.0,296996000.0,2699000,,176021000.0,,150165000,-29341000,72255000.0,11553000.0,309895000,0,16706000,-11604000,169805000,563356000.0,132426000,-20530000,323862000,,0.48,142893000,508233000.0,330969000.0,,-8848000,,1308910000.0,764447000.0,11535000,58976000.0,421196000,277115000.0,-85163000,-9740000,-117045000.0,131358000,121210000,132500000,13085000.0,,22243000,18276000,,,0.45,32635000,11004000,106934000.0,97334000,1259195000.0,126217000.0,28218000.0,212482000.0,173697000,1254265000.0,10158000.0,228446000.0,8636000,309761000.0,309761000.0,279000.0,287652000,2216232000.0,1707999000.0,132500000,,-1502000,111470000,14180000.0,1639879000.0,-43685000,,,,
