date,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyCashDividendsPaid,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares
2009-12-31,1498804000,5959536000,265165000,,0.0,-8593275000.0,41754053000,,5121473000,49684879000,417868000.0,54206534000,1910816000,1910816000,,498178000,39325144000,50347328000.0,10422458000,4521655000,96636000,,12438394000,467619000,1430454000,17380000.0,25318853000,661246000,28902686000,51278000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,1706728000,7759661000,411937000,,1415918000.0,,42377287000,,5121473000,49797301000,470270000.0,54923327000,1952609000,1952609000,,635423000,40624465000,,12289435000,5126026000,91250000,,11847784000,481041000,1711474000,1349422000.0,24923872000,496670000,28335030000,72958000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,1498804000,9097101000,336136000,,0.0,-10254081000.0,44950107000,,5121473000,53015084000,458544000.0,56790357000,977365000,977365000,,461206000,41896160000,55204188000.0,12063070000,3775273000,93863000,,12238499000,767365000,1716569000,1485719000.0,27499076000,570095000,29833090000,2392000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,1497745000,9649044000,413190000,,0.0,,47401982000,,5121473000,56044694000,454002000.0,62716246000,2954779000,2954779000,,871540000,46788800000,,13866196000,6671552000,88476000,,13071883000,767365000,2307908000,9451000.0,31841162000,807918000,32922604000,159133000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,3938671000,9352255000,730971000,3938671000.0,32965000.0,-11852255000.0,49350730000,,5121473000,56945273000,457764000.0,63392460000,1179817000,1179817000,3482568000.0,875389000,46902958000,61202985000.0,13346974000,6447187000,75289000,217840000.0,13124992000,767365000,1911467000,8557000.0,31401781000,741934000,33555984000,4536399000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,5964912000,9621606000,755392000,4273770000.0,10589036000.0,,52473695000,0.0,5121473000,59746595000,465991000.0,68555547000,2898591000,2898591000,4251708000.0,1749433000,51252173000,,14973118000,8808952000,70991000,,13676292000,767453000,2143339000,6772000.0,35119835000,924048000,36279055000,81360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,0,9654738000,662883000,,993462000.0,-13997232000.0,56392890000,38744000.0,5483753000,63299338000,449928000.0,69909398000,2016418000,2016418000,,795363000,50979976000,70390122000.0,14245242000,6610060000,64497000,,14942244000,767453000,1992377000,5815000.0,35285136000,824201000,36734734000,35000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,0,10608415000,549210000,,1184018000.0,,56127173000,0.0,5634612000,61789496000,436486000.0,72310727000,2706472000,2706472000,,1103613000,51655174000,56127173000.0,17820779000,10521231000,58447000,,15958625000,767453000,2280095000,4429000.0,32425079000,846553000,33834395000,100481000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,0,10667220000,648405000,,992489000.0,-15457979000.0,62330080000,0.0,6161388000,69454983000,712046000.0,76738968000,1641368000,1641368000,,1746825000,53451825000,77788059000.0,17384522000,7283985000,50636000,,18421656000,835165000,2303994000,3467000.0,34467306000,1102506000,36067303000,49227000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,0,12053934000,639735000,,1641891000.0,,66017677000,,12386220000,72152603000,704096000.0,81628503000,3875312000,3875312000,,2001239000,57032226000,66017677000.0,20672209000,9475900000,24198000,3371639000.0,19361968000,835165000,2494483000,0.0,34280966000,1013291000,36360017000,52290000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
