date,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyCashDividendsPaid,quarterlyInvestmentsAndAdvances,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares
2010-03-31,894067000,453519000.0,55987000,0.0,-352655000.0,3063979000,,13277000,5751404000,176109000,7776110000,522678000,522678000,326848000,3949332000,39980000.0,3416634000.0,2165789000,2024706000,51446000,175343000,2549654000,,1535960000,196137000,0.0,-148840000,1783543000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,532568000,0.0,77467000,157000.0,,3153344000,52537000.0,13542000,5409197000,173576000,8125236000,806404000,858941000,343510000,4084276000,,,1825388000,2716039000,50302000,166492000,2668052000,604943000.0,2012449000,196137000,0.0,304586000,2258888000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,623397000,0.0,95592000,0.0,-636811000.0,3403298000,4062000.0,13859000,5984717000,178665000,8361436000,848635000,852697000,346707000,4028107000,41576000.0,4040109000.0,1934914000,2376719000,54603000,172667000,2864632000,359147000.0,1780275000,220944000,0.0,301665000,2093193000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,769825000,0.0,184956000,0.0,,3743324000,1726000.0,15347000,6429038000,175374000,9188226000,916637000,918363000,416616000,4399542000,,,2295482000,2759188000,57715000,179692000,3268660000,413051000.0,1777198000,231326000,0.0,188841000,2104060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,634279000,0.0,180821000,0.0,-673995000.0,4121103000,1617000.0,14521000,7049627000,192942000,10678668000,1068079000,1069696000,454647000,5637227000,43562000.0,4795098000.0,3018790000,3629041000,54522000,181272000,3247369000,365417000.0,2291647000,238824000,0.0,789937000,2618437000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,1171756000,0.0,263310000,0.0,,4362135000,1331000.0,14515000,7045148000,188417000,10652798000,812503000,813834000,2016906000,5650000000,,,3505970000,3607650000,53118000,181272000,3272780000,423884000.0,1715607000,258205000,117100000.0,791498000,2144030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,953317000,97567000.0,191363000,1797356000.0,-978481000.0,5266299000,1447000.0,14430000,7715855000,187756000,11649923000,918146000,919593000,530168000,6455990000,43291000.0,6244780000.0,3792483000,3934068000,61954000,185775000,3383200000,633983000.0,2272277000,307536000,9658000.0,803542000,2663507000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,3337101000,0.0,288854000,1964614000.0,,5534146000,1394000.0,14430000,8435461000,185596000,14043062000,1566535000,1567929000,514262000,8541235000,,5534146000.0,6357562000,5607601000,67510000,240275000,3511915000,971510000.0,1457835000,350187000,16026000.0,993667000,2183673000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,1299281000,0.0,248569000,870431000.0,-1368205000.0,5974669000,1303000.0,14049000,8577820000,181999000,13506882000,1590125000,1591428000,529023000,7810754000,1910344000.0,7342874000.0,3971680000,4929062000,124232000,242052000,3530431000,844300000.0,3523506000,178182000,52065000.0,596650000,3839074000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,1466081000,0.0,266423000,1751996000.0,,6133931000,1352000.0,13997000,9068301000,177355000,14025133000,1256546000,1257898000,496804000,8026872000,2188763000.0,6133931000.0,4376273000,4956832000,124315000,242052000,3713414000,976829000.0,3283128000,230002000,52698000.0,224290000,3650599000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,2376037000,0.0,301217000,825419000.0,-1606980000.0,6462155000,77380000.0,14447000,9416369000,175729000,15102349000,1500748000,1578128000,486361000,8666208000,1910344000.0,8069135000.0,5214199000,5685980000,186152000,239212000,3923426000,1001389000.0,3024468000,241389000,107451000.0,432695000,3452009000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,2924288000,0.0,332671000,1959976000.0,,7107934000,1004000.0,15199000,10691257000,168948000,17983775000,2604875000,2605879000,569084000,10759235000,2515360000.0,7107934000.0,6149781000,7292518000,204963000,645226000,4439776000,1456041000.0,4121750000,282741000,116711000.0,465679000,4609454000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,2155788000,115248000.0,288606000,190382000.0,-2084207000.0,7270874000,879000.0,15199000,11364556000,763973000,18871218000,2551836000,2552715000,855236000,11283834000,2748789000.0,9355081000.0,5556971000,7506662000,292224000,663668000,4604124000,1637865000.0,5076242000,329373000,209488000.0,523551000,5726863000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,2396019000,102028000.0,379153000,2248211000.0,,1134580000,672000.0,15014000,14285094000,9039114000,21918480000,2250279000,2250951000,1003909000,13251090000,3832038000.0,1134580000.0,6336981000,7633386000,346674000,690920000,5381625000,1089271000.0,5872341000,647602000,218809000.0,568987000,6914109000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,3205875000,2188000.0,284853000,2101605000.0,-385566000.0,1860604000,224738000.0,15171000,15689349000,9629813000,25631709000,4313977000,4538715000,1097051000,16668776000,4214294000.0,2246170000.0,7392353000,9942360000,377256000,686427000,5615304000,895708000.0,8123092000,731496000,377256000.0,690083000,9276423000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,3678229000,2239000.0,346175000,688271000.0,,2358780000,351372000.0,15939000,18022938000,11115547000,26929885000,2569171000,2920543000,1471041000,17003236000,4751081000.0,2358780000.0,8542916000,8906947000,390087000,742242000,6285333000,994248000.0,7233438000,799054000,390087000.0,535784000,8460320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,3450300000,,347638000,,-452189000.0,2533388000,397159000.0,16089000,19581326000,12681425000,28589287000,2511390000,2908549000,1625896000,17434878000,,2985577000.0,8649152000,9007961000,402969000,817161000,7168584000,1085704000.0,7431752000,872508000,,1370202000,8785726000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,3457068000,,477731000,,,2569001000,500561000.0,16089000,21197548000,13701093000,32318868000,3807878000,4308439000,2357773000,20932770000,,2569001000.0,10355509000,11121320000,382080000,983768000,7213925000,1602403000.0,9285352000,876146000,,1092125000,10577261000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,3437483000,,530990000,,-487394000.0,2921323000,489340000.0,16089000,24492796000,15293235000,35824636000,3973315000,4462655000,2410098000,22922166000,,3408717000.0,10018812000,11331840000,498716000,1220394000,7970466000,1295795000.0,11494131000,882723000,,1273890000,12903354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,3263156000,,640618000,,,3183867000,393903000.0,16040000,26948072000,16120815000,38420377000,4011202000,4405105000,2862825000,25247219000,,3183867000.0,11015634000,11472305000,476759000,1241981000,8107688000,1267391000.0,12489993000,897442000,,1353107000,14231585000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
