date,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyChangeInInventory,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyBasicAverageShares,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyStockholdersEquity,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyPurchaseOfBusiness,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyInvestmentsAndAdvances,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyNetPPE,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyOperatingExpense,quarterlyInventory,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyBasicEPS,quarterlyDepreciationAndAmortization,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid
2013-01-31,,,14000000,-8000000,,411000000,,722000000,,,118000000,1000000,-24000000,196000000,5000000,15000000,,137000000,166816116.0,0,-37000000,,,,,,,0.0,118000000,,,,,,,0.659409,,166816116.0,,-127000000,97000000,-22000000,,,-127000000,,110000000,110000000,164000000,,8000000,0,0,,,,,311000000,,293000000,,,0,0.659409,19000000,142000000,,,,-15000000.0,61000000,,,,110000000,,
2013-04-30,,,-7000000,7000000,,426000000,,760000000,,,129000000,4000000,-7000000,198000000,5000000,9000000,,148000000,,0,-16000000,,,,,,,0.0,134000000,,,,,,,,,,,-136000000,99000000,-16000000,,,-136000000,,121000000,121000000,152000000,,13000000,5000000,0,,,,,334000000,,297000000,,,0,,19000000,136000000,,,,0.0,-37000000,,,,121000000,,
2013-07-31,,,-35000000,-20000000,,391000000,,701000000,,,121000000,5000000,-18000000,179000000,6000000,9000000,,140000000,,0,-22000000,,,,,,,-1000000.0,122000000,,,,,,,,,,,-93000000,91000000,-21000000,,,-93000000,,111000000,111000000,115000000,,11000000,1000000,0,,,,,310000000,,270000000,,,0,,19000000,94000000,,,,0.0,20000000,,,,111000000,,
2013-10-31,94000000.0,783000000.0,-18000000,-3000000,131000000.0,395000000,,705000000,1235000000.0,31000000.0,128000000,4000000,-4000000,179000000,6000000,8000000,,148000000,,0,-10000000,223000000.0,,1245000000.0,,419000000.0,0.0,0.0,127000000,560000000.0,972000000.0,,-766000000.0,65000000.0,129000000.0,,44000000.0,,16000000.0,-125000000,88000000,-10000000,,,-125000000,,115000000,115000000,135000000,469000000.0,12000000,-1000000,0,0.0,190000000.0,,42000000.0,310000000,340000000.0,267000000,502000000.0,,0,,20000000,125000000,0.0,0.0,,0.0,0,20000000.0,2028000000.0,1056000000.0,115000000,,
2014-01-31,85000000.0,733000000.0,-8000000,-1000000,130000000.0,372000000,,671000000,,17000000.0,91000000,27000000,-18000000,191000000,6000000,17000000,,110000000,166816116.0,0,-11000000,197000000.0,,1199000000.0,,410000000.0,,0.0,92000000,536000000.0,925000000.0,,,58000000.0,112000000.0,0.443602,40000000.0,166816116.0,16000000.0,-124000000,90000000,-11000000,,,-124000000,,74000000,74000000,135000000,458000000.0,18000000,1000000,0,0.0,202000000.0,,41000000.0,299000000,289000000.0,281000000,514000000.0,,0,0.443602,19000000,124000000,0.0,0.0,,0.0,49000000,18000000.0,1932000000.0,1007000000.0,74000000,,
2014-04-30,80000000.0,801000000.0,-13000000,27000000,157000000.0,415000000,,743000000,,20000000.0,127000000,6000000,-13000000,199000000,8000000,9000000,,148000000,166816116.0,0,-23000000,191000000.0,,1209000000.0,,411000000.0,,0.0,128000000,610000000.0,997000000.0,,,82000000.0,111000000.0,0.659409,50000000.0,166816116.0,16000000.0,-117000000,89000000,-23000000,0.0,,-117000000,,110000000,110000000,140000000,462000000.0,18000000,1000000,0,0.0,195000000.0,,44000000.0,328000000,335000000.0,288000000,518000000.0,,0,0.659409,20000000,117000000,0.0,0.0,,0.0,-44000000,16000000.0,2010000000.0,1013000000.0,110000000,,
2014-07-31,76000000.0,738000000.0,-66000000,-45000000,112000000.0,414000000,,757000000,,23000000.0,121000000,6000000,-9000000,202000000,11000000,9000000,,142000000,166816116.0,0,-18000000,187000000.0,,1261000000.0,,405000000.0,,0.0,122000000,551000000.0,989000000.0,,,93000000.0,111000000.0,0.641425,60000000.0,166816116.0,18000000.0,-69000000,91000000,-18000000,0.0,,-69000000,,107000000,107000000,87000000,462000000.0,15000000,1000000,0,0.0,185000000.0,,45000000.0,343000000,319000000.0,293000000,516000000.0,,0,0.641425,20000000,69000000,0.0,0.0,,0.0,15000000,15000000.0,1999000000.0,1011000000.0,107000000,,
2014-10-31,69000000.0,2281000000.0,80000000,51000000,173000000.0,419000000,,762000000,1555000000.0,-336000000.0,130000000,-16000000,9000000,198000000,7000000,8000000,,164000000,,810000000,-30000000,1512000000.0,101000000.0,769000000.0,,392000000.0,-10000000.0,-2000000.0,133000000,769000000.0,1850000000.0,,-1085000000.0,79000000.0,131000000.0,,63000000.0,,94000000.0,-419000000,91000000,-18000000,,,645000000,,101000000,101000000,201000000,470000000.0,32000000,6000000,810000000,0.0,175000000.0,1099000000.0,57000000.0,343000000,357000000.0,289000000,498000000.0,2000000.0,0,,25000000,183000000,810000000.0,810000000.0,,0.0,-45000000,18000000.0,3050000000.0,1200000000.0,101000000,,
2015-01-31,66000000.0,2111000000.0,-35000000,-13000000,158000000.0,383000000,,701000000,,-369000000.0,81000000,-1000000,-9000000,206000000,9000000,29000000,,113000000,168000000.0,887000000,-14000000,1411000000.0,171000000.0,918000000.0,,381000000.0,,0.0,78000000,700000000.0,1892000000.0,,,136000000.0,59000000.0,0.41,59000000.0,170000000.0,91000000.0,3000000,96000000,-15000000,12000000.0,,7000000,4000000.0,70000000,70000000,92000000,455000000.0,8000000,9000000,77000000,0.0,176000000.0,1099000000.0,96000000.0,318000000,309000000.0,302000000,477000000.0,2000000.0,810000000,0.42,23000000,77000000,887000000.0,887000000.0,1000000.0,,36000000,16000000.0,3029000000.0,1137000000.0,70000000,,
2015-04-30,64000000.0,2025000000.0,-87000000,14000000,178000000.0,416000000,51000000.0,740000000,,-357000000.0,128000000,14000000,-8000000,192000000,9000000,13000000,,156000000,169000000.0,894000000,-16000000,1394000000.0,267000000.0,1036000000.0,,378000000.0,,0.0,122000000,631000000.0,1927000000.0,,,131000000.0,58000000.0,0.56,67000000.0,171000000.0,89000000.0,-49000000,96000000,-16000000,11000000.0,,-45000000,4000000.0,96000000,96000000,68000000,460000000.0,26000000,4000000,7000000,0.0,164000000.0,1099000000.0,65000000.0,324000000,353000000.0,288000000,476000000.0,2000000.0,887000000,0.57,23000000,52000000,894000000.0,894000000.0,0.0,,-41000000,14000000.0,3061000000.0,1134000000.0,96000000,,
