date,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyBasicEPS,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyBasicAverageShares,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyCashAndCashEquivalents,quarterlyNetPPE,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyCurrentLiabilities,quarterlyOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyResearchAndDevelopment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyCurrentAssets,quarterlyChangeInInventory,quarterlyEbitda,quarterlyOtherCurrentAssets,quarterlyOperatingExpense,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyOtherNonCurrentAssets
2001-03-31,626024890.17,,,,,0.0,0.0,,,67262719005.17,,,0.0,5483059356.0,3797379029.7,,,732963583.32,,3289323354.83,8572014692.55,,,19667799863.2,0.114192,,626024890.17,626024890.17,6824476888.19,880419690.02,,,5483059356.0,,76759011.35,16540093683.84,2353668785.2,,,,140723.05,2214829259.1,,,,0.0,702783901.52,,,74660055615.24,,,,0.114192,3003895875.0,,202480984.22,0.0,,,,,,,,,,,,,,,,,,,
2001-06-30,758609969.7,,,,,0.0,0.0,,,64390425328.5,,,0.0,5454628001.0,3625866581.7,,,807446977.5,,3075397511.4,3400501777.2,,,17995628093.1,0.256855,,758609969.7,758609969.7,7033249472.4,829831161.9,,,5454628001.0,,17777506.8,15818252577.9,2249328173.1,,,5141850366.3,,1854298899.0,,,,0.0,776387476.5,,,71973341259.9,,,,0.256855,3511495583.1,,174524603.4,0.0,,,,,,,,,,,,,,,,,,,
2001-09-30,464325130.0,,,,,0.0,0.0,,,71305326668.0,,,0.0,5448706816.0,4108997842.5,,,615175144.5,,2790237336.0,9823033937.5,,,19672131481.5,0.085699,,464325130.0,464325130.0,7532195906.5,784941917.0,,,5448706816.0,,74937075.0,17282826910.5,2248738667.0,,,,,3344272110.5,,,,0.0,539262205.0,,,79479858849.5,,,,0.085699,3548794672.5,,176395921.0,0.0,,,,,,,,,,,,,,,,,,,
2001-12-31,-252131675.0,,,,,-10812628800.0,15071727000.0,,,63461492100.0,,,6511729200.0,,3868951800.0,,,-408882538.0,,1992968829.5,8039802600.0,,,12071315400.0,,,-252131675.0,-252131675.0,8357957700.0,700614336.5,,,,,-15559788.5,9333323700.0,2786760000.0,,,7814539500.0,1302810300.0,-3662263432.0,,,,7254865200.0,-267691463.5,,,72235141500.0,,,,,3903786300.0,,671144700.0,0.0,,,,,,,,,,,,,,,,,,,
2002-03-31,484036528.0,454343718.4,-5988540.8,,,-74319040.8,1799978207.2,127919158.4,,68549046040.0,-4317372.0,2408453221.6,3346021311.2,5380870686.0,4171259636.8,,,629127001.6,,3446057163.2,10491892244.8,,,18541129203.2,0.089903,,484036528.0,484036528.0,7536417950.4,908890476.0,43437001.6,-1357865927.2,5380870686.0,,137622647.2,10253365808.8,2177169260.8,,,,,1408752905.6,-1015800655.2,-3417919500.0,,3470435254.4,621659175.2,-124413943.2,,76644696420.8,-21805517.6,12646441.6,,0.089903,3562510184.8,,175211673.6,1821783724.8,,,,,,,,,,,,,,,,,,,
2002-06-30,416031957.2,1073844072.4,-184802328.2,,,-371269513.8,1975357235.0,155125950.4,,75277903488.6,-262455003.4,-6797705368.8,-5447934796.8,5377255903.0,4011446978.8,,,629655153.6,,3530167645.8,7217260541.2,,,19129362482.8,0.077404,,416031957.2,416031957.2,8000509000.0,849264322.6,-35076950.0,,5377255903.0,,74447275.0,19294463895.8,2208225566.6,,,7290736227.8,,4942321982.4,2594022504.0,5839954895.8,,-5301456720.0,490479232.2,-146478076.8,,83999987040.8,167230893.2,-4912158.8,,0.077404,4112558042.8,,118360875.0,1799978207.2,,,,,,,,,,,,,,,,,,,
2002-09-30,605420640.78,1086212431.98,77661866.1,,,-51666620.62,2644663961.0,131015644.78,,84750604678.9,-288579003.26,-6821366357.9,-5472440754.82,5373386089.0,4465006681.56,,,1083876465.08,,3980225807.04,10250422767.74,,,22006712444.54,0.11275,,605420640.78,605420640.78,8110315281.8,895336854.56,39472439.36,,5373386089.0,,241601208.64,23821448275.52,2168381320.72,,,4061815588.5,,8293966163.38,873948877.74,6060649918.26,,-5305879434.56,847021849.42,-166561320.26,,93810425577.7,703103863.08,-2239605.82,,0.11275,4036605157.7,,-141952679.42,1975357235.0,,,,,,,,,,,,,,,,,,,
2002-12-31,1229701816.62,-635640842.78,-3543505057.1,,,-12451406384.78,11794680240.0,290363426.42,,72736221360.0,-18099461.34,11670795105.1,13418597060.42,,5136278820.0,,,316133499.56,,3736960558.34,12194679900.0,,,15355739160.0,,,1229701816.62,1219082356.62,11051318040.0,1041982374.28,-8536320850.96,,,,-541262279.56,12162821520.0,2782298520.0,,,9355744260.0,1299113940.0,-7932462260.42,-2395533606.54,-5427820654.06,,13752824480.16,677820077.06,-334227419.74,,84162760320.0,-4122862738.68,,,,4513270500.0,,1500883680.0,2644663961.0,,,,,,,,,,,,,,,,,,,
2003-03-31,719087973.33,-3218010270.18,-6459206.4,,,-653449652.46,1741768739.97,734357940.96,,102787413679.41,33335560.53,-57648417.12,-1890599620.77,5513264197.0,5450015955.06,,,1280806802.4,,5545238786.91,9443901388.17,,,26171405763.18,0.130458,,719087973.33,719087973.33,10052237520.93,1008894397.98,-555299992.71,-1952174024.28,5513264197.0,,564167944.83,16976954216.34,2230044373.77,,,4553848165.44,,949308218.94,-173325402.57,2276776059.24,,-1788877212.48,1283255918.16,-101722408.29,,113877578385.42,-165550805.7,10031954.94,,0.130458,4812963267.18,,171364091.46,1907319545.67,,,,,,,,,,,,,,,,,,,
2003-06-30,764295137.28,4530504788.1,-25116882.72,,,-40529174.58,1440572174.4,141081965.76,,93609249802.56,-82522646.61,4602755343.84,9853414591.65,5526836763.0,5810777812.8,,,1184297695.68,,5459570782.56,9209200864.8,,,25111800604.8,0.15549,,764295137.28,764295137.28,10605233417.76,1156109318.88,1638848.07,-16501076.52,5526836763.0,,517709969.76,16062610982.88,2122651449.12,,,9185078310.24,,723282254.88,-1153701663.51,-10158453333.96,,9940144320.96,1282005107.04,-86729729.31,,105147627727.68,-258838187.58,69678589.38,,0.15549,4706082844.8,,332602985.28,1741768739.97,,,,,,,,,,,,,,,,,,,
2003-09-30,783193110.0,-517918712.12,-9239625.68,,,-106706318.92,1630496686.84,122112362.0,,105671532710.24,-97691633.6,-7910711179.92,-7679019921.44,5534959555.0,1718902773.0,,,1190193186.0,,3967544927.08,12276441354.24,,,29621665126.2,0.141128,,783193110.0,783193110.0,11370948626.52,1004575695.76,3143643.12,-647508081.4,5534959555.0,,362076755.6,23433270914.48,2074693734.96,,,9009292357.52,,943890162.04,7801070535.12,7875044359.48,,-7592363727.64,1145269865.6,-86656193.8,,118018190978.8,175974312.92,-13954142.56,,0.141128,4741281866.16,,5158484424.52,1440572174.4,,,,,,,,,,,,,,,,,,,
2003-12-31,989639330.8,818234224.2,-1823004105.2,,,278469375.96,20926138010.0,116123351.28,,89385451770.0,152649059.68,3071316913.2,4344017630.56,,7163877110.0,,,1163075052.12,,5667792675.6,15054817060.0,,,23519905840.0,,,989639330.8,989639330.8,13892093550.0,1923201696.04,1055422251.52,-5869101787.8,,,99326929.52,15380841270.0,2686093270.0,,,12388919980.0,1650317240.0,4902418935.64,-6476928639.04,-518468024.76,,4709417039.16,1088966260.32,-365399408.6,,103776679730.0,4469418390.36,3004064478.24,,,5014425460.0,,1759953700.0,1630496686.84,,,,,,,,,,,,,,,,,,,
2004-03-31,873741630.67,2167917146.51,-11735907.33,,,-131006083.23,1955217218.35,132726075.57,,113090139180.42,-81253712.21,-8200790279.06,-5103095657.16,5512143282.0,4753106172.07,,,1306800375.44,,4283803076.93,12103218354.11,,,28531884448.17,0.158519,,873741630.67,873741630.67,12444034546.72,827220760.41,-4705366.25,-579055400.97,5512143282.0,,425845780.26,10634382538.68,2023237992.86,,,1385054235.69,,2067204935.1,-187954045.1,4920851754.98,,-4985646819.95,1299587410.93,-117448837.21,,126629904402.85,-195804043.81,2884027.56,,0.158519,4766845841.52,,3310779666.19,2151021262.16,,,,,,,,,,,,,,,,,,,
2004-06-30,886428686.64,-3479806059.02,-11858096.19,,,-65955103.32,1717756366.89,142374822.69,,108344929009.74,115743900.41,9433891631.96,7524485798.22,5467347510.0,2596367688.87,,,1414640674.44,,3821216693.52,13177463830.23,,,28278230741.07,0.163574,,886428686.64,886428686.64,12734076727.47,804815276.19,29807929.88,394418749.47,5467347510.0,,443683261.8,18396992346.12,1973900001.6,,,12940882117.11,,2759378560.47,2023634154.74,-7783552800.53,,7615094856.59,1330111948.44,-90609058.37,,122248232372.16,-234413236.64,6704121.36,,0.163574,8067258104.97,,2551990107.72,1955217218.35,,,,,,,,,,,,,,,,,,,
2004-09-30,1065466076.46,-6887270514.99,-1884943.38,,,-468608385.95,1929465458.65,138312887.63,,124157364065.1,-2036701.29,720627726.9,-5409421485.5,5471718402.0,3178625877.53,,,1478485238.93,,4953238818.5,11288042792.06,,,39570648971.25,0.194367,,1065466076.46,1065466076.46,13493939096.83,1053467236.82,-375090643.32,-1802380915.49,5471718402.0,,483302165.49,27369982328.64,1944932980.96,,,21966203667.28,,430665692.36,-2950231048.45,5989737059.89,,-5322103751.21,1548768241.95,-87317734.29,,138757241015.66,199028007.72,-4315064.96,,0.194367,8114887310.2,,2672112420.01,1717756366.89,,,,,,,,,,,,,,,,,,,
2004-12-31,1882131827.57,9157989867.5,-5799216773.1,,,-11592055027.5,14602907920.0,433862974.11,,97891010240.0,530626993.09,-6604455119.8,4608215744.44,,6661348320.0,,,2270279843.67,,7316698966.51,14743678040.0,,,23495329840.0,,,1882131827.57,1882131827.57,16714459720.0,3240157733.6,-11729681840.31,-6270610793.01,,,358188337.77,16010609120.0,2573702760.0,,,12358554120.0,2685256440.0,1549086636.47,1194232138.81,583451865.66,,4828111874.57,2240320165.34,-219896130.13,,115643981600.0,-6180491287.27,6934959436.04,,,8355901840.0,,1667993120.0,1929465458.65,,,,,,,,,,,,,,,,,,,
