date,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyBasicEPS,quarterlyPurchaseOfBusiness,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyBasicAverageShares,quarterlyCapitalExpenditure,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyNetPPE,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashAndCashEquivalents,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyTotalNonCurrentAssets,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit
2001-03-31,,88177212512.93,,,,3304421855.61,,,487408355.98,5072275738.45,,,,0.0,0.0,6638598051.0,239157740.99,,484427192.29,0.063203,,8750334611.57,1454816540.6,,,,,,33093393684.68,420913467.4,420913467.4,0.0,6638598051.0,,5387664238.11,,,63513724.89,1910068597.17,,,0.0,5206752850.0,0.0,420913467.4,97027990907.65,7258328216.31,0.063203,,,,11980753462.64,3253566710.31,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,,89045243785.5,,,,3816169945.2,,,729213497.1,5654765676.3,,,,815931090.3,-2025588600.9,6632882878.0,,,734982960.6,0.090042,,8800621788.0,1597378797.6,,,,,,32918095314.6,598376738.7,598376738.7,-7227677057.4,6632882878.0,,6000768962.1,,,136606221.9,1869497377.8,,,0.0,5002513932.0,-7308280575.6,598376738.7,97994339770.8,7291681417.8,0.090042,,,,12021958934.7,2958218484.9,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,,95077800048.0,,,-2134307345.7,4159804920.5,,,557091793.0,5696356640.0,2708257175.8,,,1584529567.0,508049413.9,6631761901.0,,,537649569.5,0.076187,,9194949943.5,1775586752.0,130354144.6,,,-7491973882.8,-1676317836.9,34069482375.5,503621148.5,503621148.5,1699961192.4,6631761901.0,-438861838.8,6186258738.5,,531692769.4,34028421.0,2119546632.0,,,815931090.3,5055651120.0,1261099353.6,503621148.5,104445677322.5,9942146353.5,0.076187,,2591741382.4,,14873479584.0,5264682849.0,225053962.7,-1775184274.3,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,,98419074000.0,,,4580470726.5,248486100.0,,,1070176892.5,2778571218.5,1434486782.0,,,13576165800.0,-9422816113.0,,4386824700.0,,1068379738.0,,,9788494500.0,1695257175.5,-9451122334.0,,,1472887699.5,2033494243.5,30391940100.0,751909617.5,751909617.5,5901606165.0,,-33242043.0,11497707300.0,,-1485393404.5,316470120.5,2726380200.0,,,1584529567.0,5199629700.0,5868364122.0,751909617.5,108293493600.0,11997001800.0,,,-4077844018.0,782615100.0,8320800900.0,-2254337381.0,190306439.5,4213705882.0,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,,104699628956.0,,,-5421693284.0,,,,564837204.8,5508779251.2,1057425922.4,,,1862657077.6,-1761373984.8,6618130951.0,4534146467.2,,568003277.6,0.062757,,9538375537.6,1651159398.4,-1201066116.0,693126742.4,,-25163473.6,4488665686.4,30804754894.4,408613043.2,408613043.2,-3830006521.6,6618130951.0,-539800909.6,7121336658.4,,-1102717051.2,159390234.4,2735442275.2,,,2965371897.6,4997084768.0,-4369807431.2,408613043.2,114572030752.0,11518105910.4,0.062757,,-351739755.2,1311314170.4,13285122600.0,1779268208.8,125647796.8,331232796.0,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,,110110942241.2,,,-2674846525.4,-299938121.8,,,539055907.6,6191518438.6,867018982.6,,,2057321969.4,-1086310446.6,6618130951.0,5046172157.2,,528478219.2,0.069336,,9767199786.2,1979238099.4,-900037712.6,,,230116478.6,2428434420.4,36592955866.0,462399229.6,462399229.6,-1160721971.0,6618130951.0,-151121949.8,7253651192.6,,181404234.0,66078989.6,2506563586.6,,,1862657077.6,5019434264.0,-1311843920.8,462399229.6,120181571280.4,13738677155.2,0.069336,,-53654132.4,1429459039.6,10402986376.2,5524196394.6,182878178.4,18503348.2,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,,122594296548.06,,,-5938806475.5,-258878208.62,,,180748315.66,3908013258.52,1392963516.36,,,2414040885.06,-3405669418.04,6562104861.0,5351205690.06,,198238519.58,0.011382,,9948219274.26,604635152.58,-3274422072.3,,,2039777768.76,7801347861.44,44127634873.36,65416205.38,65416205.38,-3983949225.74,6562104861.0,-143299272.78,8003129806.28,,411729217.66,132822314.2,2465785855.34,,,2057321969.4,4926731607.2,-4127248498.52,65416205.38,132785886249.62,15669655476.34,0.011382,,-31988384.68,1893475412.4,13051133310.72,8071654300.68,179785855.8,44040311.72,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,,118821137940.0,,,18775165264.9,233628120.0,,,601654671.42,1569158240.64,1351614158.64,,,17405294940.0,-3190885910.56,,5493800640.0,,576545799.4,,,10853088120.0,2294984802.3,-5820924759.1,,,-3090747753.76,-13157387348.24,31550415660.0,858324225.8,886642785.8,20687942098.34,,175815612.18,13387599240.0,,4339668839.54,-281778426.4,2994687720.0,,,2414040885.06,5199995580.0,20863757710.52,886642785.8,129875995800.0,21161043960.0,,,-4097127147.72,1776989640.0,9638929860.0,-3108446670.86,170094689.0,6607987504.08,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,,134097639580.14,,,-1271414039.76,-13416309.96,,,461570852.34,7916689318.29,-2870494873.35,,,3743830041.18,-1816022700.21,6559945596.0,5451358258.89,,457961097.93,0.072275,,11788478929.59,2086172279.55,-1679588785.86,-449103238.32,,0.0,5500559245.14,36990435188.04,511101527.25,511101527.25,-2745623611.29,6559945596.0,-126395231.07,14393315390.55,,938912933.64,-53140429.32,2555891151.63,,,2804917107.54,6343445310.3,-2872018842.36,511101527.25,145999756808.16,24944254108.11,0.072275,,-12205208.76,1294906038.87,9559363066.74,3592661062.23,885183774.57,2166525.48,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,,139666214539.2,,,38774767.44,-5989498.08,,,813465199.68,8337446584.8,-1674124041.21,,,1745466283.2,442248608.85,7285826899.0,5434931843.04,,811674876.0,0.078309,,12328463937.6,2628039111.84,824872372.26,-1573837679.76,,0.0,-1432296944.34,34274714083.68,580371298.56,580371298.56,-946026654.15,7285826899.0,-326783642.37,15173259892.32,,-1936074989.64,231303577.44,2597779520.64,,,3743830041.18,6891753120.0,-1272810296.52,580371298.56,152100276363.84,23095388268.0,0.078309,,-71818001.16,758441828.64,11214181800.48,3072257855.04,188999084.31,15977880.12,,,,,,,,,,,,,,,,,,,,,,
2003-09-30,,150060118070.8,,,-463532821.24,239198601.88,,,657170613.12,7615387967.88,-1630787163.96,,,2216004045.64,-806166912.72,7285826899.0,5671452046.96,,655602780.56,0.07392,,12861789615.64,2161529095.88,-659737522.36,537746440.32,,0.0,2536964206.24,24098468714.6,547138851.28,547138851.28,-1280774088.8,7285826899.0,-156496826.76,17655258321.68,,450023204.72,108463929.28,5135134711.56,,,1745466283.2,6943299804.0,-1437270915.56,547138851.28,163032000194.56,26524154455.4,0.07392,,-5143651.08,794049338.04,11928318886.96,4642034015.36,246658219.32,15211087.48,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,,152048459000.0,,,-13730831896.44,678014950.0,,,765185253.44,3081249105.84,11763980368.52,,,26774377600.0,1865457474.08,,5839584080.0,,760141532.72,,,13537217640.0,6233181317.88,2495411735.96,-5759467392.24,,18092901070.0,11196272392.96,46344485710.0,715397410.36,715397410.36,-3074314775.76,,-172205369.8,20011539120.0,,9987415091.28,44744122.36,3092902240.0,,,2216004045.64,6970570720.0,-3246520145.56,715397410.36,165657805890.0,24235428000.0,,,-3978922839.0,1733987170.0,7763992470.0,-1186567740.52,-313916748.2,4735830516.92,,,,,,,,,,,,,,,,,,,,,,
