date,quarterlyGoodwill,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,quarterlyCurrentDebt,quarterlyDilutedEPS,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlySaleOfInvestment,quarterlyOperatingExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyTotalRevenue,quarterlyEbitda,quarterlyNetPPE,quarterlyCapitalExpenditure,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyPretaxIncome,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyOtherIncomeExpense,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyOperatingCashFlow,quarterlyCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyChangeInInventory,quarterlyAccumulatedDepreciation
2006-12-31,,65227000.0,,124549726000,22525849000,22280242000.0,,,,,11999000,4632444000.0,16575066000,,11657727000,,,,7875500000.0,121704591000,,,,,,0,1961087000,,,1808919000.0,,,,,21834338000.0,289624000.0,21769111000.0,37512875000.0,,28359096000,,,,14166142000.0,,,,,15314514000,,,196071000.0,,,,,105129525000,14166142000.0,102023877000,,,,,,,,,,,,,,,,,,
2007-03-31,,,,99297180000,25065070000,,24913930000.0,,173930000.0,432660000.0,10131260000,,10131260000,1159500000.0,20987770000,,,175560000.0,,83791220000,173930000.0,2323050000.0,,,,25065070000,10225920000,,,,,,,2003300000.0,,,,,,74232110000,,27236980000.0,608220000.0,,,,,432660000.0,52672190000,,,,,,,319750000.0,73659960000,,74232110000,,,,,,,,,,,,,,,,,,
2007-06-30,,198260000.0,,133351388000,25529808000,26283731000.0,43560309000.0,,706877000.0,460264000.0,39908000,9572535000.0,11054529000,2108391000.0,14640737000,,,299550000.0,30554643000.0,118721822000,706877000.0,4857284000.0,,,,998260000,13882568000,,5780228000.0,1202049000.0,,,,3618977000.0,24114379000.0,,23916119000.0,37115529000.0,,1631000,,48417593000.0,975643000.0,22372784000.0,,,,676093000.0,391376000,,,,,897741000.0,,1238307000.0,107667293000,22372784000.0,107821580000,,,,,,,,,,,,,,,,,,
2008-03-31,,106538000.0,-1496172000.0,191598254000,26955218000,27763051000.0,29601375000.0,-1279864000.0,705855000.0,704259000.0,6678730000,5574767000.0,14400288000,1491173000.0,16712349000,0.079,,0.0,15240715000.0,148180813000,705855000.0,3286747000.0,37289812000.0,55305434000.0,-2077158000.0,0,43188160000,23188491000.0,12156000000.0,6001695000.0,0.079,8934873418.0,15719000.0,2500682000.0,57021904000.0,171490000.0,56915366000.0,40467638000.0,-9059669000.0,35320985000,256773000.0,32888122000.0,897810000.0,16139827000.0,-2442022000.0,,37494830000.0,897810000.0,18028846000,32116943000.0,,166400000.0,193551000.0,997970000.0,,786065000.0,133780525000,16139827000.0,164643036000,,,,,,,,,,,,,,,,,,
2008-06-30,,43054000.0,-8166724000.0,205527867000,29991396000,28589777000.0,44378234000.0,-660339000.0,818925000.0,804163000.0,6158986000,5517501000.0,14113158000,2015958000.0,16602786000,,,643902000.0,19158751000.0,159646545000,818925000.0,4969465000.0,1833651000.0,47501801000.0,-4363290000.0,-24997000,45642550000,55305434000.0,12337542000.0,6247644000.0,,,74401000.0,3464726000.0,53685586000.0,164701000.0,53642532000.0,46665010000.0,-6286212000.0,39836545000,-1614524000.0,49347699000.0,1654752000.0,17891135000.0,-3037931000.0,,1628633000.0,1010850000.0,16885559000,-7803633000.0,,166323000.0,206687000.0,1816895000.0,,1504739000.0,145533387000,17891135000.0,175536471000,,,,,,,,,,,,,,,,,,
2008-09-30,,36172000.0,-648657000.0,220842119000,31301146000,27999607000.0,48308674000.0,-93344000.0,860637000.0,864956000.0,5976958000,6888097000.0,15346463000,2140160000.0,15485005000,0.07,-493254000.0,273946000.0,23045988000.0,174177126000,860637000.0,4785362000.0,0.0,47633825000.0,-969935000.0,0,46425491000,47501801000.0,12337542000.0,6516351000.0,0.07,12294814286.0,66139000.0,3567111000.0,49156885000.0,161659000.0,49120713000.0,50462437000.0,-117780000.0,46575188000,86126000.0,53094036000.0,1300520000.0,18565147000.0,-442757000.0,,0.0,1026574000.0,17502818000,132024000.0,,173327000.0,161618000.0,2677532000.0,,1218251000.0,158830663000,18565147000.0,189540973000,,,,,,,,,,,,,,,,,,
2008-12-31,,32853000.0,6849570000.0,220101535000,35027756000,32641956000.0,81318798000.0,-726850000.0,1258426000.0,1332916000.0,6104305000,5514787000.0,13731395000,3926522000.0,13626111000,,-564045000.0,403834000.0,22149687000.0,171800272000,1258426000.0,9492053000.0,28193000.0,49455325000.0,-5657819000.0,0,47773525000,47633825000.0,12337542000.0,6978960000.0,,,51891000.0,6925296000.0,57502917000.0,301141000.0,57470064000.0,62824384000.0,-14830737000.0,36327258000,-1341070000.0,90810851000.0,2037448000.0,21886854000.0,-4839123000.0,,28193000.0,1633614000.0,19622702000,1821500000.0,,157376000.0,300698000.0,3716446000.0,,2566757000.0,158068877000,21886854000.0,185073779000,,,,,,,,,,,,,,,,,,
2009-03-31,0.0,39531000.0,-675160000.0,230297341000,36282035000,30221577000.0,46278855000.0,-40288000.0,944844000.0,944582000.0,5946574000,6044073000.0,13950868000,2309371000.0,15019593000,0.08,,118553000.0,28989831000.0,181017235000,944844000.0,5051981000.0,-283048000.0,50467337000.0,-2710569000.0,0,48748158000,49455325000.0,12337542000.0,6966952000.0,0.08,11810550000.0,12031000.0,3846824000.0,58399941000.0,319699000.0,58360410000.0,62231290000.0,-3489781000.0,34732941000,-53451000.0,51330836000.0,1264702000.0,23021121000.0,-2676648000.0,,0.0,1146149000.0,22390737000,1012012000.0,11810550000.0,126429000.0,201567000.0,4653887000.0,,1205157000.0,167066367000,23021121000.0,194015306000,,,,,,,,,,,,,,,,,,
2009-06-30,,49697000.0,3588033000.0,246188159000,38771196000,31582058000.0,71547280000.0,-603894000.0,1276154000.0,1301066000.0,5714337000,5767915000.0,13720298000,3052238000.0,14824896000,,,429628000.0,31716902000.0,196747909000,1276154000.0,7342248000.0,287851000.0,51918942000.0,-2664152000.0,0,48883361000,50467337000.0,12337542000.0,7192461000.0,,,2729000.0,5487580000.0,61851347000.0,298123000.0,61801650000.0,69743073000.0,-10608624000.0,39302722000,-1528670000.0,78889528000.0,2254930000.0,25133531000.0,-1398174000.0,,4803000.0,1825302000.0,20918776000,1451605000.0,,149435000.0,524236000.0,4703690000.0,,1854668000.0,183027611000,25133531000.0,207416963000,,,,,,,,,,,,,,,,,,
2009-09-30,,44709000.0,-1607136000.0,264706317000,40862673000,37034948000.0,86323387000.0,-1209924000.0,1454762000.0,1491001000.0,5486317000,15598158000.0,23417756000,3808022000.0,10087366000,0.12,-56278000.0,33881000.0,33456632000.0,213766119000,1454762000.0,8332142000.0,0.0,52662932000.0,-2448040000.0,0,50341734000,51918942000.0,12337542000.0,7212777000.0,0.12,12123016667.0,33454000.0,6534238000.0,63134292000.0,302848000.0,63089583000.0,77954502000.0,-6500001000.0,45827695000,275740000.0,94655529000.0,1881789000.0,27116844000.0,-2075588000.0,,0.0,1847908000.0,21616348000,743990000.0,11810550000.0,147909000.0,356907000.0,6158451000.0,,1797904000.0,190348363000,27116844000.0,223843644000,,,,,,,,,,,,,,,,,,
