date,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyGoodwill,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2009-12-31,103683000,2310535000,28175000,28175000,,,1208840000.0,65597000.0,0.0,-1233554000.0,1950801000,,3246294000,3184355000.0,2886560000,,5197095000,2416188000.0,1950801000,,0.0,0,0.0,1665992000.0,736334000,2886560000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,103683000,2409074000,11033000,11033000,,,244328000.0,0.0,0.0,,1838750000,,1375638000,,839232000,,3248306000,,1872668000,,0.0,0,0.0,580354000.0,4335000,839232000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,103683000,2543596000,724711000,724711000,,,125122000.0,4144000.0,0.0,-1377216000.0,1881364000,1662068000.0,919329000,3258580000.0,290494000,,2834090000,184032000.0,1914761000,,0.0,0,-2072000.0,156034000.0,4370000,290494000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,103683000,2700479000,752166000,752166000,,659002000.0,1728540000.0,1995903000.0,263946000.0,,1889934000,1603937000.0,2774966000,,2010703000,,4711182000,1993831000.0,1936216000,,0.0,0,44577000.0,263946000.0,26897000,2010703000,11700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,103683000,2825582000,771753000,771753000,,738659000.0,1112785000.0,1088050000.0,267228000.0,-1695010000.0,1862271000,1649383000.0,1901391000,3557281000.0,1389466000,,4215048000,1083095000.0,2313657000,,0.0,0,451386000.0,267228000.0,41588000,1389466000,419030000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,207366000,6414249000,3651842000,3651842000,2356000.0,4482878000.0,208589000.0,618170000.0,0.0,,1772493000,1724005000.0,4313318000,,227720000,,6644325000,613215000.0,2331007000,,0.0,2356000,76732000.0,0.0,43306000,230076000,465886000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,207366000,6507944000,2404982000,2404982000,2300000.0,,34831000.0,0.0,0.0,-1870289000.0,1930148000,1845530000.0,3087221000,3800437000.0,1354889000,,7865133000,603373000.0,4777912000,,0.0,2300000,0.0,0.0,48355000,1357189000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,248616000,9447826000,1866285000,1866285000,3909000.0,,331000.0,0.0,0.0,,1921631000,2018506000.0,2429705000,1921631000.0,473695000,,9935017000,509186000.0,7505312000,,0.0,3909000,0.0,,39867000,477604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,248616000,9846591000,1622454000,1622454000,97582000.0,,43906000.0,0.0,0.0,-1905117000.0,2682229000,2234170000.0,2399929000,4587346000.0,1236809000,,11190612000,626977000.0,8790683000,,0.0,97582000,0.0,,47108000,1334391000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,248616000,10106240000,1304883000,1304883000,95228000.0,,17661000.0,0.0,0.0,,2608585000,2544096000.0,1790008000,2608585000.0,762115000,,11002201000,438483000.0,9212193000,,0.0,95228000,0.0,,19634000,857343000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,248616000,10238583000,795558000,795558000,103340000.0,,694557000.0,0.0,0.0,-2049312000.0,2711823000,2806733000.0,2004276000,4761135000.0,1176594000,,11557116000,1168635000.0,9552840000,,0.0,103340000,0.0,,15313000,1279934000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,248616000,10506664000,808848000,808848000,96791000.0,,35986000.0,0.0,0.0,,2669053000,3160605000.0,1385764000,2669053000.0,520234000,,11162323000,442725000.0,9776559000,,0.0,96791000,0.0,,10278000,617025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,248616000,9373429000,1057732000,1057732000,95695000.0,,77224000.0,0.0,0.0,-3724663000.0,8284305000,3439787000.0,2067229000,12008968000.0,4162716000,4667000.0,17614154000,952992000.0,15546925000,3938982000.0,4667000.0,4039344000,0.0,,21261000,8202060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,248616000,9657525000,509639000,509639000,91818000.0,,41502000.0,0.0,4575000.0,,7874676000,3870870000.0,1681937000,7874676000.0,3529381000,0.0,16827015000,680799000.0,15145078000,3510127000.0,0.0,3601945000,0.0,2277000000.0,26688000,7131326000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,248616000,9562380000,323206000,323206000,99800000.0,,51325000.0,0.0,0.0,-3978180000.0,7554194000,4262318000.0,1512076000,11532374000.0,3232265000,13178000.0,16299806000,884759000.0,14787730000,3353791000.0,13178000.0,3466769000,0.0,2273812000.0,15584000,6699034000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,248616000,10556835000,247756000,247756000,117377000.0,,31096000.0,0.0,0.0,,7588621000,4872366000.0,1302125000,7588621000.0,3048075000,20697000.0,16603322000,757829000.0,15301197000,2822808000.0,20697000.0,2960882000,0.0,2128414000.0,14958000,6008957000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,248616000,11332785000,409855000,409855000,109993000.0,,113157000.0,,,-4713401000.0,7588823000,5206892000.0,1430880000,12302224000.0,2811909000,21491000.0,17088750000,606271000.0,15657870000,2775452000.0,,2906936000,,2387658000.0,15300000,5718845000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
