date,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyTaxProvision,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCurrentDeferredRevenue,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyDilutedAverageShares,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicEPS,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyBasicAverageShares,quarterlyCashAndCashEquivalents,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyGrossPPE,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyCurrentLiabilities,quarterlyEbitda,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAssets,quarterlyCostOfRevenue,quarterlyOtherCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyResearchAndDevelopment
2001-09-30,409400000,340400000.0,64600000,,4277400000,269000000.0,,13800000,,475300000,177100000,,,,,206176000.0,,6093200000,,,0.5408,,,,312700000.0,71800000,,0,206176000.0,364600000,,,,,,,111500000,,,,,3918300000,3912800000.0,190900000.0,2663700000,58400000.0,,,597800000,0.5408,,,111500000,3912800000,2174900000,474300000,110500000,,,,,,,,,,,,,,,,,,,,
2001-12-31,402300000,283500000.0,50200000,,4478200000,310700000.0,,18400000,,467400000,137800000,,,-17000000.0,142800000.0,,-300000.0,6276600000,125800000.0,41800000.0,,911100000.0,,,331000000.0,42400000,364600000.0,1100000,,406400000,,-1043400000.0,54900000.0,,,406400000.0,87700000,-147600000.0,16500000.0,,55700000.0,4216600000,4071800000.0,156200000.0,2662200000,52400000.0,-76000000.0,45000000.0,818000000,,76700000.0,,87700000,4071800000,2060000000,520200000,86800000,,0.0,,,,,,,,,,,,,,,,,,
2002-03-31,406600000,282900000.0,49200000,,4417200000,360200000.0,,17600000,,126200000,149500000,100000.0,,-27900000.0,183300000.0,210105263.0,-10600000.0,6403000000,155400000.0,49900000.0,0.485,730300000.0,-78800000.0,28500000.0,245800000.0,8500000,406400000.0,1100000,205773196.0,456300000,,-826200000.0,156600000.0,,121400000.0,456300000.0,99800000,-133500000.0,13600000.0,,155500000.0,4277000000,3960900000.0,167100000.0,2812400000,54100000.0,-115200000.0,0.0,818700000,0.475,77600000.0,,99800000,3960900000,2126000000,505600000,99800000,342800000.0,,,,,,,,,,,,,,,,,,,
2002-06-30,396500000,298200000.0,52800000,,4665700000,304700000.0,,17500000,,121900000,159300000,-37400000.0,,-15000000.0,60100000.0,210297030.0,-7500000.0,6641400000,45100000.0,209400000.0,0.515,828700000.0,-3100000.0,27400000.0,247300000.0,44100000,456300000.0,1100000,206213592.0,665700000,,-620100000.0,-41700000.0,,-51300000.0,665700000.0,106200000,186700000.0,16300000.0,,234800000.0,4410700000,4000000000.0,176800000.0,2900100000,30500000.0,-48100000.0,0.0,819300000,0.505,77300000.0,,106200000,4000000000,2230700000,544400000,106200000,350000000.0,,,,,,,,,,,,,,,,,,,
2002-09-30,536700000,357900000.0,56900000,,6600300000,371200000.0,,30300000,-4100000.0,1286400000,229400000,879800000.0,,-38800000.0,380500000.0,265426357.0,-772400000.0,12235200000,341700000.0,246300000.0,0.665,1882900000.0,71700000.0,45100000.0,413500000.0,122000000,665700000.0,1400000,257443609.0,912000000,,-2091100000.0,-118500000.0,,48200000.0,912000000.0,171200000,-1014000000.0,20600000.0,-71700000.0,372600000.0,6909900000,5688300000.0,259700000.0,3579400000,74600000.0,275300000.0,0.0,1658500000,0.645,78800000.0,,171200000,5688300000,5325300000,683700000,171200000,2502300000.0,,,,,,,,,,,,,,,,,,,
2002-12-31,537400000,402300000.0,96300000,389900000.0,6643000000,357900000.0,,33100000,0.0,1274600000,269400000,-133200000.0,13800000.0,-41600000.0,367200000.0,,900000.0,12293100000,325600000.0,-217100000.0,,1104300000.0,-97900000.0,56000000.0,471800000.0,122700000,912000000.0,1400000,,694900000,,-1522400000.0,100700000.0,,215100000.0,694900000.0,171900000,-451100000.0,12800000.0,-147000000.0,481300000.0,6930800000,5948100000.0,302500000.0,3990400000,109800000.0,43000000.0,900000.0,1659400000,,892700000.0,,171900000,5948100000,5362300000,772900000,171900000,2484900000.0,,,,,,,,,,,,,,,,,,,
2003-03-31,519900000,404600000.0,109800000,433900000.0,6858000000,383900000.0,,32900000,0.0,1262800000,302500000,-78400000.0,12600000.0,-16700000.0,249000000.0,281911765.0,-1100000.0,12506900000,232300000.0,-231000000.0,0.69,964800000.0,-18300000.0,56400000.0,356500000.0,121500000,694900000.0,1400000,277826087.0,463900000,,-1351500000.0,183800000.0,,-90900000.0,463900000.0,191700000,-401600000.0,62000000.0,-91000000.0,636100000.0,7030900000,6394100000.0,335400000.0,4100300000,110900000.0,-244900000.0,0.0,1660300000,0.68,903800000.0,,191700000,6394100000,5476000000,716400000,191700000,2483900000.0,,,,,,,,,,,,,,,,,,,
2003-06-30,524500000,378200000.0,99900000,518000000.0,7149900000,376400000.0,,32800000,0.0,1250800000,278600000,2100000.0,18900000.0,-37300000.0,145200000.0,283680000.0,-5800000.0,12908900000,107900000.0,12000000.0,0.64,1157200000.0,-137800000.0,62100000.0,370900000.0,200300000,463900000.0,1400000,277031250.0,475900000,,-1250700000.0,26900000.0,,76100000.0,475900000.0,177300000,-135300000.0,39000000.0,-16800000.0,804700000.0,7174600000,6674000000.0,311400000.0,4114400000,84100000.0,-160100000.0,0.0,1661100000,0.625,997700000.0,,177300000,6674000000,5734300000,773900000,177300000,2463000000.0,,,,,,,,,,,,,,,,,,,
2003-09-30,520300000,404700000.0,112100000,491500000.0,7177400000,447300000.0,,32900000,-100000000.0,1239100000,310200000,-130000000.0,6100000.0,-29100000.0,331500000.0,284782609.0,600000.0,13205200000,302400000.0,194200000.0,0.71,1041300000.0,-74400000.0,65100000.0,435000000.0,151600000,475900000.0,1400000,276760563.0,670100000,,-1021100000.0,57500000.0,,97100000.0,670100000.0,196500000,-7300000.0,19600000.0,-36100000.0,982200000.0,7352200000,6507300000.0,343100000.0,4261800000,100700000.0,1900000.0,0.0,1662000000,0.69,1065000000.0,191100000.0,196500000,6507300000,5853000000,783500000,196500000,2458100000.0,,,,,,,,,,,,,,,,,,,
2003-12-31,510500000,413700000.0,118300000,524800000.0,7379700000,401700000.0,,32600000,0.0,1227000000,327800000,-53900000.0,19400000.0,-27600000.0,417700000.0,,2800000.0,13438600000,390100000.0,-205600000.0,,951700000.0,-20600000.0,61400000.0,493400000.0,138700000,670100000.0,1400000,,464500000,,-1497400000.0,5500000.0,,182800000.0,464500000.0,208800000,-569400000.0,-56200000.0,-73300000.0,1154300000.0,7438700000,6915200000.0,360400000.0,4294900000,147600000.0,189100000.0,-3100000.0,1662800000,,1068400000.0,188400000.0,208800000,6915200000,5999900000,835800000,208800000,2450100000.0,0.0,,,,,,,,,,,,,,,,,,
