date,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyDilutedEPS,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicEPS,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue
1984-03-31,,,,,,,,,584900000,584900000,0.02,,,,,,,,,10800000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,685504000.0,,,,,,,,,,,,,,,,,,,,,,,584900000,685504000.0,,,
1984-06-30,,375000000.0,,189400000.0,,,117300000.0,222800000.0,619400000,-1614200000,,,306700000.0,,,224700000.0,599700000.0,0.0,,12300000,3800000.0,,,,293000000.0,,,,,102500000.0,14800000.0,,,161300000.0,,,,,46000000.0,46000000.0,,,,,,,,173400000.0,,,,,5300000.0,,-90200000.0,51300000.0,,,,,263600000.0,,,,,,184100000.0,,,,,,-1614200000,,,,
1984-09-30,,,,,,,,,633000000,633000000,0.02,,,,,,,,,12300000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,685504000.0,,,,,,,,,,,,,,,,,,,,,,,633000000,685504000.0,,,
1984-12-31,,,,,,,,,655200000,655200000,0.02,,,,,,,,,12800000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,688704000.0,,,,,,,,,,,,,,,,,,,,,,,655200000,688704000.0,,,
1985-03-31,,,,,,,,,648300000,648300000,0.02,,,,,,,,,11400000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,689472000.0,,,,,,,,,,,,,,,,,,,,,,,648300000,689472000.0,,,
1985-06-30,,451000000.0,,213100000.0,,,128900000.0,265000000.0,691300000,-1846500000,,,342000000.0,,,230100000.0,681100000.0,0.0,,13700000,4000000.0,,,,339100000.0,,,,,108700000.0,20200000.0,,,188300000.0,,,,,70700000.0,70700000.0,,,,,,,,189100000.0,,,,,4500000.0,,-106600000.0,41000000.0,,,,,295700000.0,,,,,,208600000.0,,,,,,-1846500000,,,,
1985-09-30,,,,,,,,,734700000,734700000,0.03,,,,,,,,,14200000,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,690176000.0,,,,,,,,,,,,,,,,,,,,,,,734700000,690176000.0,,,
1985-12-31,,,,,,,,,802800000,802800000,0.03,,,,,,,,,15500000,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,699776000.0,,,,,,,,,,,,,,,,,,,,,,,802800000,699776000.0,,,
1986-03-31,,,,,,,,,792900000,792900000,0.02,,,,,,,,,12600000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,701632000.0,,,,,,,,,,,,,,,,,,,,,,,792900000,701632000.0,,,
1986-06-30,,513900000.0,,252900000.0,,,130600000.0,313900000.0,841900000,-2224500000,,,383500000.0,,,267400000.0,781300000.0,-100000.0,,16100000,5400000.0,,,,397800000.0,,,,,105200000.0,25500000.0,,,210300000.0,,,,,74000000.0,74000000.0,,,,,,,,223500000.0,,,,,5000000.0,,-133000000.0,43900000.0,,,,,356500000.0,,,,,,247900000.0,,,,,,-2224500000,,,,
