date,quarterlyBasicAverageShares,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyStockBasedCompensation,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue
1984-03-31,231780000.0,,,,,,,,,,,,,,,,,,,,,0.05875,,,,,,,,,,,,,,852200000,,852200000,,,852200000,,,,,,,231780000.0,,,,,,,,,,,,,,,,,53100000,,,,,,0.05875,,,,,,
1984-06-30,231780000.0,,,,,,,,,,,,,,,,,,,,,0.06125,,,,,,,,,,,,,,967600000,,967600000,,,967600000,,,,,,,231780000.0,,,,,,,,,,,,,,,,,55600000,,,,,,0.06125,,,,,,
1984-09-30,231780000.0,,,,,,,,,,,,,,,,,,,,,0.13625,,,,,,,,,,,,,,1217000000,,1217000000,,,1217000000,,,,,,,231780000.0,,,,,,,,,,,,,,,,,127000000,,,,,,0.13625,,,,,,
1984-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904100000,,904100000,,,904100000,,,,,,,,,,,,,,,,,,,,,,,,67000000,,,,,,,,,,,,
1985-03-31,236544000.0,,,,,,,,,,,,,,,,,,,,,0.195,,,,,,,,,,,,,,991000000,,991000000,,,991000000,,,,,,,236544000.0,,,,,,,,,,,,,,,,,92300000,,,,,,0.195,,,,,,
1985-06-30,236544000.0,,,,,,,,,,,,,,,,,,,,,0.195,,,,,,,,,,,,,,1062500000,,1062500000,,,1062500000,,,,,,,236544000.0,,,,,,,,,,,,,,,,,93500000,,,,,,0.195,,,,,,
1985-09-30,239534000.0,,,,,,,,,,,,,,,,,,,,,0.2875,,,,,,,,,,,,,,1263000000,,1263000000,,,1263000000,,,,,,,239534000.0,,,,,,,,,,,,,,,,,137600000,,,,,,0.2875,,,,,,
1985-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032300000,,1032300000,,,1032300000,,,,,,,,,,,,,,,,,,,,,,,,48900000,,,,,,,,,,,,
1986-03-31,250344000.0,,,,,,,,,,,,,,,,,,,,,0.155,,,,,,,,,,,,,,943000000,,943000000,,,943000000,,,,,,,250344000.0,,,,,,,,,,,,,,,,,75900000,,,,,,0.155,,,,,,
1986-06-30,251166000.0,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,999100000,,999100000,,,999100000,,,,,,,251166000.0,,,,,,,,,,,,,,,,,75800000,,,,,,0.15,,,,,,
1986-09-30,255636000.0,,,,,,,,,,,,,,,,,,,,,0.2975,,,,,,,,,,,,,,1170300000,,1170300000,,,1170300000,,,,,,,255636000.0,,,,,,,,,,,,,,,,,152400000,,,,,,0.2975,,,,,,
1986-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979100000,,979100000,,,979100000,,,,,,,,,,,,,,,,,,,,,,,,61300000,,,,,,,,,,,,
1987-03-31,260062000.0,,,,,,,,,,,,,,,,,,,,,0.175,,,,,,,,,,,,,,968300000,,968300000,,,968300000,,,,,,,260062000.0,,,,,,,,,,,,,,,,,90500000,,,,,,0.175,,,,,,
1987-06-30,260062000.0,,,,,,,,,,,,,,,,,,,,,0.1725,,,,,,,,,,,,,,1062300000,,1062300000,,,1062300000,,,,,,,260062000.0,,,,,,,,,,,,,,,,,89500000,,,,,,0.1725,,,,,,
1987-09-30,260062000.0,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,1308400000,,1308400000,,,1308400000,,,,,,,260062000.0,,,,,,,,,,,,,,,,,151400000,,,,,,0.29,,,,,,
1987-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100100000,,1100100000,,,1100100000,,,,,,,,,,,,,,,,,,,,,,,,71500000,,,,,,,,,,,,
1988-03-31,260062000.0,,,,,,,,,,,,,,,,,,,,,0.175,,,,,,,,,,,,,,1072100000,,1072100000,,,1072100000,,,,,,,260062000.0,,,,,,,,,,,,,,,,,90700000,,,,,,0.175,,,,,,
1988-06-30,260062000.0,,,,,,,,,,,,,,,,,,,,,0.175,,,,,,,,,,,,,,1174100000,,1174100000,,,1174100000,,,,,,,260062000.0,,,,,,,,,,,,,,,,,90600000,,,,,,0.175,,,,,,
1988-09-30,260062000.0,,,,,,,,,,,,,,,,,,,,,0.3325,,,,,,,,,,,,,,1384800000,,1384800000,,,1384800000,,,,,,,260062000.0,,,,,,,,,,,,,,,,,174900000,,,,,,0.3325,,,,,,
1988-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222500000,,2222500000,,,2222500000,,,,,,,,,,,,,,,,,,,,,,,,91600000,,,,,,,,,,,,
1989-03-31,260062000.0,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,,,,,,1365800000,,1365800000,,,1365800000,,,,,,,260062000.0,,,,,,,,,,,,,,,,,70600000,,,,,,0.135,,,,,,
1989-06-30,262244000.0,,,,,,,,,,,,,,,,,,,,,0.2125,,,,,,,,,,,,,,1530100000,,1530100000,,,1530100000,,100200000.0,,,,,262244000.0,,,,,,,,,,,,,,,,,111100000,111100000.0,,,,,0.2125,,,,,,
1989-09-30,262990000.0,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,1812500000,,1812500000,,,1812500000,,147700000.0,,,,,262990000.0,,,,,,,,,,,,,,,,,158600000,158600000.0,,,,,0.3,,,,,,
1989-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471400000,,1471400000,,,1471400000,,60600000.0,,,,,,,,,,,,,,,,,,,,,,70200000,70200000.0,,,,,,,,,,,
1990-03-31,270134000.0,,,,,,,,,,,,,,,,,,,,,0.0725,,,,,,,,,,,,,,1357500000,,1357500000,,,1357500000,,39400000.0,,,,,270134000.0,,,,,,,,,,,,,,,,,39400000,39400000.0,,,,,0.0725,,,,,,
1990-06-30,271456000.0,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,1575300000,,1575300000,,,1575300000,,96700000.0,,,,,271456000.0,,,,,,,,,,,,,,,,,96700000,96700000.0,,,,,0.18,,,,,,
1990-09-30,273112000.0,,,,,,,,,,,,,,,,,,,,,-1.0475,,,,,,,,,,,,,,1774500000,,1774500000,,,1774500000,,-568500000.0,,,,,273112000.0,,,,,,,,,,,,,,,,,-568500000,-568500000.0,,,,,-1.0475,,,,,,
1990-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581700000,,1581700000,,,1581700000,,-2200000.0,,,,,,,,,,,,,,,,,,,,,,41400000,41400000.0,,,,,,,,,,,
1991-03-31,323334000.0,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,1163100000,,1163100000,,,1163100000,,-74800000.0,,,,,323334000.0,,,,,,,,,,,,,,,,,71400000,-64200000.0,,,,,-0.1,,,,,,
1991-06-30,324376000.0,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,,,,,,,,,1386700000,,1386700000,,,1386700000,,64500000.0,,,,,324376000.0,,,,,,,,,,,,,,,,,74700000,74700000.0,,,,,0.115,,,,,,
1991-09-30,329026000.0,,,,,,,,,,,,,,,,,,,,,0.2875,,,,,,,,,,,,,,1518300000,,1518300000,,,1518300000,,177500000.0,,,,,329026000.0,,,,,,,,,,,,,,,,,187700000,187700000.0,,,,,0.2875,,,,,,
1991-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181200000,,1181200000,,,1181200000,,32000000.0,,,,,,,,,,,,,,,,,,,,,,42300000,42300000.0,,,,,,,,,,,
1992-03-31,346786000.0,,,,,,,,,,,,,,,,,,,,,0.1075,,,,,,,,,,,,,,1093400000,,1093400000,,,1093400000,,64000000.0,,,,,346786000.0,,,,,,,,,,,,,,,,,74400000,74400000.0,,,,,0.1075,,,,,,
1992-06-30,349732000.0,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,1262000000,,1262000000,,,1262000000,,92100000.0,,,,,349732000.0,,,,,,,,,,,,,,,,,103500000,103500000.0,,,,,0.15,,,,,,
1992-09-30,357400000.0,,,,,,,,,,,,,,,,,,,,,0.2625,,,,,,,,,,,,,,1569100000,,1569100000,,,1569100000,,176700000.0,,,,,357400000.0,,,,,,,,,,,,,,,,,187800000,187800000.0,,,,,0.2625,,,,,,
1992-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271200000,,1271200000,,,1271200000,,90100000.0,,,,,,,,,,,,,,,,,,,,,,101200000,101200000.0,,,,,,,,,,,
