date,quarterlyNetIncomeCommonStockholders,quarterlyDilutedAverageShares,quarterlyEbitda,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyInventory,quarterlyTaxProvision,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyResearchAndDevelopment,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyPretaxIncome,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyChangeInInventory,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyCapitalExpenditure
2009-06-30,152032000.0,4305124324.0,167588000.0,,,,,,,140179000.0,479854000.0,,239582000.0,,,0.03525,240272000.0,,100093000.0,,,152032000.0,,151123000.0,115126000.0,,,,15180000.0,,,,,1285000.0,,4305124324.0,166303000.0,,,,,,,,,0.03525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,194516000.0,4305124324.0,218062000.0,959383000.0,1595987000.0,2078079000.0,1091030000.0,,,165621000.0,624609000.0,,284978000.0,0.0,0.0,0.04525,339631000.0,131647000.0,174010000.0,,101864000.0,194516000.0,202900000.0,195021000.0,195044000.0,3162739000.0,1292303000.0,363133000.0,21834000.0,705462000.0,,564890000.0,27251000.0,1207000.0,22405000.0,4305124324.0,216855000.0,-303684000.0,0.0,2180567000.0,4258646000.0,0.0,140572000.0,107628000.0,909107000.0,0.04525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,233926000.0,4365676000.0,266315000.0,948901000.0,2058368000.0,3595112000.0,1034848000.0,,2211328000.0,220712000.0,812761000.0,,379317000.0,126229000.0,0.0,0.053,433444000.0,85947000.0,212732000.0,,75502000.0,233926000.0,202900000.0,235663000.0,233225000.0,5305372000.0,1667334000.0,420613000.0,29446000.0,1823546000.0,,1823546000.0,21572000.0,1206000.0,19292000.0,4365676000.0,265109000.0,-391034000.0,0.0,2754646000.0,6349758000.0,0.0,,447637000.0,884499000.0,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,281394000.0,4476372324.0,318388000.0,1245294000.0,3211160000.0,3947086000.0,1256817000.0,800000.0,5409940000.0,271959000.0,1017104000.0,,445100000.0,122535000.0,0.0,0.063,572004000.0,11523000.0,300045000.0,,0.0,281394000.0,202900000.0,282132000.0,323706000.0,8578004000.0,2718389000.0,565782000.0,36256000.0,1671079000.0,,1671079000.0,0.0,0.0,16176000.0,4476372324.0,318388000.0,-492771000.0,0.0,5898583000.0,9845669000.0,0.0,,447637000.0,1202266000.0,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,201149000.0,4476372324.0,243416000.0,1696776000.0,4671076000.0,4087365000.0,1724704000.0,27928000.0,6178365000.0,260635000.0,1149380000.0,1471410000.0,469592000.0,0.0,0.0,0.045,679788000.0,27928000.0,419153000.0,,,201149000.0,202900000.0,202121000.0,419153000.0,9325171000.0,4043804000.0,842046000.0,38991000.0,1262174000.0,,1262174000.0,200000000.0,2304000.0,18002000.0,4476372324.0,241112000.0,-627272000.0,45316000.0,6985826000.0,11073191000.0,0.0,,447637000.0,867210000.0,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,256947000.0,4476372324.0,309670000.0,2129600000.0,5608298000.0,6311626000.0,2270904000.0,41704000.0,6200683000.0,286030000.0,1376541000.0,2007863000.0,563886000.0,84342000.0,0.0,0.057,812655000.0,141304000.0,526625000.0,,99600000.0,256947000.0,202900000.0,260070000.0,469019000.0,9382800000.0,4768814000.0,879273000.0,44025000.0,2831734000.0,57606000.0,2831734000.0,170200000.0,5575000.0,14888000.0,4476372324.0,304095000.0,-839484000.0,99798000.0,5367109000.0,11678735000.0,0.0,0.0,447637000.0,978266000.0,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,,,,2411225000.0,6055236000.0,7813045000.0,3196998000.0,36147000.0,7094456000.0,,,2511940000.0,,137952000.0,0.0,,,785773000.0,,,748900000.0,,202900000.0,,,10283655000.0,5104492000.0,839069000.0,,3183498000.0,,3171013000.0,280500000.0,,11773000.0,,,-950744000.0,103664000.0,5760878000.0,13573923000.0,0.0,12485000.0,447637000.0,605066000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,,,,2001635000.0,6517899000.0,7556706000.0,2732423000.0,81588000.0,7445941000.0,,,2448547000.0,,5640000.0,0.0,,,730788000.0,,,649200000.0,,202900000.0,,,10658177000.0,5442810000.0,850593000.0,,3712153000.0,,3712153000.0,369900000.0,,10475000.0,,,-1075089000.0,45373000.0,5962540000.0,13519246000.0,0.0,,447637000.0,478653000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,2356053000.0,6839635000.0,8257493000.0,3133303000.0,79250000.0,7668637000.0,,,2819110000.0,,125476000.0,0.0,,,777250000.0,,,698000000.0,,202900000.0,,,11419616000.0,5658095000.0,867770000.0,,3814910000.0,,3814910000.0,400900000.0,,8919000.0,,,-1181540000.0,49419000.0,6583205000.0,14840698000.0,0.0,,452233000.0,554090000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,,,2683921000.0,7191277000.0,8682270000.0,3551045000.0,75324000.0,8207193000.0,,,2930402000.0,,36980000.0,0.0,,,867124000.0,,,791800000.0,,202900000.0,,,11866577000.0,5837269000.0,915586000.0,,4071892000.0,,4071892000.0,400811000.0,,45318000.0,,,-1354008000.0,41195000.0,7074039000.0,15756309000.0,0.0,,452233000.0,594148000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,2858370000.0,7846558000.0,8697901000.0,3736949000.0,65351000.0,8651423000.0,,,3259231000.0,,85990000.0,0.0,,,878579000.0,,,813228000.0,,202900000.0,,,12319203000.0,6368183000.0,966792000.0,,3579997000.0,,3439997000.0,501104000.0,,41679000.0,,,-1478375000.0,72617000.0,7752395000.0,16450296000.0,0.0,140000000.0,452233000.0,636789000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,,,2299648000.0,5593995000.0,9056120000.0,3138751000.0,34832000.0,,,,2851468000.0,,,,,,839103000.0,,,804271000.0,,202900000.0,,,13338171000.0,4317085000.0,804611000.0,,3784543000.0,,3784543000.0,201217000.0,,41947000.0,,,-1276910000.0,,7726739000.0,16782859000.0,,,452233000.0,651770000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,,,3151042000.0,6077079000.0,9109129000.0,8146585000.0,32753000.0,,,,3399273000.0,,,,,,4995543000.0,,326754000.0,4636036000.0,,3218497000.0,,,13839096000.0,4660729000.0,1009941000.0,,3254509000.0,,2964232000.0,330648000.0,,2434942000.0,,,-1416350000.0,,13488930000.0,22598059000.0,48405000.0,290277000.0,452233000.0,853553000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,,,3326729000.0,6344896000.0,10717526000.0,8795973000.0,36789000.0,,,,3460394000.0,,,,,,5469244000.0,,339566000.0,5092889000.0,,3339069000.0,,,14514573000.0,4855031000.0,1137312000.0,,4161977000.0,,3812446000.0,245159000.0,,2409736000.0,,,-1489865000.0,,13269347000.0,23986873000.0,,349531000.0,452233000.0,946065000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,,,3896111000.0,6996038000.0,11068738000.0,8857129000.0,37867000.0,,,,3731733000.0,,,,,,4961018000.0,,289265000.0,4612358000.0,,3351952000.0,,,15470672000.0,5362692000.0,1251836000.0,,4120013000.0,,3798586000.0,955236000.0,,2313304000.0,,,-1633346000.0,,13970074000.0,25038812000.0,,321427000.0,452233000.0,980341000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
