date,quarterlyNetIncomeContinuousOperations,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyBasicAverageShares,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyStockBasedCompensation,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings
2003-06-30,-872000,,,-872000,,,,,,,6467000,,,28000000.0,289000.0,,,,,,,,-0.031143,,,,,,-872000,,,,,,,,,,,28000000.0,,,,,,,-355000,,,,,-355000,806000,,,,,,,,-0.031143,,,,,6112000,,-1161000,,,,,,,,,
2003-09-30,514000,1506000.0,,354000,1666000.0,,,,,,7141000,,,28000000.0,0.0,,,,,1943000.0,,7284000.0,0.0,,0.0,,,,0,,,1506000.0,,,,,,,,28000000.0,-791000.0,,,,,0.0,2422000,,,-160000.0,8790000.0,2422000,1943000,,,,160000.0,0.0,,,0.0,,,,,9563000,-160000.0,479000,0.0,,,,,,,,
2003-12-31,2058000,-2096000.0,961000.0,1460000,3332000.0,0.0,1979000.0,,30856000.0,,5419000,0.0,,,646000.0,248000.0,6694000.0,,6694000.0,2525000.0,,8790000.0,,,,30082000.0,,0.0,581000,57089000.0,,-938000.0,140425000.0,102627000.0,,,95826000.0,,,,-896000.0,24067000.0,,0.0,,-1158000.0,4044000,,,-5428000.0,6694000.0,4044000,2525000,,56128000.0,37798000.0,243000.0,0.0,961000.0,,,,,,95826000.0,9463000,-4270000.0,1519000,0.0,,,,,,,,
2004-03-31,7280000,,0.0,7280000,0.0,0.0,2167000.0,,37419000.0,,5228000,,25000000.0,28000000.0,,282000.0,4378000.0,,4378000.0,,123394000.0,0.0,0.255,,437000.0,,,7380000.0,7280000,48334000.0,,0.0,131386000.0,89307000.0,,,81927000.0,,,28000000.0,,21167000.0,-54456000.0,0.0,,,10204000,68938000.0,,0.0,0.0,10204000,1834000,,23334000.0,42079000.0,,,25000000.0,,0.255,,,,81927000.0,15432000,,8370000,,,,,,,,,
2004-06-30,10351000,,637000.0,10351000,236000.0,0.0,2189000.0,,51138000.0,,6208000,,,14000000.0,,293000.0,2008000.0,,2008000.0,,,0.0,0.739357,,,30082000.0,,5759000.0,10351000,52662000.0,,-2436000.0,154714000.0,101275000.0,,,142450000.0,,,14000000.0,,19754000.0,88832000.0,0.0,,,12312000,88832000.0,,-4922000.0,2008000.0,12312000,1691000,,52025000.0,53439000.0,,,637000.0,,0.739357,,,,95516000.0,18520000,,10621000,,-46934000.0,,,,,,,
2004-09-30,5991000,13872000.0,683000.0,5991000,4713000.0,0.0,1398000.0,,3760000.0,,5245000,,25000000.0,28000000.0,,,15880000.0,,15880000.0,1749000.0,144365000.0,2008000.0,0.17,,301000.0,,,6600000.0,5991000,28214000.0,,4561000.0,102601000.0,82290000.0,,,113300000.0,,,28000000.0,-3351000.0,1133000.0,-82952000.0,0.0,,-570000.0,8349000,61413000.0,,-722000.0,15880000.0,9237000,2637000,,2531000.0,20311000.0,,888000.0,25683000.0,,0.17,,,,75690000.0,14482000,-152000.0,6600000,9881000.0,-37610000.0,,,,,,,
2004-12-31,6531000,3224000.0,585000.0,6531000,10918000.0,0.0,1697000.0,,2859000.0,0.0,5736000,,25000000.0,,,,19104000.0,,19104000.0,1738000.0,84848000.0,15880000.0,,,396000.0,,,1881000.0,6531000,28998000.0,4718000.0,10765000.0,103758000.0,81225000.0,-132513000.0,,113597000.0,,,,1959000.0,1716000.0,-23320000.0,0.0,,-417000.0,9284000,61528000.0,,-570000.0,19104000.0,10256000,2710000,,3413000.0,22533000.0,,972000.0,25585000.0,,,,,,74626000.0,15992000,-153000.0,7546000,-7124000.0,-38971000.0,,,,,,,
2005-03-31,6326000,-688000.0,831000.0,6326000,6762000.0,0.0,2024000.0,,4996000.0,,5388000,,147055000.0,28666000.0,,,18416000.0,-7143000.0,18416000.0,2363000.0,108727000.0,19104000.0,0.215,,1118000.0,,,2293000.0,6326000,151549000.0,63673000.0,-114964000.0,250163000.0,225613000.0,94000.0,,200427000.0,,,28666000.0,-2453000.0,1639000.0,-22725000.0,0.0,,-1050000.0,10148000,86002000.0,,-122776000.0,18416000.0,11125000,3340000,,3663000.0,24550000.0,83000.0,977000.0,147886000.0,,0.215,,,,159647000.0,16513000,-121726000.0,7785000,115326000.0,-40780000.0,,,,,,,
2005-06-30,6041000,35894000.0,390000.0,6041000,12490000.0,0.0,4777000.0,,6516000.0,,6448000,,182957000.0,29876000.0,,,54310000.0,,54310000.0,3849000.0,106450000.0,18416000.0,0.2,,2365000.0,,,4489000.0,6041000,190890000.0,62707000.0,133506000.0,286584000.0,225021000.0,-15017000.0,,201337000.0,,,29876000.0,2468000.0,2766000.0,-22771000.0,0.0,,-781000.0,12083000,83679000.0,,-1618000.0,54310000.0,13073000,4839000,,7543000.0,61563000.0,140000.0,990000.0,183347000.0,,0.2,,,,157825000.0,19521000,121016000.0,8234000,25022000.0,-43512000.0,,,,,,,
2005-09-30,7292000,-33786000.0,364000.0,7292000,11486000.0,0.0,3630000.0,,4290000.0,,6333000,,181349000.0,32036000.0,,,20524000.0,,20524000.0,3924000.0,123968000.0,54310000.0,0.22,,3038000.0,,,2906000.0,7292000,187750000.0,61923000.0,9802000.0,254262000.0,228337000.0,-59305000.0,,213393000.0,,,32036000.0,326000.0,2407000.0,-69137000.0,0.0,,1831000.0,14109000,54831000.0,,-5791000.0,20524000.0,15184000,4999000,,6037000.0,25925000.0,,1075000.0,181713000.0,,0.22,,,,163508000.0,21517000,-1684000.0,10185000,-39481000.0,-49885000.0,,,,,,,
