date,quarterlyNetPPE,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,quarterlyCapitalStock,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyGainsLossesNotAffectingRetainedEarnings
2014-03-31,,1296000.0,,189875000,,,183418000,-209111000,,,1384000,16618000,16617000,0,27603000,0,0.0,,,,0.063566,,-181508000,8638000,,0,,,,941000.0,,25167000,0,-211021000,94779000,16529000,6649000,2638000,33147000,,,-6457000,,41500000.0,,,-5833000,,7240000,,,61632000,-1910000,,,,-887000.0,,2638000,16617000,,,,41500000.0,0.063566,,,,,,,,,,,,
2014-06-30,,2137000.0,,284817000,,,424030000,-270198000,,,10390000,18818000,14728000,-157600000,3522000,26000,0.0,0.0,,,0.058627,,-266676000,9832000,,0,,,,1308000.0,,16307000,26000,-427526000,77320000,6475000,7124000,2433000,25293000,,,-6787000,,41500000.0,,,-6296000,,-6662000,,,52027000,272000,,,,20000.0,,2433000,14728000,,,,41500000.0,0.058627,,,,,,,,,,,,
2014-09-30,,1058000.0,,-178277000,,,445277000,-162907000,,,731000,19206000,11253000,-27000000,16119000,859000,347076000.0,0.0,,,0.039277,,-146788000,10476000,,26000,,,,1475000.0,,22056000,885000,-460537000,89953000,11580000,7448000,1630000,30786000,,,-10522000,0.0,41500000.0,,,-3471000,,-3613000,,,59167000,-270630000,,,,-3794000.0,,1630000,11253000,,,,41500000.0,0.039277,,,,,,,,,,,,
2014-12-31,1853081000.0,,,51469000,0.0,-59200000.0,-28573000,-23434000,5468000.0,13045000.0,703000,24799000,16732000,0,32200000,-18000,-26691000.0,0.0,7872000.0,2324916000.0,,2457197000.0,8766000,20095000,104538000.0,885000,62329000.0,867000.0,867000.0,1412000.0,,38924000,867000,-3645000,109504000,18829000,11939000,177000,43628000,662046000.0,96568000.0,-44351000,,,132281000.0,1912281000.0,-6779000,,740000,,343288000.0,65876000,19789000,9384000.0,39768000.0,559000000.0,-3706000.0,0.0,63981000,16732000,2442000.0,565478000.0,6478000.0,,,,,,,,,,,,,,
2015-03-31,1921676000.0,3440000.0,,-11207000,102519000.0,-77390000.0,664981000,-13300000,,12679000.0,-3771000,33561000,22990000,-700000000,48639000,9000,551949000.0,0.0,12094000.0,2389999000.0,0.032577,2453551000.0,35339000,21557000,102519000.0,867000,64047000.0,876000.0,876000.0,1527000.0,,51758000,876000,-713611000,114675000,30201000,12689000,5122000,63762000,808599000.0,104386000.0,-14761000,,157229440.0,63552000.0,1999066000.0,-1743000,0.0,-175000,0.0,343288000.0,50913000,-311000,6447000.0,46268000.0,698000000.0,-2754000.0,0.0,5122000,22990000,911000.0,704213000.0,6213000.0,157229440.0,0.032577,,,,,,,,,,,,
2015-06-30,1943016000.0,4479000.0,,-506187000,100506000.0,-94454000.0,-21001000,-36244000,9882000.0,15162000.0,769000,25838000,52395000,0,62984000,1402000,1315107000.0,1772000.0,4288000.0,2851416000.0,0.05,2925162000.0,26740000,23120000,100506000.0,876000,28583000.0,2278000.0,2278000.0,1727000.0,,79225000,2278000,-40581000,132970000,56105000,13701000,2463000,81943000,927800000.0,68458000.0,-31321000,,47725000.0,73746000.0,2037470000.0,-7953000,,-4533000,,343288000.0,51027000,-4337000,6915000.0,51521000.0,853000000.0,-3314000.0,0.0,4734000,50623000,1017000.0,859342000.0,6342000.0,47725000.0,0.05,,,,,,,,,,,,
2015-09-30,1948821000.0,4982000.0,,-9197000,98502000.0,-114422000.0,-51514000,-15602000,19786000.0,14132000.0,502000,31913000,47925000,0,83824000,16731000,-1072000.0,1828000.0,3664000.0,2853902000.0,0.09,2944727000.0,68222000,20078000,98502000.0,2278000,19627000.0,19009000.0,19009000.0,929000.0,,72483000,19009000,-15579000,138168000,52405000,12321000,4423000,84318000,924296000.0,74835000.0,-32245000,0.0,47808000.0,90825000.0,2063243000.0,13771000,,-651000,0.0,343288000.0,53850000,23000,8924000.0,52926000.0,844000000.0,803000.0,0.0,4423000,46097000,862000.0,849461000.0,5461000.0,47725000.0,0.09,,,,,,,,,,,,
2015-12-31,2025018000.0,5429000.0,,-52842000,0.0,-133427000.0,-31688000,-241000,26511000.0,13793000.0,118000,31101000,57404000,-75000000,90412000,-16775000,2838000.0,-10877000.0,6880000.0,2938814000.0,,3016660000.0,90171000,22831000,96546000.0,19009000,22218000.0,2234000.0,2234000.0,1242000.0,,85546000,2234000,-75499000,150384000,62715000,12768000,17677000,93816000,995162000.0,89019000.0,-38684000,0.0,,77846000.0,2158445000.0,4929000,-10877000.0,3468000,,343288000.0,56568000,-258000,10206000.0,57742000.0,901000000.0,96000.0,0.0,17677000,68281000,1227000.0,906143000.0,5143000.0,,,,,,,,,,,,,,
2016-03-31,2017138000.0,8677000.0,0.0,-470454000,0.0,-152821000.0,-19074000,-17545000,33823000.0,13739000.0,-8380000,33520000,43412000,-49118000,87277000,1565000,12636000.0,2791000.0,7013000.0,2964467000.0,0.16,3038770000.0,69732000,22958000,95795000.0,2234000,17794000.0,3799000.0,3799000.0,1342000.0,,83427000,3799000,-66638000,145405000,60469000,13537000,7589000,93989000,1442913000.0,90009000.0,-8256000,,47725000.0,74303000.0,2169959000.0,10821000,2791000.0,-246000,,343288000.0,51416000,25000,6653000.0,53330000.0,1348000000.0,-508000.0,0.0,7589000,40621000,552000.0,1352904000.0,4904000.0,47725000.0,0.16,,,,,,,,,,,,
2016-06-30,2007067000.0,10441000.0,444074000.0,30053000,0.0,-171590000.0,347165000,-10946000,42901000.0,14754000.0,40646000,33961000,91401000,-450409000,106293000,-1176000,249134000.0,6792000.0,7038000.0,3409856000.0,0.07,3484907000.0,95347000,23314000,95038000.0,3799000,17451000.0,2623000.0,2623000.0,,,84510000,2623000,-454634000,146931000,61196000,14458000,3448000,95157000,1532022000.0,99207000.0,-10022000,,47734000.0,75051000.0,2178657000.0,7885000,6792000.0,1980000,0.0,343288000.0,51774000,386000,8234000.0,53033000.0,1426000000.0,-1175000.0,0.0,3448000,84609000,878000.0,1432815000.0,6815000.0,47725000.0,0.07,,,,,,,,,,,,
