date,quarterlyDilutedAverageShares,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyOtherIntangibleAssets,quarterlyStockholdersEquity,quarterlySaleOfInvestment,quarterlyPurchaseOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyCapitalExpenditure,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyNetIncomeContinuousOperations,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetIncome,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyRepaymentOfDebt,quarterlyNetIncomeCommonStockholders,quarterlySellingGeneralAndAdministration,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyInventory,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyChangeInInventory,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfBusiness,quarterlyGainsLossesNotAffectingRetainedEarnings
2012-09-30,89020704.0,,,18483000,,,,,,,,,,,,0.050887,89020704.0,,,,,,,,45823000,,6780000,,10346000,,6780000,,,,,2250000,,,,,,,4530000,27340000,,4530000,0.050887,,,,,,,,,,,4530000,8137000,,,,11703000,-1375000.0,,,,,,,,,,,,,
2012-12-31,,1009000.0,-5190000.0,12624000,30745000.0,0.0,251000.0,9577000.0,236330000.0,,,14562000.0,14562000.0,14911000.0,-94662000.0,,,-1651000.0,1159000.0,-884000.0,-4768000.0,,22328000.0,16712000.0,37659000,213616000.0,3404000,11538000.0,6857000,,3404000,118954000.0,,,164974000.0,1299000,109000.0,0.0,267075000.0,-349000.0,,9294000.0,2105000,25035000,75521000.0,2105000,,5783000.0,250363000.0,0.0,4132000.0,8417000.0,-4768000.0,,3451000.0,,,2019000,5769000,14562000.0,-1364000.0,,9220000,-1130000.0,8417000.0,,,134000.0,-161000.0,,,,,,,,
2013-03-31,89020704.0,,0.0,16337000,,,,,,0.0,0.0,,,14562000.0,,0.035969,89020704.0,-974000.0,-10661000.0,128000.0,7280000.0,,,,42649000,,5530000,,9118000,0.0,5530000,,0.0,,,2316000,,,,2626000.0,,,3214000,26312000,,3214000,0.035969,-3759000.0,,,-4733000.0,,7280000.0,0.0,3588000.0,,0.0,3202000,7219000,17188000.0,-895000.0,0.0,10807000,-1280000.0,,,,,177000.0,,,,,,,,
2013-06-30,89020704.0,,0.0,18541000,,,,,,,,,,17188000.0,,0.052583,89020704.0,-1324000.0,2368000.0,-501000.0,-7657000.0,,,,46072000,,7709000,,11337000,0.0,7710000,,0.0,,,3011000,,,,1212000.0,,,4699000,27531000,,4699000,0.052583,10191000.0,,,8867000.0,,-7657000.0,0.0,3627000.0,,0.0,4681000,7205000,18400000.0,-1322000.0,0.0,10832000,-1381000.0,,,,,-42000.0,,,,,,,,
2013-09-30,89020704.0,0.0,2298000.0,15242000,22845000.0,0.0,6007000.0,9577000.0,244338000.0,,,18550000.0,18550000.0,18400000.0,-104285000.0,0.030117,89020704.0,-869000.0,2663000.0,-2178000.0,-5817000.0,,17853000.0,23840000.0,39633000,215470000.0,4476000,6959000.0,8087000,,4476000,111185000.0,,,175568000.0,1795000,1959000.0,0.0,267183000.0,150000.0,418000.0,2928000.0,2681000,24391000,75521000.0,2681000,0.030117,6776000.0,243343000.0,,5907000.0,4992000.0,-5817000.0,,3611000.0,,,2681000,7155000,18550000.0,-809000.0,,10766000,-1189000.0,4992000.0,,,134000.0,-166000.0,,,,,,,,
2013-12-31,88659448.0,17367000.0,-16428000.0,91054000,2466810000.0,887000.0,21397000.0,9577000.0,142429000.0,,,285221000.0,285221000.0,18550000.0,-105844000.0,0.08,88659448.0,-13261000.0,40358000.0,-3095000.0,212496000.0,,112528000.0,308571000.0,113776000,244965000.0,38663000,17256000.0,56760000,,19409000,139121000.0,,,137891000.0,10175000,12911000.0,0.0,2609239000.0,266671000.0,,42175000.0,9234000,22722000,75521000.0,9234000,0.08,67424000.0,2300668000.0,2350000000.0,54163000.0,2354282000.0,-2090788000.0,19254000.0,18097000.0,,,9234000,34294000,285221000.0,-13249000.0,,52391000,-353000.0,4282000.0,,,17041000.0,2669000.0,,,,,,,,
2014-03-31,116610526.0,24240000.0,-44356000.0,121797000,2629914000.0,1118000.0,24594000.0,9577000.0,-68028000.0,2000000.0,-43000000.0,48278000.0,48278000.0,285221000.0,-109260000.0,0.4,110780000.0,-24873000.0,5675000.0,-898000.0,-106711000.0,,126831000.0,121185000.0,158328000,251146000.0,74334000,5889000.0,101402000,1951000.0,45906000,141886000.0,2007000.0,,-931734000.0,1594000,14585000.0,0.0,2561886000.0,-236943000.0,,57999000.0,44312000,36531000,75521000.0,44312000,0.38,79727000.0,2440701000.0,2500000000.0,54854000.0,2503083000.0,0.0,28974000.0,26522000.0,,-32000000.0,44312000,20941000,48278000.0,-209959000.0,-270040000.0,47463000,0.0,3083000.0,,,13275000.0,43000.0,,,,,,,,
2014-06-30,117530000.0,37087000.0,8356000.0,123254000,2654599000.0,1123000.0,49074000.0,9577000.0,-72922000.0,,,41679000.0,41679000.0,48278000.0,-112314000.0,0.42,111933333.0,-32099000.0,-30994000.0,-1021000.0,-29356000.0,,126531000.0,119545000.0,160786000,251324000.0,77374000,0.0,104391000,3136000.0,48934000,139010000.0,2011000.0,,-943906000.0,1922000,15344000.0,0.0,2581677000.0,-6599000.0,,35354000.0,47012000,37532000,75521000.0,47012000,0.4,46494000.0,2462132000.0,2526000000.0,14395000.0,2528068000.0,-306000.0,29108000.0,26349000.0,,0.0,47012000,19531000,41679000.0,-23737000.0,-59184000.0,45880000,0.0,2068000.0,,,14313000.0,8140000.0,,,,,,,,
2014-09-30,118814286.0,37726000.0,1000000.0,121891000,2673336000.0,1124000.0,18448000.0,9577000.0,-77899000.0,,,31334000.0,31334000.0,41679000.0,-115506000.0,0.44,113413636.0,-69663000.0,14174000.0,-1226000.0,-36621000.0,,125553000.0,114086000.0,157795000,251645000.0,77622000,0.0,104771000,3536000.0,48867000,136139000.0,2020000.0,,-953458000.0,-1035000,15269000.0,0.0,2595437000.0,-10345000.0,,59275000.0,49902000,35904000,75521000.0,49902000,0.42,94786000.0,2481351000.0,2546000000.0,25123000.0,2547783000.0,0.0,29378000.0,26526000.0,,0.0,49902000,17743000,31334000.0,-68510000.0,-59454000.0,44269000,0.0,1783000.0,,,14845000.0,-9663000.0,,,,,,,,
2014-12-31,116205263.0,45254000.0,1000000.0,124120000,2689316000.0,1130000.0,4409000.0,9577000.0,-124736000.0,,,35973000.0,35973000.0,31334000.0,-118770000.0,0.39,113225641.0,-16134000.0,-24843000.0,-160000.0,-32500000.0,,78467000.0,125142000.0,159036000,252798000.0,74053000,0.0,102106000,3635000.0,45090000,134028000.0,2019000.0,,-1014726000.0,932000,15788000.0,0.0,2564580000.0,4639000.0,,35448000.0,44158000,34916000,75521000.0,44158000,0.38,52252000.0,2439438000.0,2609406000.0,36118000.0,2610849000.0,-635000.0,29570000.0,27446000.0,81000.0,-24000.0,44158000,22621000,35973000.0,-15113000.0,-105426000.0,50067000,0.0,1443000.0,,,383000.0,-170000.0,,,,,,,,
