date,quarterlyNetPPE,quarterlyInventory,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2007-12-31,1907696000,9482000,,2008895000,2008895000,,88144000.0,-1975334000.0,2232081000,6250699000,668365000.0,,21900000,668365000.0,83806000.0,881949000,4636253000,4018618000,3883030000.0,741200000,72835000.0,592403000,984066000,24765000.0,140749000,84954000.0,163034000.0,126112000,5343985000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,2624148000,12136000,24286000.0,1743310000,1743310000,,0.0,,2861856000,6483111000,0.0,,21900000,645256000.0,,1238641000,4468631000,3621255000,2624148000.0,763044000,,473751000,1388973000,25276000.0,475597000,,170732000.0,128667000,5219194000,333939000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,2531794000,12952000,22367000.0,1963094000,1963094000,,33466000.0,,3120723000,6742002000,0.0,,21900000,,,1108089000,4889514000,3621279000,2531794000.0,677775000,,551231000,1092286000,9563000.0,430314000,,161145000.0,124394000,5608300000,296357000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,2535737000,13261000,22265000.0,1407157000,1638786000,,-2696000.0,,3220548000,6391412000,0.0,231629000.0,21900000,552139000.0,,1047088000,4588916000,3170864000,2535737000.0,630408000,,424453000,1091668000,8016000.0,416680000,,160637000.0,124786000,5318760000,283878000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2549087000,13056000,22778000.0,1893586000,1893586000,,4698000.0,,3413663000,7043136000,0.0,,21900000,,,1224511000,5048397000,3629473000,2549087000.0,827062000,,572918000,1147111000,6706000.0,397449000,,163248000.0,111713000,5793391000,279030000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2457258000,11127000,22910000.0,1885321000,2082917000,,-4845000.0,,3287012000,7108766000,0.0,197596000.0,21900000,675370000.0,,1293113000,5029695000,3821754000,,944745000,,351809000,1371056000,5990000.0,348368000,,163910000.0,121631000,5790202000,220747000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2489035000,11232000,25298000.0,2679151000,2890799000,,-249000.0,-2603403000.0,3366827000,8033256000,0.0,211648000.0,21900000,757900000.0,,1545238000,5620720000,4666429000,5092438000.0,1134172000,,323251000,1440898000,5847000.0,411066000,,175840000.0,174112000,6460864000,231107000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2431724000,13303000,25464000.0,2907199000,2999827000,55609000.0,-3764000.0,,3283303000,8198650000,0.0,92628000.0,21900000,762629000.0,,1706975000,5595375000,4915347000,,1325107000,,379371000,1519082000,5647000.0,381868000,,176667000.0,156334000,6463636000,219887000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,2352012000,13122000,24234000.0,3295584000,3692644000,55614000.0,-461000.0,-2751062000.0,3178436000,8834129000,0.0,397060000.0,21900000,896693000.0,,1740637000,6233980000,5655693000,5103074000.0,1358516000,,345149000,1604317000,5189000.0,382121000,,170525000.0,179779000,7063448000,197153000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,2316120000,13265000,24625000.0,3512264000,3526407000,53921000.0,0.0,,3337498000,8923976000,834205000.0,14143000.0,21900000,834205000.0,843859000.0,1734655000,6293295000,5586478000,,1382595000,,391726000,1643745000,0.0,352060000,740976000.0,172474000.0,158859000,7159054000,188014000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
