date,quarterlyDilutedAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyInvestingCashFlow,quarterlyNetOtherInvestingChanges,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyRetainedEarnings,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyAccumulatedDepreciation,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyNetPPE,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyFreeCashFlow,quarterlyInterestExpense,quarterlyDilutedEPS,quarterlySaleOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlyGrossProfit,quarterlyResearchAndDevelopment,quarterlyOperatingExpense,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,quarterlyOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentAssets,quarterlyEbitda,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentLiabilities,quarterlyInventory,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyChangeInInventory
1996-01-31,920833333.0,,146535000000,,417000000.0,1316000000,,,,,,,1620000000,4303000000.0,,-100000000.0,,1697000000,3804000000,0.24,,188000000.0,7412000000,477000000,410000000,-160000000.0,,,24664000000,249000000,249000000,437000000,-2395000000.0,-29000000.0,,161000000,,,3050000000,,920833333.0,-338000000,,,,2035000000,1575000000,14819000000,-2654000000.0,,408000000,1817000000,0.24,,-2445000000.0,221000000,153947000000,,,,,,,,,,,,,,,,,,,,
1996-04-30,921568627.0,,150594000000,,428000000.0,1297000000,,,,,,,-6287000000,,,,,1590000000,3952000000,0.255,,135000000.0,7700000000,463000000,421000000,,,,25750000000,262000000,262000000,397000000,,,,159000000,,,3335000000,,921568627.0,-107000000,,,,1697000000,1675000000,15288000000,,,426000000,1711000000,0.255,,,235000000,158294000000,,,,,,,,,,,,,,,,,,,,
1996-07-31,946153846.0,,156404000000,,452000000.0,1346000000,,,,,,,-5596000000,,,,,2161000000,4129000000,0.26,,-226000000.0,7921000000,473000000,444000000,,,,27967000000,275000000,275000000,49000000,,,,169000000,,,3334000000,,946153846.0,571000000,,,,1590000000,1675000000,16814000000,,,49000000,1778000000,0.26,,,246000000,164325000000,,,,,,,,,,,,,,,,,,,,
1996-10-31,,,149411000000,,468000000.0,1403000000,,,,1986000000.0,,,342000000,,,,,2169000000,4263000000,,,703000000.0,7749000000,497000000,459000000,,,,25905000000,283000000,283000000,1324000000,,,,176000000,1523000000.0,,3251000000,,,8000000,1986000000.0,1178000000.0,,2161000000,1325000000,14737000000,,459000000.0,1125000000,1734000000,,,,254000000,157261000000,,,,,,,,,,,,,,,,,,,,
1997-01-31,950877193.0,,160737000000,,490000000.0,1551000000,,,,,,,-2503000000,-1462000000.0,,-114000000.0,,1838000000,4451000000,0.285,,-915000000.0,7952000000,535000000,479000000,,,,26966000000,297000000,297000000,-618000000,2790000000.0,-59000000.0,,182000000,,,3581000000,,950877193.0,-331000000,,,,2169000000,1325000000,14051000000,-982000000.0,,-677000000,1623000000,0.285,,-1403000000.0,271000000,168689000000,,,,,,,,,,,,,,,,,,,,
1997-04-30,951724138.0,,167918000000,,451000000.0,1593000000,,,,,,,-7303000000,,,,,2463000000,4692000000,0.29,,483000000.0,8210000000,531000000,443000000,,,,27728000000,300000000,300000000,783000000,,,,143000000,,,3629000000,,951724138.0,625000000,,,,1838000000,1325000000,17250000000,,,842000000,1629000000,0.29,,,276000000,176128000000,,,,,,,,,,,,,,,,,,,,
1997-07-31,947368421.0,,173224000000,,636000000.0,1635000000,,,,,,,-4064000000,,,,,2031000000,4932000000,0.38,,-116000000.0,8473000000,539000000,629000000,,,,25956000000,384000000,384000000,268000000,,,,245000000,,,5106000000,,947368421.0,-432000000,,,,2463000000,1325000000,16059000000,,,268000000,1687000000,0.38,,,360000000,181697000000,,,,,,,,,,,,,,,,,,,,
1997-10-31,,,185618000000,,979000000.0,1621000000,,,,2531000000.0,,,2532000000,,,,,2230000000,5363000000,,,58000000.0,9398000000,597000000,721000000,,,,27999000000,533000000,533000000,-394000000,,,,188000000,1716000000.0,,5167000000,,,129000000,2531000000.0,2061000000.0,,2031000000,1468000000,18174000000,,340000000.0,-1915000000,1832000000,,,,508000000,195153000000,369000000.0,,,,,,,,,,,,,,,,,,,
1998-01-31,977777778.0,,201034000000,,533000000.0,1682000000,,,,,,,-10911000000,,,,,3434000000,5604000000,0.315,,-1121000000.0,9657000000,582000000,524000000,,,,28764000000,331000000,331000000,-790000000,,,,193000000,,,5229000000,,977777778.0,1204000000,,,,2230000000,1473000000,20660000000,,,-790000000,1981000000,0.315,,,308000000,210691000000,,,,,,,,,,,,,,,,,,,,
1998-04-30,978787879.0,,202077000000,,511000000.0,1880000000,,,,,,,-1619000000,,,,,3200000000,5780000000,0.33,,-1461000000.0,9852000000,647000000,504000000,,,,29244000000,346000000,346000000,-1115000000,,,,158000000,,,5773000000,,978787879.0,-234000000,,,,3434000000,1475000000,18815000000,,,-1115000000,2088000000,0.33,,,323000000,211929000000,,,,,,,,,,,,,,,,,,,,
