date,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyAccountsReceivable,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyStockholdersEquity,quarterlyInventory,quarterlyNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2008-12-31,,940762000.0,149912000,42684000,1406685000,12230000.0,3692000.0,,,107228000,28000.0,107200000.0,1998911000,703000.0,661570000,1369812000,1369812000,0.0,,-279192000.0,0.0,2148823000,742138000,,0.0,51239000,,42396000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,32042000,32014000,1298958000,,3692000.0,0.0,,28000,28000.0,0.0,2001646000,390000.0,656734000,1267687000,1267687000,,,,0.0,2033688000,734730000,,0.0,51239000,,31681000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,,1120461000.0,41732000,41732000,784044000,10371000.0,3692000.0,,,0,0.0,0.0,2033729000,0.0,815796000,753058000,753058000,,,-304665000.0,422847000.0,2075461000,1291417000,,0.0,51239000,,12374000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,,41038000,41038000,1067807000,35604000.0,0.0,0.0,,0,,,2066579000,,960784000,1032203000,1032203000,,,,0.0,2107617000,1039810000,,0.0,51239000,,40801000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,1359580000.0,37943000,37943000,1049658000,,5192000.0,0.0,,0,,,2125543000,,1029020000,1007523000,1007523000,,,-330560000.0,32655000.0,2163486000,1113828000,,0.0,51239000,,37233000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,721927000.0,,29568000,29568000,880304000,32566000.0,8512000.0,0.0,,0,,,2150075000,3022000.0,1078794000,832698000,832698000,,,,163478000.0,2179643000,1299339000,,0.0,51239000,,28713000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,748190000.0,1476971000.0,39823000,39823000,946655000,,5184000.0,0.0,,0,,,2176207000,1650000.0,1099092000,892137000,71275000,,,-377879000.0,12000000.0,2216030000,1269375000,820862000.0,0.0,51239000,,38730000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,1476094000.0,31993000,31993000,951853000,15613000.0,62341000.0,0.0,65355000.0,0,,,2175783000,4365000.0,1087898000,885147000,75130000,,,-388196000.0,11250000.0,2207776000,1255923000,810017000.0,0.0,51239000,2124544000.0,6083000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,747759000.0,1477154000.0,37862000,37862000,986047000,15851000.0,0.0,0.0,,0,,,2175874000,5107000.0,1061331000,916832000,75055000,,,-415823000.0,0.0,2213736000,1227689000,841777000.0,27907000.0,51239000,,7855000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,744236000.0,1458458000.0,35894000,35894000,991695000,12908000.0,0.0,0.0,,0,,,2172247000,3179000.0,1035239000,920165000,84885000,,,-423219000.0,9750000.0,2208141000,1216446000,835280000.0,0.0,51239000,,12309000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,746941000.0,1523938000.0,40962000,40962000,950425000,14609000.0,0.0,0.0,,0,,,2174945000,3179000.0,1086506000,886057000,198348000,,,-437432000.0,0.0,2215907000,1265482000,687709000.0,24790000.0,51239000,,15374000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,756953000.0,1543148000.0,28350000,28350000,936829000,11862000.0,0.0,0.0,,0,,,2184971000,5372000.0,1100472000,863435000,101372000,,,-442676000.0,0.0,2213321000,1276492000,762063000.0,0.0,1878209000,,11257000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,655125000.0,1836180000.0,333871000,255016000,1040653000,139297000.0,40114000.0,0.0,,78855000,,35903000.0,2151547000,30953000.0,1340431000,634934000,201618000,6346000.0,658000.0,-495749000.0,70473000.0,2524144000,1483491000,433316000.0,0.0,1878209000,,199440000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,595744000.0,1521169000.0,305138000,230415000,1131548000,156639000.0,40114000.0,0.0,,74723000,,32728000.0,2092069000,26346000.0,1227028000,717769000,204304000,6346000.0,1241000.0,-294141000.0,0.0,2430212000,1298664000,513465000.0,38495000.0,1878209000,,174693000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,547687000.0,1589251000.0,296231000,225398000,851813000,110531000.0,353302000.0,0.0,,70833000,,29567000.0,2035380000,16240000.0,1291976000,533354000,154978000,6346000.0,1349000.0,-297275000.0,121714000.0,2353225000,1501412000,378376000.0,0.0,1878209000,,170252000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,507457000.0,1508683000.0,273815000,206930000,913720000,97569000.0,218289000.0,0.0,,66885000,,26446000.0,1990564000,14601000.0,1264220000,581815000,209621000,6346000.0,1983000.0,-244463000.0,0.0,2281512000,1367792000,372194000.0,0.0,1878209000,,152197000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,318108000.0,1539446000.0,278099000,208827000,855008000,87067000.0,108000.0,0.0,,69272000,,23277000.0,1788437000,17996000.0,1105373000,678377000,283243000,6346000.0,2502000.0,-434073000.0,0.0,2074342000,1219334000,395134000.0,0.0,1878209000,,152651000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,305627000.0,1548138000.0,328812000,266042000,897942000,108553000.0,111000.0,0.0,,62770000,,20294000.0,1782507000,16040000.0,1089369000,701628000,285436000,6346000.0,2416000.0,-458769000.0,0.0,2119197000,1221255000,416192000.0,0.0,1878209000,,184217000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,1597681000.0,355052000,297677000,928807000,91699000.0,,,,57375000,,17153000.0,1817028000,19303000.0,1130702000,727995000,199074000,6346000.0,3145000.0,-466979000.0,,2188946000,1260139000,528921000.0,,1878209000,,170652000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,1650958000.0,331838000,279483000,894759000,25096000.0,,,,52355000,,14053000.0,1836947000,13927000.0,1158731000,702682000,224859000,6346000.0,2949000.0,-492227000.0,,2185645000,1290886000,477823000.0,,1878209000,,145722000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
