date,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingExpense,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyBasicEPS,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyDilutedEPS,quarterlyNetIncome,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyChangeInWorkingCapital,quarterlyDepreciationAndAmortization,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
1998-03-31,,,80000000.0,,,,,,,,,,,,,,,,,-0.207,,,,,,,,,,,-16560000.0,,,,1904400000.0,,1904400000.0,,,,80000000.0,,,,,,,1904400000.0,,,,,,,,,,,,,,-16560000.0,-0.207,-16560000.0,,,,,,,,,,,,,
1998-06-30,,,80000000.0,,,,,,,,,,,,,,,,,-0.207,,,,,,,,,,,-16560000.0,,,,1904400000.0,,1904400000.0,,,,80000000.0,,,,,,,1904400000.0,,,,,,,,,,,,,,-16560000.0,-0.207,-16560000.0,,,,,,,,,,,,,
1998-09-30,,,100000000.0,,,,,,,,,,,,,,,,,-4.14,,,,,,,,,,,-414000000.0,,,,554760000.0,,554760000.0,,,,100000000.0,,,,,,,554760000.0,,,,,,,,,,,,,,-414000000.0,-4.14,-414000000.0,,,,,,,,,,,,,
1998-12-31,991944000.0,1296648000.0,,1296648000.0,,,,,19668312000.0,,2369736000.0,,,,,,4429800000.0,-3167100000.0,,,1877904000.0,27994680000.0,24098112000.0,,,,4867812000.0,274896000.0,,,-33120000.0,,,,-4189680000.0,,-4189680000.0,,,21543732000.0,,360180000.0,,3896568000.0,22835412000.0,4522536000.0,,3808800000.0,17021196000.0,16029252000.0,1180728000.0,,,,,,17021196000.0,,429732000.0,,,-33120000.0,,-33120000.0,6426108000.0,,,,,,,,,,,,
1999-03-31,,,78000000.0,,,,,,,,,,,,,,,,,0.414,,,,,,,,,,,32292000.0,,,,235980000.0,,235980000.0,,,,78000000.0,,,,,,,235980000.0,,,,,,,,,,,,,,32292000.0,0.414,32292000.0,,,,,,,,,,,,,
1999-06-30,,786600000.0,78000000.0,786600000.0,,,1186524000.0,14904000.0,19570608000.0,,2925324000.0,231840000.0,,47196000.0,,,3822876000.0,-4047264000.0,,0.414,-828000.0,27531828000.0,23393484000.0,,,,4916664000.0,2293560000.0,645012000.0,,32292000.0,,,,732780000.0,,191268000.0,,,21041136000.0,78000000.0,428904000.0,,4138344000.0,23617872000.0,5218056000.0,,2358144000.0,1981404000.0,13841676000.0,308844000.0,,,980352000.0,,1377792000.0,15823080000.0,,449604000.0,86112000.0,,32292000.0,0.414,32292000.0,6490692000.0,,,,,,,,,,,,
1999-09-30,,,103940000.0,,,,,,,,,,,,,,,,,0.414,,,,,,,,,,,43031160.0,,,,2723797080.0,,2723797080.0,,,,103940000.0,,,,,,,2723797080.0,,,,,,,,,,,,,,43031160.0,0.414,43031160.0,,,,,,,,,,,,,
1999-12-31,1069833960.0,957913200.0,,957913200.0,,,,,20173416840.0,107457840.0,2200939920.0,,,,,,4040979480.0,-4416527160.0,,,2435553720.0,28312383600.0,24321854160.0,,,,1867371840.0,74420640.0,,,43022880.0,,,,-6419070000.0,,-6419070000.0,,,21559240440.0,,508019400.0,,3990529440.0,24589944000.0,4710914280.0,,2723797080.0,1109387520.0,14669104680.0,1454746320.0,,,,,,16848326160.0,,421808040.0,,,43022880.0,,43022880.0,6576390000.0,,,,,,,,,,,,
2000-03-31,,,98416000.0,,,,,,,,,,,,,,,,,1.035,,,,,,,,,,,101860560.0,,,,2672254080.0,,2672254080.0,,,,98416000.0,,,,,,,2672254080.0,,,,,,,,,,,,,,101860560.0,1.035,101860560.0,,,,,,,,,,,,,
2000-06-30,,976882680.0,97339000.0,976882680.0,,,1235541600.0,40878360.0,19956497400.0,104642640.0,1911653280.0,202388040.0,,142738920.0,,,3972379680.0,-4416527160.0,,1.035,,27956898360.0,24033519720.0,,,,4868043840.0,2568000600.0,645997320.0,,101860560.0,,,,849403800.0,,259859520.0,,,20737980360.0,97339000.0,1149338520.0,,3923378640.0,24373024560.0,4479653880.0,,2672254080.0,2225788200.0,14032538280.0,140610960.0,,,1176852960.0,,1495401120.0,16258326480.0,,397969920.0,99658080.0,,101860560.0,1.035,101860560.0,7218918000.0,,,,,,,,,,,,
2000-09-30,,,85000000.0,,,,,,,,,,,,,,,,,-0.1656,,,,,,,,,,,-14076000.0,,,,2939043960.0,,2939043960.0,,,,85000000.0,,,,,,,2939043960.0,,,,,,,,,,,,,,-14076000.0,-0.1656,-14076000.0,,,,,,,,,,,,,
2000-12-31,1454199840.0,1284658560.0,,1284658560.0,,,,,21283309440.0,101819160.0,2140851960.0,,,,,,3664429920.0,-5878501920.0,,,2624751720.0,29033646120.0,25049558520.0,,,,4868043840.0,76995720.0,,,-14076000.0,,,,-7505116200.0,,-7505116200.0,,,21619080000.0,,1099095480.0,,3984087600.0,27161811360.0,4842599400.0,,2939035680.0,747013320.0,14575267440.0,196211160.0,2127132000.0,,,,,16776480600.0,,376085880.0,,,-14076000.0,,-14076000.0,7190633520.0,,,,,,,,,,,,
2001-03-31,,,100424588.0,,,,,,,,,,,,,,,,,0.35015,,,,,,,,,,,35163669.6,,,,2904992593.4,,2904992593.4,,,,100424588.0,,,,,,,2904992593.4,,,,,,,,,,,,,,35163669.6,0.35015,35163669.6,,,,,,,,,,,,,
