date,quarterlyFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyBasicAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyAccountsReceivable,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyNetPPE,quarterlyTaxProvision,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2016-03-31,-65192000,,,,,,132236210.0,,-19350000,,,-0.146329,866000,,,-7074000.0,-228000,3957000,-17325000,-17325000,20632000,,-0.146329,,-23098000,20632000,60000,,,-8646000,68994000,,12366000,,,43134000,,-17325000,-1825000.0,,-59011000,,,,,-1129000,,,710000,36249000,-16675000,-6821000,,,-32497000,,-58371000,72951000,132236210.0,,-30768000,-10015000,,,,147000,-15749000,,,,,,,,,,
2016-06-30,-48091000,,,,,,132236210.0,,-18108000,,,-0.136937,958000,,,1081000.0,-38000,6037000,-18108000,-18108000,23344000,,-0.136937,,-25503000,23344000,-5000,,,-5687000,80489000,,60089000,,,12366000,,-18108000,183000.0,,-70084000,,,,,255000,,,796000,95631000,-17307000,-5870000,,,-24396000,,-42221000,86526000,132236210.0,,47723000,-1042000,,0.0,,136000,-16354000,,,,,,,,,,
2016-09-30,-52516000,,,,,,132236210.0,,-21985000,,,-0.166256,1196000,,,-5950000.0,-44000,6766000,-21985000,-21985000,27995000,,-0.166256,,-13734000,27995000,-31000,,,-8987000,92078000,,80354000,,,60089000,,-21985000,-657000.0,,-71882000,,,,,-635000,,,725000,73438000,-21229000,-8330000,0.0,,-23747000,,-44186000,98844000,132236210.0,,20265000,-403000,,0.0,,138000,-20064000,,,,,,,,,,
2016-12-31,-113965000,4404000.0,-175615000.0,275241000.0,196418000.0,,,0.0,-56277000,335833000.0,60592000.0,,1638000,0.0,200822000.0,10313000.0,-898000,2437000,-35694000,-35694000,36705000,4404000.0,,,-55133000,36705000,-70000,185506000.0,5692000.0,-24370000,104390000,,39184000,14293000.0,135011000.0,80354000,310626000.0,-35694000,-5852000.0,,-86858000,-9752000.0,39184000.0,39184000.0,9822000.0,-1983000,,166370000.0,1356000,78647000,-34268000,-18518000,,6208000.0,-49107000,70344000.0,-95447000,106827000,,0.0,-41170000,-12467000,60592000.0,,,134000,-32700000,,,,,,,,,,
2017-03-31,-71442000,27714000.0,-221157000.0,265173000.0,224559000.0,,132236210.0,2254000.0,-45700000,349003000.0,83830000.0,-0.345594,2061000,2856000.0,252273000.0,-182000.0,-2376000,9746000,-38439000,-38439000,45908000,25460000.0,-0.345594,,-14044000,45908000,-218000,199882000.0,8023000.0,-19778000,149327000,,8307000,14305000.0,96730000.0,39184000,317887000.0,-38439000,-1222000.0,,-123227000,-11703000.0,8307000.0,8307000.0,12522000.0,-2470000,,191099000.0,2059000,41787000,-36162000,-18556000,,7844000.0,-17006000,92677000.0,-52886000,159073000,132236210.0,0.0,-30877000,-145000,80974000.0,,,158000,-34319000,,,,,,,,,,
2017-06-30,-32425000,15616000.0,-3039000.0,376863000.0,203837000.0,,15026000.0,5337000.0,-14542000,484883000.0,108020000.0,-0.28,2584000,1893000.0,219453000.0,1409000.0,1376000,16039000,-38870000,-14542000,52011000,10279000.0,-0.28,,25712000,52011000,-391000,174369000.0,13759000.0,-22871000,193326000,,144433000,17469000.0,31239000.0,8307000,133000.0,-38870000,1149000.0,,-307969000,-13198000.0,144433000.0,144433000.0,9914000.0,-5823000,,168713000.0,2507000,167402000,-35972000,-24020000,,7071000.0,24259000,119325000.0,-8405000,209365000,15026000.0,0.0,136126000,1104000,106127000.0,0.0,,1944000,-33779000,,,,,,,,,,
2017-09-30,-71555000,23283000.0,-7419000.0,366207000.0,244413000.0,,15045000.0,6920000.0,-4380000,495172000.0,128965000.0,-0.29,3101000,2969000.0,267696000.0,7725000.0,-399000,20416000,-39769000,-4380000,58676000,16363000.0,-0.29,,-17630000,58676000,-671000,192242000.0,11639000.0,-18248000,204963000,,103454000,22216000.0,28161000.0,144433000,133000.0,-39769000,-1416000.0,,-249582000,-16391000.0,103454000.0,103454000.0,9598000.0,2134000,,198458000.0,838000,31992000,-38260000,-16832000,0.0,11543000.0,-6430000,142387000.0,-54723000,225379000,15045000.0,0.0,-40979000,-14140000,125996000.0,0.0,,1887000,-35830000,,,,,,,,,,
2017-12-31,-102992000,55562000.0,-12899000.0,489718000.0,306031000.0,,15891000.0,7093000.0,-7130000,641137000.0,151419000.0,-0.45,3822000,2738000.0,361593000.0,7952000.0,-1360000,21890000,-47238000,-5480000,66805000,48469000.0,-0.45,,-34877000,66805000,-68000,227446000.0,14105000.0,-21770000,243163000,,172680000,25672000.0,125736000.0,103454000,97260000.0,-47238000,-2688000.0,,-222146000,-20453000.0,172680000.0,172680000.0,15480000.0,-2556000,,253923000.0,2255000,174906000,-44915000,-19082000,-125000.0,50306000.0,-34004000,169134000.0,-83910000,265053000,15891000.0,0.0,69226000,-8758000,148681000.0,0.0,,1622000,-44983000,,,,,,,,,,
2018-03-31,-159460000,74038000.0,-19942000.0,541323000.0,419756000.0,,18346000.0,7250000.0,-9768000,720734000.0,179411000.0,-0.53,4605000,3152000.0,493794000.0,13757000.0,-313000,34234000,-52672000,-7043000,83186000,66788000.0,-0.53,,-72030000,83186000,-179000,299780000.0,20969000.0,-28011000,326188000,-1528000.0,139925000,28809000.0,120301000.0,187123000,98640000.0,-52672000,,,-294687000,-25343000.0,121497000.0,121497000.0,18159000.0,-6969000,,354671000.0,3541000,112262000,-48952000,-28011000,,15866000.0,-67786000,201602000.0,-131449000,360422000,18346000.0,,-47198000,-17806000,176259000.0,,,1510000,-44526000,,,,,,,,,,
2018-06-30,-93450000,83830000.0,-29907000.0,643493000.0,438824000.0,6868000.0,27780000.0,6957000.0,-11340000,881763000.0,238270000.0,-0.41,5257000,4372000.0,522654000.0,20636000.0,-347000,49035000,-51250000,-9965000,95652000,76873000.0,-0.41,,-2787000,95652000,-468000,302989000.0,23573000.0,-52084000,426251000,-1376000.0,217548000,30204000.0,163748000.0,139925000,98647000.0,-51250000,,,-447543000,-30539000.0,199192000.0,199192000.0,22255000.0,-2531000,9616000.0,353751000.0,4165000,177743000,-46617000,-45414000,,23996000.0,10599000,247953000.0,-48036000,475286000,27780000.0,,77623000,-15923000,217414000.0,,,2583000,-41828000,,,,,,,,,,
