date,quarterlyDilutedEPS,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncome,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyChangeInCashSupplementalAsReported,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyTotalNonCurrentAssets,quarterlyGrossProfit,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyStockBasedCompensation,quarterlySellingGeneralAndAdministration,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyChangeInAccountPayable,quarterlyBasicAverageShares,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyStockholdersEquity,quarterlyOtherNonCashItems,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyCapitalExpenditure,quarterlyBasicEPS,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
2015-12-31,,4096000.0,-38539000,1385000,161172000,-38542000,69606000,7725957000.0,201765000.0,101173000.0,6980000.0,-3210000,8846000.0,,-1969000,7725957000.0,193045000.0,98723000,83685000,63791000,0.0,,274818000.0,274818000.0,276787000,9796978000.0,17612000,0.0,-8602000,-7562000,9265924000.0,117962000,6980000.0,7909947000.0,,,,216685000,34277000,-53627000,0.0,82817000.0,,-164526000,274818000,26015000,5657000,19894000,94858000,-51134000.0,-55250000.0,,,531054000.0,82817000.0,1887031000.0,21984000,13901000,7827130000.0,-38539000,-543698000.0,101173000.0,-9987000,,,,,,,,,,,,,,
2016-03-31,-0.033017,,-19167000,77331000,-2519000,-9975000,70277000,,128002000.0,,,30000,,,-5338000,,,92360000,81062000,65702000,,,,,274818000,,-9975000,,66658000,-164000,,132142000,,,,0.0,302116760.0,224502000,51080000,8646000,,,,-80150000,269480000,-9493000,4206000,15360000,116812000,,13493000.0,302116760.0,,,,,17944000,-141633000,,-19167000,,,-10673000,-0.033017,,,,,,,,,,,,,
2016-06-30,-0.065094,,-20686000,78794000,77579000,-19666000,70523000,,10000000.0,,,-361000,,,30074000,,,98811000,81487000,66079000,,,,,269480000,,-19666000,,65649000,-8505000,,131685000,,,,0.0,302116760.0,230496000,50198000,9486000,,,,-126299000,299554000,-646000,4106000,15408000,115916000,,17483000.0,302116760.0,,,,,19290000,-96661000,,-20686000,,,-13145000,-0.065094,,,,,,,,,,,,,
2016-09-30,-0.072651,292109000.0,-24915000,91584000,-24662000,-21949000,68365000,7680956000.0,0.0,106173000.0,9073754000.0,-2336000,,,-25414000,7680956000.0,209290000.0,101961000,85291000,66480000,,,274140000.0,274140000.0,299554000,9910433000.0,-21949000,0.0,76275000,-105000,9359184000.0,131077000,9800929000.0,7923967000.0,,,302116760.0,233038000,45786000,29486000,0.0,136838000.0,,-92336000,274140000,-35901000,4711000,18811000,109930000,0.0,23569000.0,302116760.0,,551249000.0,136838000.0,1986466000.0,15665000,-25218000,7787129000.0,-24915000,-727175000.0,106173000.0,-15309000,-0.072651,,,,,,,,,,,,,
2016-12-31,,6522000.0,-32061000,2417000,-122186000,-26649000,76883000,7570279000.0,0.0,0.0,6247000.0,-3098000,11604000.0,,-76021000,7570279000.0,209337000.0,97688000,88943000,69420000,,,198119000.0,198119000.0,274140000,9732351000.0,-64174000,0.0,-8249000,-4439000,9232331000.0,136863000,6247000.0,7774928000.0,,,,234551000,47920000,-53889000,0.0,88052000.0,,43748000,198119000,54768000,-2813000,19523000,114242000,-136000.0,-47609000.0,,,500020000.0,88052000.0,1957423000.0,11586000,-117611000,7686876000.0,-32061000,-792330000.0,116597000.0,-10666000,,,,,,,,,,,,,,
2017-03-31,-0.136579,4530000.0,-56712000,70861000,-188064000,-42391000,68572000,5714391000.0,1692058000.0,114381000.0,5612000.0,-1430000,11781000.0,,-5669000,5714391000.0,209386000.0,99617000,125843000,67577000,,3104000.0,192450000.0,192450000.0,198119000,9588161000.0,-42391000,,59791000,-26913000,9168808000.0,139133000,5612000.0,5930119000.0,,-1153000.0,311948259.0,238750000,13290000,-3221000,0.0,101347000.0,13272000.0,111534000,192450000,83620000,44244000,58266000,79437000,,16207000.0,310376634.0,-25512000.0,419353000.0,101347000.0,3658042000.0,14184000,-3352056000,5828772000.0,-56712000,-853399000.0,114381000.0,-11070000,-0.136579,,,,,,,,,,,,,
2017-06-30,0.02,4642000.0,-4633000,96365000,-92846000,5529000,57358000,5645195000.0,0.0,119241000.0,6001000.0,-1575000,9847000.0,,-33516000,5645195000.0,230498000.0,101975000,85941000,67515000,,3104000.0,158934000.0,158934000.0,192450000,9519326000.0,5420000,,84808000,-17909000,9175672000.0,140241000,6001000.0,5875355000.0,,0.0,312271578.0,242216000,54300000,17533000,0.0,110919000.0,4572000.0,-37035000,158934000,2929000,8216000,18426000,120240000,,7847000.0,311771221.0,-38799000.0,343654000.0,110919000.0,3643971000.0,7589000,-1052541000,5764436000.0,-4633000,-917961000.0,119241000.0,-11557000,0.02,,,,,,,,,,,,,
2017-09-30,-0.073004,315059000.0,-26266000,100041000,-38606000,-22510000,56796000,5644275000.0,0.0,117562000.0,6522000.0,-13959000,11986000.0,,-24493000,5644275000.0,230619000.0,104119000,94928000,67466000,,3114000.0,134441000.0,134441000.0,158934000,9524524000.0,-22745000,0.0,85849000,-9906000,9236302000.0,139417000,6522000.0,5922511000.0,0.0,0.0,311559780.0,243536000,44489000,40902000,0.0,160674000.0,8167000.0,-85928000,134441000,-17214000,12004000,27462000,97996000,-25090000.0,47363000.0,311559780.0,-86450000.0,288222000.0,160674000.0,3602013000.0,5321000,-3610000,5761837000.0,-26266000,-982463000.0,117562000.0,-14192000,-0.073004,,,,,,,,,,,,,
2017-12-31,,12930000.0,-52111000,-7478000,-11796000,-45965000,74244000,9651662000.0,0.0,188688000.0,16595000.0,-8088000,24525000.0,258207000.0,45437000,9651662000.0,435623000.0,129128000,170605000,107020000,37517000.0,5192000.0,179878000.0,179878000.0,134441000,18683638000.0,-45965000,-43254000.0,-33201000,-22346000,18145270000.0,200826000,16595000.0,10033763000.0,48376000.0,0.0,,329954000,30221000,-87424000,0.0,193413000.0,47885000.0,64711000,179878000,42563000,16739000,63585000,129153000,-25091000.0,-81711000.0,,-157595000.0,538368000.0,193413000.0,8498085000.0,5770000,-964386000,9840350000.0,-52111000,-1075634000.0,188688000.0,-25723000,,,,,,,,,,,,,,
2018-03-31,-0.03,26183000.0,-23082000,130080000,-53896000,-17269000,92299000,,0.0,,15415000.0,-4385000,28686000.0,258207000.0,-25814000,9668850000.0,481291000.0,177931000,172136000,144500000,21070000.0,5204000.0,134893000.0,134893000.0,416562000,18696445000.0,-17491000,-45832000.0,98818000,-19766000,18131541000.0,245738000,15415000.0,10059548000.0,114000.0,0.0,519660998.0,423669000,73602000,-11625000,,199317000.0,106918000.0,-101998000,390748000,-10817000,9498000,27636000,213717000,-57432000.0,10920000.0,519660998.0,-232296000.0,564904000.0,199317000.0,8491936000.0,7940000,-893269000,9860231000.0,-23082000,,191381000.0,-31262000,-0.03,,,,,,,,,,,,,
