date,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyLongTermDebt,quarterlyChangeInInventory
2001-12-31,,137579820,45830698,55671335,0.0,,41649018,35712415,-16234624.0,179964266.0,64528294,,223492583.0,35712415,265410719,-11484162.0,,,,2644920.0,321480653,-743332.0,27279580.0,,64505813.0,73051526,-1653530.0,403707770,18697596,41649018,5885436.0,,41649018,17463124,,,0.01,13833646.0,4194890240.0,290772.0,,-14598741.0,,-11193390.0,,20773894,-72831101.0,,3106397,,0.0,30572040.0,53393089.0,2546959,,7288077,48937095,150661482,0.009844,,,4231338944.0,,38794348.0,439420185,174009466,,179964266,179964266,9840637.0,8595270,149392226.0,440.0,-48763679.0,,,
2002-03-31,,139680502,45114326,55584069,0.0,,42283512,28782368,-9643543.0,210485940.0,64166152,,227766286.0,28782368,299153061,161593.0,,,,-9856518.0,363764165,-695476.0,22424646.0,,69017110.0,75514350,-1377272.0,442379366,19051826,42283512,3464018.0,,42283512,17787608,,,,12249392.0,,584179.0,,-8364708.0,,745772.0,,20236008,-80554555.0,,-5631156,,0.0,30521674.0,42186963.0,2893704,,7623312,49906824,147211731,,,,,,33822255.0,471161734,172008673,,210485940,210485940,10469743.0,8597001,179964266.0,,-53061748.0,,,
2002-06-30,,156314869,46435163,55956380,-54378.0,,42844300,60745400,-13185462.0,235466369.0,71040094,,235449529.0,45712260,348918984,-15511483.0,,,,-8607303.0,389651576,-138794.0,30662705.0,,84735380.0,85274775,-2561614.0,469473514,24604931,42844300,9244091.0,5033140.0,42844300,23156862,,15033140.0,0.010313,0.0,4196283520.0,10081483.0,,-10597535.0,,-5430000.0,,21445533,-88232710.0,,5096520,,0.0,24980429.0,43616040.0,5749204,,8687383,51531683,147216819,0.01,,,4247957824.0,7705557.0,33018505.0,530218914,181299930,,235466369,235466369,9521217.0,8597246,210485940.0,56260.0,-51977337.0,,,
2002-09-30,,181446939,55437616,66610893,,,46700471,67502594,-10650799.0,278309589.0,84884340,,246871299.0,51881292,406918202,-1129793.0,,,,-9408935.0,436352047,-1422500.0,37189116.0,,94986654.0,96562599,-4136819.0,524015809,29446724,46700471,10812402.0,5621302.0,46700471,27586872,,15621302.0,0.011094,0.0,4196296640.0,567384.0,,-6576659.0,,-562409.0,,22168435,-97669222.0,,534252,,0.0,42843220.0,50234040.0,3539862,,9271397,55971868,149202077,0.010938,,,4235257280.0,7154784.0,43657381.0,591518403,184600201,,278309589,278309589,11173277.0,8598962,235466369.0,339912.0,-45100193.0,,,
2002-12-31,,200014166,57272295,68520625,,,52253146,70269571,-11959429.0,308558738.0,89815238,,248376154.0,55269571,442692111,-17371770.0,,,,-5411217.0,471549036,-666731.0,37439002.0,,102408446.0,110198928,-2353511.0,565128565,32542943,52253146,11631043.0,5000000.0,52253146,30374746,,15000000.0,0.0125,0.0,4196440128.0,1546847.0,,-9622774.0,,-15824923.0,,28218699,-97669222.0,,6907692,,0.0,30249149.0,57462648.0,6073029,,11926841,64179987,150706932,0.012188,,,4266723904.0,7428310.0,47839874.0,635398136,192706025,,308558738,308558738,11248330.0,8601481,278309589.0,126497.0,-41097829.0,,,
2003-03-31,,216031051,59499122,71744605,,,53072124,78304048,-18146500.0,354362918.0,90708328,,276520413.0,63086290,507857817,99073.0,,,,-5238060.0,524621160,-190185.0,46249269.0,,109119856.0,125322723,-1748497.0,626004919,31209206,53072124,13202115.0,5217758.0,53072124,32339878,,15217758.0,,0.0,,609974.0,,-16360786.0,,709047.0,,25520839,-119326223.0,,5509646,,0.0,45804180.0,59878855.0,3208295,,11936644,65008768,157194190,,,,,6471236.0,43518069.0,704308967,196451150,,354362918,354362918,12245483.0,8602909,308558738.0,426611.0,-34261901.0,,,
2003-06-30,,233255636,64335343,75029243,-21666656.0,,58270546,92720512,-33779291.0,381122431.0,100353247,,296292633.0,77440340,571581387,-23125050.0,,,,4109504.0,559538951,-343977.0,53887919.0,,121875899.0,132902389,844854.0,678361765,36017904,58270546,15912616.0,5280172.0,58270546,35126783,,15280172.0,0.014063,0.0,4197357248.0,229720.0,,-13010698.0,,-22895330.0,,20891958,-131124043.0,,5300780,,0.0,26759513.0,74098915.0,7494851,,11064797,69335343,165168590,0.01375,,21548714.0,4228926656.0,5873532.0,61088217.0,771082277,199500890,,381122431,402671145,10693900.0,8603587,354362918.0,144954.0,-17179295.0,,,
2003-09-30,,250768976,67810210,82697196,-76294305.0,,64713753,99877241,-91215126.0,375967500.0,110026339,,316149270.0,84746876,651801497,1610463.0,,,,-189132.0,624252704,1251290.0,60087899.0,,129442231.0,140742637,878603.0,754392173,42216129,64713753,15551461.0,4427001.0,64713753,38450891,,15130365.0,0.030938,0.0,4197825792.0,878339.0,,-15793590.0,,2488802.0,,20272187,-143407676.0,,10242926,,0.0,-5154931.0,80715770.0,8871942,,13339383,78053136,172741594,0.030313,,98257986.0,4250414400.0,2628011.0,64922180.0,854269414,202467917,,375967500,474225486,14886986.0,8605728,381122431.0,235574.0,-7284266.0,,,
2003-12-31,,275886678,75690676,90363721,-32857088.0,,70545360,148219175,-61824067.0,421302898.0,120030479,,337507074.0,133034767,763854937,-25638949.0,,,,29322882.0,670884201,-54045.0,78656396.0,,153010094.0,155856199,-9150131.0,821023129,44339803,70545360,18510857.0,4427000.0,70545360,41413682,,15184408.0,0.016719,0.0,4205431168.0,13475987.0,,-19825851.0,,-12162962.0,,16746415,-155375452.0,,8842133,,0.0,45335398.0,114987497.0,35524870,,13987449,84532809,182131622,0.016719,,133011380.0,4299634944.0,,95161646.0,969242304,205387367,,421302898,554314278,14673045.0,8626207,375967500.0,342644.0,-2557306.0,,,
2004-03-31,,302673598,85580604,100412723,-74506459.0,,76760641,178601805,-117843016.0,444553465.0,129885560,,406483657.0,152042729,871857436,-29702.0,,,,11829853.0,747644842,-43963.0,99518224.0,,150102586.0,172788038,11388324.0,953580466,44304956,76760641,14711639.0,5001628.0,76760641,44044233,,26559076.0,,0.0,,22767617.0,,-44595921.0,,22737915.0,,14811763,-178064489.0,,3564335,,0.0,23250567.0,103650379.0,36647776,,12384298,89144939,228419168,,,217604513.0,,9712374.0,59054458.0,1132182271,260324835,,444553465,662157978,14832119.0,8647061,421302898.0,954890.0,40084033.0,,,
