date,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyLongTermDebt,quarterlyChangeInInventory
2006-12-31,,821000000,234000000,266000000,-366000000.0,,218000000,296000000,38000000.0,589000000.0,353000000,,908000000.0,295000000,1727000000,-71000000.0,2000000.0,,,-12000000.0,1612000000,-1000000.0,210000000.0,106000000.0,574000000.0,468000000,-131000000.0,2221000000,119000000,218000000,76000000.0,,218000000,118000000,,1000000.0,0.04875,0.0,4433606384.0,30000000.0,,-80000000.0,,-40000000.0,,40000000,-299000000.0,,13000000,,1000000.0,261000000.0,237000000.0,5000000,,29000000,247000000,609000000,0.0475,,498000000.0,4535067872.0,20000000.0,157000000.0,2517000000,790000000,499000000.0,589000000,1087000000,32000000.0,62000000,328000000.0,4000000.0,35000000.0,,,
2007-03-31,,863000000,237000000,272000000,15000000.0,,259000000,356000000,314000000.0,1403000000.0,366000000,,1165000000.0,355000000,2098000000,0.0,4000000.0,,,-19000000.0,1871000000,-2000000.0,274000000.0,128000000.0,565000000.0,497000000,128000000.0,2717000000,129000000,259000000,72000000.0,,259000000,128000000,,1000000.0,,35000000.0,,184000000.0,,-145000000.0,,185000000.0,,70000000,-427000000.0,,-15000000,,1000000.0,814000000.0,276000000.0,3000000,,6000000,265000000,738000000,,,6000000.0,,20000000.0,131000000.0,3073000000,975000000,464000000.0,1403000000,1409000000,35000000.0,64000000,589000000.0,6000000.0,90000000.0,,,
2007-06-30,,928000000,229000000,266000000,-116000000.0,,263000000,375000000,-74000000.0,1587000000.0,359000000,,1259000000.0,374000000,2357000000,-107000000.0,1000000.0,,,-12000000.0,2027000000,-12000000.0,283000000.0,136000000.0,695000000.0,569000000,3000000.0,3045000000,130000000,263000000,84000000.0,,263000000,128000000,,1000000.0,0.0575,0.0,4547010096.0,,,-83000000.0,,-107000000.0,,45000000,-427000000.0,,62000000,,0.0,184000000.0,277000000.0,4000000,,28000000,291000000,832000000,0.0575,,,4564051152.0,19000000.0,194000000.0,3420000000,1063000000,122000000.0,1587000000,1587000000,37000000.0,64000000,1403000000.0,3000000.0,261000000.0,,,
2007-09-30,,1022000000,281000000,319000000,-309000000.0,,271000000,507000000,-107000000.0,1837000000.0,431000000,,1449000000.0,507000000,2677000000,0.0,1000000.0,,,-24000000.0,2298000000,3000000.0,342000000.0,139000000.0,646000000.0,591000000,-4000000.0,3390000000,150000000,271000000,91000000.0,,271000000,148000000,,,0.06,0.0,4547010096.0,,,-100000000.0,,0.0,,120000000,-535000000.0,,38000000,,0.0,250000000.0,289000000.0,65000000,,48000000,319000000,914000000,0.06,,4000000.0,4563598192.0,18000000.0,189000000.0,3897000000,1220000000,306000000.0,1837000000,1841000000,38000000.0,64000000,1587000000.0,9000000.0,334000000.0,,,
2007-12-31,,1084000000,312000000,353000000,-68000000.0,,310000000,507000000,-139000000.0,1978000000.0,455000000,,1546000000.0,507000000,2877000000,-102000000.0,0.0,,,54000000.0,2506000000,-12000000.0,326000000.0,151000000.0,798000000.0,629000000,4000000.0,3637000000,143000000,310000000,94000000.0,,310000000,141000000,,,0.0675,30000000.0,4548103744.0,,,-82000000.0,,-94000000.0,,83000000,-578000000.0,,40000000,,8000000.0,141000000.0,393000000.0,79000000,,42000000,352000000,968000000,0.06375,,35000000.0,4562905032.0,28000000.0,311000000.0,4144000000,1267000000,34000000.0,1978000000,2013000000,41000000.0,64000000,1837000000.0,8000000.0,365000000.0,,,
2008-03-31,,1142000000,329000000,370000000,-18000000.0,,311000000,582000000,-103000000.0,2058000000.0,478000000,,1520000000.0,571000000,3129000000,0.0,1000000.0,,,-134000000.0,2817000000,-29000000.0,171000000.0,150000000.0,944000000.0,664000000,-9000000.0,3910000000,149000000,311000000,71000000.0,,311000000,147000000,,11000000.0,,99000000.0,,9000000.0,,-109000000.0,,15000000.0,,100000000,-498000000.0,,-134000000,,6000000.0,80000000.0,190000000.0,317000000,,53000000,364000000,1022000000,,,18000000.0,,25000000.0,81000000.0,4492000000,1363000000,38000000.0,2058000000,2076000000,41000000.0,64000000,1978000000.0,12000000.0,311000000.0,,,
2008-06-30,,1155000000,310000000,350000000,-38000000.0,,308000000,625000000,-108000000.0,1722000000.0,458000000,,1490000000.0,595000000,2831000000,-424000000.0,,,,-39000000.0,2780000000,,204000000.0,161000000.0,775000000.0,697000000,0.0,3532000000,148000000,308000000,91000000.0,,308000000,148000000,,30000000.0,0.0675,299000000.0,4554926776.0,6000000.0,,-80000000.0,,-418000000.0,,78000000,-500000000.0,,-18000000,,0.0,-336000000.0,331000000.0,296000000,,30000000,338000000,990000000,0.0675,,35000000.0,4563838008.0,13000000.0,251000000.0,4157000000,1326000000,19000000.0,1722000000,1757000000,40000000.0,64000000,2058000000.0,4000000.0,27000000.0,,,
2008-09-30,,1216000000,361000000,402000000,-22000000.0,,320000000,631000000,-63000000.0,1886000000.0,525000000,,1413000000.0,584000000,2890000000,,,,,20000000.0,3100000000,,205000000.0,147000000.0,926000000.0,691000000,-16000000.0,3538000000,164000000,320000000,84000000.0,,320000000,164000000,,47000000.0,0.07,72000000.0,4556737584.0,2000000.0,,-88000000.0,,2000000.0,,79000000,-464000000.0,,-28000000,,0.0,164000000.0,369000000.0,290000000,,56000000,376000000,949000000,0.07,,,4565770448.0,11000000.0,281000000.0,4169000000,1279000000,57000000.0,1886000000,1886000000,41000000.0,64000000,1722000000.0,5000000.0,-289000000.0,,,
2008-12-31,,1171000000,371000000,415000000,0.0,,330000000,606000000,-103000000.0,1948000000.0,510000000,,1422000000.0,595000000,2956000000,,,,,64000000.0,3212000000,,137000000.0,122000000.0,885000000.0,661000000,-45000000.0,3593000000,139000000,330000000,87000000.0,,330000000,137000000,,11000000.0,0.0725,73000000.0,4558046056.0,3000000.0,,-58000000.0,,-132000000.0,,87000000,-484000000.0,,-39000000,,-135000000.0,62000000.0,393000000.0,368000000,,48000000,378000000,938000000,0.0725,,41000000.0,4563592552.0,17000000.0,335000000.0,4199000000,1243000000,0.0,1948000000,1989000000,44000000.0,64000000,1886000000.0,3000000.0,-413000000.0,,,
2009-03-31,,1121000000,336000000,376000000,-167000000.0,,327000000,592000000,-16000000.0,2167000000.0,470000000,115000000.0,1394000000.0,537000000,3120000000,0.0,-4000000.0,,,-80000000.0,3618000000,,,135000000.0,872000000.0,651000000,43000000.0,3784000000,134000000,327000000,65000000.0,0.0,327000000,141000000,,55000000.0,,41000000.0,,3000000.0,,-59000000.0,,3000000.0,,106000000,-474000000.0,7000000.0,-1000000,,0.0,684000000.0,316000000.0,334000000,,60000000,387000000,920000000,,,0.0,,7000000.0,257000000.0,4376000000,1256000000,167000000.0,2167000000,2167000000,40000000.0,64000000,1948000000.0,5000000.0,,,,
2009-06-30,,1122000000,338000000,384000000,0.0,,313000000,677000000,-264000000.0,2270000000.0,479000000,144000000.0,,616000000,3506000000,-161000000.0,,,,12000000.0,3742000000,,,144000000.0,895000000.0,643000000,-236000000.0,4148000000,141000000,313000000,89000000.0,0.0,313000000,141000000,,61000000.0,0.06875,0.0,4560921840.0,4000000.0,,-30000000.0,,-157000000.0,,115000000,,8000000.0,7000000,,0.0,-34000000.0,387000000.0,336000000,,80000000,393000000,958000000,0.06875,52000000.0,245000000.0,4566544600.0,7000000.0,357000000.0,4825000000,1319000000,2000000.0,2270000000,2515000000,46000000.0,64000000,2167000000.0,2000000.0,,,,
2009-09-30,,1154000000,350000000,398000000,-988000000.0,,317000000,717000000,-474000000.0,2208000000.0,492000000,137000000.0,1538000000.0,661000000,3855000000,-27000000.0,,,,87000000.0,4070000000,,29000000.0,144000000.0,700000000.0,662000000,232000000.0,4471000000,142000000,317000000,,0.0,317000000,142000000,,56000000.0,0.07,0.0,4562745424.0,5000000.0,,-41000000.0,,-22000000.0,,128000000,-592000000.0,8000000.0,8000000,,0.0,-69000000.0,427000000.0,471000000,,82000000,399000000,946000000,0.07,11000000.0,675000000.0,4568372360.0,6000000.0,386000000.0,5188000000,1333000000,323000000.0,2208000000,2883000000,48000000.0,64000000,2270000000.0,2000000.0,,,,
2009-12-31,,1232000000,382000000,437000000,-786000000.0,,334000000,760000000,-485000000.0,1972000000.0,532000000,154000000.0,1619000000.0,697000000,4135000000,-142000000.0,,,,-34000000.0,4262000000,,30000000.0,178000000.0,724000000.0,700000000,21000000.0,4818000000,150000000,334000000,133000000.0,9000000.0,334000000,150000000,,63000000.0,0.07375,0.0,4564823760.0,4000000.0,,-31000000.0,,-138000000.0,,153000000,-658000000.0,8000000.0,50000000,,0.0,-305000000.0,318000000.0,361000000,-37000000.0,98000000,432000000,961000000,0.07375,3000000.0,1149000000.0,4569466480.0,15000000.0,287000000.0,5578000000,1443000000,348000000.0,1972000000,3121000000,55000000.0,64000000,2208000000.0,3000000.0,,,,
2010-03-31,0.0,1296000000,390000000,440000000,-566000000.0,,349000000,787000000,293000000.0,2698000000.0,552000000,161000000.0,1630000000.0,710000000,4661000000,0.0,0.0,,,-71000000.0,4611000000,,29000000.0,183000000.0,778000000.0,744000000,1000000.0,5361000000,162000000,349000000,118000000.0,13000000.0,349000000,162000000,,77000000.0,,0.0,,7000000.0,,-41000000.0,,7000000.0,,225000000,-641000000.0,26000000.0,-109000000,,0.0,625000000.0,325000000.0,382000000,0.0,96000000,445000000,989000000,,-25000000.0,855000000.0,,12000000.0,284000000.0,6148000000,1487000000,898000000.0,2698000000,3553000000,50000000.0,64000000,1972000000.0,2000000.0,,,,
2010-06-30,,1358000000,384000000,429000000,-137000000.0,,326000000,831000000,293000000.0,3011000000.0,558000000,208000000.0,1618000000.0,779000000,4658000000,-184000000.0,,,,-88000000.0,4722000000,,30000000.0,178000000.0,828000000.0,800000000,475000000.0,5284000000,174000000,326000000,,13000000.0,326000000,174000000,,52000000.0,0.07125,42000000.0,4568288536.0,1000000.0,,-51000000.0,,-214000000.0,,250000000,-663000000.0,1000000.0,53000000,,-31000000.0,417000000.0,338000000.0,393000000,,111000000,437000000,955000000,0.07125,-77000000.0,393000000.0,4570660568.0,12000000.0,287000000.0,6115000000,1457000000,6000000.0,3011000000,3404000000,45000000.0,64000000,2698000000.0,5000000.0,,,,
2010-09-30,,1496000000,452000000,499000000,-351000000.0,,374000000,883000000,-49000000.0,3427000000.0,641000000,201000000.0,1737000000.0,825000000,5211000000,0.0,,,,-38000000.0,5096000000,,340000000.0,183000000.0,928000000.0,855000000,-509000000.0,5859000000,189000000,374000000,,13000000.0,374000000,189000000,,58000000.0,0.08125,0.0,4569050936.0,2000000.0,,-67000000.0,,2000000.0,,116000000,-729000000.0,1000000.0,2000000,,0.0,294000000.0,341000000.0,258000000,,135000000,509000000,1008000000,0.08125,-70000000.0,446000000.0,4570870536.0,12000000.0,274000000.0,6742000000,1531000000,878000000.0,3427000000,3873000000,47000000.0,64000000,3011000000.0,8000000.0,,,,
2010-12-31,,1585000000,479000000,527000000,-81000000.0,,397000000,863000000,96000000.0,3314000000.0,679000000,182000000.0,1833000000.0,791000000,4939000000,-515000000.0,,,,-45000000.0,4892000000,,28000000.0,184000000.0,969000000.0,906000000,-4000000.0,5695000000,200000000,397000000,128000000.0,14000000.0,397000000,200000000,,72000000.0,0.08625,0.0,4569974408.0,2000000.0,,-93000000.0,,-599000000.0,6000000.0,124000000,-776000000.0,3000000.0,65000000,,-86000000.0,-140000000.0,363000000.0,429000000,,147000000,544000000,1057000000,0.08625,-36000000.0,251000000.0,4571047104.0,11000000.0,270000000.0,6558000000,1619000000,274000000.0,3314000000,3565000000,48000000.0,64000000,3427000000.0,6000000.0,,,,
2011-03-31,,1602000000,464000000,513000000,-41000000.0,,402000000,888000000,150000000.0,3737000000.0,666000000,183000000.0,1816000000.0,816000000,5312000000,-117000000.0,0.0,,,-118000000.0,5294000000,,31000000.0,185000000.0,1043000000.0,936000000,9000000.0,6122000000,202000000,402000000,116000000.0,14000000.0,402000000,202000000,,72000000.0,,0.0,,0.0,,-74000000.0,,0.0,5000000.0,103000000,-730000000.0,0.0,-161000000,,117000000.0,406000000.0,256000000.0,456000000,0.0,154000000,556000000,1086000000,,-71000000.0,47000000.0,,11000000.0,182000000.0,7010000000,1698000000,256000000.0,3737000000,3784000000,49000000.0,64000000,3314000000.0,10000000.0,,,,
2011-06-30,,1671000000,435000000,485000000,-317000000.0,-5000000.0,384000000,938000000,-37000000.0,3784000000.0,649000000,232000000.0,1872000000.0,846000000,5567000000,-254000000.0,284000000.0,,,-106000000.0,5387000000,150000000.0,24000000.0,185000000.0,1092000000.0,1022000000,0.0,6208000000,214000000,384000000,118000000.0,18000000.0,384000000,214000000,,92000000.0,0.08375,312000000.0,4570667992.0,0.0,,-57000000.0,,-290000000.0,5000000.0,117000000,-779000000.0,0.0,12000000,,-36000000.0,50000000.0,377000000.0,440000000,,150000000,534000000,1093000000,0.08375,-50000000.0,5000000.0,4571171008.0,10000000.0,320000000.0,7146000000,1579000000,337000000.0,3784000000,3789000000,50000000.0,64000000,3737000000.0,5000000.0,,,,
2011-09-30,,1746000000,490000000,541000000,-306000000.0,0.0,411000000,989000000,-106000000.0,3784000000.0,721000000,230000000.0,1783000000.0,894000000,5409000000,0.0,-545000000.0,,,-9000000.0,5792000000,164000000.0,229000000.0,171000000.0,1109000000.0,1025000000,-28000000.0,6057000000,231000000,411000000,121000000.0,15000000.0,411000000,231000000,,95000000.0,0.09,8000000.0,4570873776.0,1000000.0,,-94000000.0,,-5000000.0,,122000000,-757000000.0,,-3000000,,-6000000.0,343000000.0,454000000.0,39000000,,164000000,575000000,1026000000,0.09,-121000000.0,5000000.0,4571143392.0,24000000.0,360000000.0,7046000000,1637000000,307000000.0,3784000000,3789000000,51000000.0,64000000,3784000000.0,5000000.0,,,,
2011-12-31,,1806000000,560000000,605000000,-444000000.0,1000000.0,458000000,967000000,-94000000.0,3671000000.0,776000000,175000000.0,1700000000.0,947000000,5444000000,-177000000.0,-172000000.0,,,-71000000.0,6046000000,184000000.0,97000000.0,160000000.0,1140000000.0,1030000000,-6000000.0,5869000000,216000000,458000000,108000000.0,15000000.0,458000000,216000000,,20000000.0,0.1,2000000.0,4571016672.0,0.0,,-50000000.0,,-205000000.0,,32000000,-745000000.0,5000000.0,-1000000,,-28000000.0,142000000.0,441000000.0,534000000,,184000000,642000000,955000000,0.1,-120000000.0,46000000.0,4571172480.0,24000000.0,391000000.0,6836000000,1392000000,406000000.0,3671000000,3717000000,45000000.0,64000000,3784000000.0,6000000.0,,,,
2012-03-31,,1771000000,528000000,577000000,-255000000.0,-1000000.0,463000000,961000000,-192000000.0,4047000000.0,730000000,207000000.0,1775000000.0,937000000,5945000000,-70000000.0,-215000000.0,,5000000.0,-82000000.0,6509000000,196000000.0,213000000.0,195000000.0,1156000000.0,1041000000,-3000000.0,6576000000,202000000,463000000,107000000.0,14000000.0,463000000,202000000,,24000000.0,,6000000.0,,0.0,,-119000000.0,,0.0,,27000000,-712000000.0,2000000.0,15000000,,70000000.0,217000000.0,409000000.0,54000000,,196000000,659000000,1063000000,,44000000.0,68000000.0,,34000000.0,290000000.0,7537000000,1592000000,226000000.0,4047000000,4115000000,49000000.0,64000000,3671000000.0,5000000.0,,,,
2012-06-30,,1752000000,489000000,535000000,-888000000.0,3000000.0,416000000,1059000000,-477000000.0,3242000000.0,693000000,254000000.0,1707000000.0,1027000000,5612000000,-329000000.0,479000000.0,,5000000.0,-133000000.0,6543000000,,218000000.0,183000000.0,1240000000.0,1059000000,-2000000.0,6057000000,204000000,416000000,139000000.0,12000000.0,416000000,204000000,,32000000.0,0.09125,389000000.0,4571172408.0,,,-80000000.0,,-382000000.0,9000000.0,22000000,-698000000.0,11000000.0,-59000000,,-53000000.0,-474000000.0,385000000.0,93000000,,160000000,576000000,1009000000,0.09125,-185000000.0,64000000.0,4571185128.0,32000000.0,305000000.0,7116000000,1504000000,493000000.0,3242000000,3306000000,46000000.0,64000000,4047000000.0,7000000.0,,,,
2012-09-30,,1797000000,472000000,522000000,-857000000.0,-1000000.0,431000000,1066000000,-579000000.0,3265000000.0,683000000,241000000.0,1879000000.0,1043000000,6245000000,0.0,372000000.0,,,5000000.0,6974000000,,109000000.0,191000000.0,1264000000.0,1114000000,-10000000.0,6813000000,211000000,431000000,144000000.0,13000000.0,431000000,211000000,,23000000.0,0.09375,970000000.0,4571181992.0,,,-84000000.0,,0.0,12000000.0,34000000,-782000000.0,10000000.0,50000000,,0.0,-128000000.0,451000000.0,503000000,,170000000,601000000,1097000000,0.09375,39000000.0,49000000.0,4571188904.0,34000000.0,367000000.0,7879000000,1634000000,373000000.0,3265000000,3314000000,50000000.0,64000000,3242000000.0,6000000.0,,,,
2012-12-31,,1911000000,491000000,545000000,1733000000.0,0.0,434000000,1142000000,-691000000.0,2740000000.0,708000000,369000000.0,1935000000.0,1108000000,6085000000,-159000000.0,-850000000.0,,5000000.0,31000000.0,7223000000,443000000.0,250000000.0,368000000.0,1266000000.0,1203000000,-3146000000.0,6813000000,217000000,434000000,158000000.0,9000000.0,434000000,197000000,,34000000.0,0.095,3000000.0,4571200688.0,1000000.0,,-105000000.0,,-200000000.0,14000000.0,15000000,-809000000.0,16000000.0,21000000,,-26000000.0,-408000000.0,483000000.0,45000000,-205000000.0,149000000,583000000,1126000000,0.095,-12000000.0,1339000000.0,4571203336.0,61000000.0,378000000.0,7955000000,1870000000,1032000000.0,2740000000,4079000000,54000000.0,64000000,3265000000.0,13000000.0,,,,
2013-03-31,,1938000000,457000000,457000000,-57000000.0,21000000.0,444000000,1208000000,820000000.0,4021000000.0,677000000,245000000.0,1191000000.0,1158000000,6505000000,-1000000.0,10000000.0,0.0,5000000.0,-81000000.0,7666000000,138000000.0,236000000.0,364000000.0,1305000000.0,1261000000,-886000000.0,7331000000,220000000,444000000,158000000.0,27000000.0,444000000,220000000,0.0,50000000.0,0.0975,25000000.0,4571220528.0,0.0,,-115000000.0,,-1000000.0,72000000.0,44000000,-775000000.0,23000000.0,125000000,,0.0,1238000000.0,419000000.0,568000000,-7000000.0,138000000,582000000,1191000000,0.0975,-23000000.0,320000000.0,4571220528.0,68000000.0,304000000.0,8539000000,2034000000,1885000000.0,4021000000,4341000000,57000000.0,64000000,2740000000.0,35000000.0,,,,
2013-06-30,,1991000000,468000000,524000000,-1047000000.0,-20000000.0,418000000,1298000000,-233000000.0,3556000000.0,695000000,436000000.0,1898000000.0,1240000000,6204000000,-258000000.0,7000000.0,,5000000.0,-124000000.0,7776000000,153000000.0,248000000.0,350000000.0,1375000000.0,1296000000,-1000000.0,6832000000,227000000,418000000,144000000.0,20000000.0,418000000,198000000,,58000000.0,0.09125,25000000.0,4571220528.0,,,-87000000.0,,-302000000.0,87000000.0,16000000,-763000000.0,24000000.0,12000000,,-44000000.0,-117000000.0,418000000.0,112000000,,153000000,571000000,1135000000,0.09125,-191000000.0,412000000.0,4571220528.0,53000000.0,331000000.0,8130000000,1926000000,902000000.0,3556000000,3968000000,56000000.0,64000000,4021000000.0,12000000.0,,,,
2013-09-30,,2066000000,451000000,505000000,-896000000.0,16000000.0,383000000,1497000000,-330000000.0,3601000000.0,729000000,448000000.0,1908000000.0,1442000000,6358000000,0.0,7000000.0,,5000000.0,155000000.0,8159000000,149000000.0,265000000.0,352000000.0,1333000000.0,1337000000,10000000.0,6900000000,278000000,383000000,138000000.0,28000000.0,383000000,250000000,,55000000.0,0.08375,4000000.0,4571220528.0,,,-112000000.0,,0.0,165000000.0,6000000,-777000000.0,11000000.0,-2000000,,0.0,224000000.0,554000000.0,135000000,,149000000,532000000,1131000000,0.08375,-20000000.0,532000000.0,4571220528.0,51000000.0,442000000.0,8397000000,2039000000,668000000.0,3601000000,4133000000,54000000.0,64000000,3556000000.0,16000000.0,,,,
2013-12-31,,2100000000,530000000,588000000,-1005000000.0,13000000.0,463000000,1502000000,-160000000.0,3712000000.0,759000000,484000000.0,2053000000.0,1442000000,6534000000,-181000000.0,7000000.0,,8000000.0,-60000000.0,8405000000,180000000.0,285000000.0,354000000.0,1447000000.0,1341000000,-36000000.0,7231000000,229000000,463000000,353000000.0,36000000.0,463000000,203000000,,60000000.0,0.10125,39000000.0,4571220528.0,,,-123000000.0,,-217000000.0,203000000.0,17000000,-840000000.0,11000000.0,26000000,,-36000000.0,61000000.0,438000000.0,94000000,0.0,180000000,643000000,1213000000,0.10125,-96000000.0,524000000.0,4571220528.0,49000000.0,315000000.0,8733000000,2199000000,1004000000.0,3712000000,4236000000,58000000.0,64000000,3601000000.0,29000000.0,,,,
2014-03-31,,2092000000,534000000,534000000,-961000000.0,-4000000.0,487000000,1589000000,-100000000.0,4331000000.0,774000000,365000000.0,1316000000.0,1524000000,7180000000,-80000000.0,5000000.0,0.0,7000000.0,35000000.0,8892000000,186000000.0,308000000.0,360000000.0,1394000000.0,1318000000,19000000.0,7933000000,240000000,487000000,116000000.0,54000000.0,487000000,240000000,0.0,65000000.0,0.10625,25000000.0,4571220528.0,0.0,,-129000000.0,,0.0,208000000.0,37000000,-922000000.0,11000000.0,139000000,,80000000.0,493000000.0,593000000.0,792000000,0.0,186000000,673000000,1316000000,0.10625,98000000.0,510000000.0,4571220528.0,57000000.0,464000000.0,9522000000,2342000000,971000000.0,4331000000,4841000000,58000000.0,64000000,3712000000.0,29000000.0,,,,
2014-06-30,,2133000000,544000000,583000000,-1054000000.0,-9000000.0,482000000,1725000000,-128000000.0,4164000000.0,789000000,628000000.0,2302000000.0,1656000000,7244000000,-479000000.0,8000000.0,,7000000.0,-146000000.0,8895000000,193000000.0,288000000.0,359000000.0,1524000000.0,1344000000,3000000.0,7900000000,245000000,482000000,150000000.0,52000000.0,482000000,203000000,,69000000.0,0.105,26000000.0,4571220528.0,,,-75000000.0,,-479000000.0,216000000.0,10000000,-948000000.0,10000000.0,131000000,,0.0,-142000000.0,465000000.0,79000000,,193000000,675000000,1354000000,0.105,-156000000.0,564000000.0,4571220528.0,54000000.0,390000000.0,9625000000,2381000000,998000000.0,4164000000,4728000000,39000000.0,64000000,4331000000.0,17000000.0,,,,
2014-09-30,,2201000000,588000000,635000000,-950000000.0,6000000.0,511000000,1797000000,-151000000.0,4604000000.0,848000000,617000000.0,2327000000.0,1725000000,7627000000,0.0,17000000.0,,,137000000.0,9406000000,208000000.0,280000000.0,340000000.0,1464000000.0,1353000000,23000000.0,8192000000,260000000,511000000,140000000.0,55000000.0,511000000,224000000,,72000000.0,0.11125,12000000.0,4571220528.0,,,-93000000.0,,0.0,213000000.0,44000000,-967000000.0,9000000.0,131000000,,0.0,555000000.0,706000000.0,57000000,,208000000,719000000,1360000000,0.11125,14000000.0,628000000.0,4571232224.0,49000000.0,613000000.0,9989000000,2362000000,869000000.0,5051000000,5679000000,47000000.0,64000000,4164000000.0,22000000.0,,,,
2014-12-31,,2218000000,602000000,645000000,-757000000.0,6000000.0,522000000,1813000000,314000000.0,5080000000.0,858000000,607000000.0,2368000000.0,1795000000,7664000000,-336000000.0,14000000.0,,8000000.0,51000000.0,9592000000,206000000.0,307000000.0,330000000.0,1437000000.0,1360000000,20000000.0,8215000000,256000000,522000000,143000000.0,2000000.0,522000000,228000000,,18000000.0,0.115,1000000.0,4571220528.0,,,-93000000.0,,-336000000.0,214000000.0,17000000,-983000000.0,8000000.0,126000000,,0.0,587000000.0,609000000.0,115000000,,206000000,728000000,1385000000,0.115,4000000.0,239000000.0,4571309584.0,45000000.0,516000000.0,10028000000,2364000000,1144000000.0,5080000000,5319000000,43000000.0,109000000,4604000000.0,28000000.0,,,,
2015-03-31,,2159000000,555000000,555000000,-1145000000.0,-6000000.0,498000000,1853000000,-240000000.0,4859000000.0,842000000,451000000.0,1460000000.0,1820000000,7551000000,0.0,14000000.0,,8000000.0,-226000000.0,10090000000,198000000.0,319000000.0,495000000.0,1554000000.0,1317000000,-15000000.0,8762000000,287000000,498000000,172000000.0,8000000.0,498000000,287000000,,33000000.0,0.11,1000000.0,4571220528.0,,,-106000000.0,,0.0,230000000.0,38000000,-1028000000.0,25000000.0,141000000,,0.0,-264000000.0,-24000000.0,927000000,,198000000,696000000,1460000000,0.11,-102000000.0,140000000.0,4571334504.0,102000000.0,-130000000.0,10615000000,3064000000,1247000000.0,4859000000,4999000000,46000000.0,109000000,5080000000.0,22000000.0,,,,
2015-06-30,,2256000000,541000000,590000000,-1305000000.0,8000000.0,476000000,2125000000,-171000000.0,4421000000.0,822000000,683000000.0,2547000000.0,2062000000,7294000000,-528000000.0,7000000.0,,7000000.0,-158000000.0,9930000000,184000000.0,345000000.0,571000000.0,1657000000.0,1434000000,2370000000.0,8462000000,281000000,476000000,189000000.0,11000000.0,476000000,249000000,,63000000.0,0.105,16000000.0,4571220528.0,,,-105000000.0,,-528000000.0,230000000.0,48000000,-1053000000.0,45000000.0,119000000,,0.0,-354000000.0,345000000.0,146000000,-87000000.0,184000000,660000000,1494000000,0.105,-121000000.0,116000000.0,4571344618.0,149000000.0,240000000.0,10587000000,3293000000,1326000000.0,4421000000,4537000000,49000000.0,199000000,4859000000.0,31000000.0,0.0,,,
