date,quarterlyOtherNonCashItems,quarterlyNetIncomeCommonStockholders,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyDeferredIncomeTax,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyDilutedEPS,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyNetIncome,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyInventory,quarterlyTaxProvision,quarterlyOperatingExpense,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyPretaxIncome,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalAssets,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyGoodwill
2014-09-30,-9000,-18320000,-17395000,1205000,29721000,79977000,510000,-38997000.0,-17905000,,-1386000,,,,-18282000,,,,,4374000,,,,201000,-0.253958,,,2586000,,-2562000.0,,1788000,-18320000,1000.0,,-18320000,10417000,-33000,,,,,,0.0,,,362000,19693000,,9276000,0.0,-33000,-283000,,72137939.0,,-17958000,-17999000,,11689000,,0.0,,,69000000,68288000,,,,72137939.0,-0.253958,,,,,,
2014-12-31,-2000,-22916000,-22614000,1270000,-6902000,57613000,498000,-29999000.0,-23009000,,3530000,44999000.0,,20001000.0,-18601000,-276500000.0,17669000.0,10025000.0,111830000.0,3801000,321000.0,308000.0,0.0,-750000,,4858000.0,5943000.0,2630000,2332000.0,2903000.0,70000.0,1171000,-22916000,82000.0,97875000.0,-22916000,12990000,1000,-4276000.0,,57613000.0,102612000.0,,-246000.0,5749000.0,3446000.0,-146000,24180000,,11190000,0.0,2154000,-985000,227000.0,,,-23062000,-17616000,0.0,-22364000,117876000.0,0.0,6046000.0,,24000000,79977000,0.0,10033000.0,,,,,,,,,
2015-03-31,467000,-23273000,-21422000,1812000,21283000,74218000,524000,-21997000.0,-21946000,,-8027000,,,,-30113000,,,,,5208000,,,,-3732000,-0.322618,,,3897000,,-672000.0,,1311000,-23273000,-73000.0,,-23273000,13330000,-16000,,,,,,-1182000.0,,,736000,23257000,,9927000,0.0,23788000,-1647000,,72137939.0,0.0,-22537000,-28466000,,16605000,,-5000.0,,,45000000,57613000,,,,72137939.0,-0.322618,,,,,,
2015-06-30,395000,-29357000,-26618000,2632000,-37905000,106508000,588000,-36995000.0,-27206000,,2540000,56996000.0,,48463000.0,-26141000,-329130000.0,22251000.0,11329000.0,180928000.0,6543000,24539000.0,1419000.0,0.0,-1415000,-0.355081,7851000.0,5261000.0,4750000,26212000.0,3757000.0,71000.0,1793000,-29357000,40000.0,144307000.0,-29357000,16234000,-935000,-2377000.0,,106508000.0,163504000.0,,0.0,8952000.0,8593000.0,1275000,28999000,,12765000,-294000.0,93386000,-2950000,2025000.0,82676810.0,94599000.0,-28082000,-23191000,0.0,32290000,192770000.0,0.0,11842000.0,,2000000,74218000,0.0,13379000.0,,82676810.0,-0.355081,,,,,,
2015-09-30,-477000,-26023000,-24238000,2928000,27365000,110324000,893000,,-24238000,,573000,26999000.0,,52557000.0,-24669000,-355153000.0,25915000.0,10622000.0,158802000.0,8953000,24554000.0,1840000.0,0.0,-2556000,-0.314756,10164000.0,,5659000,26642000.0,1512000.0,75000.0,3294000,-26023000,-72000.0,121224000.0,-26023000,17321000,-16000,,,110324000.0,137323000.0,,-809000.0,10622000.0,11149000.0,976000,27532000,,10211000,-1439000.0,-1443000,-2563000,1705000.0,82676810.0,,-25047000,-22106000,0.0,3816000,173781000.0,,14979000.0,,30000000,106508000,0.0,15235000.0,,82676810.0,-0.314756,,,,,,
2015-12-31,616000,-32928000,-30236000,4488000,-126038000,119423000,1148000,-150006000.0,-30606000,,551000,150001000.0,,56516000.0,-29232000,-388081000.0,28627000.0,19715000.0,293904000.0,12383000,23351000.0,1565000.0,0.0,-2445000,,,9022000.0,6304000,27889000.0,2364000.0,79000.0,6079000,-32928000,79000.0,250820000.0,-32928000,25840000,-16000,-7134000.0,,119423000.0,269424000.0,,-862000.0,12581000.0,13594000.0,1448000,36685000,,10845000,-92866000.0,161258000,-3111000,772000.0,,,-31480000,-26121000,0.0,9099000,307336000.0,0.0,13432000.0,,27000000,110324000,0.0,16755000.0,-1505000.0,,,,,,,,
2016-03-31,620000,-35437000,-30835000,5456000,27445000,115932000,1103000,-119728000.0,-31938000,,-2724000,119842000.0,,58592000.0,-33805000,-423518000.0,29428000.0,14301000.0,263641000.0,13053000,23193000.0,3148000.0,0.0,-2852000,-0.42,,,7982000,29164000.0,1823000.0,84000.0,5071000,-35437000,1000.0,220426000.0,-35437000,25564000,-16000,,,115932000.0,235774000.0,,-1098000.0,14301000.0,16446000.0,2950000,37009000,,11445000,0.0,41000,-2828000,992000.0,84397164.0,0.0,-32487000,-30977000,0.0,-3491000,279018000.0,0.0,15377000.0,,150000000,119423000,0.0,18578000.0,-1975000.0,84397164.0,-0.42,,,,,,
2016-06-30,-676000,-40612000,-35830000,5637000,-6625000,80871000,1407000,0.0,-37237000,,-1575000,119979000.0,,63873000.0,-36006000,-464130000.0,34618000.0,14663000.0,234698000.0,17919000,23292000.0,3371000.0,0.0,-4769000,-0.48,,,16209000,29255000.0,2321000.0,82000.0,1710000,-40612000,-13000.0,186646000.0,-40612000,27629000,-19000,,,80871000.0,200850000.0,,0.0,14663000.0,21215000.0,2820000,38947000,,11318000,0.0,902000,-6612000,1076000.0,85274683.0,0.0,-37792000,-29394000,0.0,-35061000,250519000.0,0.0,15821000.0,,0,115932000,0.0,22007000.0,-1684000.0,85274683.0,-0.48,,,,,,
2016-09-30,303000,-33628000,-26712000,5626000,-4414000,115822000,1553000,-119613000.0,-28265000,,-7360000,119724000.0,,132850000.0,-38324000,-497758000.0,29712000.0,17928000.0,271430000.0,21674000,95970000.0,4036000.0,0.0,-2757000,-0.39,,,11118000,103138000.0,-6765000.0,89000.0,10556000,-33628000,27000.0,158243000.0,-33628000,28588000,-17000,,,115822000.0,235546000.0,,0.0,17928000.0,23972000.0,3174000,38821000,,10233000,0.0,72853000,-4828000,1646000.0,85774874.0,,-30454000,-33496000,0.0,34951000,291093000.0,,19663000.0,,120000000,80871000,0.0,15243000.0,-2085000.0,85774874.0,-0.39,,,,,,
2016-12-31,-92000,-22168000,-17878000,5420000,-3591000,99780000,1589000,0.0,-17878000,,2218000,119854000.0,,139736000.0,-17121000,-519926000.0,36882000.0,18620000.0,261873000.0,30242000,96231000.0,4033000.0,0.0,-1577000,,6339000.0,7617000.0,10973000,102854000.0,4222000.0,88000.0,19268000,-22168000,-195000.0,142345000.0,-22168000,28675000,-18000,-8663000.0,2400000.0,99780000.0,219634000.0,2267000.0,0.0,18620000.0,25549000.0,1437000,37146000,,8471000,1314000.0,1328000,-3396000,1500000.0,,,-20731000,-13725000,0.0,-16042000,282081000.0,,20208000.0,,0,115822000,0.0,18356000.0,-1883000.0,,,,,,,,
