date,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyCapitalStock,quarterlyOtherShortTermInvestments,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOtherIntangibleAssets,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2010-06-30,4734222090,-109712806,,22755739636,0.0,-188623040.0,161330767,4902690690,1129782304,95649950958,66046488473,5624448725,4494666421,4093618350,,29956214683,,29603462485,349953807.0,9760389490,65315058070,1007551835,3455680365,2537029581.0,14203115247,,254691252.0,20195825193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,4404276817,9381345887,,23992832162,5063064.0,,177627285,5260064872,1314373187,101661833432,69512376838,7376658608,6062285421,3673798726,,25454411994,,32149456594,,8631232475,75671622475,734055879,3941628335,2702500727.0,10179050457,,38394990.0,16823179519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2265146437,0,12298233680.0,1085814484,1645869.0,-264595968.0,149834828,5279040969,879730173,108928634792,74625826509,8800209270,7920479097,3470981667,1989398606.0,27604589239,44999848889.0,34302808283,414430796.0,8148865562,80665398164,843855615,4532418677,948.0,12301197133,,22812356603.0,19455723677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,5625123188,0,10559331378.0,23057013788,2450.0,,135139725,5888894424,558178673,112336353368,76891295982,8135154814,7576976141,4203965567,1735170247.0,27939059522,47356516679.0,35445057386,,10395835899,83747108603,4097652801,4806322371,935.0,10300417925,,104305901.0,17543223623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,1846972089,0,12513431380.0,1546545612,887.0,-305927227.0,123271895,5911789367,570874967,113138062354,77790394761,5613293063,5042418096,3492162113,41392900959.0,22739869203,13342681980.0,35347667593,429199122.0,7312394045,89712192333,2007633655,5283754510,0.0,7823684649,590130004.0,21869542575.0,15427475158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,1833930401,0,,24395130927,827.0,,1356843249,0,522565429,124108315305,86033116534,8910300374,8387734945,3820606888,,21390479737,63445056385.0,38075198771,1356843249.0,8597590906,101786491285,1291766501,1326399880,3253727843.0,11466488951,,24376701774.0,12792888831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,4552717817,1187175429,,26391612442,977093758.0,-353301054.0,1305449435,0,426518325,129263213300,88487464480,12046162230,11619643905,3313987059,,23278077776,66258133004.0,40775748820,1658750489.0,12986780314,104806214612,362424466,1509757243,3141348154.0,8781540219,,26373908525.0,10291297462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,2790134984,0,,29057808936,2334745727.0,,1288437349,0,506402794,133829693515,90658390445,10975977404,10469574610,3615289770,,24365675326,68999138621.0,43171303070,1288437349.0,12617929082,108212724023,1260100229,1620799042,3157573275.0,10126947202,,29039567320.0,11747746244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,120548714,1303292089,,29520283890,0.0,-400770679.0,1432502082,0,554800591,136928634711,90181434914,14554223100,13999422509,3483872299,,23979192631,72197478728.0,46747199797,1833272761.0,11098434981,111665373467,375864549,1713619521,3247521343.0,11167138129,,29501575069.0,12880757650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,0,0,,32567337704,0.0,,1349237596,0,514786586,141160428450,90192936883,15409049411,14894262825,4038187117,,27341606921,73628892851.0,50967491567,1349237596.0,16741928393,113467815679,1477405264,1718749291,2930848778.0,8880929237,,32548746817.0,10599678528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
