date,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyDilutedEPS,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyCostOfRevenue,quarterlyCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyChangeInInventory,quarterlyDeferredIncomeTax,quarterlyEbitda,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyOtherNonCurrentAssets
1984-03-31,,,,,,,,,,0.00666,,,,,,,,765765766.0,,,,,,,,,,,,,,,5100000,,,0.00666,,,,,,,67200000,,,,,,,,5100000,5100000,765765766.0,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,0.007493,,,,,,,,800747364.0,,,,,,,,,,,,,,,6000000,,,0.007493,,,,,,,72700000,,,,,,,,6000000,6000000,800747364.0,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,0.00333,,,,,,,,780780781.0,,,,,,,,,,,,,,,2600000,,,0.00333,,,,,,,78800000,,,,,,,,2600000,2600000,780780781.0,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,,,,,,,,,,,,,,538100000.0,,,,,,,,,,,,,,,,4500000,,,,58900000.0,,463300000.0,,,,89100000,,,,,101600000.0,,,4500000,4500000,,74800000.0,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,0.007493,,,,,,,,800747364.0,,,,,,,,,,,,,,,6000000,,,0.007493,,,,,,,96000000,,,,,,,,6000000,6000000,800747364.0,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,0.007493,,,,,,,,787401575.0,,,,,,,,,,,,,,,5900000,,,0.007493,,,,,,,113700000,,,,,,,,5900000,5900000,787401575.0,,,,,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,0.004995,,,,,,,,840840841.0,,,,,,,,,,,,,,,4200000,,,0.004995,,,,,,,124600000,,,,,,,,4200000,4200000,840840841.0,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,,,,,,,,,,,,,,,,,810800000.0,,,,,,,,,,,,,,,,9400000,,,,90300000.0,,692400000.0,,,,173300000,,,,,158700000.0,,,9400000,9400000,,118400000.0,,,,,,,,,,,,,,,,,,,,,,,
1986-03-31,,,,,,,,,,0.01332,,,,,,,,1028528529.0,,,,,,,,,,,,,,,13700000,,,0.01332,,,,,,,149600000,,,,,,,,13700000,13700000,1028528529.0,,,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,0.018315,,,,,,,,1004641005.0,,,,,,,,,,,,,,,18400000,,,0.018315,,,,,,,162600000,,,,,,,,18400000,18400000,1004641005.0,,,,,,,,,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,,0.011655,,,,,,,,1055341055.0,,,,,,,,,,,,,,,12300000,,,0.011655,,,,,,,177300000,,,,,,,,12300000,12300000,1055341055.0,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,,,,,,,,,,,,,,,,,1266200000.0,,,,,,,,,,,,,,,,3400000,,,,139500000.0,,954800000.0,,,,242400000,,,,,100800000.0,,,3400000,3400000,,311400000.0,,,,,,,,,,,,,,,,,,,,,,,
1987-03-31,,,,,,,,,,0.019148,,,,,,,,1060162941.0,,,,,,,,,,,,,,,20300000,,,0.019148,,,,,,,209400000,,,,,,,,20300000,20300000,1060162941.0,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-30,,,,,,,,,,0.021645,,,,,,,,1034881035.0,,,,,,,,,,,,,,,22400000,,,0.021645,,,,,,,234800000,,,,,,,,22400000,22400000,1034881035.0,,,,,,,,,,,,,,,,,,,,,,,,
1987-09-30,,,,,,,,,,0.024143,,,,,,,,1035496831.0,,,,,,,,,,,,,,,25000000,,,0.024143,,,,,,,259400000,,,,,,,,25000000,25000000,1035496831.0,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,,,,,,,,,,,,,,,,,1785700000.0,,,,,,,,,,,,,,,,23600000,,,,226400000.0,,1390700000.0,,,,296300000,,,,,216900000.0,,,23600000,23600000,,395000000.0,,,,,,,,,,,,,,,,,,,,,,,
1988-03-31,,,,,,,,,,0.029138,,,,,,,,1057038918.0,,,,,,,,,,,,,,,30800000,,,0.029138,,,,,,,289200000,,,,,,,,30800000,30800000,1057038918.0,,,,,,,,,,,,,,,,,,,,,,,,
