date,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyTaxProvision,quarterlyOperatingExpense,quarterlyNetPPE,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyBasicAverageShares,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyNetIncomeCommonStockholders,quarterlyDilutedAverageShares,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,quarterlyEbitda,quarterlyOperatingIncome,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation
1998-03-31,,,,,,,,,,,,,,,,52443198.0,,,,,,,,,,,,,,,,1.906825,100000000,52443198.0,,,,,,682000000,682000000,,,,,,,,,,,682000000,,1.906825,,,,,,,,,,,,100000000,,,100000000,,,,,,,,
1998-06-30,,,,,,,,,,,,,,,,52229144.0,,,,,,,,,,,,,,,,1.16793,61000000,52229144.0,,,,,,692000000,692000000,,,,,,,,,,,692000000,,1.16793,,,,,,,,,,,,61000000,,,61000000,,,,,,,,
1998-09-30,,,,,,,,,,,,,,,,51489685.0,,,,,,,,,,,,,,,,0.524377,27000000,51489685.0,,,,,,1017000000,1017000000,,,,,,,,,,,1017000000,,0.524377,,,,,,,,,,,,27000000,,,27000000,,,,,,,,
1998-12-31,-410000000.0,,525000000.0,188000000.0,87000000.0,,1072000000.0,,,3205000000.0,,549000000.0,,,424000000.0,,,,,,,,377000000.0,5927000000.0,,3629000000.0,,,4000000.0,64000000.0,408000000.0,,20000000,,,,,,,-1981000000,-1981000000,337000000.0,,5126000000.0,,,253000000.0,3615000000.0,,2298000000.0,1334000000.0,1084000000,1305000000.0,,2400000000.0,,83000000.0,,,,,3792000000.0,,,,20000000,,801000000.0,20000000,,,,,,,,
1999-03-31,-410000000.0,,522000000.0,522000000.0,,,952000000.0,1000000.0,71000000.0,3200000000.0,,556000000.0,47000000.0,,443000000.0,50345470.0,,,7000000.0,,0.0,,0.0,5823000000.0,,3643000000.0,,0.0,,,735000000.0,0.119177,6000000,50345470.0,0.0,0.0,,,,96000000,56000000,,0.0,5030000000.0,,,,3610000000.0,,2180000000.0,1291000000.0,1098000000,1406000000.0,0.119177,2333000000.0,,68000000.0,,971000000.0,,,3739000000.0,127000000.0,-2000000.0,,6000000,,793000000.0,6000000,31000000.0,,,,,,,
1999-06-30,-410000000.0,,359000000.0,359000000.0,,,890000000.0,7000000.0,74000000.0,3227000000.0,,383000000.0,45000000.0,,440000000.0,50345470.0,,,25000000.0,,0.0,,0.0,5612000000.0,,3667000000.0,,0.0,,,760000000.0,0.35753,18000000,50345470.0,0.0,0.0,,,,108000000,68000000,,0.0,4819000000.0,,,,3637000000.0,,1945000000.0,1143000000.0,1123000000,1359000000.0,0.35753,2317000000.0,,62000000.0,,981000000.0,,,3676000000.0,142000000.0,2000000.0,,18000000,,793000000.0,18000000,34000000.0,,,,,,,
1999-09-30,-410000000.0,,372000000.0,372000000.0,,,1023000000.0,7000000.0,84000000.0,3308000000.0,,360000000.0,45000000.0,,468000000.0,49358304.0,,,27000000.0,,0.0,,0.0,5925000000.0,,3776000000.0,,0.0,,,977000000.0,0.4052,20000000,49358304.0,0.0,0.0,,,,114000000,73000000,,0.0,5112000000.0,,,,3718000000.0,,2149000000.0,1337000000.0,1209000000,1443000000.0,0.4052,2332000000.0,,82000000.0,,1052000000.0,,,3775000000.0,157000000.0,-1000000.0,,20000000,,813000000.0,20000000,43000000.0,,,,,,,
1999-12-31,-880000000.0,,317000000.0,170000000.0,130000000.0,,1045000000.0,28000000.0,91000000.0,3333000000.0,,457000000.0,72000000.0,,477000000.0,,,,69000000.0,,599000000.0,,377000000.0,5966000000.0,,3810000000.0,,0.0,4000000.0,50000000.0,606000000.0,,41000000,,170000000.0,-184000000.0,,,,154000000,111000000,147000000.0,385000000.0,5112000000.0,,,320000000.0,4213000000.0,,2156000000.0,1440000000.0,1250000000,1358000000.0,,2184000000.0,,115000000.0,,1048000000.0,,,3672000000.0,202000000.0,5000000.0,,41000000,,854000000.0,41000000,48000000.0,,,,,,,
2000-03-31,-880000000.0,,333000000.0,241000000.0,,,969000000.0,28000000.0,88000000.0,3297000000.0,,737000000.0,54000000.0,,511000000.0,50345469.0,,,81000000.0,,0.0,,0.0,5892000000.0,,3808000000.0,,0.0,,,957000000.0,1.048754,53000000,50345469.0,0.0,0.0,,,,171000000,126000000,92000000.0,0.0,4994000000.0,,,,4177000000.0,,2084000000.0,1694000000.0,1390000000,1455000000.0,1.048754,1845000000.0,,98000000.0,,1176000000.0,,,3300000000.0,214000000.0,9000000.0,,53000000,,898000000.0,53000000,43000000.0,,,,,,,
2000-06-30,-880000000.0,,314000000.0,248000000.0,,,994000000.0,12000000.0,90000000.0,3282000000.0,,529000000.0,52000000.0,,519000000.0,50345469.0,,,68000000.0,,0.0,,0.0,5888000000.0,,3801000000.0,,0.0,,,973000000.0,1.12026,56000000,50345469.0,0.0,0.0,,,,159000000,116000000,66000000.0,0.0,4946000000.0,,,,4162000000.0,,2087000000.0,1502000000.0,1324000000,1438000000.0,1.12026,2006000000.0,,95000000.0,,1118000000.0,,,3444000000.0,206000000.0,4000000.0,,56000000,,942000000.0,56000000,47000000.0,,,,,,,
