date,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyNetPPE,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyInventory,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyAccountsPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2009-12-31,16502934000,44930000,16502934000,37304544000,6086215000,17087069000,21899807000,7464289000,332897000,0,0.0,502166000.0,0.0,2267661000,43592398000.0,23691836000,20366806000,-6287854000.0,1077919000.0,249943000,18581892000,,16219301000,67953702000,2170155000,47586896000,42273728000,2313338000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,6427984000,46464000,6427984000,40971106000,6135382000,15522977000,22114512000,7464289000,734756000,0,0.0,446244000.0,,2211224000,,22197988000,11523271000,,,1185573000,14854981000,,12597293000,63128460000,2939101000,51605189000,37052969000,2422781000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,4270660000,104307000,4089242000,50641640000,7661058000,17200085000,23274787000,7464289000,632353000,0,0.0,285363000.0,181418000.0,2225456000,57876332000.0,24915360000,10362136000,-7234692000.0,2460000000.0,486986000,22304423000,11541000.0,19974660000,74633538000,3434397000,64271402000,47219783000,3438967000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,3825693000,102847000,3479590000,53284747000,7588498000,16023563000,24272465000,7464289000,952547000,0,0.0,118196000.0,346103000.0,2158467000,,23378622000,12048549000,,3329047000.0,575069000,27137367000,11541000.0,24876053000,78951725000,3655412000,66903176000,50515989000,3286469000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,4050956000,100550000,3644915000,61337323000,8162178000,16368831000,25490208000,7464289000,889801000,494133000,0.0,176347000.0,406041000.0,1992723000,71040818000.0,26345362000,12974307000,-9703495000.0,4554890000.0,1597000000,33895817000,11541000.0,31308411000,90106830000,5012641000,77132523000,60241179000,4555847000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,4204141000,102254000,3899223000,66789417000,8161115000,21850680000,26020366000,7464289000,990412000,662151000,0.0,670798000.0,304918000.0,1925505000,,30598036000,15129862000,,,1216940000,36344493000,11541000.0,33654583000,97608240000,6056952000,82478378000,66942529000,4167884000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,5439321000,97691000,5137584000,74769875000,8321840000,26169965000,29429434000,8036389000,816414000,859988000,0.0,231530000.0,301737000.0,1903165000,88219277000.0,36074948000,17786113000,-13449402000.0,6448978000.0,874966000,35342985000,11541000.0,32482141000,107839859000,7786056000,90053746000,71417933000,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,3869826000,123819000,3328346000,76766029000,8618288000,25652379000,30338379000,8036389000,837442000,880955000,0.0,114495000.0,541480000.0,1837129000,76766029000.0,34874692000,14858836000,-1868410000.0,7223832000.0,308068000,34358722000,11541000.0,31516819000,106894554000,7280376000,92035718000,69233414000,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,3030674000,116158000,2714742000,81251624000,8684012000,24680237000,30908033000,8036389000,753117000,1003691000,0.0,725425000.0,315932000.0,1876106000,99176828000.0,36676231000,13766271000,-17925204000.0,7808883000.0,1075268000,35957174000,11541000.0,32961219000,110673774000,6812189000,96907503000,72633405000,4481856000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,3828954000,107452000,3590922000,83796803000,8496083000,28743884000,31907385000,8036389000,894506000,964080000,0.0,240339000.0,238032000.0,1826271000,83796803000.0,39458193000,16390675000,,8670940000.0,654287000,37398140000,11541000.0,34500337000,116045534000,7122631000,99654859000,76856333000,4095563000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
