date,quarterlyDeferredIncomeTax,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyChangeInInventory,quarterlyEbitda,quarterlySellingGeneralAndAdministration,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyRetainedEarnings,quarterlyStockholdersEquity,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyInvestmentsAndAdvances,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncome,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetPPE,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyInventory,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyDepreciationAndAmortization,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable
2014-03-31,23136000,,,78352000,,324825000,,60715000,,5341000,-9475000.0,135653000,19894000,152000.0,68250000,0,-195480000,758479000,,,,,52239000,-54678000,,,,-69954000,-82103000,,,,-0.46,72804348.0,,187167000,-33490000,21886000,-84213000,,,9216000.0,98158000,35270000,,16969000,12990000,,89845000,,,,246473000,,,,17637000,,670751000,-0.46,61528000,72804348.0,,,-337000.0,13945000,,,42871000.0,,-33490000,,,,,,
2014-06-30,21347000,,,66536000,,336518000,,38362000,,33552000,703000.0,96180000,31476000,2812000.0,84070000,0,-220533000,-285800000,,,,,4089000,-39420000,,,,-84358000,-39624000,,,,-1.69,53340237.0,,-187357000,-90145000,24871000,-102842000,,,8032000.0,119774000,-13690000,,17779000,-10634000,,-288116000,,,,269982000,,,,28174000,,159000,-1.69,67220000,53340237.0,,,-733000.0,16932000,1001000.0,,-229475000.0,,-90145000,,,,,,
2014-09-30,55757000,,,82607000,,372442000,,187045000,,23135000,17672000.0,182750000,32029000,365000.0,28598000,0,-216334000,411763000,,,,,114268000,-116797000,,,,-229186000,-30465000,,,,12.38,53385137.0,,43212000,660908000,38777000,-122690000,,,1615000.0,123992000,58318000,,55950000,-38445000,,-49130000,,,,289835000,,,,-104438000,,472679000,12.38,29705000,53385137.0,,,733000.0,1302000,1519000.0,,215380000.0,,660908000,,,,,,
2014-12-31,66000,2880978000.0,144488000.0,63160000,6766000.0,338445000,3166000.0,-134701000,3063077000.0,18142000,13091000.0,-8914000,39995000,5084000.0,14487000,0,-249989000,610056000,,1243893000.0,226830000.0,65947000.0,-61322000,-42202000,496787000.0,1136061000.0,2384191000.0,-173955000,-21676000,31848000.0,10072000.0,-560290000.0,,,435783000.0,386570000,-69735000,22690000,-126935000,131904000.0,29700000.0,714000.0,68452000,-61446000,2502787000.0,124000,95636000,130983000.0,205033000,16186000.0,2215872000.0,1526000.0,275285000,33629000.0,181358000.0,55335000.0,197861000,1240727000.0,411763000,,29718000,,836886000.0,610056000.0,-17926000.0,-58483000,,3200508000.0,67881000.0,4336569000.0,-69735000,78724000.0,,,,,
2015-03-31,11305000,2892198000.0,174942000.0,66179000,4570000.0,322158000,1395000.0,40122000,,-25149000,-4119000.0,76262000,26108000,-653000.0,17508000,0,-161435000,486807000,-6633000.0,1276034000.0,194478000.0,,21338000,31581000,508854000.0,993852000.0,2383344000.0,-64360000,-26142000,70268000.0,10145000.0,,0.09,50222222.0,476238000.0,10194000,4520000,25714000,-129994000,163056000.0,92784000.0,0.0,34988000,10033000,2621486000.0,11305000,-1276000,129318000.0,-116253000,0.0,2211240000.0,,255979000,,179300000.0,59463000.0,26057000,0.0,610056000,0.09,29210000,50222222.0,681285000.0,486807000.0,0.0,-95006000,,3370710000.0,12527000.0,4364562000.0,4520000,144391000.0,,,,,
2015-06-30,22055000,3121677000.0,148021000.0,122696000,4535000.0,333089000,8514000.0,105858000,,-52408000,2670000.0,110989000,21379000,-683000.0,30535000,0,-308511000,-26338000,7499000.0,1297285000.0,209089000.0,,46050000,-10740000,455837000.0,1041503000.0,2665840000.0,-64874000,-25369000,136930000.0,9966000.0,,0.24,52908333.0,474077000.0,196907000,12698000,35612000,-235205000,158025000.0,98349000.0,5310000.0,78611000,23995000,2830272000.0,22055000,-29273000,148732000.0,-32993000,0.0,2482150000.0,,210393000,,173809000.0,56784000.0,16838000,0.0,0,0.24,29327000,52908333.0,669558000.0,460469000.0,0.0,-156594000,0.0,3590079000.0,-2510000.0,4631582000.0,12698000,148702000.0,,,,,
2015-09-30,9741000,3080304000.0,152670000.0,66574000,3924000.0,336409000,-15657000.0,40929000,,63022000,1627000.0,249225000,25396000,1412000.0,37181000,0,-29347000,485785000,-69461000.0,1182093000.0,160765000.0,,179303000,35312000,461289000.0,884071000.0,2619015000.0,-9447000,-33793000,48759000.0,12294000.0,,3.07,53728664.0,436268000.0,-62848000,164947000,39658000,-65750000,146251000.0,95309000.0,0.0,126670000,169562000,2878437000.0,9741000,175555000,127494000.0,34475000,0.0,2426387000.0,,269835000,,129847000.0,55158000.0,25645000,0.0,460469000,3.07,30264000,53728664.0,646550000.0,485785000.0,0.0,60920000,6694000.0,3585216000.0,-4069000.0,4469287000.0,164947000,150182000.0,,,,,
2015-12-31,19277000,3219222000.0,145443000.0,59847000,4705000.0,297412000,-14704000.0,22157000,3630457000.0,-8839000,4183000.0,-42711000,21810000,800000.0,25592000,0,-237594000,383953000,-191292000.0,1061214000.0,308702000.0,58126000.0,-88421000,-143356000,653386000.0,915465000.0,2565836000.0,-1000,-52966000,23267000.0,27218000.0,-670579000.0,,,369022000.0,88262000,-109173000,14464000,-101733000,326939000.0,16521000.0,800000.0,49902000,-107698000,2959878000.0,19277000,-92021000,138083000.0,-99430000,12560000.0,2364910000.0,1483000.0,237565000,33126000.0,123273000.0,50351000.0,37690000,0.0,485785000,,31246000,,692655000.0,383953000.0,,-51831000,6523000.0,3567312000.0,-4017000.0,4482777000.0,-109173000,89118000.0,,,,,
2016-03-31,11821000,4025576000.0,248272000.0,87315000,8393000.0,421852000,-17057000.0,58353000,,-96022000,-2510000.0,57530000,30918000,189000.0,33796000,0,-92376000,388523000,-227349000.0,1022804000.0,84223000.0,,-16381000,225408000,922212000.0,827730000.0,3103364000.0,-226156000,-81315000,61378000.0,37488000.0,,-0.67,53816418.0,370518000.0,105045000,-36057000,38019000,-99269000,459831000.0,119716000.0,1684000.0,-8875000,-28202000,3579703000.0,11821000,-40938000,191869000.0,3794000,0.0,2826315000.0,,334537000,,234759000.0,54227000.0,28962000,0.0,383953000,-0.67,35892000,53816418.0,472746000.0,388523000.0,,-108144000,5894000.0,4449428000.0,-3005000.0,5277158000.0,-36057000,352979000.0,,,,,
2016-06-30,9174000,4111522000.0,283291000.0,77751000,7711000.0,459329000,-25003000.0,-88479000,,-28649000,-32117000.0,-181662000,40558000,401000.0,43373000,0,-167371000,301071000,-508649000.0,733798000.0,85321000.0,,-270850000,2958000,955218000.0,809868000.0,3156304000.0,-68452000,-292575000,70848000.0,50876000.0,,-5.24,53697137.0,224761000.0,25794000,-281373000,47244000,-103344000,339795000.0,109029000.0,0.0,52250000,-280024000,3487335000.0,9174000,-138998000,195217000.0,-89327000,223414000.0,2866182000.0,63545000.0,381578000,,254159000.0,86286000.0,166230000,0.0,388523000,-5.24,41944000,53697137.0,386392000.0,301071000.0,,-51094000,0.0,4245014000.0,-50251000.0,5054882000.0,-281373000,356219000.0,,,,,
