date,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyInventory,quarterlyBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyDilutedAverageShares,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyInvestmentsAndAdvances,quarterlyResearchAndDevelopment,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2003-03-31,,,,16871000,16871000,,,,56961000,,,,0.08,,,0,,,,,,,9947000,,,207684000.0,,16871000,,,,,,,,0.08,,,,,,,,,,39192000,,,223078000,,,,183886000,,207684000.0,,,,,183886000,12374000,,,,29245000,,,,,39192000,280039000,,,,,,
2003-06-30,,,,17214000,17214000,,,,58401000,,,,0.08,,,0,,,,,,,10255000,,,213336000.0,,17214000,,,,,,,,0.08,,,,,,,,,,40272000,,,230477000,,,,190205000,,213336000.0,,,,,190205000,12803000,,,,30017000,,,,,40272000,288878000,,,,,,
2003-09-30,,,,1699000,1699000,,,,58987000,,,,0.0075,,,0,,,,,,,11404000,,,217568000.0,,1699000,,,,,,,,0.0075,,,,,,,,,,15344000,,,231404000,,,,216060000,,217568000.0,,,,,216060000,2241000,,,,3940000,,,,,15344000,290391000,,,,,,
2003-12-31,,,25127000.0,1063000,1063000,102523000.0,,31977000.0,61436000,78796000.0,,59397000.0,,111910000.0,252917000.0,0,150679000.0,150679000.0,,,102000.0,,9862000,72377000.0,,,,1063000,666176000.0,90074000.0,490736000.0,903964000.0,626221000.0,,,,,63018000.0,,,22526000.0,0.0,,3427000.0,,12228000,237788000.0,,238689000,,,,226461000,,,,,276222000.0,277743000.0,226461000,1303000,389954000.0,,,2366000,45411000.0,50852000.0,,,12228000,300125000,-17607000.0,,,,,
2004-03-31,,,,-484000,-484000,,,,63618000,,,,-0.01,,,0,,,,,,,27373000,,,219784000.0,,-484000,,,,,,,,-0.01,,,,,,,,,,36738000,,,260434000,,,,223696000,,53216000.0,,,,,223696000,9849000,,,,9365000,,,,,36738000,324052000,,,,,,
2004-06-30,,,,12088000,12088000,,,,66245000,,,,0.0575,,,0,,,,,,,14256000,,,220264000.0,,12088000,,,,,,,,0.055,,,,,,,,,,38184000,,,257915000,,,,219731000,,208252000.0,,,,,219731000,11840000,,,,23928000,,,,,38184000,324160000,,,,,,
2004-09-30,,,16317000.0,11490000,11490000,121401000.0,,33408000.0,68961000,108268000.0,,77751000.0,0.0275,105798000.0,479328000.0,0,164669000.0,164669000.0,,,105000.0,,13604000,22411000.0,,445280000.0,,11490000,874936000.0,70881000.0,486378000.0,916142000.0,607047000.0,,,0.025,,75317000.0,,,21413000.0,0.0,,3169000.0,,36098000,41206000.0,,250848000,,,,214750000,,418120000.0,,,273493000.0,309095000.0,214750000,11004000,601443000.0,,,22494000,49788000.0,35446000.0,,,36098000,319809000,-25529000.0,,,,,
2004-12-31,-758000.0,36909000.0,16618000.0,-37405000,-37405000,112478000.0,202347000.0,29546000.0,71089000,114243000.0,,71092000.0,,130346000.0,365926000.0,0,201577000.0,201577000.0,-146038000.0,11252000.0,137000.0,164668000.0,68072000,120291000.0,,,,-37405000,884359000.0,26869000.0,496529000.0,948701000.0,578788000.0,-190206000.0,-7029000.0,,,75853000.0,,3127000.0,24457000.0,0.0,-6608000.0,3923000.0,,38951000,64342000.0,9943000.0,270553000,3651000.0,,201577000.0,242854000,11422000.0,,,,371469000.0,369913000.0,242854000,-2968000,512890000.0,,,-40373000,55390000.0,-14311000.0,-6271000.0,28443000.0,27699000,341642000,-20463000.0,,,,,
2005-03-31,25020000.0,-97833000.0,15772000.0,13276000,13276000,120459000.0,203000.0,40353000.0,75737000,105962000.0,,69100000.0,0.0475,128990000.0,364553000.0,0,103744000.0,103744000.0,,10465000.0,137000.0,201577000.0,22202000,11402000.0,,286856000.0,,13276000,775975000.0,336742000.0,181106000.0,855804000.0,572625000.0,-370000.0,20643000.0,0.0475,,78421000.0,,6401000.0,28837000.0,0.0,-12873000.0,4529000.0,,61591000,79829000.0,-1222000.0,296323000,-5542000.0,,103744000.0,245197000,358000.0,274572000.0,,,266660000.0,283179000.0,245197000,15648000,509315000.0,,,28924000,54777000.0,-1035000.0,-4377000.0,-113377000.0,51126000,372060000,-23644000.0,,,,,
2005-06-30,45227000.0,-3016000.0,15972000.0,22774000,22774000,114590000.0,138000.0,41303000.0,77373000,107487000.0,,77639000.0,0.0825,127013000.0,327163000.0,0,100728000.0,100728000.0,,10613000.0,137000.0,103744000.0,7446000,9127000.0,,287440000.0,,22774000,735332000.0,336033000.0,168646000.0,837024000.0,562801000.0,-157000.0,37178000.0,0.08,,82145000.0,,-1918000.0,33980000.0,0.0,16737000.0,3205000.0,,63001000,101692000.0,-384000.0,307294000,-8460000.0,,100728000.0,254906000,-9312000.0,274712000.0,,,265184000.0,274223000.0,254906000,22168000,470148000.0,,,44942000,58122000.0,21739000.0,-8049000.0,-40123000.0,52388000,384667000,-24023000.0,,,,,
