date,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyStockholdersEquity,quarterlyBasicAverageShares,quarterlyInventory,quarterlyOperatingExpense,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyNetOtherInvestingChanges,quarterlyGrossPPE,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyIncomeTaxPayable,quarterlyGoodwill,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyDilutedAverageShares,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGrossProfit,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyCurrentAccruedExpenses,quarterlyBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2010-03-31,,,,,0.0,,36000000,0,,77000000,,,48800000.0,,154000000,,0,,,,-36000000,0,,41000000,-117000000,41000000,,,149000000,-32000000,,0.840164,48800000.0,154000000,-5000000,,,1712000000,87000000,-203000000,,241000000,,,137000000,,0,1471000000,-32000000,,0,,0.840164,,149000000,10000000,,,,,,-149000000,0,,-82000000.0,,41000000,,50000000,,,,,,,,
2010-06-30,,,,,0.0,,-19000000,0,,-30000000,,,48800000.0,,161000000,,0,,,,41000000,0,,-11000000,95000000,-11000000,,,-67000000,-28000000,,-0.23,48800000.0,161000000,1000000,,,1610000000,-20000000,59000000,,141000000,,,26000000,,0,1469000000,-28000000,,0,,-0.23,,-67000000,10000000,,,,,,67000000,0,,-93000000.0,,-11000000,,46000000,,,,,,,,
2010-09-30,,,,,0.0,,25000000,0,,67000000,,,48800000.0,,158000000,,0,,,,-15000000,0,,42000000,173000000,42000000,,,-137000000,-36000000,,0.86,48800000.0,158000000,-17000000,,,1665000000,77000000,101000000,,235000000,,,124000000,,0,1430000000,-36000000,0.0,0,,0.86,,-137000000,10000000,,,,,,137000000,0,,-43000000.0,,42000000,,47000000,,,,,,,,
2010-12-31,,,,,-178000000.0,,26000000,-2000000,,85000000,,,,,197000000,,0,,,,15000000,2000000,,59000000,208000000,59000000,,,-115000000,-95000000,,,,197000000,26000000,,,1736000000,78000000,104000000,,275000000,,,135000000,,0,1461000000,-93000000,0.0,0,,,,-115000000,10000000,,,,,,113000000,0,,28000000.0,,59000000,,40000000,,,,,,,,
2011-03-31,102000000.0,225000000.0,225000000.0,,-954000000.0,62000000.0,25000000,0,2006000000.0,70000000,,1362000000.0,48800000.0,372000000.0,149000000,51000000.0,225000000,211000000.0,1851000000.0,0.0,-110000000,0,,45000000,-364000000,45000000,,1134000000.0,652000000,-63000000,3319000000.0,0.92,48800000.0,149000000,-9000000,1124000000.0,1832000000.0,1684000000,85000000,-445000000,,234000000,-2000000.0,,130000000,896000000.0,-1429000000,1450000000,-63000000,,225000000,0.0,0.92,-498000000.0,1260000000,15000000,53000000.0,29000000.0,4443000000.0,252000000.0,0.0,-427000000,0,3973000000.0,-168000000.0,5805000000.0,45000000,582000000.0,45000000,,,,,,,,
2011-06-30,113000000.0,381000000.0,381000000.0,,-7000000.0,,21000000,0,1985000000.0,61000000,,1411000000.0,48800000.0,389000000.0,169000000,405000000.0,156000000,517000000.0,1844000000.0,0.0,-4000000,0,,40000000,186000000,40000000,,1134000000.0,-10000000,-20000000,3342000000.0,0.8,49600000.0,169000000,2000000,1184000000.0,1994000000.0,1563000000,91000000,83000000,,260000000,38000000.0,,137000000,898000000.0,0,1303000000,-20000000,,381000000,0.0,0.81,-491000000.0,-4000000,30000000,51000000.0,29000000.0,4526000000.0,255000000.0,0.0,166000000,225000000,3943000000.0,-3000000.0,5937000000.0,40000000,577000000.0,46000000,,,,,,,,
2011-09-30,113000000.0,536000000.0,536000000.0,,-7000000.0,,28000000,-300000000,1979000000.0,-220000000,,1155000000.0,48900000.0,463000000.0,153000000,404000000.0,155000000,525000000.0,1837000000.0,0.0,-59000000,0,,-248000000,232000000,-248000000,,834000000.0,-41000000,-36000000,3353000000.0,-5.07,48900000.0,153000000,11000000,1207000000.0,2082000000.0,1593000000,110000000,115000000,,263000000,-210000000.0,,-143000000,781000000.0,0,1330000000,-36000000,9000000.0,536000000,0.0,-5.07,-483000000.0,-34000000,30000000,55000000.0,29000000.0,4560000000.0,287000000.0,0.0,196000000,381000000,3633000000.0,118000000.0,5715000000.0,-248000000,572000000.0,47000000,,,,,,,,
2011-12-31,0.0,915000000.0,915000000.0,-1160000000.0,-8000000.0,,26000000,10000000,2033000000.0,95000000,,872000000.0,,380000000.0,153000000,410000000.0,379000000,551000000.0,1830000000.0,0.0,86000000,0,3193000000.0,69000000,474000000,69000000,,844000000.0,-17000000,-78000000,3757000000.0,,,153000000,12000000,1372000000.0,2268000000.0,1735000000,114000000,346000000,,267000000,-141000000.0,,170000000,711000000.0,0,1468000000,-78000000,20000000.0,915000000,0.0,,-849000000.0,-10000000,29000000,113000000.0,29000000.0,5129000000.0,380000000.0,0.0,396000000,536000000,3733000000.0,70000000.0,6001000000.0,69000000,567000000.0,46000000,,,,,,,,
2012-03-31,,551000000.0,551000000.0,,-8000000.0,,17000000,0,2005000000.0,50000000,,918000000.0,49000000.0,384000000.0,150000000,413000000.0,-364000000,557000000.0,1822000000.0,0.0,5000000,0,,33000000,-329000000,33000000,,844000000.0,-8000000,-27000000,3654000000.0,0.67,49500000.0,150000000,10000000,1252000000.0,2156000000.0,1568000000,80000000,-419000000,,230000000,-108000000.0,,127000000,954000000.0,0,1338000000,-27000000,8000000.0,551000000,361000000.0,0.67,-834000000.0,0,30000000,48000000.0,29000000.0,4906000000.0,293000000.0,0.0,-356000000,915000000,3668000000.0,-243000000.0,5824000000.0,33000000,562000000.0,47000000,,,,,,,,
2012-06-30,,669000000.0,669000000.0,,-7000000.0,,27000000,4000000,1992000000.0,77000000,,994000000.0,49500000.0,357000000.0,176000000,413000000.0,118000000,500000000.0,1808000000.0,0.0,20000000,0,,50000000,151000000,50000000,,844000000.0,-3000000,-30000000,3601000000.0,1.0,50100000.0,176000000,10000000,1217000000.0,2167000000.0,1721000000,102000000,45000000,,278000000,-58000000.0,,151000000,878000000.0,0,1443000000,-30000000,8000000.0,669000000,361000000.0,1.01,-821000000.0,4000000,29000000,52000000.0,36000000.0,4818000000.0,314000000.0,0.0,121000000,551000000,3645000000.0,76000000.0,5812000000.0,50000000,557000000.0,45000000,,,,,,,,
