date,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyBasicAverageShares,quarterlyGrossProfit,quarterlyInventory,quarterlyBasicEPS,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedAverageShares,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue
1984-03-31,,,,,,,,,830500000,830500000,,,,,,,,5400000,,,,,,,,,,,,,,,,419648000.0,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,419648000.0,,,,,,,,,830500000,,,,
1984-06-30,,,,,,,,,1083900000,1083900000,,,,,,,,37400000,,,,,,,,,,,,,,,,419648000.0,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,419648000.0,,,,,,,,,1083900000,,,,
1984-09-30,,,,,,,,,1065800000,1065800000,,,,,,,,36000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065800000,,,,
1984-12-31,,1017000000.0,,426800000.0,,,229100000.0,873700000.0,1443400000,-2582100000,,655900000.0,,,593700000.0,1610700000.0,83100000.0,111600000,,25000000.0,,,,954800000.0,,,,,116800000.0,29200000.0,,,,,,748900000.0,,,,187800000.0,187800000.0,,,,,,,416100000.0,,,,5400000.0,,55500000.0,-276200000.0,122100000.0,,,692300000.0,,,,,,,,421400000.0,,,,,,-2582100000,,,,
1985-03-31,,,,,,,,,894500000,894500000,,,,,,,,3200000,,,,,,,,,,,,,,,,422864000.0,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,422864000.0,,,,,,,,,894500000,,,,
1985-06-30,,,,,,,,,1151100000,1151100000,,,,,,,,47700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151100000,,,,
1985-09-30,,,,,,,,,1140300000,1140300000,,,,,,,,42700000,,,,,,,,,,,,,,,,431976000.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,431976000.0,,,,,,,,,1140300000,,,,
1985-12-31,,1204600000.0,,493000000.0,,,211500000.0,1014700000.0,1589000000,-2736900000,,704500000.0,,,602100000.0,1806700000.0,86200000.0,126300000,,28700000.0,,,,1102200000.0,,,,,88500000.0,36800000.0,,,,,,807600000.0,,,,304700000.0,304700000.0,,,,,,,461600000.0,,,,27000000.0,,13100000.0,-296800000.0,127400000.0,,,758400000.0,,,,,,,,466000000.0,,,,,,-2736900000,,,,
1986-03-31,,,,,,,,,1028000000,1028000000,,,,,,,,10700000,,,,,,,,,,,,,,,,432200000.0,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,432200000.0,,,,,,,,,1028000000,,,,
1986-06-30,,,,,,,,,1244700000,1244700000,,,,,,,,46600000,,,,,,,,,,,,,,,,433144000.0,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,433144000.0,,,,,,,,,1244700000,,,,
1986-09-30,,,,,,,,,1259700000,1259700000,,,,,,,,47300000,,,,,,,,,,,,,,,,433144000.0,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,433144000.0,,,,,,,,,1259700000,,,,
1986-12-31,,1351400000.0,,534600000.0,,,201200000.0,1168400000.0,1729900000,-3049000000,,735800000.0,,,647400000.0,1998800000.0,87500000.0,133700000,,41300000.0,,,,1263000000.0,,,,,65400000.0,48300000.0,,,,,,904500000.0,,,,326800000.0,326800000.0,,,,,,,510100000.0,,,,5900000.0,,13500000.0,-340400000.0,123800000.0,,,850500000.0,,,,,,,,528700000.0,,,,,,-3049000000,,,,
