date,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyInventory,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyBasicEPS,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyOtherCurrentLiabilities,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1994-03-31,42800000,,,38900000,4800000,5600000,160600000,1100000,79400000,15015000.0,5300000,,203400000,1100000,1600000,231600000,192700000,20100000,1100000,1100000,8600000,,19600000.0,63700000,28200000,-200000,,,117300000.0,-3200000,23200000.0,-100000,1700000,15700000,10400000,0.08,9000000,-5500000.0,,1700000,1700000,15015000.0,,,5300000,144300000,,1600000.0,500000.0,,3600000,11300000,-3000000,-5000000,4300000,-3800000,44100000.0,0.0,,0.08,,148100000,-3600000,4600000,,-3100000,500000.0,21000000.0,10500000,,,,10100000,,,,
1994-06-30,50500000,,,44300000,4800000,6000000,155200000,2700000,84900000,15000000.0,5700000,,205700000,1500000,8300000,235400000,191100000,19300000,1500000,1500000,10000000,,,68400000,29700000,-200000,,,112900000.0,-5200000,23000000.0,200000,0,16500000,10800000,0.1,7500000,700000.0,,5600000,5600000,15000000.0,,,1700000,144000000,,2200000.0,700000.0,,3800000,11400000,-5200000,-4400000,2700000,-7700000,44400000.0,0.0,,0.1,,151700000,3900000,13500000,,5800000,700000.0,28000000.0,11100000,,,,10500000,,,,
1994-09-30,48000000,0.0,,47500000,5100000,6200000,156700000,5400000,88700000,15555556.0,7800000,,204700000,2800000,-2700000,237200000,189700000,18600000,2800000,2800000,8600000,,,69600000,32500000,-100000,,,113600000.0,-3900000,24500000.0,-100000,0,19100000,11300000,0.18,10200000,-1200000.0,,3700000,3700000,15555556.0,,,0,143100000,,4000000.0,1200000.0,,3800000,11400000,-4000000,700000,2700000,-11800000,43900000.0,0.0,,0.18,,154900000,-1900000,1300000,,-7800000,1200000.0,24700000.0,11900000,,,,12900000,,,,
1994-12-31,57100000,,,54100000,5200000,7900000,148900000,7400000,101200000,,6900000,,206000000,2000000,7600000,245500000,191400000,17900000,2000000,2000000,8500000,,,81200000,39500000,-1300000,,,109100000.0,-6500000,21900000.0,100000,0,20000000,13100000,,13700000,-1800000.0,,5100000,5100000,,,,0,145700000,,3000000.0,1000000.0,,4000000,11600000,-5600000,-5300000,2900000,-15900000,42800000.0,0.0,,,,161600000,1400000,13200000,,5100000,-1100000.0,25900000.0,19600000,,,,12100000,,,,
1995-03-31,53800000,-100000.0,,51500000,5300000,6000000,144400000,12400000,106600000,14705882.0,11900000,,198200000,5000000,1000000,242700000,191200000,17500000,5000000,5000000,8700000,,,83400000,44500000,0,,,104100000.0,-4800000,22800000.0,-100000,0,23200000,11300000,0.34,11700000,-1000000.0,,3400000,3400000,14705882.0,,,5100000,146100000,,8400000.0,3400000.0,,3400000,13900000,-5000000,-2800000,3200000,-20100000,41900000.0,-100000.0,,0.34,,166200000,-1600000,6000000,,-4400000,900000.0,25300000.0,14600000,,,,17200000,,,,
1995-06-30,54800000,200000.0,,59500000,5600000,6500000,152500000,16800000,105700000,15714286.0,10100000,,207300000,4400000,8000000,257000000,197500000,19000000,4400000,4400000,11900000,,,83600000,49700000,-4000000,,,110000000.0,-11400000,23500000.0,-100000,0,22100000,12000000,0.28,10200000,2400000.0,,10300000,10300000,15714286.0,,,0,148900000,,6700000.0,2300000.0,,3300000,10000000,-7500000,2700000,3700000,-24700000,44900000.0,800000.0,,0.28,,173600000,6900000,15500000,,4600000,700000.0,29200000.0,15600000,,,,15700000,,,,
1995-09-30,43900000,4800000.0,,53300000,5700000,6500000,160700000,18900000,95500000,16153846.0,6400000,,204600000,2100000,-2800000,256400000,203100000,22700000,2100000,2100000,9400000,,,76900000,51800000,0,,,114100000.0,-6800000,23900000.0,0,0,18600000,12200000,0.13,12200000,-1100000.0,,7600000,7600000,16153846.0,,,0,155200000,,3200000.0,1100000.0,,3200000,10100000,-6900000,0,4000000,-15900000,43900000.0,,,0.13,,171100000,-2800000,4100000,,-8900000,300000.0,20000000.0,13800000,,,100000.0,12100000,,,,
1995-12-31,51200000,-10100000.0,,64100000,6000000,7600000,160100000,21700000,113900000,,7900000,,211300000,2900000,3400000,266100000,202000000,15300000,2900000,2900000,10700000,,,92400000,54800000,-200000,,,117100000.0,-5000000,27700000.0,400000,0,21500000,13600000,,11600000,1900000.0,,11600000,11600000,,,,0,155100000,,4900000.0,2000000.0,,3500000,9100000,-5200000,500000,4000000,-34200000,42900000.0,-700000.0,,,,189300000,4100000,8600000,,4600000,4400000.0,24700000.0,17400000,,,0.0,13900000,,,,
1996-03-31,45700000,2500000.0,,52100000,6100000,7200000,148300000,25700000,109700000,15000000.0,8900000,,194000000,3900000,5900000,252800000,200700000,14800000,3900000,3900000,6200000,,,87500000,58800000,0,,,106000000.0,-5100000,27500000.0,400000,0,22200000,13300000,0.24,10800000,1400000.0,,5800000,5800000,16250000.0,,,11600000,155000000,,6300000.0,2400000.0,,3000000,8000000,-5200000,-11800000,3800000,-39300000,41900000.0,0.0,,0.26,,194300000,-5800000,11100000,,-2100000,700000.0,19900000.0,17800000,,,,15000000,,,,
1996-06-30,53100000,-3700000.0,,62900000,6500000,7500000,164400000,29300000,114300000,15000000.0,9200000,,217500000,3600000,3900000,280400000,217500000,20400000,3600000,3600000,7200000,,,91100000,62900000,2000000,,,114700000.0,-4200000,29300000.0,0,0,23200000,14000000,0.22,11800000,300000.0,,9900000,9900000,16363636.0,,,0,158000000,,6100000.0,2500000.0,,3100000,8000000,-6300000,-1900000,11900000,-44400000,47600000.0,500000.0,,0.24,,202400000,4100000,10200000,,4200000,-500000.0,24800000.0,20300000,,,,15700000,,,,
1996-09-30,70600000,500000.0,,68600000,7000000,9300000,193800000,28000000,127200000,16250000.0,9000000,,264400000,-1300000,7300000,326100000,257500000,22000000,-1300000,-1300000,7100000,,,101900000,61700000,-2000000,,,143100000.0,-10900000,28700000.0,-5900000,0,25300000,16300000,-0.08,15300000,-1900000.0,,12000000,12000000,16250000.0,,,0,169400000,,0.0,1300000.0,,3100000,8600000,-6900000,-1300000,4400000,-49900000,83700000.0,-400000.0,,-0.08,,219300000,2000000,14200000,,7800000,0.0,30000000.0,32000000,,,0.0,16000000,,,,
1996-12-31,77700000,1500000.0,,69700000,8000000,15000000,187900000,29400000,137700000,,200000,,265600000,1400000,700000,329600000,259900000,20400000,1400000,1400000,8100000,,,114500000,64000000,-700000,,,138200000.0,-10700000,29300000.0,6400000,0,23200000,23000000,,12600000,3900000.0,,13000000,13000000,,,,0,175800000,,2400000.0,1000000.0,,4000000,15600000,-10200000,800000,4300000,-56000000,79800000.0,500000.0,,,,231800000,1000000,10900000,,200000,-300000.0,34400000.0,27700000,,,0.0,8200000,,,,
