date,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyCurrentDebt,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCapitalStock,quarterlyOtherShortTermInvestments,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentLiabilities,quarterlyNetPPE,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2010-12-31,0.0,0.0,99341000.0,0.0,-2097976000.0,3070656000,4226731000,1677000.0,1023947000,1156075000,17588000,,680033000,680033000,919376000,3024482000,5122458000.0,2266800000,775137000,29916000.0,1959931000,1347424000,36664000,398294000.0,,1191862000,8694000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,0.0,0.0,0.0,0.0,,3551416000,5969936000,4605000.0,1232178000,2418520000,17599000,,1873546000,1873546000,1121645000,3448218000,,3799102000,1039402000,0.0,2170834000,2677457000,41322000,,,2524589000,15994000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,354522000.0,0.0,,2548161000.0,-2628348000.0,5895349000,7426325000,584322000.0,2003730000,1530976000,17627000,,533029000,533029000,1569830000,4827820000,7456168000.0,4463672000,1495602000,243042000.0,2959149000,2893842000,51837000,,,0,213447000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,0.0,669000.0,50000000.0,3007436000.0,,6672958000,7669558000,560611000.0,2230125000,996600000,17629000,,371955000,371955000,1254416000,5889425000,,4425056000,1097369000,3890000.0,3241414000,3170640000,54420000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,0.0,0.0,60000000.0,45090000.0,-3442160000.0,7610656000,8912140000,597370000.0,126665000,1301484000,17629000,418000.0,467164000,467164000,1537565000,6632652000,10074812000.0,5447957000,1404451000,41106000.0,3463373000,3910392000,52616000,,6528000.0,3327894000,260135000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,0.0,0.0,60000000.0,51456000.0,,7949457000,9144632000,582676000.0,2424696000,1195175000,854003000,410000.0,320124000,320124000,1341227000,7025495000,,5622436000,1237332000,100000.0,3523676000,4281209000,56528000,,,3627326000,315263000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,0.0,0.0,60000000.0,0.0,-4318649000.0,8116007000,9302546000,541341000.0,2563107000,1186539000,17638000,7791000.0,274529000,274529000,1555604000,7160160000,11478809000.0,5598116000,1022424000,37071000.0,3661007000,4042512000,44835000,273125000.0,3128000.0,3589503000,261472000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,11188000.0,0.0,60000000.0,0.0,,8442677000,9875623000,540712000.0,2539133000,1432946000,17638000,6184000.0,221182000,214998000,1409610000,7229956000,,6194280000,881771000,18829000.0,3643636000,4784670000,44522000,526114000.0,,4179786000,260478000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,0.0,0.0,366562000.0,0.0,-5319796000.0,7942932000,9593567000,494552000.0,2560637000,1650635000,17533000,0.0,689208000,689208000,1345118000,6629673000,11949469000.0,6029056000,627266000,139411000.0,3557021000,4683938000,41046000,10197000.0,0.0,4174878000,312971000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,0.0,0.0,590988000.0,0.0,,7296496000,9392400000,486153000.0,2236138000,2095904000,824875000,,359982000,359982000,1553670000,5830261000,,6193895000,631927000,379207000.0,3156981000,4640225000,18322000,154530000.0,,4179985000,310005000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
