date,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyIncomeTaxPayable,quarterlyDilutedAverageShares,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalRevenue,quarterlyChangesInAccountReceivables,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,quarterlyAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyInventory,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyInvestingCashFlow,quarterlyCurrentAccruedExpenses,quarterlyChangeInInventory,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyTotalNonCurrentAssets,quarterlyTaxProvision,quarterlyNetPPE,quarterlyTotalAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyNetOtherFinancingCharges,quarterlyDilutedEPS,quarterlyFreeCashFlow,quarterlyOtherNonCurrentAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyBeginningCashPosition,quarterlyOtherNonCashItems,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyCurrentDeferredRevenue
2017-06-30,-40000000.0,,,341986000,9768000,9161000,-12597000,,139493000.0,181913000.0,0.0,40968000,1183975000,3893000,63471000,877851000.0,136796000.0,278515000,,0.3,596008000.0,14814000,19782000.0,131000,0.0,368078000.0,218404000.0,841989000,-975000,-60548000,85060000.0,-14136000,652358000.0,38189000,37302000.0,310000000.0,40968000,65346000,40968000,-6512000,0.0,123957000.0,4818000,,,1253800000.0,17534000,681065000.0,1530209000.0,-11310000,,-60548000,1025000,0.29,4798000,7751000.0,58502000,,42761000.0,23520000,196906000.0,276409000.0,281843000.0,21326000,190000,136000.0,14814000.0,14814000.0,3793000,86840000,,,,,,,
2017-09-30,-72000000.0,,,346409000,435000,5206000,12921000,,136770000.0,179482000.0,0.0,31486000,1206059000,-2446000,53807000,934601000.0,134320000.0,292602000,,0.23,644441000.0,18892000,23231000.0,-641000,0.0,368078000.0,222216000.0,859650000,-10985000,-40706000,101902000.0,-3812000,616615000.0,39955000,42508000.0,349000000.0,31486000,79086000,31486000,4078000,60683000.0,126127000.0,5338000,,,1261283000.0,16071000,690763000.0,1551216000.0,-34302000,,-40706000,-1025000,0.23,38380000,5886000.0,47557000,,2250000.0,24733000,196556000.0,289933000.0,290160000.0,14814000,190000,133000.0,18892000.0,18892000.0,4086000,77628000,,,,,,,
2017-12-31,-11392000.0,1096636000.0,-784000.0,324444000,7575000,-15442000,-4418000,3391000.0,134795000.0,244853000.0,454000.0,39699000,1143933000,-6580000,37218000,930909000.0,132408000.0,287226000,,0.3,631195000.0,19479000,25893000.0,103000,0.0,368078000.0,229542000.0,819489000,-21139000,-40165000,45623000.0,-7327000,650694000.0,38096000,27066000.0,348000000.0,39699000,50598000,39699000,587000,80948000.0,130640000.0,5730000,,,1282096000.0,-8108000,713031000.0,1581603000.0,-9846000,-383605000.0,-40165000,1025000,0.29,10433000,4782000.0,31591000,,30558000.0,25869000,196205000.0,299507000.0,299714000.0,18892000,191000,132000.0,19479000.0,19479000.0,3896000,37321000,,,,,,,
2018-03-31,-83000000.0,,2536000.0,387052000,18637000,10629000,-4078000,,133752000.0,270385000.0,,66624000,1287196000,-1957000,79690000,978661000.0,132423000.0,307362000,,0.5,662743000.0,21356000,26746000.0,198000,,368078000.0,239611000.0,900144000,-21039000,-44158000,33569000.0,-10069000,648483000.0,41447000,37695000.0,368000000.0,66624000,104487000,66624000,1877000,,134215000.0,5752000,,,1312130000.0,7199000,738656000.0,1627144000.0,-58452000,,-44158000,-2190000,0.5,60329000,9541000.0,73823000,,14185000.0,26810000,195855000.0,315014000.0,315918000.0,19479000,455000,131000.0,21356000.0,21356000.0,3968000,106385000,,,,,,,
2018-06-30,-95000000.0,,3702000.0,380412000,-8258000,6921000,-14056000,,130012000.0,265578000.0,,41709000,1321693000,-997000,61727000,1082597000.0,129423000.0,318685000,,0.32,764247000.0,23174000,27580000.0,91000,,368078000.0,250564000.0,941281000,-11096000,-59777000,38410000.0,-10953000,601172000.0,43437000,44616000.0,458000000.0,41709000,66621000,41709000,1818000,,139984000.0,6298000,,,1353755000.0,13565000,776323000.0,1683769000.0,-5026000,,-59778000,0,0.32,6843000,13850000.0,55274000,,-39101000.0,27019000,195504000.0,330014000.0,318350000.0,21356000,209000,126000.0,23174000.0,23174000.0,4662000,88591000,,,,,,,
2018-09-30,-15307000.0,,4567000.0,382375000,-7139000,12223000,-16919000,,127627000.0,245928000.0,,37500000,1329109000,-7345000,53247000,1053669000.0,126855000.0,329128000,,0.3,756910000.0,17831000,34631000.0,-461000,,368078000.0,253045000.0,946734000,-64214000,-44497000,43433000.0,-2481000,641295000.0,43944000,56839000.0,435000000.0,37500000,64358000,37500000,-5343000,,144401000.0,7278000,,,1352590000.0,7867000,773348000.0,1694964000.0,-25204000,,-44497000,0,0.29,19861000,16010000.0,45367000,,-16908000.0,28130000,195154000.0,342374000.0,296759000.0,23174000,213000,127000.0,17175000.0,17175000.0,3043000,80775000,,,,,,,
2018-12-31,-65000000.0,1249298000.0,1134000.0,420969000,1126000,-6440000,16705000,,127398000.0,253969000.0,564000.0,12703000,1269338000,2633000,40331000,1086418000.0,126574000.0,380638000,,0.1,776418000.0,2248000,40564000.0,-11579000,,368078000.0,264366000.0,848369000,-36168000,-28650000,48603000.0,-11321000,589196000.0,352672000,50399000.0,453000000.0,12703000,58913000,12703000,-15583000,82824000.0,153377000.0,7420000,,,1341773000.0,8629000,766429000.0,1675614000.0,-45846000,-482869000.0,-28650000,0,0.1,30263000,12463000.0,21332000,,-69202000.0,28790000,194803000.0,333841000.0,310000000.0,17831000,4037000,124000.0,1588000.0,1588000.0,2839000,56718000,,,,,,,
2019-03-31,-111885000.0,1718532000.0,-1482000.0,484349000,18819000,6217000,-3860000,,123926000.0,263745000.0,,56392000,1413887000,3247000,80064000,2060075000.0,123258000.0,404285000,,0.46,1682343000.0,20982000,25190000.0,-508000,,368078000.0,257866000.0,929538000,-42920000,-30142000,38650000.0,6500000,556521000.0,374826000,63946000.0,500000000.0,56392000,112605000,56392000,18734000,74745000.0,39110000.0,4861000,,,2283394000.0,18162000,1718532000.0,2616596000.0,-63729000,,-30142000,-319000,0.46,82463000,11254000.0,74554000,,-103371000.0,50726000,185530000.0,333202000.0,377732000.0,2248000,680000,120000.0,19502000.0,19502000.0,2450000,130141000,,,,,,,
2019-06-30,-51425000.0,1746742000.0,-4579000.0,464782000,67188000,4474000,44884000,,118436000.0,331299000.0,,35343000,1415736000,17131000,52101000,2160842000.0,118251000.0,412681000,,0.3,1711237000.0,60183000,13170000.0,-769000,,368078000.0,269463000.0,950954000,-18265000,-63272000,41996000.0,-11596000,531649000.0,383116000,65262000.0,515000000.0,35343000,136580000,35343000,39201000,,40601000.0,5297000,,,2312443000.0,10551000,1746742000.0,2692491000.0,-34107000,,-63272000,0,0.3,73308000,12138000.0,45894000,,-129344000.0,49962000,185485000.0,380048000.0,449605000.0,20982000,176000,118000.0,58639000.0,58639000.0,1741000,101153000,,,,,,,
2019-09-30,0.0,1787379000.0,-5635000.0,476725000,14667000,-10936000,5863000,,118174000.0,184893000.0,,26260000,1440222000,8600000,41676000,2204946000.0,118029000.0,435049000,,0.22,1732830000.0,81397000,14212000.0,-2119000,,368078000.0,285715000.0,963497000,-64756000,-53066000,202239000.0,-16252000,559921000.0,404285000,54327000.0,526699000.0,26260000,74127000,26260000,21214000,,43932000.0,5416000,,,2352917000.0,7740000,1787379000.0,2764867000.0,153000,,-53066000,-1000,0.22,21061000,12020000.0,34000000,,-103084000.0,53109000,185440000.0,411950000.0,472116000.0,60183000,-2879000,118000.0,79912000.0,79912000.0,2710000,72440000,,,,,,,
