date,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyChangesInAccountReceivables,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentAssets,quarterlyTotalRevenue,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyLongTermDebt,quarterlyBasicAverageShares,quarterlyChangeInAccountPayable,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue
2014-09-30,10932000,-965000,,0.0,32575000,,-2053000,149000,,,,-889000,,,-177000,,7803000,-4656000,,,,3987000,,0,-1123000,,7125000,1747000,,,10026000.0,580000,5447000,,,4665000,,,,228000,,22936000,-1114000,,873000,-669000,,-1114000,-1114000,,,,,,,-91000,-4665000,-9000.0,39700000,11131000,,,,10932000,,-990000,11805000,,,,,,,,,,
2014-12-31,12247000,-3569000,60903000.0,0.0,39700000,,-2097000,-2371000,37499000.0,195988000.0,37499000.0,206000,116515000.0,-29536000.0,-142000,4809000.0,-2244000,-5926000,146051000.0,,,5681000,,-2325000,2245000,4276000.0,-2201000,1739000,8265000.0,0.0,-5000.0,731000,3267000,,-128374000.0,5097000,54898000.0,23952000.0,80409000.0,232000,321432000.0,22780000,-1198000,376330000.0,-1779000,-245000,104361000.0,-1198000,-1198000,1837000.0,0.0,123325000.0,10850000.0,8063000.0,4405000.0,-58000,-5638000,-10000.0,37499000,12312000,77766000.0,,,12247000,271969000.0,562000,10468000,,806000.0,3348000.0,,,,,,,
2015-03-31,10851000,-2215000,,0.0,37499000,-0.112777,-2071000,651000,,,,-193000,,,-37000,,-2078000,-4948000,,,,2469000,,417000,-1588000,,-4761000,1628000,,,,821000,4597000,25413016.0,,5184000,,,,220000,,22684000,-2866000,,-535000,-2479000,,-2866000,-2866000,,,,,,,-52000,-5152000,-204000.0,32738000,12368000,,25413016.0,,10851000,,227000,10316000,-0.112777,,,,,,,,,
2015-06-30,12912000,-1894000,58815000.0,-43108000.0,32738000,,-2084000,813000,34277000.0,195988000.0,34277000.0,-2451000,121102000.0,,-1119000,9914000.0,48148000,-6301000,121102000.0,,,3805000,,683000,-667000,6018000.0,1539000,1782000,17836000.0,0.0,,829000,4909000,,-133947000.0,5021000,57684000.0,38477000.0,131657000.0,233000,411878000.0,24114000,-2707000,469562000.0,-37000,-2496000,170134000.0,-2707000,-2707000,1623000.0,0.0,123325000.0,14399000.0,11386000.0,5267000.0,-75000,-50414000,-1005000.0,34277000,11239000,128663000.0,,,12912000,299428000.0,-1005000,12875000,,1371000.0,3237000.0,,,,,,,
2015-09-30,13214000,-3191000,57292000.0,-634000.0,34277000,-0.160115,-4886000,878000,25610000.0,195988000.0,25610000.0,60000,124097000.0,,-529000,8914000.0,-5127000,-6524000,124097000.0,,,3567000,,647000,-1058000,5970000.0,-8667000,2569000,19824000.0,0.0,288000.0,832000,6551000,25413016.0,-138846000.0,7173000,51458000.0,41011000.0,125755000.0,305000,410956000.0,27127000,-4069000,462414000.0,-521000,-2957000,166766000.0,-4069000,-4069000,1601000.0,0.0,123627000.0,14189000.0,11794000.0,4920000.0,-101000,-7107000,51000.0,25610000,14434000,122370000.0,25413016.0,,13214000,295648000.0,142000,12693000,-0.160115,1784000.0,3423000.0,,,,,,,
2015-12-31,11535000,-30686000,56127000.0,46000.0,25610000,,-3576000,631000,17802000.0,195988000.0,17802000.0,-1056000,125493000.0,-44791000.0,-22000,8315000.0,-3598000,-3577000,170284000.0,,,-235000,,956000,-5289000,5608000.0,-7808000,2533000,19347000.0,0.0,0.0,829000,-21389000,,-170163000.0,6764000,45013000.0,39394000.0,121102000.0,180000,380643000.0,26410000,-31317000,425656000.0,-669000,-3812000,160496000.0,-31317000,-31317000,1575000.0,0.0,98023000.0,15320000.0,11721000.0,4814000.0,-27489000,-3975000,-444000.0,17802000,15544000,118013000.0,,,11535000,265160000.0,68000,10866000,,1514000.0,2718000.0,,,,,,,
2016-03-31,13697000,-3360000,54986000.0,-100000.0,17802000,-0.156927,-3821000,628000,27987000.0,195988000.0,27987000.0,2286000,125837000.0,,-98000,8563000.0,11081000,-5447000,125837000.0,,,5450000,,497000,135000,4986000.0,10185000,2580000,21730000.0,0.0,,683000,6484000,25413016.0,-174151000.0,7264000,53420000.0,39604000.0,130665000.0,300000,378704000.0,27129000,-3988000,432124000.0,-734000,3000,170269000.0,-3988000,-3988000,1865000.0,0.0,98023000.0,12722000.0,10681000.0,4864000.0,-46000,-6346000,-799000.0,27987000,14166000,127053000.0,25413016.0,,13697000,261855000.0,195000,12963000,-0.156927,1747000.0,2207000.0,,,,,,,
2016-06-30,14455000,-3496000,53766000.0,0.0,27987000,-0.166293,-4258000,730000,31186000.0,195988000.0,31186000.0,-902000,126419000.0,,420000,7594000.0,3118000,-5062000,126419000.0,,,5482000,,599000,298000,5145000.0,3199000,2849000,21926000.0,0.0,,384000,6850000,25413016.0,-178377000.0,7497000,57658000.0,40382000.0,134367000.0,376000,375106000.0,28264000,-4226000,432764000.0,-558000,420000,174749000.0,-4226000,-4226000,2368000.0,0.0,98023000.0,13431000.0,10736000.0,5342000.0,-89000,-5401000,-339000.0,31186000,14367000,130018000.0,25413016.0,,14455000,258015000.0,-410000,13897000,-0.166293,1981000.0,2575000.0,,,,,,,
2016-09-30,15112000,-3437000,52548000.0,0.0,31186000,-0.185417,-3812000,1275000,25000000.0,195988000.0,25000000.0,-2713000,126286000.0,,-329000,8601000.0,-2420000,-4528000,126286000.0,,,959000,,1120000,-4492000,3895000.0,-6186000,2802000,25060000.0,0.0,,388000,-635000,25413016.0,-183089000.0,7702000,54867000.0,43479000.0,130518000.0,273000,372821000.0,28858000,-4712000,427688000.0,-549000,-3569000,173997000.0,-4712000,-4712000,2614000.0,0.0,98023000.0,15936000.0,12103000.0,6030000.0,-86000,-4725000,-197000.0,25000000,14295000,125158000.0,25413016.0,,15112000,253691000.0,-743000,14563000,-0.185417,2746000.0,2421000.0,,,,,,,
2016-12-31,24895000,-9724000,51330000.0,-45775000.0,25000000,,-5626000,-2178000,95334000.0,0.0,95334000.0,648000,125490000.0,-55837000.0,-115000,9138000.0,117289000,-3049000,181327000.0,,,1666000,,-1962000,3379000,3880000.0,70334000,2993000,27963000.0,0.0,,2560000,922000,,-190635000.0,7653000,123620000.0,47738000.0,121452000.0,147000,413076000.0,29849000,5612000,536696000.0,-10354000,-1383000,169190000.0,-7546000,-7546000,2825000.0,0.0,98023000.0,15473000.0,13075000.0,6246000.0,2949000,-48621000,203000.0,95334000,15308000,115753000.0,,,24895000,367506000.0,508000,14541000,,2874000.0,2820000.0,,,,,,,
2017-03-31,16488000,-5191000,50091000.0,-186000.0,101395000,-0.23,-6944000,935000,89918000.0,0.0,89918000.0,3503000,124215000.0,,-2000,49257000.0,-8111000,-3153000,124215000.0,,,5300000,-1167000.0,754000,-594000,3123000.0,-5308000,1815000,35187000.0,0.0,,2854000,4431000,26386000.0,-196762000.0,7807000,115431000.0,50621000.0,108261000.0,247000,407684000.0,29008000,-6126000,523115000.0,-3194000,2147000,158882000.0,-6126000,-6126000,3013000.0,0.0,98023000.0,11939000.0,9859000.0,5572000.0,-182000,-2497000,842000.0,96087000,15714000,101782000.0,26386000.0,,16488000,364233000.0,551000,13294000,-0.23,3466000.0,2452000.0,,,,,,,
2017-06-30,16742000,-4663000,50482000.0,-1957000.0,96087000,-0.21,-6957000,864000,82914000.0,0.0,82914000.0,-2533000,124469000.0,,-249000,48328000.0,-7172000,-4003000,124469000.0,,,5338000,0.0,839000,-1773000,3924000.0,-6926000,1704000,9093000.0,0.0,,3056000,-2959000,26415000.0,-202288000.0,7890000,113776000.0,28790000.0,129120000.0,243000,405682000.0,29893000,-5527000,519458000.0,-2866000,1335000,157910000.0,-5527000,-5527000,3278000.0,0.0,98023000.0,14316000.0,12997000.0,6459000.0,-93000,-5092000,-1275000.0,89161000,16017000,121488000.0,26415000.0,,16742000,361548000.0,-935000,13876000,-0.21,4354000.0,2776000.0,,,,,,,
2017-09-30,17734000,-6721000,53919000.0,-7778000.0,89161000,-0.29,-103560000,846000,118070000.0,0.0,118070000.0,-3282000,124510000.0,,-3684000,45261000.0,42842000,-4130000,124510000.0,,-13000.0,1238000,-2000.0,337000,-4947000,4533000.0,33222000,2055000,6063000.0,0.0,,3142000,3468000,26441000.0,-209855000.0,8134000,153319000.0,25820000.0,176062000.0,231000,405653000.0,29893000,-7567000,558972000.0,-3213000,-2892000,201882000.0,-7567000,-7567000,2414000.0,0.0,99526000.0,17761000.0,11922000.0,8710000.0,-1453000,-10859000,-6729000.0,122383000,15372000,168983000.0,26441000.0,,17734000,357090000.0,-1382000,14521000,-0.29,4665000.0,3302000.0,,,,,,,
2017-12-31,18684000,-5597000,52298000.0,0.0,122383000,,-1177000,977000,118090000.0,0.0,118090000.0,-1989000,123208000.0,-71037000.0,-197000,7917000.0,-1221000,-3174000,194245000.0,2142000.0,-17000.0,4043000,0.0,-261000,-1695000,3508000.0,-24000,2371000,6483000.0,0.0,-75000.0,3068000,5338000,,-216429000.0,8564000,154700000.0,25282000.0,177221000.0,266000,399950000.0,32357000,-6574000,554650000.0,-3104000,869000,202503000.0,-6574000,-6574000,3749000.0,0.0,99495000.0,19593000.0,10695000.0,8228000.0,-122000,-2849000,325000.0,122359000,16777000,167772000.0,,,18684000,352147000.0,547000,15580000,,5700000.0,2454000.0,,,,,,,
2018-03-31,19574000,-5939000,123205000.0,-6653000.0,122359000,-0.24,-1808000,407000,109950000.0,0.0,109950000.0,1103000,121653000.0,,-183000,8699000.0,-1976000,-2847000,121653000.0,,-100000.0,5084000,0.0,-155000,-663000,3217000.0,-6399000,3250000,6173000.0,,0.0,3283000,5171000,26491000.0,-230726000.0,7860000,149481000.0,22499000.0,183463000.0,251000,397434000.0,32514000,-6346000,546915000.0,-2549000,2237000,205962000.0,-6346000,-6346000,11563000.0,,101637000.0,18453000.0,10060000.0,8849000.0,-140000,-9500000,-6653000.0,115960000,15489000,166578000.0,26491000.0,,19574000,340953000.0,-512000,17025000,-0.24,5322000.0,3049000.0,,,,,,,
2018-06-30,19289000,-4589000,125168000.0,-5804000.0,115960000,-0.19,-1561000,332000,107402000.0,0.0,107402000.0,1861000,122290000.0,,-91000,8478000.0,-1449000,-4368000,122290000.0,,-207000.0,8687000,,-145000,1284000,4588000.0,-2923000,3354000,6246000.0,,0.0,3366000,6956000,26550000.0,-235647000.0,8191000,146095000.0,23671000.0,182470000.0,249000,399449000.0,34445000,-4921000,545544000.0,-1083000,4319000,206141000.0,-4921000,-4921000,11670000.0,,101666000.0,16483000.0,10150000.0,10177000.0,-152000,-10156000,-5788000.0,113037000,16239000,165466000.0,26550000.0,,19289000,339403000.0,-1366000,18206000,-0.19,5334000.0,2687000.0,,,,,,,
2018-09-30,2742563,2203874,5621572.0,,483587,0.057101,-17435048,684998,628115.0,0.0,628115.0,-129881,31273674.0,,-12132,8776000.0,1152820,-8638443,31273674.0,9751.0,-101000.0,5566654,,638862,378567,2707835.0,244528,1957157,4072563.0,,0.0,3353000,7625988,26600000.0,-238379000.0,3464957,6281547.0,8191347.0,39248659.0,194087,77464832.0,15136642,1518876,83746379.0,3852824,-3071789,47440006.0,1518876,1518876,1647609.0,147695.0,36426362.0,2860887.0,12763000.0,962081.0,308207,-6474946,1069831.0,728115,8541255,34457457.0,26600000.0,532149.0,1793441,36306373.0,-4977,6595387,0.057101,3143593.0,1220689.0,,,,,,,
