date,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyChangeInCashSupplementalAsReported,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyBasicEPS,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredRevenue
2000-04-30,,13578000,-3022000.0,-7320000.0,,,0.005,16600000.0,99000,,15703000,15703000,10105000,-15397000.0,0.0,,5600000.0,-2725000.0,2517000.0,29664000.0,-3598000,1387000.0,185972000.0,21487000,,12914000,2757000.0,47920000,,,3463000.0,,6118000.0,-897000.0,-1688000.0,,689000.0,1407000.0,,4227000,6420000.0,9316000,,12873000,4790000,13180000.0,9622000,,0.01,57542000,738000.0,2068000.0,2068000.0,3083000.0,5588000.0,22477000.0,0.0,,-5747000.0,15703000.0,64000.0,2000.0,0.0,43964000,,,2068000.0,306000,16484000.0,108000,12150000,,0.0,13967000.0,,339184000.0,
2000-07-31,,134910000,-46000.0,1331000.0,,,0.0025,15703000.0,171000,,112298000,112298000,10207000,-13173000.0,0.0,,3250000.0,-1997000.0,38000.0,32175000.0,-4587000,96016000.0,219640000.0,26130000,,14911000,832000.0,147226000,,,2622000.0,,7812000.0,96595000.0,-1214000.0,,208000.0,96034000.0,,4851000,6295000.0,10324000,,15820000,8947000,15080000.0,13824000,,0.0025,161050000,625000.0,624000.0,624000.0,3212000.0,7022000.0,10000.0,0.0,,-2043000.0,112298000.0,62000.0,,0.0,26140000,,,624000.0,3500000,17095000.0,619000,10819000,,0.0,17057000.0,,360224000.0,
2000-10-31,,138741000,3068000.0,1066000.0,,,0.005,112298000.0,171000,,115824000,115824000,14949000,-10488000.0,0.0,,3745000.0,-3263000.0,586000.0,36212000.0,-5603000,-129000.0,318500000.0,32055000,,18174000,2397000.0,154557000,,,3850000.0,,9436000.0,3526000.0,-1107000.0,,599000.0,-110000.0,,6649000,6780000.0,12571000,,23150000,9627000,16999000.0,16239000,,0.005,170796000,587000.0,1798000.0,1798000.0,3159000.0,7048000.0,,,,-195000.0,115824000.0,53000.0,,0.0,32055000,,,1798000.0,3668000,19213000.0,646000,9753000,,0.0,18627000.0,,388600000.0,
2001-01-31,,2356666000,68542000.0,-3797000.0,2100839000.0,,,115824000.0,231000,,224063000,184128000,24818000,-28094000.0,0.0,,5942000.0,-4176000.0,-5607000.0,45843000.0,-17753000,1681000.0,,88222000,,48937000,-238767000.0,304009000,,,2257000.0,,11786000.0,68304000.0,-3578000.0,,843000.0,,39935000.0,-232961000,47330000.0,31184000,,37543000,9521000,21788000.0,2143477000,,,2447486000,-1919000.0,-239610000.0,-239610000.0,11549000.0,8213000.0,2598000.0,,,64366000.0,184128000.0,37000.0,,0.0,90820000,,,-239610000.0,11454000,24055000.0,6516000,30924000,,0.0,29662000.0,,,
2001-04-30,,2256762000,-667000.0,6668000.0,1996331000.0,11020000.0,-0.2325,184128000.0,231000,,198209000,161270000,22495000,-23960000.0,0.0,,4947000.0,-7117000.0,-107148000.0,64230000.0,-17753000,913000.0,450068000.0,57386000,,52755000,-104181000.0,273485000,,,10082000.0,-109000.0,20066000.0,-22858000.0,2953000.0,,785000.0,1037000.0,36939000.0,-337927000,10819000.0,35002000,,38191000,17117000,30161000.0,2043227000,,-0.2325,2316712000,2965000.0,-104966000.0,-104966000.0,112095000.0,12530000.0,2564000.0,,-8003000.0,-33853000.0,161270000.0,22000.0,,0.0,59950000,,,-104966000.0,11894000,34069000.0,6933000,24256000,,0.0,141217000.0,,450068000.0,
2001-07-31,,2165509000,-1916000.0,-474000.0,1891823000.0,1987000.0,-0.2325,161270000.0,233000,,215379000,174203000,27162000,-18611000.0,0.0,,5687000.0,-2589000.0,-107053000.0,68649000.0,-17753000,8573000.0,454856000.0,62390000,,51645000,-104594000.0,292678000,,,8153000.0,-3000.0,21843000.0,12933000.0,610000.0,,603000.0,8598000.0,41176000.0,-443124000,11731000.0,33892000,,38016000,18355000,31419000.0,1941123000,,-0.2325,2233801000,5564000.0,-105197000.0,-105197000.0,112740000.0,13837000.0,5902000.0,,-1035000.0,-3793000.0,174203000.0,,,0.0,68292000,,,-105197000.0,15408000,37230000.0,5142000,24730000,,0.0,144283000.0,,454856000.0,
2001-10-31,,2066712000,-2600000.0,-249000.0,1787315000.0,6018000.0,-0.23,174203000.0,234000,,210242000,145801000,24542000,-14343000.0,0.0,,6588000.0,-5100000.0,-106331000.0,73100000.0,-17753000,2056000.0,459148000.0,65975000,,52834000,-104514000.0,299484000,,,546000.0,0.0,24072000.0,-28402000.0,-7252000.0,,607000.0,2056000.0,64441000.0,-548245000,25835000.0,35081000,,45833000,10504000,33491000.0,1838402000,,-0.23,2137886000,-4554000.0,-105121000.0,-105121000.0,112919000.0,13309000.0,5199000.0,,-29245000.0,-31004000.0,145801000.0,,,0.0,71174000,,,-105121000.0,16006000,39609000.0,5094000,24979000,,0.0,145940000.0,,459148000.0,
2002-01-31,,1989727000,-1390000.0,1379000.0,8665000.0,8759000.0,,145801000.0,238000,,250244000,114483000,30990000,-9153000.0,0.0,,10644000.0,-9814000.0,-101317000.0,82816000.0,-32810000,20383000.0,,84518000,,85734000,-98566000.0,339416000,,,31236000.0,-3000.0,27441000.0,-31318000.0,24622000.0,,1304000.0,20690000.0,135761000.0,-648115000,17744000.0,52924000,1672075000.0,42150000,25838000,35736000.0,1751639000,,,2091055000,21422000.0,-99870000.0,-99870000.0,111961000.0,13685000.0,16810000.0,6793000.0,-80445000.0,-82937000.0,114483000.0,1039000.0,,0.0,101328000,,,-99870000.0,17975000,47080000.0,8907000,23600000,,0.0,148397000.0,,,
2002-04-30,,1969444000,0.0,1483000.0,1659417000.0,12487000.0,-0.065,114483000.0,239000,,257021000,114254000,36885000,-7429000.0,0.0,,-4182000.0,-10772000.0,-31647000.0,98800000.0,-32810000,8708000.0,472356000.0,108718000,,92646000,-29508000.0,357448000,,,9821000.0,-2000.0,30609000.0,-229000.0,13290000.0,,1426000.0,8929000.0,142767000.0,-679049000,19689000.0,59836000,,56387000,39193000,43780000.0,1737486000,,-0.065,2094934000,-951000.0,-30934000.0,-30934000.0,27465000.0,14654000.0,16772000.0,7136000.0,-20473000.0,-18758000.0,114254000.0,1201000.0,,0.0,125490000,,,-30934000.0,18233000,55020000.0,11750000,22117000,,-17799000.0,86667000.0,,472356000.0,
2002-07-31,,1970800000,1098000.0,-25508000.0,1638094000.0,16454000.0,-0.02,114254000.0,240000,,250350000,108871000,63055000,-9360000.0,0.0,,19130000.0,-5712000.0,-9297000.0,119694000.0,-32810000,4809000.0,475544000.0,135790000,,93256000,-7391000.0,392172000,,,2082000.0,0.0,33599000.0,-5383000.0,-17019000.0,,1935000.0,5347000.0,141479000.0,-688375000,19223000.0,60446000,,70218000,38683000,56033000.0,1729607000,,-0.02,2121779000,-3630000.0,-9326000.0,-9326000.0,28427000.0,15844000.0,15189000.0,6055000.0,-24114000.0,-12274000.0,108871000.0,1266000.0,,0.0,150979000,,,-9326000.0,31067000,63661000.0,13563000,49478000,,0.0,72958000.0,,475544000.0,
