date,quarterlyCurrentAccruedExpenses,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyBasicAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyRepaymentOfDebt,quarterlyCurrentDeferredRevenue,quarterlyNetIncomeContinuousOperations,quarterlyOperatingExpense,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyDilutedAverageShares,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyIncomeTaxPayable,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlyTotalRevenue,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyEbitda,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyNetPPE,quarterlyTaxProvision,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment
2014-09-30,115000000.0,19000000,,37000000.0,1312000000.0,-125000000.0,1439000000.0,930000000.0,76000000,104918950.0,32000000.0,0.11,11000000,12000000.0,2285000000.0,-1000000.0,846000000.0,10000000.0,0,14000000.0,12000000,59000000,11000000,49000000,616000000.0,0.0,19000000.0,35000000.0,-42000000,413000000.0,-32000000,128000000,465000000.0,799000000,0.0,105241827.0,429000000,-59000000,407000000,39000000.0,2000000.0,27000000.0,-2000000.0,24000000,0.0,22000000.0,-75000000.0,426000000.0,463000000.0,2242000000.0,29000000.0,27000000.0,0.11,927000000,47000000.0,,11000000.0,47000000,4000000,-57000000,,12000000.0,579000000.0,18000000.0,10000000,540000000.0,12000000,,69000000,615000000.0,-2000000,21000000,55000000.0,8000000,,,
2014-12-31,111000000.0,18000000,,57000000.0,1991000000.0,-207000000.0,2060000000.0,1058000000.0,90000000,,40000000.0,,-17000000,17000000.0,3012000000.0,16000000.0,952000000.0,10000000.0,-12000000,32000000.0,-16000000,61000000,-17000000,50000000,1205000000.0,0.0,69000000.0,54000000.0,-17000000,432000000.0,-57000000,108000000,431000000.0,828000000,0.0,,991000000,-85000000,429000000,-43000000.0,2000000.0,14000000.0,6000000.0,-22000000,-19000000.0,11000000.0,-90000000.0,989000000.0,1046000000.0,3049000000.0,48000000.0,28000000.0,,936000000,47000000.0,-19000000.0,21000000.0,16000000,552000000,-72000000,0.0,-6000000.0,659000000.0,10000000.0,11000000,632000000.0,-6000000,,47000000,722000000.0,56000000,557000000,79000000.0,22000000,,,
2015-03-31,,-72000000,376000000.0,86000000.0,3025000000.0,-259000000.0,1956000000.0,1391000000.0,12000000,105266930.0,37000000.0,-0.3,-32000000,32000000.0,4328000000.0,-10000000.0,2372000000.0,54000000.0,-200000000,,-31000000,76000000,-32000000,65000000,2071000000.0,,-2000000.0,83000000.0,-8000000,707000000.0,-70000000,141000000,795000000.0,1252000000,0.0,105266930.0,354000000,-441000000,991000000,-95000000.0,2000000.0,16000000.0,-348000000.0,-48000000,-357000000.0,9000000.0,,352000000.0,438000000.0,4416000000.0,-48000000.0,158000000.0,-0.3,1393000000,206000000.0,-9000000.0,98000000.0,82000000,-214000000,-84000000,,-17000000.0,1039000000.0,,11000000,1441000000.0,-17000000,,65000000,,-65000000,-643000000,87000000.0,42000000,,,
2015-06-30,127000000.0,73000000,362000000.0,99000000.0,2890000000.0,-258000000.0,1847000000.0,1351000000.0,152000000,105002508.0,42000000.0,-0.45,-47000000,35000000.0,4154000000.0,16000000.0,2307000000.0,11000000.0,-19000000,23000000.0,-47000000,71000000,-47000000,62000000,2012000000.0,,28000000.0,70000000.0,71000000,622000000.0,-22000000,92000000,630000000.0,1283000000,0.0,105002508.0,373000000,-76000000,354000000,-94000000.0,2000000.0,16000000.0,3000000.0,-39000000,0.0,5000000.0,-148000000.0,369000000.0,468000000.0,4241000000.0,24000000.0,155000000.0,-0.45,1375000000,166000000.0,0.0,41000000.0,37000000,-56000000,-79000000,,9000000.0,822000000.0,20000000.0,9000000,1437000000.0,8000000,,21000000,1585000000.0,99000000,20000000,108000000.0,39000000,,,
2015-09-30,,-5000000,415000000.0,71000000.0,2911000000.0,-322000000.0,1559000000.0,1213000000.0,80000000,105113057.0,31000000.0,-0.43,-45000000,32000000.0,3975000000.0,11000000.0,2416000000.0,72000000.0,-9000000,,-45000000,67000000,-45000000,62000000,2021000000.0,,-139000000.0,65000000.0,65000000,559000000.0,-31000000,96000000,590000000.0,1163000000,0.0,105113057.0,332000000,-94000000,373000000,-158000000.0,2000000.0,8000000.0,-9000000.0,-42000000,0.0,7000000.0,,331000000.0,402000000.0,4124000000.0,117000000.0,154000000.0,-0.43,1259000000,167000000.0,,44000000.0,34000000,-28000000,-85000000,,3000000.0,888000000.0,,5000000,1488000000.0,3000000,,29000000,,36000000,-42000000,111000000.0,38000000,,,
2015-12-31,130000000.0,165000000,443000000.0,70000000.0,2962000000.0,-715000000.0,1462000000.0,1206000000.0,267000000,,14000000.0,,-430000000,41000000.0,3628000000.0,31000000.0,2166000000.0,11000000.0,-1000000,13000000.0,-429000000,66000000,-430000000,56000000,2064000000.0,10000000.0,-48000000.0,67000000.0,21000000,542000000.0,-458000000,105000000,264000000.0,1017000000,0.0,,476000000,-111000000,332000000,-551000000.0,2000000.0,13000000.0,-9000000.0,-455000000,0.0,6000000.0,-569000000.0,472000000.0,542000000.0,4168000000.0,250000000.0,78000000.0,,1122000000,169000000.0,,54000000.0,-360000000,-10000000,-102000000,,-26000000.0,657000000.0,38000000.0,10000000,1255000000.0,-26000000,,39000000,1824000000.0,196000000,146000000,120000000.0,48000000,,,
2016-03-31,,-137000000,424000000.0,73000000.0,3290000000.0,-756000000.0,1728000000.0,1166000000.0,-59000000,105500000.0,6000000.0,-0.08,-8000000,34000000.0,3875000000.0,4000000.0,2147000000.0,58000000.0,-42000000,,-8000000,70000000,-8000000,61000000,2361000000.0,12000000.0,49000000.0,58000000.0,-22000000,555000000.0,8000000,114000000,475000000.0,1036000000,0.0,105500000.0,625000000,-99000000,476000000,-592000000.0,2000000.0,0.0,-21000000.0,11000000,0.0,8000000.0,,625000000.0,698000000.0,4456000000.0,-124000000.0,74000000.0,-0.08,1150000000,140000000.0,0.0,62000000.0,107000000,309000000,-78000000,,19000000.0,888000000.0,,9000000,1269000000.0,19000000,-149000000.0,44000000,,-124000000,151000000,88000000.0,40000000,,,
2016-06-30,,57000000,434000000.0,102000000.0,3408000000.0,-785000000.0,1666000000.0,1084000000.0,135000000,105471929.0,14000000.0,0.08,9000000,38000000.0,3883000000.0,-6000000.0,2217000000.0,8000000.0,-57000000,13000000.0,9000000,68000000,9000000,63000000,2414000000.0,16000000.0,-12000000.0,46000000.0,34000000,526000000.0,8000000,140000000,296000000.0,1093000000,,105502014.0,622000000,-78000000,625000000,-621000000.0,2000000.0,1000000.0,0.0,35000000,0.0,11000000.0,-623000000.0,622000000.0,724000000.0,4492000000.0,86000000.0,74000000.0,0.08,1233000000,84000000.0,0.0,44000000.0,117000000,-63000000,-78000000,,26000000.0,676000000.0,36000000.0,5000000,1333000000.0,26000000,,72000000,1956000000.0,89000000,-6000000,56000000.0,48000000,,,
2016-09-30,135000000.0,-34000000,432000000.0,94000000.0,3410000000.0,-769000000.0,1698000000.0,1102000000.0,40000000,105504774.0,11000000.0,0.14,15000000,37000000.0,3916000000.0,-5000000.0,2218000000.0,9000000.0,0,13000000.0,15000000,74000000,15000000,66000000,2408000000.0,25000000.0,5000000.0,36000000.0,-33000000,559000000.0,11000000,140000000,310000000.0,1059000000,,106420955.0,618000000,-56000000,622000000,-605000000.0,2000000.0,0.0,-2000000.0,33000000,20000000.0,13000000.0,-653000000.0,618000000.0,712000000.0,4512000000.0,-15000000.0,72000000.0,0.15,1199000000,114000000.0,0.0,45000000.0,115000000,11000000,-74000000,,18000000.0,679000000.0,35000000.0,8000000,1363000000.0,18000000,,66000000,2016000000.0,-20000000,-5000000,37000000.0,26000000,,,
2016-12-31,141000000.0,-125000000,457000000.0,117000000.0,3322000000.0,-743000000.0,1410000000.0,1035000000.0,0,105263158.0,30000000.0,-0.19,-20000000,46000000.0,3787000000.0,13000000.0,2377000000.0,9000000.0,-155000000,14000000.0,-20000000,74000000,-20000000,64000000,2361000000.0,30000000.0,-60000000.0,65000000.0,-21000000,591000000.0,-25000000,122000000,235000000.0,1039000000,,105263158.0,347000000,-132000000,618000000,-579000000.0,2000000.0,0.0,-8000000.0,-14000000,1000000.0,13000000.0,-710000000.0,347000000.0,464000000.0,4357000000.0,81000000.0,79000000.0,-0.19,1161000000,107000000.0,,47000000.0,94000000,-140000000,-125000000,,6000000.0,627000000.0,40000000.0,10000000,1477000000.0,6000000,29000000.0,48000000,2187000000.0,-2000000,-272000000,34000000.0,37000000,,,
