date,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCapitalExpenditure,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2014-08-31,1594110000,5001036000,5719425000,79995000,2994058000,,3524232000,64345000,0.0,9252000,84399000.0,21680000,457897000,4076580000,,1642845000,-114360000.0,1440668000,11611000,261079000.0,435630000,435630000,8000,1957006000,-625561000.0,552348000,718389000,2582567000.0,7932000,-116675000,15169000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-28,1594110000,4929614000,5596769000,88315000,3009908000,0.0,3525881000,56403000,,12805000,65266000.0,12565000,433873000,4232835000,0.0,1363934000,596670000.0,1385585000,10654000,301838000.0,352752000,352752000,100000,1937114000,,706954000,667155000,,12491000,-163363000,12239000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-31,1594110000,4923810000,5551057000,81685000,3018889000,,3548287000,51891000,9893000.0,19503000,55168000.0,14373000,438916000,4036870000,,1514187000,583560000.0,1330501000,6561000,283924000.0,328950000,328950000,101000,1969803000,-990077000.0,488583000,627247000,2959880000.0,13844000,-12407000,11481000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-29,1594110000,4879694000,5477457000,94529000,3027532000,0.0,3547293000,47379000,9497000.0,16970000,57933000.0,36306000,417583000,4027038000,0.0,1450419000,1450318000.0,1298083000,21639000,290408000.0,271049000,271049000,101000,1961034000,,479745000,597763000,,22843000,122845000,9024000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-31,1771969000,5778867000,6604748000,148064000,3721297000,,4415604000,70752000,,19618000,,50541000,450980000,5241390000,,1363358000,,1550209000,107550000,0.0,354955000,354955000,101000,2419890000,-1326926000.0,825786000,825881000,3746816000.0,55923000,232272000,27115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-28,1771969000,5888424000,6617118000,168391000,3827111000,,4680975000,56938000,,25512000,,35681000,425405000,5404541000,,1212577000,,1691908000,158882000,0.0,273437000,273437000,101000,2380287000,,723566000,728694000,,62534000,278306000,29586000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-31,1771969000,5707854000,6585462000,205167000,3831332000,,4694177000,36712000,,24600000,,11824000,423618000,5456574000,,1128888000,,1612707000,97658000,0.0,385052000,385052000,101000,2289790000,-1721431000.0,762397000,877608000,4011221000.0,92752000,403382000,36513000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-28,1771969000,5584084000,6446506000,231235000,3847592000,,4610021000,32030000,,24558000,,20676000,398552000,5297762000,,1148744000,,1522603000,100642000,,358499000,358499000,101000,2256400000,,687741000,862422000,,80319000,518894000,28731000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-31,1804904000,5626776000,6581173000,247210000,3873716000,,4628943000,50516000,,64950000,,32704000,408431000,5544261000,,1036912000,,1454877000,138918000,,373293000,373293000,101000,2293950000,-2115374000.0,915318000,954397000,4409324000.0,79371000,413383000,27621000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-28,1804904000,6426516000,7491407000,330944000,4451057000,0.0,5218005000,53130000,,26649000,,34661000,446585000,6183545000,0.0,1307862000,,1358810000,295675000,,420874000,420874000,101000,2577371000,,965540000,1064891000,,78758000,679384000,12332000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-31,8788319000,18634897000,20382024000,557439000,9623390000,,11180339000,44073000,,32105000,,29168000,1131440000,12925463000,,7456561000,,4638643000,365976000,,662816000,662816000,132000,4341590000,-2623912000.0,1745124000,1747127000,6965502000.0,187690000,694466000,10395000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
