date,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,0.0,,720797000,1610868000,129054000.0,0.0,47875000.0,47875000,0.0,,,299448000,,1310696000,277293000,434938000,643037000,,643037000,0.0,,34811000.0,0.0,0.0,,-3848000.0,3131000,6979000.0,890071000,251573000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,,921619000,1635032000,86153000.0,,0.0,0,1784000.0,,,259440000,,1374785000,287945000,567474000,535740000,,535740000,,,11224000.0,0.0,0.0,,,3622000,,713413000,259440000,,-1261626000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,28000000.0,,832563000,1352779000,22474000.0,0.0,0.0,74130000,66550000.0,,,459146000,,892796000,287945000,114670000,264678000,,236678000,74130000.0,,2383000.0,51121000.0,0.0,,,3730000,,520216000,385016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,15200000.0,,940294000,1546263000,20465000.0,0.0,,81069000,1692000.0,,,389321000,,1156767000,431918000,171004000,486298000,,471098000,81069000.0,,1536000.0,35172000.0,0.0,,,3448000,,605969000,308252000,,-1750442000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,14600000.0,102215000.0,1595492000,2033292000,18018000.0,81369000.0,,262687000,1644000.0,,15527000.0,856681000,292330000.0,1176154000,451918000,418371000,215206000,75383000.0,200606000,181318000.0,1039459000.0,7170000.0,18503000.0,328456000.0,79998000.0,-19288000.0,340655000,359943000.0,437800000,593994000,56509000.0,-1772706000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,12842000.0,,1579256000,2024889000,17865000.0,0.0,,249305000,1544000.0,,18735000.0,832175000,,1192267000,453918000,520858000,214199000,,201357000,179486000.0,,9204000.0,0.0,244557000.0,,,326711000,,445633000,582870000,58357000.0,-1731162000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,11600000.0,312216000.0,2390487000,3025756000,13475000.0,0.0,595757000.0,1010882000,0.0,,19171000.0,1428859000,,1596897000,510818000,1334783000,191127000,,179527000,336785000.0,,3878000.0,0.0,160330000.0,,-39772000.0,318117000,357889000.0,635269000,417977000,75005000.0,-1733380000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,18800000.0,317821000.0,2102911000,2877564000,5854000.0,0.0,533590000.0,956047000,0.0,,15491000.0,1361604000,,1515960000,522818000,1345921000,67175000,,48375000,337800000.0,,2520000.0,0.0,148295000.0,,,333722000,333722000.0,774653000,405557000,79456000.0,-1857547000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,16000000.0,321993000.0,2161591000,2983149000,2182000.0,0.0,334588000.0,760248000,0.0,6099000.0,10823000.0,1184086000,,1799063000,856238000,1323270000,115880000,,99880000,340961000.0,,2499000.0,0.0,157314000.0,,-63567000.0,390219000,453786000.0,821558000,423838000,77601000.0,-1899102000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,153620000.0,318942000.0,2139206000,2923868000,0.0,-66709000.0,334473000.0,685646000,0.0,0.0,11357000.0,926346000,,1997522000,939481000,1278875000,401452000,,247832000,337334000.0,,1889000.0,66709000.0,119002000.0,,,436653000,436653000.0,784662000,240700000,71706000.0,-1803805000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
