date,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyStockholdersEquity,quarterlyBasicAverageShares,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyLongTermDebt,quarterlyBasicEPS,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyDilutedEPS,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyOtherNonCashItems,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyStockBasedCompensation,quarterlyCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2012-03-31,-53293000,29345000,,0.0,-11146000,,127554000.0,151000,,2729000,-70025000,,,4641000,,65486000,-2448000,24251000,,125468000.0,,859112000,,,-326148000.0,205795000,,,205795000,,0.344893,,-5892000,43273000,42808000,-2323000.0,,,91677000,1156584000,-6559000.0,118102000,0.339252,43273000,-21500000,446274000,,297472000,1634000,,,-9214000.0,,7386000,,-72048000,3836000,,-6505000,,23271000,,-7697000.0,,,,,70000.0,,,,516299000,,,,,
2012-06-30,-5367000,33130000,,1000000.0,-22782000,,127554000.0,229000,,-6104000,29968000,,,82690000,,74236000,-13351000,27558000,,125468000.0,,914075000,,,0.0,203544000,,,203544000,,0.3762,,-5620000,47201000,47012000,795000.0,,,113148000,1230767000,-6645000.0,131085000,0.370047,47201000,-41458000,476242000,,316692000,1952000,,,-1252000.0,,3083000,,3714000,4049000,,59908000,,23719000,,-31247000.0,,,,,,,,,446274000,,,,,
2012-09-30,-8192000,33513000,,0.0,-15425000,,127554000.0,0,,-3416000,30068000,,,88396000,,72621000,-40299000,21542000,,125468000.0,,898092000,,,0.0,192780000,,,192780000,,0.415229,,-5792000,52098000,51975000,-1201000.0,,,108702000,1199574000,-161000.0,131861000,0.408439,52098000,-56711000,506310000,,301482000,2103000,,,-2454000.0,,3260000,,10429000,-5360000,,72971000,,25727000,,-27309000.0,,,,,,,,,476242000,,,,,
2012-12-31,-80021000,38383000,55710000.0,2466000.0,-21983000,127506000.0,,-9643000,55099000.0,-9653000,61418000,44230000.0,-257466000.0,159974000,193999000.0,55085000,8678000,20013000,-1359523000.0,,306437000.0,961303000,302429000.0,346732000.0,-241703000.0,215636000,11616000.0,162349000.0,215636000,2366268000.0,,456587000.0,-1983575000,34974000,34836000,-182000.0,74082000.0,2540233000.0,101649000,1278588000,0.0,119039000,,34974000,-12564000,567728000,3858197000.0,317285000,3548000,9639000.0,1509994000.0,-443000.0,451465000.0,12197000,1317964000.0,70364000,14070000,-1371772000.0,137991000,,25571000,989159000.0,5998000.0,2499153000.0,272813000.0,567728000.0,567728000.0,,7695000.0,84712000.0,4554000.0,506310000,,,,,
2013-03-31,-33959000,36042000,34741000.0,149000.0,-31459000,135489000.0,128915390.0,196000,57582000.0,523000,-113435000,44634000.0,,-21458000,190166000.0,81957000,-4377000,32118000,-1322623000.0,128915390.0,,912515000,297569000.0,334869000.0,0.0,199302000,16000000.0,156249000.0,199302000,2354763000.0,0.374734,454108000.0,-34304000,48309000,48156000,-1077000.0,72809000.0,2527012000.0,117024000,1228841000,0.0,142639000,0.374734,48309000,-36194000,454293000,3749000000.0,316326000,2875000,17057000.0,1439497000.0,0.0,,4473000,1221988000.0,-113957000,11164000,-1323463000.0,-52917000,,24640000,987208000.0,-39654000.0,2426705000.0,274003000.0,454293000.0,454293000.0,60000.0,-8387000.0,671448000.0,9227000.0,567728000,,,,,
2013-06-30,139737000,31884000,141000.0,489792000.0,-32817000,111302000.0,126578000.0,213000,58122000.0,-19916000,131429000,42830000.0,,26842000,196749000.0,46719000,-291000,8830000,-798058000.0,122709000.0,,969108000,295260000.0,377548000.0,0.0,228838000,8362000.0,153824000.0,228838000,2045142000.0,0.31,459569000.0,-350521000,38517000,38353000,1590000.0,78087000.0,2207328000.0,97734000,1295680000,0.0,103589000,0.3,38517000,-31205000,585722000,3446055000.0,326572000,12383000,27604000.0,1673860000.0,0.0,,6618000,1238727000.0,-31461000,-23205000,-1284946000.0,-5975000,,24986000,974307000.0,-87584000.0,2648167000.0,271733000.0,585722000.0,585722000.0,,-18186000.0,708583000.0,505074000.0,454293000,,,,,
2013-09-30,-1516000,28756000,4091000.0,-381000.0,-13663000,110927000.0,133267000.0,-264000,61431000.0,-10425000,23988000,34800000.0,,176526000,197393000.0,94398000,-146246000,27459000,-711967000.0,128923000.0,,863806000,412459000.0,398438000.0,0.0,199573000,16606000.0,160975000.0,199573000,2042029000.0,0.52,510997000.0,-982000,66769000,66584000,-984000.0,80773000.0,2219610000.0,132460000,1195839000,0.0,150478000,0.5,66769000,-160592000,609710000,3553993000.0,332033000,1686000,25854000.0,1717186000.0,0.0,,5869000,1334383000.0,78459000,-3842000,-1218177000.0,162863000,,27324000,1124835000.0,52705000.0,2842021000.0,310191000.0,609710000.0,609710000.0,,-3892000.0,758641000.0,510102000.0,585722000,,,,,
2013-12-31,-33305000,26826000,10433000.0,35440000.0,-14407000,117711000.0,,-72636000,63276000.0,-3899000,168433000,35646000.0,-281548000.0,215460000,199578000.0,100042000,-1409000,27558000,-667413000.0,,324051000.0,1017202000,409626000.0,408959000.0,0.0,232797000,37541000.0,178908000.0,232797000,2035586000.0,,538585000.0,-2062605000,72996000,72934000,609000.0,89541000.0,2252035000.0,129186000,1379185000,0.0,157422000,,72996000,-12184000,778143000,3734282000.0,361983000,4881000,35778000.0,1945688000.0,-6434000.0,481126000.0,5866000,1482247000.0,126736000,-8353000,-1145181000.0,201053000,,30554000,1121109000.0,-77148000.0,3066797000.0,298054000.0,778143000.0,778143000.0,,-376000.0,100616000.0,478144000.0,609710000,,,,,
2014-03-31,3007000,24703000,15572000.0,,-17706000,119477000.0,133040000.0,-2575000,66700000.0,3836000,-36762000,33898000.0,,-28437000,195852000.0,122712000,-1891000,37389000,-559474000.0,129898000.0,,946280000,409519000.0,435068000.0,,219242000,35565000.0,178129000.0,219242000,2031247000.0,0.69,511441000.0,-334000,90183000,90214000,-661000.0,92420000.0,2244941000.0,142324000,1307846000,-1224000.0,176503000,0.68,90183000,-13979000,741381000,3621417000.0,361566000,1595000,46697000.0,1947820000.0,-8415000.0,,7221000,1376476000.0,-138788000,-1587000,-1054998000.0,-46143000,,29088000,1114072000.0,-51018000.0,3061892000.0,289094000.0,741381000.0,741381000.0,5861000.0,-393000.0,768868000.0,495917000.0,778143000,,,,,
2014-06-30,-157093000,24799000,20715000.0,,-18126000,123606000.0,132042000.0,2773000,67423000.0,-4004000,-104913000,31808000.0,,67134000,196382000.0,114139000,-1112000,32400000,-621549000.0,128979000.0,,980068000,410333000.0,440711000.0,,219014000,33899000.0,186379000.0,219014000,2026909000.0,0.66,516076000.0,-132000,85120000,85110000,90000.0,94033000.0,2247187000.0,141948000,1341030000,-1112000.0,168783000,0.64,85120000,-19029000,636468000,3600247000.0,360962000,1596000,32812000.0,1864707000.0,-165131000.0,,8380000,1353060000.0,-52167000,414000,-969878000.0,49008000,,29845000,1113930000.0,-10550000.0,2978637000.0,282499000.0,636468000.0,636468000.0,0.0,2244000.0,751649000.0,346085000.0,741381000,,,,,
