date,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,quarterlyOtherNonCurrentAssets,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,-298644000.0,360669000,5483000,409020000,409470000,839000.0,196000000,15000000,47537000.0,15383000.0,,708114000.0,10610000,187449000,,48351000.0,1427385000,282849000,16093000,,461597000,298942000,1888982000,0.0,,0.0,1455573000,,,,,,827643000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,454483000,5432000,560483000,391995000,1064000.0,196000000,15000000,46909000.0,0.0,,,10492000,190198000,,106000000.0,1641441000,434352000,15924000,,444676000,450276000,2086117000,0.0,,0.0,1496201000,,,192148000.0,,,837341000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,-351261000.0,441108000,5251000,441108000,387982000,531000.0,196000000,15000000,45841000.0,0.0,,739243000.0,25037000,212463000,876937000.0,,1699132000,408367000,30288000,,476040000,438655000,2175172000,0.0,,96529000.0,1559017000,97390000.0,,155229000.0,48999000.0,2892000.0,957134000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,753381000,5149000,753381000,407169000,375000.0,588000000,45000000,69405000.0,0.0,,,41400000,221703000,462848000.0,,2021813000,645203000,46549000,581366000.0,491678000,691752000,2513491000,0.0,,20108000.0,1632214000,225133000.0,,159928000.0,98530000.0,2165000.0,1025050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,-396715000.0,671695000,5139000,671695000,434341000,293000.0,588000000,125000000,143879000.0,0.0,19804000.0,831056000.0,52185000,466483000,376613000.0,,2218911000,821485000,57324000,754275000.0,598968000,878809000,2817879000,0.0,,9407000.0,1718888000,83338000.0,,142857000.0,86194000.0,1554000.0,1328034000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,801559000,4746000,801559000,471092000,1620000.0,588000000,125000000,142266000.0,0.0,,,54914000,486894000,488852000.0,,2517803000,1026755000,59660000,742913000.0,635662000,1086415000,3153465000,0.0,,8460000.0,1819765000,209824000.0,,269037000.0,133316000.0,1112000.0,1356374000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,-426999000.0,844034000,3241000,852796000,659208000,2112000.0,588000000,128678000,140961000.0,0.0,,1086207000.0,54238000,384154000,,8762000.0,2485131000,887218000,57479000,,683815000,944697000,3168946000,0.0,,8762000.0,1936038000,,,150399000.0,,,1402588000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,1502825000,5031000,1508811000,758603000,2134000.0,588000000,125000000,139600000.0,413922000.0,,758603000.0,53411000,387331000,,5986000.0,3317849000,1109170000,98272000,835477000.0,794263000,1207442000,4112112000,53411000.0,39830000.0,5986000.0,2183372000,,,434262000.0,,,1296286000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,-447241000.0,1967919000,3340000,2366909000,793723000,2273000.0,640392000,155000000,125425000.0,0.0,,1240964000.0,75567000,360744000,,398990000.0,4312338000,1021358000,118217000,,835854000,1139575000,5148192000,0.0,39310000.0,398990000.0,3257277000,,,244807000.0,,,1511016000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,1971877000,2682000,2379025000,862756000,2858000.0,640392000,150000000,136024000.0,0.0,,862756000.0,73923000,450880000,,407148000.0,4779502000,1406653000,76605000,1188349000.0,925007000,1483258000,5704509000,0.0,0.0,407148000.0,3404921000,,,638280000.0,,,1546762000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
