date,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyNetOtherInvestingChanges,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,quarterlyNetPPE,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInInventory,quarterlyInventory,quarterlyRepurchaseOfCapitalStock,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2016-01-31,29267000,-21428000,3040000,2686000,1000.0,-20313000,58081000,7336000,972000,,5838000,11707000.0,,33537000.0,-204400000.0,330825000.0,-11269000,7390000.0,87140000.0,125668000.0,-21285000,27138000,,,623000.0,0.0,23009000.0,10274000,4570000.0,,1018000,-181062000.0,243685000.0,16864000,2630000.0,-21428000,-21428000,0.0,131000.0,-71000.0,87945000.0,-2141000.0,54408000.0,138000,5249000.0,67818000.0,-5000,38149000,4053000.0,,,-5000,-2308000,4365000.0,848000,,8882000,0.0,-21290000,-8961000,-720000,987000.0,-5065000,24095000.0,,149763000.0,9643000,58801000,2000.0,5874000.0,-57000.0,,,,,,
2016-04-30,33346000,-22753000,2923000,3369000,,-21817000,43597000,841000,887000,90758777.0,539000,,,,,,-17194000,,,,-22704000,31787000,-0.250698,,,,,12379000,,-0.250698,3681000,,,19408000,,-22753000,-22753000,0.0,,-71000.0,,,,81000,,,32000,42112000,,,,-390000,-2159000,,-337000,0.0,8766000,,-22672000,-15035000,-14484000,,3090000,,90758777.0,,3000000,58081000,,,,,,,,,
2016-07-31,34563000,-20601000,3352000,3664000,,-19477000,32718000,1012000,1085000,90758777.0,662000,,,,,,-15033000,,,,-20562000,37436000,-0.226986,,,,,13780000,,-0.226986,-2031000,,,23656000,,-20601000,-20601000,0.0,,-72000.0,,,,95000,,,56000,44218000,,,,-416000,-3195000,,48000,0.0,9655000,,-20506000,-11838000,-10879000,,-2400000,,90758777.0,,4207000,43597000,,,,,,,,,
2016-10-31,40364000,-21931000,3953000,4836000,0.0,-20685000,25568000,715000,1205000,90758777.0,3411000,6715000.0,,21999000.0,-269685000.0,352583000.0,-11811000,12701000.0,114311000.0,86982000.0,-21890000,42283000,-0.241641,,213000.0,0.0,26515000.0,14103000,3428000.0,-0.241641,1666000,-231806000.0,238272000.0,28180000,2630000.0,-21931000,-21931000,0.0,131000.0,-70000.0,42133000.0,-3716000.0,20134000.0,91000,8985000.0,93103000.0,50000,50070000,7235000.0,,,-184000,-3285000,6942000.0,751000,,9706000,,-21840000,-8526000,-7150000,1137000.0,-4296000,33795000.0,90758777.0,120777000.0,4000000,32718000,2000.0,10020000.0,-187000.0,,,,,,
2017-01-31,40568000,-18224000,4210000,5258000,0.0,-16576000,23282000,4397000,1391000,,663000,5711000.0,,14390000.0,-287909000.0,145982000.0,-9805000,15132000.0,135324000.0,92790000.0,-17967000,48820000,,,132000.0,0.0,34544000.0,15687000,5549000.0,,6000,-15347000.0,10658000.0,33133000,2630000.0,-18224000,-18224000,0.0,200000.0,-183000.0,37672000.0,-4106000.0,23282000.0,158000,11026000.0,108012000.0,-99000,51100000,9155000.0,,,-594000,-3103000,4984000.0,-5000,,10532000,0.0,-18066000,-6702000,-2286000,0.0,-8387000,37845000.0,,130635000.0,7500000,25568000,8000.0,11897000.0,-167000.0,,,,,,
2017-04-30,48819000,-28901000,4309000,8906000,,-27059000,221989000,8217000,1575000,39783000.0,4425000,4927000.0,,2500000.0,-317010000.0,154311000.0,-13342000,13180000.0,143061000.0,279799000.0,-28634000,53007000,-0.73,,6323000.0,0.0,32171000.0,17463000,4822000.0,-0.73,3782000,165919000.0,11250000.0,35544000,6282000.0,-28901000,-28901000,11873000.0,,-207000.0,224226000.0,,221726000.0,248000,13180000.0,115717000.0,-19000,64178000,9835000.0,,,111000,-3656000,1671000.0,200108000,199997000.0,15359000,,-28653000,-9686000,198707000,0.0,2243000,40431000.0,39783000.0,320230000.0,11873000,23282000,9000.0,15909000.0,-99000.0,,,,,,
2017-07-31,51545000,-27002000,4713000,11978000,,-25442000,126743000,-88519000,1713000,93576000.0,2360000,4108000.0,,86755000.0,-344012000.0,163358000.0,-10481000,13302000.0,152799000.0,274686000.0,-27155000,60995000,-0.29,,6451000.0,0.0,35304000.0,19682000,4399000.0,-0.29,-2599000,152869000.0,10559000.0,41313000,6282000.0,-27002000,-27002000,-84276000.0,,-66000.0,213219000.0,,126464000.0,229000,13302000.0,127218000.0,382000,68468000,11051000.0,,,-506000,-4243000,1658000.0,-555000,-49000.0,16923000,,-26773000,-6238000,-95246000,0.0,-3554000,41541000.0,93576000.0,316227000.0,2500000,221989000,10000.0,9848000.0,70000.0,,,,,,
2017-10-31,63152000,-33778000,5481000,14408000,582000.0,-33404000,137844000,-1161000,1823000,95474000.0,3555000,3188000.0,,86043000.0,-377790000.0,180702000.0,-11214000,13122000.0,170961000.0,294672000.0,-35227000,68238000,-0.35,,6553000.0,0.0,46882000.0,21123000,4955000.0,-0.35,5072000,156455000.0,9741000.0,47115000,6282000.0,-33778000,-33778000,0.0,,-70000.0,223618000.0,,137575000.0,-940000,13122000.0,138460000.0,509000,82342000,11455000.0,,,21814000,-1743000,2463000.0,21814000,0.0,19190000,,-34718000,-9471000,11101000,0.0,-11431000,42485000.0,95474000.0,337157000.0,9150000,126743000,10000.0,12875000.0,-69000.0,,,,,,
2018-01-31,61260000,-24678000,4508000,14568000,-57265000.0,-23456000,136233000,-18241000,1890000,100969000.0,2327000,6034000.0,426000.0,101765000.0,-402468000.0,203811000.0,-2184000,20655000.0,190760000.0,315416000.0,-25346000,77750000,-0.24,,7017000.0,0.0,52248000.0,22487000,6187000.0,-0.24,-2750000,163586000.0,13051000.0,55263000,6282000.0,-24678000,-24678000,0.0,175000.0,,229714000.0,-8115000.0,127949000.0,142000,12540000.0,162633000.0,810000,80609000,11761000.0,,,-25974000,-2339000,10427000.0,16041000,0.0,19349000,,-24536000,155000,-1611000,324000.0,-5579000,51981000.0,100969000.0,367397000.0,17840000,137844000,10000.0,9566000.0,391000.0,,,,,,
2018-04-30,64563000,-25962000,7304000,14135000,-252914000.0,-22909000,220321000,-238942000,2069000,104203000.0,6774000,4346000.0,-348000.0,335285000.0,-392676000.0,477287000.0,-1556000,19176000.0,202926000.0,636163000.0,-24978000,83621000,-0.25,259920000.0,10095000.0,,50368000.0,24107000,4896000.0,-0.25,2339000,249617000.0,274361000.0,59514000,6282000.0,-25962000,-25962000,,,-80040000.0,547041000.0,,211756000.0,-231000,19176000.0,173548000.0,-1215000,84492000,11863000.0,,,-80246000,-5528000,12343000.0,319445000,0.0,19929000,,-26193000,3972000,84088000,,1719000,90741000.0,104203000.0,726904000.0,19500000,136233000,11000.0,11830000.0,-178000.0,,,,,,
