date,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyBeginningCashPosition,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyCurrentAccruedExpenses,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyNetPPE,quarterlyTaxProvision,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyChangesInAccountReceivables,quarterlyStockBasedCompensation,quarterlyBasicAverageShares,quarterlyDilutedEPS,quarterlyBasicEPS,quarterlyCapitalStock,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRetainedEarnings,quarterlyDilutedAverageShares,quarterlyInventory,quarterlyIncomeTaxPayable
2012-03-31,949000000,,,,35000000,,,,,,,,246000000,,,,,,,405000000,,,,710000000,383000000,,317000000,,,825000000,,,,,,35000000,,,,,383000000,,,,,,,,,,,370000000,,,722000000,,239000000,,,,,,1195000000,,,,,,,,,,,,,,
2012-06-30,620000000,,,,61000000,,,,,,,,239000000,,,,,,,453000000,,,,536000000,282000000,,477000000,,,467000000,,,,,,61000000,,,,,282000000,,,,,,,,,,,392000000,,,930000000,,84000000,,,,,,859000000,,,,,,,,,,,,,,
2012-09-30,985000000,,,,55000000,,,,,,,,261000000,,,,,,,451000000,,,,833000000,409000000,,535000000,,,838000000,,,,,,37000000,,,,,409000000,,,,,,,,,,,396000000,,,986000000,,152000000,,,,,,1264000000,,,,,,,,,,,,,,
2012-12-31,610000000,460000000.0,-48000000.0,943000000.0,92000000,973000000.0,0.0,-160000000.0,,-947000000.0,14000000.0,392000000.0,278000000,3396000000.0,894000000.0,894000000.0,695000000.0,23678000000.0,629000000.0,492000000,9161000000.0,16451000000.0,377000000.0,585000000,411000000,272000000.0,496000000,894000000.0,-381000000.0,463000000,,2095000000.0,-589000000.0,5160000000.0,18518000000.0,38000000,261000000.0,138000000.0,45586000000.0,47681000000.0,411000000,1094000000.0,-133000000.0,24000000.0,,3130000000.0,1592000000.0,13000000.0,-400000000.0,,508000000.0,400000000,,-173000000.0,988000000,2970000000.0,25000000,-46000000.0,339000000.0,,,-1172000000.0,942000000,,,,,,,,,,,,,,
2013-03-31,709000000,,-325000000.0,894000000.0,38000000,1073000000.0,0.0,,,-1047000000.0,-18000000.0,0.0,268000000,2855000000.0,970000000.0,970000000.0,248000000.0,24181000000.0,-295000000.0,499000000,8169000000.0,17673000000.0,5522000000.0,605000000,351000000,1098000000.0,581000000,962000000.0,-401000000.0,516000000,,2230000000.0,-184000000.0,4200000000.0,19981000000.0,38000000,5000000.0,,46310000000.0,48540000000.0,351000000,1235000000.0,-119000000.0,33000000.0,,,1345000000.0,75000000.0,-227000000.0,,459000000.0,461000000,,5000000.0,1080000000,,104000000,63000000.0,2855000000.0,,,-113000000.0,1010000000,,,,,,,,,,,,,,
2013-06-30,674000000,,181000000.0,962000000.0,76000000,1359000000.0,0.0,,,-1154000000.0,0.0,0.0,276000000,3663000000.0,1051000000.0,1051000000.0,140000000.0,24700000000.0,-21000000.0,444000000,7893000000.0,16025000000.0,6229000000.0,478000000,153000000,946000000.0,598000000,1051000000.0,-317000000.0,582000000,,2124000000.0,-83000000.0,4858000000.0,19842000000.0,76000000,-133000000.0,,45136000000.0,47260000000.0,153000000,2458000000.0,0.0,54000000.0,,,1195000000.0,243000000.0,-81000000.0,,275000000.0,368000000,,162000000.0,1042000000,,196000000,120000000.0,0.0,,,-376000000.0,1004000000,,,,,,,,,,,,,,
2013-09-30,443000000,,-16000000.0,1051000000.0,109000000,1424000000.0,0.0,-248000000.0,,-2349000000.0,-29000000.0,365000000.0,275000000,2778000000.0,1566000000.0,1566000000.0,54000000.0,24464000000.0,38000000.0,471000000,9326000000.0,16504000000.0,1457000000.0,383000000,235000000,476000000.0,556000000,1566000000.0,356000000.0,336000000,,2890000000.0,90000000.0,4131000000.0,20333000000.0,101000000,-262000000.0,126000000.0,44802000000.0,47692000000.0,235000000,2405000000.0,0.0,40000000.0,,2538000000.0,1353000000.0,35000000.0,-149000000.0,,172000000.0,362000000,-221000000.0,-41000000.0,1027000000,2290000000.0,60000000,487000000.0,170000000.0,,,-201000000.0,758000000,,,,,,,,,,,,,,
2013-12-31,472000000,326000000.0,-8000000.0,1566000000.0,111000000,1532000000.0,0.0,-266000000.0,,-2535000000.0,51000000.0,312000000.0,270000000,5120000000.0,1368000000.0,1368000000.0,21000000.0,27456000000.0,569000000.0,403000000,10473000000.0,16520000000.0,1043000000.0,326000000,190000000,386000000.0,552000000,1368000000.0,-1260000000.0,430000000,,3011000000.0,-135000000.0,6973000000.0,20483000000.0,103000000,-29000000.0,120000000.0,49435000000.0,52446000000.0,190000000,2431000000.0,-464000000.0,37000000.0,,2698000000.0,1665000000.0,133000000.0,219000000.0,,763000000.0,292000000,-324000000.0,295000000.0,955000000,2432000000.0,146000000,-202000000.0,312000000.0,,,-33000000.0,779000000,,,,,,,,,,,,,,
2014-03-31,913000000,,-22000000.0,1368000000.0,94000000,1898000000.0,0.0,-295000000.0,,-803000000.0,-101000000.0,283000000.0,288000000,6455000000.0,1305000000.0,1305000000.0,136000000.0,30554000000.0,-810000000.0,449000000,11078000000.0,17348000000.0,1097000000.0,493000000,372000000,573000000.0,556000000,1305000000.0,-988000000.0,807000000,,3673000000.0,-135000000.0,8736000000.0,21818000000.0,84000000,16000000.0,125000000.0,50867000000.0,54540000000.0,372000000,2572000000.0,-1021000000.0,39000000.0,,2698000000.0,,393000000.0,-17000000.0,,909000000.0,355000000,-5000000.0,21000000.0,1005000000,2403000000.0,420000000,-58000000.0,305000000.0,,,-156000000.0,1240000000,,,,,,,,,,,,,,
2014-06-30,1558000000,,-11000000.0,1305000000.0,132000000,2121000000.0,0.0,-322000000.0,,-3429000000.0,100000000.0,238000000.0,307000000,3422000000.0,1504000000.0,1504000000.0,1046000000.0,30423000000.0,-824000000.0,482000000,11249000000.0,20173000000.0,1083000000.0,1289000000,892000000,530000000.0,533000000,1504000000.0,911000000.0,1447000000,1642000000.0,2696000000.0,-172000000.0,5445000000.0,24978000000.0,95000000,389000000.0,128000000.0,52425000000.0,55121000000.0,892000000,2684000000.0,-14000000.0,37000000.0,,2565000000.0,,256000000.0,-353000000.0,,-1133000000.0,350000000,-15000000.0,404000000.0,1015000000,2243000000.0,269000000,182000000.0,381000000.0,,,-858000000.0,1902000000,,,,,,,,,,,,,,
