date,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyBasicEPS,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyResearchAndDevelopment,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyNetPPE,quarterlyEbitda,quarterlyDilutedAverageShares,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyTotalRevenue,quarterlyDilutedEPS,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyChangeInInventory
2002-03-31,,,,,,,,,,0.624189,,,,,,,,,,,,,,3992186914.2,,,,,,3992186914.2,457880795.0,,,,,,,,,,3992186914.2,0.624189,,,,285804018.0,,,285804018.0,285804018.0,,,457880795.0,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,379509492.6,743146153.2,,3008662237.2,3008662237.2,,10485890434.8,,93715845.6,0.624166,-13180898898.0,5390496418.2,,135960726.6,,,98353688.7,34130391666.0,,,,,19063932.6,524861644.8,1212213140.1,,1985864892.3,,20949492768.0,552696970.5,419669432.0,10334048609.1,,11961030423.3,,219656847.0,,785002480.5,5023668657.0,21734743261.5,3992042049.3,0.624166,,16984699080.3,,285793647.0,32068791870.6,20709085.5,285793647.0,285793647.0,-8267.1,556863588.9,419669432.0,,3810694943.7,-13574578.2,,,,3157544441.1,3372455972.7,2401146126.6,14675086284.9,,,,5023676924.1,834497608.2,309635963.4,,,,,,,,
2002-09-30,,,,,,,,,,1.442148,,,,,,,,,,,,,,4389858011.58,,,,,,4389858011.58,419669432.0,,,,,,,,,,4389858011.58,1.442148,,,,413776718.82,,,413776718.82,413776718.82,,,419669432.0,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,,736765676.16,,2341711548.48,2341711548.48,,10499809056.96,,,,-15052314318.72,5102095271.04,,,,,385493629.44,37610645228.16,,,,,,-10249199064.9,1129833748.8,,1971043960.32,,22558330909.44,-10249199064.9,,8555991701.76,,11006361328.32,,,,1324815645.12,4948147817.28,23356569607.68,4417480897.02,,,15954509145.6,,416090508.78,31912561309.44,28749771.84,416090508.78,416090508.78,0.0,570376268.16,,,3255984094.08,,,,,,2803388348.16,847783007.04,15520348683.84,,,,4948147817.28,,,,,,,,,,
2003-03-31,,,,,,,,,,1.875001,,,,,,,,,,,,,,5169762622.05,,,,,,5169762622.05,420004415.0,,,,,,,,,,5169762622.05,1.875001,,,,787508687.65,,,787508687.65,787508687.65,,,420004415.0,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,1053311806.0,714901034.0,,2456507899.9,2456507899.9,,10499906122.2,,231564689.95,1.875001,-15052441602.1,4909158181.9,,113808006.2,,,388957155.9,38597644242.95,,,,,26821206.0,1213676127.8,1038667758.65,,1897178138.85,,23545202640.85,1243792037.5,419996008.0,8646833966.55,,10761371489.95,,263336229.65,,2383900246.25,5099299009.25,24403804080.7,5169762622.05,1.875001,,15860670499.2,,787508687.65,33050638047.25,32773195.85,787508687.65,787508687.65,0.0,1146788675.8,419996008.0,,3748263538.5,-82500042.9,,,,3598404189.05,2916367410.55,466258520.6,16627500368.15,,,,5099299009.25,1571358433.0,357682305.2,,,,,,,,
2003-09-30,,,,,,,,,,2.375001,,,,,,,,,,,,,,6453182163.6,,,,,,6453182163.6,416214709.0,,,,,,,,,,6453182163.6,2.375001,,,,988510447.8,,,988510447.8,988510447.8,,,416214709.0,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,,706018579.05,,2596441747.5,2596441747.5,,10499906122.2,,,,-16565480468.35,4617129884.35,,,,,1155695965.2,42119690776.4,,,,,,-11714219667.55,952508773.45,,1867666534.1,,25554210308.05,-11714219667.55,,8638572372.85,,10271404347.75,,,,3593147563.8,5412626986.75,26439740569.85,6453173885.45,,,15684031334.5,,988502169.65,35078312942.7,42632472.5,988502169.65,988502169.65,0.0,1128419460.95,,,4125821681.85,,,,,,2834099155.85,384991922.05,18742352461.25,,,,5412626986.75,,,,,,,,,,
2004-03-31,,,,,,,,,,3.875002,,,,,,,,,,,,,,7102586474.8,,,,,,7102586474.8,438884854.0,,,,,,,,,,7102586474.8,3.875002,,,,1700679692.3,,,1700679692.3,1700679692.3,,,438884854.0,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-30,2300713116.9,707467255.3,,4354323456.3,4354323456.3,,11049881573.75,,517740335.45,3.875002,-1104098256.25,4318487344.95,,96092765.2,,,7349970709.4,29244096332.75,,,,,29048028.35,2397153564.4,4611856702.8,,1518477610.8,,28139998076.5,2421458212.8,441387336.0,12478557813.35,,10448821658.55,,301796514.55,,5933711694.8,6067900506.3,29302755303.65,7102586474.8,3.875002,,16516722164.85,,1700679692.3,41781313117.0,219362696.85,1700679692.3,1700679692.3,0.0,632400991.1,441387336.0,,5904431878.25,16407293.3,,,,4283421101.55,,965091561.45,24333563977.95,,,,6067900506.3,2819165373.25,422011808.85,,,,,,,,
2004-09-30,,,,,,,,,,3.125002,,,,,,,,,,,,,,9053961661.7,,,,,,9053961661.7,451615894.0,,,,,,,,,,9053961661.7,3.125002,,,,1411300402.75,,,1411300402.75,1411300402.75,,,451615894.0,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,,729156008.3,,6223769792.65,6234630725.45,,11049881573.75,,,,-18522468240.95,4522568576.9,,,,,2492095666.75,51987063457.1,,,,,,-14299163064.7,4047369654.3,,1968419897.75,,33464595216.15,-14299163064.7,,14356596869.4,,13193483681.8,,,10860932.8,7410128025.45,7391667750.95,34623792838.8,9053961661.7,,,20585151432.75,,1411292124.6,48980389708.2,122673904.85,1411292124.6,1411292124.6,0.0,664578160.15,,,5231906694.1,,,,,,2655125552.85,1786822121.2,27156156505.3,,,,7391667750.95,,,,,,,,,,
