date,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyDilutedEPS,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyBasicEPS,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyBasicAverageShares,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredRevenue
1995-03-31,6300000,-2000000,8200000.0,-5200000,0,45400000,-900000,36900000,-4500000.0,-2100000,,,2600000,7500000,39200000,,-200000,-0.01,71300000,-1100000,4100000,22200000,,5500000,,175900000,324000000,15300000,,67700000.0,4200000,-0.01,38200000,,12700000,15300000,,77600000,,90000000.0,-100000,12300000,0,-3100000,-900000,,51500000,340000000,3900000.0,66700000,75800000.0,,148100000,,,-88300000,,16500000,,,-16000000,,,-1100000.0,,26100000,-400000,267400000.0,90000000.0,30900000,-900000,,273300000,12300000,5900000.0,,
1995-06-30,8600000,-3500000,8000000.0,-3800000,0,46800000,4300000,36400000,-6400000.0,-600000,,,11200000,14700000,40100000,,900000,0.05,71100000,5200000,4400000,25700000,,11200000,,175500000,338800000,26500000,,68000000.0,4000000,0.05,43200000,,0,26500000,,84300000,,86000000.0,4300000,16900000,0,-2500000,4300000,,57000000,348700000,2300000.0,77500000,77500000.0,,163300000,,,-84000000,,20900000,,,-9900000,,,1000000.0,,27300000,-500000,264900000.0,86000000.0,31700000,4300000,,271200000,12200000,6300000.0,,
1995-09-30,9000000,700000,7700000.0,6200000,-12000000,45900000,9300000,35000000,-8500000.0,-19900000,,,-1800000,22000000,41100000,,2200000,0.05,71000000,11500000,4300000,55000000,,22700000,,179200000,329800000,24700000,,73200000.0,4500000,0.05,17300000,,0,24700000,,80600000,,85000000.0,15100000,13200000,0,-4200000,9300000,,54300000,343700000,-7200000.0,81300000,79500000.0,,150600000,,,-74700000,,17700000,,,-13900000,,,-4900000.0,,26300000,2800000,256400000.0,85000000.0,32300000,9300000,,262400000,5900000,6000000.0,,
1995-12-31,1900000,-1500000,6500000.0,-5800000,86200000,41500000,-10700000,29700000,-10200000.0,-23200000,,,-25500000,2000000,46300000,,300000,,70300000,1700000,4800000,52200000,,500000,,172500000,299800000,3200000,,72500000.0,3800000,,16800000,,0,3200000,6200000.0,90500000,,,-10500000,14100000,3200000,-4700000,-11600000,,60400000,235500000,6800000.0,70900000,80500000.0,,127300000,-4200000.0,,-85400000,,17900000,,,64300000,,,-3200000.0,,30100000,3700000,158500000.0,,37700000,1400000,,164600000,6500000,6100000.0,,
1996-03-31,1300000,-1700000,4000000.0,-900000,0,40400000,8200000,32400000,-12200000.0,-17700000,,,-1400000,14700000,42100000,,2000000,0.07,70300000,10200000,4700000,52500000,,13000000,,174800000,295800000,1800000,,72100000.0,4000000,0.07,18100000,,3200000,1800000,6500000.0,85300000,,114285714.0,2600000,15100000,0,1700000,8000000,,57200000,223700000,-100000.0,71900000,82500000.0,,121000000,,,-77200000,,19100000,,,72100000,,,-1100000.0,,28100000,1200000,143100000.0,114285714.0,33400000,8200000,,151800000,3200000,8700000.0,,
1996-06-30,1300000,-1800000,3500000.0,-23100000,300000,53300000,-32200000,36900000,-14400000.0,76800000,,,-1100000,7700000,45400000,,2900000,-0.29,73300000,-7000000,5100000,56900000,,5900000,,223600000,361900000,800000,,113400000.0,4300000,-0.29,18500000,,0,800000,6700000.0,96000000,,111724138.0,-6400000,19700000,0,-86100000,-32400000,,65100000,321700000,19700000.0,76700000,87700000.0,,138300000,,,-109300000,,24000000,,,40200000,,,-84300000.0,,30900000,-1500000,236300000.0,111724138.0,36000000,-9900000,,245000000,4200000,8700000.0,,
1996-09-30,1300000,-3200000,3700000.0,-5300000,200000,51500000,6400000,34900000,-16900000.0,-9500000,,,1400000,14300000,48500000,,2500000,0.05,74200000,8900000,5500000,58600000,600000.0,11100000,,223300000,363800000,2100000,,114200000.0,4600000,0.06,21500000,,0,2100000,6900000.0,98400000,,103333333.0,3600000,17900000,0,-4100000,6200000,,66400000,316200000,-300000.0,81400000,91100000.0,,140500000,,,-103000000,,22500000,,,47600000,,,-900000.0,,32000000,1900000,226300000.0,124000000.0,38400000,6400000,,234800000,3700000,8500000.0,,
1996-12-31,1700000,-3400000,3600000.0,4900000,0,47400000,15200000,36100000,-19700000.0,-14900000,,,-1500000,19000000,51200000,,3700000,,74800000,18900000,5600000,63600000,200000.0,15600000,,221500000,365500000,600000,,110600000.0,4900000,,17500000,,0,600000,7200000.0,111400000,,,2900000,17600000,600000,-4600000,15000000,,68800000,300500000,-19400000.0,82800000,94500000.0,,144000000,,,-87800000,,22500000,,,65000000,,,3300000.0,,42600000,3800000,210500000.0,,40700000,15200000,,217700000,7900000,7200000.0,,
1997-03-31,2000000,-2200000,3000000.0,0,0,48900000,12300000,35400000,-19700000.0,-15100000,,,2200000,21600000,49600000,,3100000,0.1,74100000,15400000,5800000,67500000,,19400000,,218800000,366500000,2800000,,109300000.0,4700000,0.11,21500000,,600000,2800000,7400000.0,102400000,,110000000.0,4400000,18400000,0,-3300000,12100000,,68000000,289300000,200000.0,91000000,93800000.0,,147700000,,,-75500000,,23100000,,,77200000,,,-1100000.0,,34400000,-2700000,195000000.0,121000000.0,39100000,12300000,,198300000,8000000,3300000.0,,
1997-06-30,2500000,-3400000,3000000.0,100000,800000,49300000,14800000,36800000,-24500000.0,-14400000,,,-400000,17900000,49500000,,3700000,0.12,75000000,18500000,5800000,65900000,,14500000,,221300000,365800000,2400000,,109500000.0,4800000,0.13,20200000,,0,2400000,7600000.0,106200000,,112307692.0,-1600000,21400000,0,-4700000,14600000,,70900000,275000000,-100000.0,88600000,99500000.0,,144500000,,,-60700000,,26200000,,,90800000,,,-1300000.0,,35300000,-100000,179600000.0,121666667.0,38900000,14800000,,186400000,8000000,6800000.0,,
