date,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyLongTermDebt,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyEbitda,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicEPS,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyDilutedAverageShares,quarterlyFreeCashFlow,quarterlyOtherNonCurrentAssets,quarterlyIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyStockBasedCompensation
2012-03-31,,,,8200000,,,0.0,,,,-6200000.0,8100000,8100000,,1400000,,100000.0,,,9700000,,,0.115001,,-1000000.0,,,8200000,,8200000,,,,8600000.0,18200000,-6200000.0,,-2400000.0,,,0.0,-100000.0,,0.0,,,10000000,0.0,70434224.0,,0.115001,1800000,,,,0,,8100000,0.0,-2400000.0,,,,,,-6200000.0,1500000.0,,70434224.0,6200000.0,,,,,,,
2012-06-30,,,,6800000,,,0.0,,,,-6200000.0,9500000,9500000,,1700000,,100000.0,,,11300000,,,0.134878,,-400000.0,,,9600000,,9600000,,,,10800000.0,18500000,-6200000.0,,-4600000.0,,,0.0,0.0,,0.0,,,11700000,0.0,70434224.0,,0.134878,2100000,,,,0,,9500000,0.0,-4600000.0,,,,,,-6200000.0,1700000.0,,70434224.0,6200000.0,,,,,,,
2012-09-30,,,,6700000,,,0.0,,,,,11900000,11900000,,2300000,,100000.0,,,13800000,,-600000.0,0.168952,,-1500000.0,,,12000000,,12000000,,,,12200000.0,21300000,-6800000.0,,-5400000.0,,0.0,0.0,-100000.0,,-1000000.0,,,14600000,0.0,70434224.0,,0.168952,2600000,,,,0,,11900000,0.0,-5400000.0,0.0,,,,,-6800000.0,1800000.0,,70434224.0,6800000.0,,,,,,,
2012-12-31,144400000.0,200000.0,144900000.0,46000000,200000.0,300000.0,0.0,200000.0,500000.0,,,29600000,-29500000,2500000.0,8300000,,0.0,135800000.0,,38200000,0.0,,,,6200000.0,,,29600000,500000.0,29700000,208200000.0,2400000.0,,43500000.0,87300000,-22400000.0,-72400000.0,-21800000.0,300000.0,0.0,0.0,400000.0,,900000.0,1400000.0,,41300000,0.0,,,,11600000,0.0,0.0,,0,300000.0,-29500000,0.0,-21100000.0,0.0,,0.0,0.0,2900000.0,-22400000.0,8600000.0,,,21700000.0,0.0,,,,,,
2013-03-31,144100000.0,100000.0,144600000.0,7800000,200000.0,300000.0,0.0,100000.0,500000.0,,-11200000.0,10700000,13600000,2500000.0,1900000,,100000.0,135100000.0,,12400000,,,0.19,,-400000.0,,,10800000,500000.0,10800000,209000000.0,2600000.0,,11900000.0,21000000,-11200000.0,-73900000.0,-700000.0,400000.0,,0.0,0.0,,400000.0,1900000.0,,13200000,0.0,70434224.0,,0.19,2400000,,0.0,,0,,13600000,0.0,-700000.0,,,0.0,0.0,3100000.0,-11200000.0,1600000.0,,70434224.0,11200000.0,0.0,,,,,,
2013-06-30,144000000.0,200000.0,145000000.0,7500000,100000.0,300000.0,0.0,100000.0,500000.0,,-16300000.0,15700000,15700000,2500000.0,2500000,,100000.0,135000000.0,,17300000,,,0.445806,,800000.0,,,15800000,1000000.0,15800000,210500000.0,3600000.0,,18000000.0,26200000,-16300000.0,-75500000.0,-1700000.0,400000.0,,0.0,0.0,,1000000.0,2700000.0,,18700000,0.0,35217112.0,,0.445806,2900000,,0.0,,0,400000.0,15700000,0.0,-1700000.0,,,0.0,0.0,4100000.0,-16300000.0,1500000.0,,35217112.0,16300000.0,0.0,,,,,,
2013-09-30,144000000.0,9400000.0,578600000.0,9100000,0.0,300000.0,421600000.0,200000.0,400000.0,,,17300000,11900000,2500000.0,2500000,,200000.0,135000000.0,,19200000,434400000.0,-5300000.0,0.17,,-5300000.0,,,17500000,434600000.0,17500000,212100000.0,10100000.0,,13600000.0,29500000,409800000.0,-77100000.0,-1800000.0,3000000.0,-200000.0,0.0,-9200000.0,,6000000.0,8800000.0,,20400000,0.0,70434000.0,,0.17,2900000,100000.0,0.0,,100000,600000.0,11700000,421600000.0,-1800000.0,100000.0,,421600000.0,421600000.0,10500000.0,-24600000.0,1600000.0,,70434000.0,11800000.0,0.0,,,,,,
2013-12-31,144800000.0,11400000.0,584200000.0,9200000,1000000.0,400000.0,3500000.0,400000.0,500000.0,,-11100000.0,17000000,17000000,2500000.0,3100000,,100000.0,135900000.0,,18800000,0.0,-1700000.0,0.24,,-1700000.0,,,17100000,439400000.0,17200000,214500000.0,9600000.0,,16800000.0,29900000,-11100000.0,-78600000.0,-2400000.0,2300000.0,0.0,200000.0,-1900000.0,,-800000.0,8200000.0,,20700000,421600000.0,70434000.0,,0.24,3500000,100000.0,0.0,,100000,600000.0,16600000,425100000.0,-2200000.0,200000.0,,425100000.0,425100000.0,10100000.0,0.0,1500000.0,,70434000.0,14400000.0,0.0,,,,,,
2014-03-31,283600000.0,24700000.0,332400000.0,15200000,400000.0,2400000.0,-404000000.0,300000.0,162400000.0,,-278200000.0,28000000,18300000,2500000.0,6700000,160000000.0,300000.0,273900000.0,,28800000,,100000.0,0.25,,-6300000.0,,,28300000,48800000.0,28700000,506900000.0,15200000.0,-138000000.0,25400000.0,51800000,-284600000.0,-233000000.0,-6100000.0,1000000.0,100000.0,-700000.0,-9600000.0,,-1200000.0,9300000.0,,36600000,425100000.0,71650000.0,,0.25,7900000,0.0,0.0,2300000.0,100000,2000000.0,17500000,21100000.0,-144800000.0,500000.0,,21100000.0,21100000.0,177600000.0,-6400000.0,3600000.0,,71650000.0,19300000.0,100000.0,,,,,,
2014-06-30,284400000.0,19300000.0,342700000.0,16900000,1600000.0,200000.0,13400000.0,100000.0,162700000.0,,-21100000.0,32100000,32100000,2500000.0,5400000,160000000.0,200000.0,274700000.0,,33600000,,0.0,0.41,,-500000.0,,,32300000,58300000.0,33600000,511100000.0,13400000.0,0.0,35500000.0,56900000,-17800000.0,-236400000.0,-3900000.0,2500000.0,-100000.0,-400000.0,2200000.0,,-1400000.0,7500000.0,,40000000,21100000.0,73965000.0,,0.41,6400000,0.0,0.0,1600000.0,0,2000000.0,30400000,34500000.0,-4300000.0,1300000.0,,34500000.0,34500000.0,176100000.0,3300000.0,3900000.0,,73965000.0,31600000.0,200000.0,,,,,,
