date,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyEbitda,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfInvestment,quarterlyBasicEPS,quarterlyInterestExpense,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyOtherNonCurrentAssets,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentDebt,quarterlyChangeInInventory,quarterlyCashDividendsPaid
2017-03-31,,,-28000000.0,,244000000,,,,286000000,,,-1000000.0,,,755000000,0.0,-3000000,14000000,16000000,-157000000,-139000000,902000000,,93000000,35000000,-16000000,,,,,,1000000,-23000000.0,1000000,199000000,167778952,-172000000,,,,80000000,,797000000,,,,,,,90000000,-1.031119,,164000000,-173000000,167778952,-173000000,14000000,,-357000000,-1.031119,1000000,-173000000,,105000000,,-125000000,735000000,186000000,,,,-36000000.0,,,,,
2017-06-30,,,-27000000.0,,311000000,,,,300000000,,,,,,735000000,0.0,-5000000,19000000,2000000,-27000000,-79000000,1007000000,,72000000,110000000,32000000,,,,,,1000000,,1000000,111000000,167778952,-187000000,,,,95000000,,775000000,,,,,,,67000000,-1.120522,,216000000,-188000000,167778952,-188000000,12000000,,-310000000,-1.120522,148000000,-188000000,,232000000,,-42000000,732000000,81000000,,-1000000.0,,-1000000.0,,,,,
2017-09-30,-39000000.0,,,,303000000,,,,257000000,,,,,,732000000,0.0,-9000000,18000000,0,-44000000,-73000000,1032000000,,-81000000,203000000,-61000000,,,,,,0,,0,-43000000,167778952,-278000000,,,,98000000,,802000000,,,,,,,-90000000,-1.656942,,205000000,-278000000,167778952,-278000000,15000000,,-237000000,-1.656942,219000000,-278000000,,230000000,,11000000,668000000,-15000000,,7000000.0,,-103000000.0,,,,,
2017-12-31,,1182000000.0,1000000.0,27000000.0,369000000,477000000.0,216000000.0,1509000000.0,237000000,242000000.0,29000000.0,0.0,177000000.0,0.0,668000000,0.0,-24000000,14000000,7000000,-38000000,-87000000,1149000000,-105000000.0,95000000,509000000,-177000000,,1898000000.0,1860000000.0,9000000.0,178000000.0,0,-11000000.0,0,153000000,178112840,-596000000,73000000.0,-2427000000.0,362000000.0,123000000,1032000000.0,867000000,880000000.0,135000000.0,272000000.0,3107000000.0,1209000000.0,,71000000,-3.346193,,246000000,-596000000,178112840,-596000000,13000000,65000000.0,-482000000,-3.346193,545000000,-596000000,1925000000.0,282000000,54000000.0,-279000000,477000000,195000000,3000000.0,,911000000.0,,,,,,
2018-03-31,,161000000.0,-4000000.0,28000000.0,324000000,733000000.0,223000000.0,1576000000.0,430000000,255000000.0,39000000.0,0.0,226000000.0,0.0,477000000,4000000.0,-8000000,18000000,43000000,-169000000,-41000000,1139000000,-113000000.0,84000000,139000000,266000000,,1938000000.0,1948000000.0,4000000.0,181000000.0,-11000000,0.0,-11000000,91000000,167778952,-180000000,68000000.0,-2596000000.0,429000000.0,115000000,843000000.0,856000000,889000000.0,133000000.0,232000000.0,3202000000.0,1264000000.0,1022000000.0,76000000,-1.01,61000000.0,209000000,-169000000,167778952,-169000000,11000000,1093000000.0,-280000000,-1.01,0,-169000000,3041000000.0,283000000,56000000.0,139000000,733000000,70000000,3000000.0,,969000000.0,-152000000.0,,,,,
2018-06-30,12000000.0,999000000.0,-19000000.0,31000000.0,419000000,810000000.0,234000000.0,1695000000.0,451000000,369000000.0,38000000.0,0.0,256000000.0,0.0,733000000,0.0,-5000000,23000000,55000000,-43000000,-90000000,1273000000,-106000000.0,30000000,299000000,68000000,0.0,2058000000.0,2280000000.0,4000000.0,189000000.0,2000000,-9000000.0,2000000,93000000,179077124,-392000000,83000000.0,-2990000000.0,631000000.0,143000000,885000000.0,944000000,991000000.0,144000000.0,324000000.0,3360000000.0,1302000000.0,,25000000,-2.2,,276000000,-394000000,179077124,-394000000,6000000,81000000.0,-444000000,-2.2,343000000,-394000000,2361000000.0,329000000,65000000.0,-17000000,810000000,78000000,2000000.0,-2000000.0,969000000.0,-182000000.0,,,,,
2018-09-30,,1594000000.0,-20000000.0,28000000.0,348000000,1095000000.0,240000000.0,1764000000.0,279000000,384000000.0,35000000.0,,758000000.0,0.0,810000000,0.0,-49000000,24000000,49000000,10000000,-6000000,1352000000,-109000000.0,80000000,69000000,285000000,,2160000000.0,2451000000.0,3000000.0,244000000.0,-125000000,,-125000000,59000000,188120122,-82000000,135000000.0,-2947000000.0,711000000.0,135000000,669000000.0,1010000000,1064000000.0,145000000.0,359000000.0,4133000000.0,1973000000.0,,31000000,0.23,,213000000,43000000,180510524,43000000,7000000,88000000.0,-54000000,0.24,85000000,43000000,2539000000.0,342000000,65000000.0,156000000,1095000000,86000000,2000000.0,-1000000.0,1589000000.0,-1000000.0,,,,,
2018-12-31,-59000000.0,2094000000.0,-1000000.0,28000000.0,305000000,891000000.0,258000000.0,1806000000.0,66000000,427000000.0,38000000.0,,875000000.0,0.0,1095000000,,-65000000,23000000,-55000000,491000000,94000000,1495000000,-80000000.0,150000000,-372000000,-205000000,-72000000.0,2246000000.0,2147000000.0,5000000.0,277000000.0,39000000,,39000000,8000000,190511148,481000000,197000000.0,-2505000000.0,339000000.0,100000000,915000000.0,1096000000,1076000000.0,146000000.0,400000000.0,4336000000.0,2090000000.0,,85000000,0.36,,205000000,442000000,181067994,442000000,8000000,95000000.0,-300000000,2.44,2000000,442000000,2242000000.0,399000000,65000000.0,-300000000,891000000,57000000,2000000.0,4000000.0,1646000000.0,-159000000.0,,,,,
2019-03-31,35000000.0,2462000000.0,-3000000.0,54000000.0,420000000,966000000.0,273000000.0,1626000000.0,383000000,255000000.0,52000000.0,-5000000.0,1491000000.0,0.0,891000000,,-37000000,26000000,-98000000,-139000000,-47000000,1511000000,-181000000.0,209000000,130000000,62000000,-126000000.0,2071000000.0,2507000000.0,4000000.0,846000000.0,-27000000,-288000000.0,-27000000,203000000,180613539,-169000000,665000000.0,-2665000000.0,508000000.0,155000000,660000000.0,1138000000,1267000000.0,424000000.0,258000000.0,5593000000.0,3522000000.0,,172000000,-0.79,,265000000,-142000000,180613539,-142000000,21000000,624000000.0,-104000000,-0.79,9000000,-142000000,3131000000.0,373000000,70000000.0,-49000000,966000000,155000000,61000000.0,,2299000000.0,-120000000.0,,,,,
2019-06-30,,1945000000.0,-3000000.0,55000000.0,437000000,909000000.0,290000000.0,1495000000.0,370000000,440000000.0,66000000.0,-4000000.0,1197000000.0,0.0,966000000,,-40000000,37000000,-141000000,25000000,-3000000,1667000000,,90000000,46000000,-58000000,-157000000.0,1992000000.0,2633000000.0,4000000.0,641000000.0,17000000,-36000000.0,17000000,52000000,180409115,-59000000,641000000.0,-2741000000.0,519000000.0,151000000,586000000.0,1233000000,1327000000.0,464000000.0,429000000.0,5113000000.0,3121000000.0,,50000000,-0.42,,286000000,-76000000,180409115,-76000000,20000000,535000000.0,-298000000,-0.42,64000000,-76000000,3168000000.0,434000000,68000000.0,-7000000,909000000,75000000,2000000.0,,1883000000.0,-52000000.0,,,,,
